Orthogroup	DHYD.longest_only	DYAK.longest_only
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC6529704|XP_002090697.2|DYAK
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC6536965|XP_002097534.1|DYAK
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC6531360|XP_002092163.2|DYAK
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC6539128|XP_002086029.1|DYAK
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC6531831|XP_002092618.3|DYAK
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC6529100|XP_002090113.1|DYAK
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC6526432|XP_002087551.1|DYAK
OG0000018	LOC111600492|XP_023172388.2|DHYD	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC26535774|XP_015049832.1|DYAK
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC6533166|XP_002093892.1|DYAK
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC6538322|XP_039232218.1|DYAK
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC6538326|XP_002098853.2|DYAK
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC6538082|XP_002098616.1|DYAK
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC6530655|XP_002091553.1|DYAK
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC6535735|XP_039231556.1|DYAK
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC6537431|XP_002097987.1|DYAK
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC6529263|XP_002090268.1|DYAK, LOC6529648|XP_002090642.1|DYAK
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC6526678|XP_002087784.1|DYAK
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC6530550|XP_002091465.1|DYAK
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC6530532|XP_039228836.1|DYAK
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC6531172|XP_002092001.1|DYAK
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC6538705|XP_002099220.3|DYAK
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC6536819|XP_002097389.1|DYAK
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC6524816|XP_002100658.1|DYAK
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC6531452|XP_002092255.1|DYAK
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC6539886|XP_002086766.1|DYAK
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC6531278|XP_002092087.2|DYAK
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC26536093|XP_039232188.1|DYAK
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC6536032|XP_039230972.1|DYAK
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC6536035|XP_002096650.2|DYAK
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC6530301|XP_002091228.2|DYAK
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC6529811|XP_002090793.1|DYAK
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC6530303|XP_002091230.1|DYAK
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC6529951|XP_002090905.3|DYAK
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC6525058|XP_002100897.1|DYAK
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC6528059|XP_002089126.1|DYAK
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC6526916|XP_002088015.1|DYAK
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC6526913|XP_002088012.1|DYAK
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC6526915|XP_002088014.1|DYAK
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC6534951|XP_039229813.1|DYAK
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC6536173|XP_002096764.1|DYAK
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC6527318|XP_002088411.1|DYAK
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC6526597|XP_002087705.1|DYAK
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC6531827|XP_039228114.1|DYAK
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC6524424|XP_002100282.1|DYAK
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK, LOC6528984|XP_002090016.3|DYAK
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC6529463|XP_002090465.2|DYAK, LOC6532903|XP_002093639.1|DYAK, LOC6526633|XP_002087741.1|DYAK, LOC6528983|XP_002090015.2|DYAK
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC6528006|XP_002089073.1|DYAK
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC6536794|XP_002097364.1|DYAK
OG0000032	LOC111598628|XP_023169740.2|DHYD	LOC6536792|XP_002097362.1|DYAK
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC6536800|XP_002097370.2|DYAK, LOC6536793|XP_002097363.1|DYAK
OG0000032	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD	LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC6530309|XP_039228670.1|DYAK, LOC6530310|XP_039228063.1|DYAK, LOC6528345|XP_002089398.1|DYAK, LOC6528344|XP_002089397.2|DYAK
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC6528350|XP_002089399.1|DYAK
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC6529510|XP_002090512.1|DYAK
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC6527117|XP_002088210.1|DYAK
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC6536018|XP_002096633.1|DYAK
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC6537201|XP_002097759.1|DYAK
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC6535269|XP_002095925.1|DYAK
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC6531032|XP_002091868.2|DYAK
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC6535647|XP_002096275.2|DYAK, LOC6535648|XP_002096276.2|DYAK
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC6539691|XP_002086577.2|DYAK
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC6534938|XP_039229728.1|DYAK
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC6537610|XP_002098156.2|DYAK
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC6524746|XP_002100590.1|DYAK
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC6524745|XP_002100589.2|DYAK
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC6526007|XP_002101825.1|DYAK
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC6535485|XP_002096116.3|DYAK, LOC6536605|XP_002097181.1|DYAK
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC6536604|XP_002097180.1|DYAK
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC6535486|XP_002096117.1|DYAK, LOC6535487|XP_002096118.3|DYAK
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC6535489|XP_002096120.1|DYAK
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC6539025|XP_002099527.1|DYAK
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC6531112|XP_002091946.1|DYAK, LOC6531108|XP_002091942.2|DYAK, LOC6531111|XP_002091945.1|DYAK, LOC6531109|XP_039228701.1|DYAK, LOC6531110|XP_002091944.2|DYAK
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC6531107|XP_002091941.2|DYAK
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC6536590|XP_002097166.1|DYAK
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC6536589|XP_002097165.1|DYAK
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC6536584|XP_002097160.1|DYAK
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC6538530|XP_002099052.1|DYAK
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC6538529|XP_002099051.1|DYAK
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC6537407|XP_002097963.3|DYAK
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC6533631|XP_002094338.1|DYAK
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC6533265|XP_002093991.2|DYAK
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC6533264|XP_002093990.1|DYAK
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC6525175|XP_002101013.1|DYAK, LOC6525174|XP_002101012.1|DYAK
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC6525176|XP_002101014.2|DYAK, LOC6537904|XP_002098445.2|DYAK, LOC6537905|XP_039232534.1|DYAK, LOC6537903|XP_002098444.1|DYAK, LOC6537902|XP_002098443.2|DYAK, LOC6537901|XP_002098442.1|DYAK, LOC6530015|XP_002090961.3|DYAK
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC6531393|XP_002092196.1|DYAK
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC6531396|XP_002092199.1|DYAK
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC6529920|XP_002090877.1|DYAK
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC6529913|XP_002090870.1|DYAK
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC6539501|XP_002086390.1|DYAK, LOC26534611|XP_015045057.1|DYAK
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC6539643|XP_002086528.1|DYAK
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC6539644|XP_002086526.2|DYAK
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC6539640|XP_002086529.1|DYAK
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC6536652|XP_002097224.1|DYAK
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC6537437|XP_002097993.1|DYAK
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC6536653|XP_002097225.1|DYAK
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC6536654|XP_002097226.1|DYAK
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC6537438|XP_002097994.1|DYAK
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC6530239|XP_002091176.2|DYAK
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC6535163|XP_002095825.2|DYAK
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC120320448|XP_039230150.1|DYAK
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC6535165|XP_002095827.2|DYAK
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC6536236|XP_002096825.1|DYAK
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC6536859|XP_002097428.1|DYAK
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC6536447|XP_002097028.1|DYAK, LOC6537955|XP_002098492.1|DYAK, LOC6536445|XP_002097026.2|DYAK, LOC6536449|XP_002097030.1|DYAK, LOC6536448|XP_002097029.1|DYAK
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC6531034|XP_002091870.1|DYAK
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC6531035|XP_002091871.1|DYAK
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC6528601|XP_002089644.1|DYAK
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC6528600|XP_002089643.1|DYAK
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC6528599|XP_002089642.1|DYAK
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC6528598|XP_002089641.2|DYAK
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC6528594|XP_002089637.3|DYAK
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC6537158|XP_002097719.1|DYAK
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC6537157|XP_002097718.1|DYAK
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC6537155|XP_002097716.1|DYAK, LOC6537156|XP_002097717.1|DYAK
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC6538864|XP_002099370.1|DYAK, LOC6538865|XP_002099371.1|DYAK
OG0000055	LOC111603272|XP_023176553.1|DHYD	LOC26536326|XP_015049075.1|DYAK
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC6537842|XP_002098383.1|DYAK
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC6537844|XP_002098385.1|DYAK, LOC6537846|XP_002098387.1|DYAK, LOC6537845|XP_002098386.1|DYAK
OG0000056	LOC111600558|XP_023172478.1|DHYD	LOC6536528|XP_002097104.1|DYAK, LOC6536529|XP_002097105.1|DYAK
