Orthogroup	DHYD.longest_only	DMAU.longest_only
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC115482882|XP_030078992.1|DHYD, LOC115483260|XP_030080465.1|DHYD, LOC115483265|XP_030080470.1|DHYD, LOC115482892|XP_030079001.1|DHYD, LOC115482880|XP_030078990.1|DHYD, LOC115483192|XP_030080237.1|DHYD, LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD, LOC115482891|XP_030079000.1|DHYD, LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC117135278|XP_033151337.1|DMAU
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC111598341|XP_023169316.1|DHYD	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC111592540|XP_023160594.1|DHYD	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC111597353|XP_023167768.1|DHYD	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC111603208|XP_023176475.1|DHYD	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC111595218|XP_023164600.1|DHYD	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC111599234|XP_023170599.1|DHYD	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC111603822|XP_023177351.2|DHYD	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC111600903|XP_030081002.1|DHYD	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC111595834|XP_023165510.2|DHYD	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC111600507|XP_023172403.1|DHYD	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC111600497|XP_023172393.2|DHYD	LOC117141483|XP_033160852.1|DMAU
OG0000019	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC111598920|XP_023170158.2|DHYD	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC111603248|XP_023176523.1|DHYD	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC111598923|XP_023170162.2|DHYD	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC111594494|XP_030080618.1|DHYD	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC111593180|XP_023161558.2|DHYD	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC111598962|XP_023170216.2|DHYD	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC111596686|XP_023166760.2|DHYD	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC111598978|XP_030080535.1|DHYD	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC111601219|XP_023173482.1|DHYD	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC111601270|XP_023173549.2|DHYD	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC111596996|XP_023167262.1|DHYD	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC111600652|XP_023172641.1|DHYD	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC111601220|XP_023173483.1|DHYD	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU
OG0000021	LOC111602062|XP_023174743.2|DHYD	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC111593360|XP_023161841.1|DHYD	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC111601414|XP_023173744.1|DHYD	LOC117143646|XP_033164316.1|DMAU
OG0000021	LOC111604024|XP_023177648.1|DHYD	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC111595585|XP_023165164.2|DHYD	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000023	LOC111602788|XP_023175829.2|DHYD	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC111602748|XP_023175768.2|DHYD	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC111600543|XP_023172455.2|DHYD	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC111602765|XP_023175792.2|DHYD	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC111602764|XP_023175791.1|DHYD	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC111602801|XP_023175861.1|DHYD	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC111602761|XP_023175787.2|DHYD	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC111602800|XP_023175857.2|DHYD	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC111592141|XP_023159955.2|DHYD	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC111592145|XP_023159959.2|DHYD	LOC117136506|XP_033153341.1|DMAU
OG0000024	LOC111598026|XP_023168817.2|DHYD	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC111599384|XP_023170789.1|DHYD	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC111600180|XP_023171950.2|DHYD	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC111596354|XP_023166318.1|DHYD	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC111602647|XP_023175583.2|DHYD	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC111599153|XP_023170492.2|DHYD	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC111595849|XP_023165527.1|DHYD	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC111599119|XP_023170448.2|DHYD	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC111605107|XP_023179216.2|DHYD	LOC117139373|XP_033157513.1|DMAU
OG0000029	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC111599253|XP_023170620.2|DHYD	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC111603775|XP_023177278.2|DHYD	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC111596081|XP_023165908.2|DHYD	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC111596747|XP_030080079.1|DHYD	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC111598248|XP_023169180.2|DHYD	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC111596192|XP_023166065.2|DHYD	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU
OG0000031	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD	LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU
OG0000031	LOC111594664|XP_023163834.1|DHYD	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC111599037|XP_023170323.1|DHYD	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC111598628|XP_023169740.2|DHYD	LOC117145860|XP_033167571.1|DMAU
OG0000032	LOC111599021|XP_023170312.2|DHYD	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC111599962|XP_023171625.2|DHYD	LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU
OG0000033	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD	LOC117138298|XP_033156189.1|DMAU
OG0000034	LOC111602472|XP_023175302.2|DHYD	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC111602462|XP_023175290.2|DHYD	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD	LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC111602683|XP_023175671.1|DHYD	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC111602776|XP_023175811.1|DHYD	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC111602665|XP_023175617.1|DHYD	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC111601529|XP_023173926.1|DHYD	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC111604322|XP_030081296.1|DHYD	LOC117137024|XP_033154116.1|DMAU
OG0000037	LOC111601750|XP_023174255.2|DHYD	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC111605099|XP_023179209.2|DHYD	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC111605094|XP_023179201.2|DHYD	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC111599549|XP_023170981.2|DHYD	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC111602852|XP_023175933.1|DHYD	LOC117147454|XP_033170230.1|DMAU
OG0000039	LOC111592722|XP_023160878.1|DHYD	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC111604247|XP_023178000.2|DHYD	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU
OG0000040	LOC111604248|XP_023178001.2|DHYD	LOC117143449|XP_033164048.1|DMAU
OG0000040	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD	LOC117144294|XP_033165289.1|DMAU, LOC117144293|XP_033165288.1|DMAU
OG0000040	LOC111604211|XP_023177942.2|DHYD	LOC117143965|XP_033164790.1|DMAU
OG0000040	LOC111594486|XP_023163562.2|DHYD	LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000042	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD	LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU
OG0000042	LOC111598606|XP_023169706.2|DHYD	LOC117138471|XP_033156492.1|DMAU
OG0000043	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD	LOC117143570|XP_033164205.1|DMAU
OG0000043	LOC111600264|XP_023172080.2|DHYD	LOC117143572|XP_033164208.1|DMAU
OG0000043	LOC111600256|XP_023172069.2|DHYD	LOC117145149|XP_033166580.1|DMAU
OG0000043	LOC111600253|XP_023172066.2|DHYD	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC111604839|XP_023178838.2|DHYD	LOC117143901|XP_033164698.1|DMAU
OG0000044	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU
OG0000044	LOC111604847|XP_023178847.2|DHYD	LOC117145163|XP_033166599.1|DMAU
OG0000044	LOC111592024|XP_023159785.2|DHYD	LOC117143435|XP_033164032.1|DMAU
OG0000045	LOC111597387|XP_023167819.1|DHYD	LOC117139739|XP_033158187.1|DMAU
OG0000045	LOC111597391|XP_023167823.1|DHYD	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	LOC111597386|XP_023167816.1|DHYD	LOC117139487|XP_033157699.1|DMAU
OG0000045	LOC111597377|XP_023167802.1|DHYD	LOC117139486|XP_033157698.1|DMAU
OG0000046	LOC111591975|XP_023159692.2|DHYD	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU
OG0000046	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD	LOC117147217|XP_033169922.1|DMAU, LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU
OG0000047	LOC111596622|XP_023166677.1|DHYD	LOC117137846|XP_033155439.1|DMAU
OG0000047	LOC111594123|XP_023163050.2|DHYD	LOC117137896|XP_033155525.1|DMAU
OG0000047	LOC111595469|XP_023165002.1|DHYD	LOC117136744|XP_033153666.1|DMAU
OG0000047	LOC111595525|XP_023165074.2|DHYD	LOC117137194|XP_033154412.1|DMAU
OG0000048	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
OG0000048	LOC111604700|XP_023178641.1|DHYD	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU
OG0000048	LOC111604676|XP_023178606.1|DHYD	LOC117140935|XP_033160022.1|DMAU
OG0000048	LOC111604701|XP_023178642.1|DHYD	LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC111594543|XP_023163663.2|DHYD	LOC117144267|XP_033165261.1|DMAU
OG0000049	LOC111594529|XP_023163631.2|DHYD	LOC117143819|XP_033164555.1|DMAU
OG0000049	LOC111594475|XP_023163544.1|DHYD	LOC117145062|XP_033166468.1|DMAU
OG0000049	LOC111594476|XP_023163545.2|DHYD	LOC117145061|XP_033166467.1|DMAU
OG0000049	LOC111594581|XP_023163706.2|DHYD	LOC117144466|XP_033165523.1|DMAU
OG0000050	LOC111592220|XP_023160064.2|DHYD	LOC117136135|XP_033152731.1|DMAU
OG0000050	LOC111597562|XP_023168129.2|DHYD	LOC117142031|XP_033161786.1|DMAU
OG0000050	LOC111597563|XP_023168130.1|DHYD	LOC117142029|XP_033161784.1|DMAU
OG0000050	LOC111597557|XP_023168122.2|DHYD	LOC117142024|XP_033161778.1|DMAU
OG0000051	LOC111604842|XP_023178842.2|DHYD	LOC117143815|XP_033164552.1|DMAU
OG0000051	LOC111598254|XP_023169188.2|DHYD	LOC117143638|XP_033164307.1|DMAU
OG0000052	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU
OG0000052	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD	LOC117136886|XP_033153888.1|DMAU
OG0000052	LOC111604234|XP_023177982.1|DHYD	LOC117136885|XP_033153886.1|DMAU
OG0000053	LOC111602599|XP_023175526.2|DHYD	LOC117137106|XP_033154284.1|DMAU
OG0000053	LOC111602600|XP_023175527.2|DHYD	LOC117137105|XP_033154282.1|DMAU
OG0000053	LOC111596382|XP_023166356.2|DHYD	LOC117137096|XP_033154272.1|DMAU
OG0000053	LOC111596381|XP_023166355.2|DHYD	LOC117137094|XP_033154271.1|DMAU
OG0000053	LOC111596379|XP_023166352.2|DHYD	LOC117137107|XP_033154285.1|DMAU
OG0000054	LOC111604826|XP_023178817.2|DHYD	LOC117144491|XP_033165568.1|DMAU
OG0000054	LOC111593322|XP_023161796.2|DHYD	LOC117145202|XP_033166655.1|DMAU
OG0000054	LOC111604856|XP_023178857.2|DHYD	LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000055	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD	LOC117143478|XP_033164083.1|DMAU
OG0000056	LOC111599611|XP_023171068.2|DHYD	LOC117145913|XP_033167658.1|DMAU
OG0000056	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD	LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU
OG0000056	LOC111600558|XP_023172478.1|DHYD	LOC117144813|XP_033166080.1|DMAU
OG0000058	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU
OG0000058	LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD	LOC117141672|XP_033161161.1|DMAU
OG0000058	LOC111591894|XP_023159568.1|DHYD	LOC117147163|XP_033169841.1|DMAU
OG0000059	LOC111595783|XP_030078737.1|DHYD	LOC117144061|XP_033164961.1|DMAU
OG0000059	LOC111595875|XP_023165572.2|DHYD	LOC117144560|XP_033165696.1|DMAU, LOC117144394|XP_033165420.1|DMAU
OG0000059	LOC111595256|XP_023164673.2|DHYD	LOC117143436|XP_033164033.1|DMAU
OG0000059	LOC111595830|XP_030078745.1|DHYD, LOC111595757|XP_023165402.2|DHYD, LOC111595792|XP_023165450.1|DHYD	LOC117143722|XP_033164415.1|DMAU
OG0000060	LOC111605118|XP_023179239.1|DHYD	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC111594203|XP_023163168.1|DHYD	LOC117141177|XP_033160409.1|DMAU
OG0000060	LOC115482748|XP_030081618.1|DHYD	LOC117144989|XP_033166351.1|DMAU
OG0000060	LOC111597837|XP_023168500.1|DHYD	LOC117142997|XP_033163243.1|DMAU
