Orthogroup	DALB.longest_only	DERE.longest_only
OG0000002	LOC117565641|XP_034100743.1|DALB	LOC6540746|XP_001968931.3|DERE, LOC6545786|XP_001973422.2|DERE
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE
OG0000002	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	LOC6543184|XP_001968830.1|DERE
OG0000005	LOC117564270|XP_034098864.1|DALB	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE
OG0000006	LOC117563579|XP_034097856.1|DALB	LOC6548669|XP_001974020.1|DERE
OG0000006	LOC117564285|XP_034098875.1|DALB, LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB, LOC117566088|XP_034101456.1|DALB	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC117572105|XP_034110613.1|DALB	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC117571629|XP_034109744.1|DALB	LOC6545299|XP_001972057.1|DERE
OG0000007	LOC117571628|XP_034109743.1|DALB	LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC6553019|XP_001979110.3|DERE
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE
OG0000009	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB	LOC6546804|XP_001975914.1|DERE
OG0000009	LOC117565994|XP_034101304.1|DALB	LOC6546805|XP_001975915.1|DERE
OG0000010	LOC117565598|XP_034100689.1|DALB, LOC117564301|XP_034098889.1|DALB, LOC117564305|XP_034098892.1|DALB	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC117564299|XP_034098888.1|DALB	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
OG0000012	LOC117568055|XP_034104297.1|DALB	LOC6547483|XP_015011854.1|DERE
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	LOC6547482|XP_001974798.1|DERE
OG0000012	LOC117569585|XP_034106704.1|DALB	LOC6547337|XP_015012184.1|DERE
OG0000012	LOC117568054|XP_034104292.1|DALB	LOC6547484|XP_026836781.1|DERE
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE
OG0000012	LOC117571184|XP_034109105.1|DALB	LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE
OG0000012	LOC117568519|XP_034105112.1|DALB	LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC6553110|XP_001980016.1|DERE
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC117573950|XP_034113367.1|DALB	LOC6553734|XP_001980320.1|DERE
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC6554353|XP_001982051.1|DERE
OG0000015	LOC117565931|XP_034101209.1|DALB	LOC6549487|XP_001974261.3|DERE
OG0000015	LOC117564021|XP_034098512.1|DALB	LOC6541487|XP_001968624.1|DERE
OG0000015	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB	LOC6554572|XP_026839568.1|DERE
OG0000016	LOC117573987|XP_034113425.1|DALB	LOC6553473|XP_001980267.1|DERE
OG0000016	LOC117567642|XP_034103639.1|DALB	LOC6547825|XP_001974973.1|DERE
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC117567926|XP_034104102.1|DALB	LOC6548497|XP_001975310.2|DERE
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC6551195|XP_001977029.1|DERE
OG0000016	LOC117567888|XP_034104050.1|DALB	LOC6542573|XP_026835446.1|DERE
OG0000016	LOC117573754|XP_034113029.1|DALB	LOC6553157|XP_026831618.1|DERE
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC6544283|XP_001973711.1|DERE
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	LOC6542635|XP_001970806.1|DERE
OG0000017	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE
OG0000017	LOC117568041|XP_034104279.1|DALB	LOC6547791|XP_001976408.1|DERE
OG0000017	LOC117571751|XP_034109992.1|DALB	LOC6542668|XP_001970804.1|DERE
OG0000017	LOC117564917|XP_034099761.1|DALB	LOC6543081|XP_001968299.1|DERE
OG0000018	LOC117569762|XP_034106946.1|DALB	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE
OG0000018	LOC117569760|XP_034106944.1|DALB	LOC6545114|XP_001972083.1|DERE
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE
OG0000020	LOC117576477|XP_034117138.1|DALB	LOC6555052|XP_026839769.1|DERE
OG0000020	LOC117568572|XP_034105192.1|DALB	LOC6547855|XP_001975038.1|DERE
OG0000020	LOC117565600|XP_034100691.1|DALB	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE
OG0000020	LOC117576162|XP_034116628.1|DALB	LOC6553828|XP_026839892.1|DERE
OG0000020	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB	LOC6554060|XP_001980549.1|DERE
OG0000020	LOC117565601|XP_034100693.1|DALB	LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE
OG0000021	LOC117570905|XP_034108701.1|DALB	LOC6543194|XP_001968524.1|DERE
OG0000021	LOC117570907|XP_034108703.1|DALB	LOC6556017|XP_001982880.1|DERE
OG0000021	LOC117566492|XP_034101922.1|DALB	LOC6547978|XP_001975124.1|DERE
OG0000021	LOC117570266|XP_034107672.1|DALB	LOC6548381|XP_001975140.1|DERE
OG0000021	LOC117570906|XP_034108702.1|DALB	LOC6556217|XP_001983050.1|DERE
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC6551659|XP_001977237.1|DERE
OG0000021	LOC117574572|XP_034114338.1|DALB	LOC6554651|XP_001981975.1|DERE
OG0000021	LOC117576017|XP_034116416.1|DALB	LOC6553703|XP_001980409.1|DERE
OG0000021	LOC117575314|XP_034115363.1|DALB	LOC26526932|XP_026837924.1|DERE
OG0000022	LOC117569951|XP_034107204.1|DALB	LOC6548724|XP_001975398.1|DERE
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE
OG0000022	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB	LOC6545495|XP_001971097.1|DERE, LOC6545494|XP_001971096.1|DERE
OG0000023	LOC117565137|XP_034099998.1|DALB	LOC113563731|XP_026831631.1|DERE
OG0000023	LOC117568013|XP_034104228.1|DALB	LOC6546697|XP_026836761.1|DERE
OG0000023	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB	LOC6553277|XP_001979195.2|DERE
OG0000023	LOC117576455|XP_034117118.1|DALB	LOC6553329|XP_001979191.2|DERE
OG0000023	LOC117576451|XP_034117113.1|DALB	LOC6553331|XP_001979193.1|DERE
OG0000023	LOC117576915|XP_034117947.1|DALB	LOC6553328|XP_001979190.1|DERE
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE, LOC6547183|XP_001976081.1|DERE
OG0000024	LOC117569374|XP_034106395.1|DALB	LOC6547182|XP_001976080.1|DERE
OG0000024	LOC117575969|XP_034116339.1|DALB	LOC6549069|XP_001974169.1|DERE
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	LOC6547184|XP_001976082.1|DERE
OG0000024	LOC117571483|XP_034109539.1|DALB	LOC6549473|XP_001975764.1|DERE
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC6540718|XP_001968765.1|DERE
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	LOC6551694|XP_001977155.1|DERE
OG0000026	LOC117564398|XP_034099013.1|DALB	LOC6543477|XP_001969495.1|DERE
OG0000026	LOC117573365|XP_034112385.1|DALB	LOC6553336|XP_001979309.1|DERE
OG0000027	LOC117564244|XP_034098829.1|DALB	LOC6541432|XP_001970185.1|DERE
OG0000027	LOC117565445|XP_034100427.1|DALB	LOC6541340|XP_001970186.1|DERE
OG0000028	LOC117566511|XP_034101942.1|DALB	LOC6545516|XP_001973330.1|DERE
OG0000029	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB	LOC6552797|XP_001981008.1|DERE
OG0000029	LOC117569056|XP_034105958.1|DALB	LOC6546309|XP_026833134.1|DERE
OG0000030	LOC117563844|XP_034098265.1|DALB	LOC6540832|XP_001969798.1|DERE
OG0000030	LOC117564908|XP_034099753.1|DALB	LOC6542410|XP_001968441.1|DERE
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	LOC6547811|XP_001976404.1|DERE
OG0000030	LOC117568192|XP_034104545.1|DALB	LOC6555505|XP_026838381.1|DERE
OG0000030	LOC117566924|XP_034102438.1|DALB	LOC6550371|XP_001977852.1|DERE
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	LOC113563971|XP_026833917.1|DERE
OG0000031	LOC117565207|XP_034100106.1|DALB	LOC6542615|XP_001969442.1|DERE
OG0000032	LOC117574198|XP_034113792.1|DALB	LOC6553974|XP_015009875.1|DERE
OG0000032	LOC117574485|XP_034114214.1|DALB	LOC6553976|XP_001980433.2|DERE
OG0000032	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC113564299|XP_026836470.1|DERE
OG0000033	LOC117571679|XP_034109811.1|DALB	LOC6548262|XP_001974108.1|DERE, LOC6548263|XP_001974109.1|DERE, LOC6541653|XP_001970703.1|DERE, LOC6542775|XP_001970704.2|DERE
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	LOC6541460|XP_001970702.1|DERE
OG0000034	LOC117565378|XP_034100343.1|DALB	LOC6547752|XP_001976261.2|DERE
OG0000034	LOC117563632|XP_034097930.1|DALB	LOC6547627|XP_001976262.1|DERE
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC6553210|XP_001979212.1|DERE
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC6553049|XP_001980037.3|DERE
OG0000036	LOC117574592|XP_034114366.1|DALB	LOC6552090|XP_001978801.1|DERE
OG0000036	LOC117576608|XP_034117400.1|DALB	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE
OG0000037	LOC117568663|XP_034105356.1|DALB	LOC6547304|XP_026836461.1|DERE
OG0000037	LOC117575741|XP_034115985.1|DALB	LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE
OG0000038	LOC117570082|XP_034107414.1|DALB	LOC6545503|XP_001973343.1|DERE
OG0000038	LOC117570080|XP_034107411.1|DALB	LOC6545505|XP_026833772.1|DERE
OG0000039	LOC117575707|XP_034115928.1|DALB	LOC6553078|XP_001979073.2|DERE
OG0000039	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB	LOC6550737|XP_001978160.1|DERE
OG0000039	LOC117577745|XP_034118547.1|DALB	LOC6550622|XP_026837736.1|DERE
OG0000039	LOC117565813|XP_034101004.1|DALB	LOC6551666|XP_001977244.1|DERE
OG0000040	LOC117573615|XP_034112803.1|DALB	LOC6551893|XP_026835202.1|DERE, LOC6551780|XP_001980593.1|DERE
OG0000040	LOC117573619|XP_034112810.1|DALB	LOC6551781|XP_001980594.1|DERE
OG0000040	LOC117573618|XP_034112808.1|DALB	LOC6551889|XP_001979711.1|DERE
OG0000041	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000042	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB	LOC6547072|XP_001974652.1|DERE, LOC6547084|XP_001974656.1|DERE, LOC6547081|XP_026835970.1|DERE, LOC6547083|XP_026836041.1|DERE, LOC6547082|XP_001974654.1|DERE
OG0000042	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB	LOC6547085|XP_001974657.2|DERE
OG0000043	LOC117574637|XP_034114425.1|DALB	LOC6551882|XP_001980606.1|DERE
OG0000043	LOC117574639|XP_034114428.1|DALB	LOC6551883|XP_001980607.1|DERE
OG0000043	LOC117574208|XP_034113803.1|DALB	LOC6551896|XP_001980611.1|DERE
OG0000043	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000044	LOC117576108|XP_034116557.1|DALB	LOC6554933|XP_001981812.1|DERE
OG0000044	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB	LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE
OG0000044	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB	LOC6554932|XP_026836683.1|DERE
OG0000044	LOC117574699|XP_034114502.1|DALB	LOC6553968|XP_001980526.3|DERE
OG0000045	LOC117568925|XP_034105726.1|DALB	LOC6543777|XP_001972312.1|DERE
OG0000045	LOC117566426|XP_034101847.1|DALB	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE
OG0000045	LOC117566425|XP_034101846.1|DALB	LOC6544619|XP_001971501.1|DERE
OG0000045	LOC117572554|XP_034111317.1|DALB	LOC6544620|XP_001971502.1|DERE
OG0000046	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB	LOC6550460|XP_001977787.1|DERE
OG0000046	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB	LOC6554301|XP_001982125.2|DERE, LOC6554302|XP_001982126.1|DERE
OG0000047	LOC117570271|XP_034107678.1|DALB	LOC6548915|XP_026836112.1|DERE
OG0000047	LOC117570312|XP_034107745.1|DALB	LOC6548919|XP_001975347.1|DERE
OG0000047	LOC117567370|XP_034103204.1|DALB	LOC6549604|XP_001975737.1|DERE
OG0000047	LOC117567748|XP_034103827.1|DALB	LOC6546188|XP_001972281.1|DERE
OG0000047	LOC117570238|XP_034107631.1|DALB	LOC6549507|XP_001975729.1|DERE
OG0000048	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB	LOC6544966|XP_001973233.1|DERE, LOC6544967|XP_001973234.1|DERE
OG0000048	LOC117572034|XP_034110480.1|DALB	LOC6545045|XP_001973227.2|DERE
OG0000048	LOC117569405|XP_034106432.1|DALB	LOC6544963|XP_001973230.1|DERE
OG0000049	LOC117574804|XP_034114660.1|DALB	LOC6552334|XP_001979793.1|DERE
OG0000049	LOC117574253|XP_034113873.1|DALB	LOC6552331|XP_001979790.1|DERE
OG0000049	LOC117574270|XP_034113907.1|DALB	LOC6552229|XP_001979794.1|DERE
OG0000049	LOC117576198|XP_034116681.1|DALB	LOC6552230|XP_001979795.1|DERE
OG0000049	LOC117574439|XP_034114168.1|DALB	LOC6552330|XP_001979789.1|DERE
OG0000050	LOC117566525|XP_034101957.1|DALB	LOC6544231|XP_001973747.1|DERE
OG0000050	LOC117566526|XP_034101958.1|DALB	LOC6544204|XP_026833494.1|DERE
OG0000050	LOC117570483|XP_034108058.1|DALB	LOC26526578|XP_026833595.1|DERE
OG0000050	LOC117569367|XP_034106390.1|DALB	LOC6544232|XP_026833594.1|DERE
OG0000051	LOC117576304|XP_034116849.1|DALB	LOC6552520|XP_001980945.1|DERE
OG0000051	LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB	LOC6553748|XP_001980366.1|DERE
OG0000051	LOC117576902|XP_034117931.1|DALB	LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE
OG0000052	LOC117576244|XP_034116756.1|DALB, LOC117576245|XP_034116757.1|DALB, LOC117576070|XP_034116497.1|DALB, LOC117576071|XP_034116498.1|DALB, LOC117576069|XP_034116496.1|DALB, LOC117575219|XP_034115236.1|DALB, LOC117576928|XP_034117962.1|DALB	LOC6552258|XP_001980739.1|DERE, LOC6555308|XP_001982081.1|DERE, LOC6552259|XP_001980740.3|DERE, LOC6552256|XP_001980737.2|DERE, LOC6552257|XP_001980738.1|DERE
OG0000052	LOC117568864|XP_034105642.1|DALB, LOC117571307|XP_034109272.1|DALB, LOC117566592|XP_034102025.1|DALB, LOC117569133|XP_034106052.1|DALB, LOC117566590|XP_034102023.1|DALB, LOC117566591|XP_034102024.1|DALB, LOC117572296|XP_034110899.1|DALB	LOC6547302|XP_001974728.1|DERE
OG0000052	LOC117572297|XP_034110900.1|DALB, LOC117566593|XP_034102026.1|DALB	LOC6547301|XP_001974727.1|DERE
OG0000053	LOC117569597|XP_034106723.1|DALB	LOC6541123|XP_001970454.1|DERE
OG0000053	LOC117569598|XP_034106724.1|DALB	LOC6542707|XP_001970455.1|DERE
