Orthogroup	DALB.longest_only	AEAL.longest_only
OG0000010	LOC117564301|XP_034098889.1|DALB	LOC109401799|XP_029718532.1|AEAL
OG0000010	LOC117564299|XP_034098888.1|DALB	LOC109420100|XP_019549952.1|AEAL, LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL
OG0000012	LOC117568055|XP_034104297.1|DALB, LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB, LOC117569585|XP_034106704.1|DALB, LOC117568054|XP_034104292.1|DALB, LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC109430791|XP_019562417.1|AEAL
OG0000013	LOC117573950|XP_034113367.1|DALB	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000014	LOC117571584|XP_034109691.1|DALB	LOC115260572|XP_029717367.1|AEAL
OG0000016	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL
OG0000020	LOC117576477|XP_034117138.1|DALB, LOC117568572|XP_034105192.1|DALB	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC117565600|XP_034100691.1|DALB, LOC117576162|XP_034116628.1|DALB, LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB, LOC117565601|XP_034100693.1|DALB	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL
OG0000021	LOC117574572|XP_034114338.1|DALB, LOC117576017|XP_034116416.1|DALB, LOC117575314|XP_034115363.1|DALB	LOC109412802|XP_029732887.1|AEAL
OG0000022	LOC117569951|XP_034107204.1|DALB, LOC117567521|XP_034103458.1|DALB, LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB, LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB, LOC117569847|XP_034107067.1|DALB	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL
OG0000023	LOC117576456|XP_034117119.1|DALB, LOC117565137|XP_034099998.1|DALB, LOC117568013|XP_034104228.1|DALB, LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB, LOC117576455|XP_034117118.1|DALB, LOC117576451|XP_034117113.1|DALB, LOC117576915|XP_034117947.1|DALB	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB, LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB, LOC117569374|XP_034106395.1|DALB, LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB, LOC117571483|XP_034109539.1|DALB	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC109413799|XP_019543073.1|AEAL
OG0000025	LOC117566085|XP_034101455.1|DALB	LOC109431226|XP_029724373.1|AEAL
OG0000026	LOC117577677|XP_034118462.1|DALB, LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB, LOC117573365|XP_034112385.1|DALB	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL
OG0000027	LOC117566241|XP_034101678.1|DALB, LOC117564244|XP_034098829.1|DALB, LOC117565445|XP_034100427.1|DALB	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL
OG0000028	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB, LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL
OG0000029	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB, LOC117569056|XP_034105958.1|DALB	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL
OG0000032	LOC117574198|XP_034113792.1|DALB, LOC117574485|XP_034114214.1|DALB, LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC109404182|XP_019532551.2|AEAL, LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL
OG0000034	LOC117565378|XP_034100343.1|DALB, LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB, LOC117563632|XP_034097930.1|DALB, LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL, LOC109422421|XP_019552762.2|AEAL
OG0000035	LOC117577292|XP_034118160.1|DALB, LOC117577461|XP_034118238.1|DALB, LOC117577285|XP_034118153.1|DALB, LOC117577448|XP_034118230.1|DALB, LOC117577266|XP_034118142.1|DALB, LOC117577460|XP_034118236.1|DALB, LOC117577290|XP_034118157.1|DALB, LOC117576887|XP_034117917.1|DALB	LOC115268848|XP_029732879.1|AEAL
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC109424827|XP_019555564.2|AEAL
OG0000036	LOC117565385|XP_034100358.1|DALB	LOC109414897|XP_019544289.2|AEAL, LOC109416024|XP_029731286.1|AEAL, LOC109414876|XP_029714408.1|AEAL, LOC109416023|XP_029731289.1|AEAL, LOC109427449|XP_029711324.1|AEAL, LOC109416028|XP_019545539.2|AEAL, LOC115269483|XP_029734122.1|AEAL, LOC115269488|XP_029734128.1|AEAL, LOC109425619|XP_029734679.1|AEAL, LOC115254234|XP_029734129.1|AEAL, LOC109425636|XP_019556421.2|AEAL, LOC109423473|XP_029734681.1|AEAL, LOC115269482|XP_029734121.1|AEAL, LOC109422852|XP_019553295.2|AEAL
OG0000037	LOC117568663|XP_034105356.1|DALB, LOC117575741|XP_034115985.1|DALB, LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB, LOC117569403|XP_034106430.1|DALB	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL
OG0000038	LOC117570082|XP_034107414.1|DALB	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL
OG0000039	LOC117575707|XP_034115928.1|DALB	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL, LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL
OG0000041	LOC117575844|XP_034116145.1|DALB, LOC117574557|XP_034114320.1|DALB, LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB, LOC117573341|XP_034112342.1|DALB, LOC117575360|XP_034115416.1|DALB, LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	LOC109422559|XP_029727967.1|AEAL, LOC109422710|XP_029727894.1|AEAL
OG0000043	LOC117574637|XP_034114425.1|DALB, LOC117574639|XP_034114428.1|DALB, LOC117574208|XP_034113803.1|DALB, LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	LOC109408672|XP_019537578.2|AEAL, LOC109414818|XP_019544201.2|AEAL, LOC109418033|XP_029726645.1|AEAL
OG0000044	LOC117576108|XP_034116557.1|DALB, LOC117576553|XP_034117282.1|DALB, LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB, LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB, LOC117574699|XP_034114502.1|DALB	LOC115264850|XP_029724740.1|AEAL, LOC109422698|XP_029727931.1|AEAL
OG0000045	LOC117566426|XP_034101847.1|DALB, LOC117566425|XP_034101846.1|DALB, LOC117572554|XP_034111317.1|DALB	LOC109420320|XP_019550189.2|AEAL, LOC109401625|XP_019529740.2|AEAL
OG0000047	LOC117570271|XP_034107678.1|DALB, LOC117570312|XP_034107745.1|DALB, LOC117567370|XP_034103204.1|DALB, LOC117567748|XP_034103827.1|DALB, LOC117570179|XP_034107548.1|DALB, LOC117570238|XP_034107631.1|DALB	LOC109430117|XP_029718231.1|AEAL
OG0000048	LOC117571564|XP_034109658.1|DALB, LOC117572034|XP_034110480.1|DALB, LOC117569405|XP_034106432.1|DALB	LOC109426621|XP_019557695.1|AEAL, LOC115265708|XP_029727528.1|AEAL, LOC109426620|XP_019557694.2|AEAL, LOC115265702|XP_029727525.1|AEAL
OG0000049	LOC117574804|XP_034114660.1|DALB, LOC117574253|XP_034113873.1|DALB, LOC117574270|XP_034113907.1|DALB, LOC117576198|XP_034116681.1|DALB, LOC117574439|XP_034114168.1|DALB	LOC109399452|XP_019527436.2|AEAL, LOC109399533|XP_019527529.1|AEAL, LOC109398113|XP_019526019.1|AEAL, LOC115263197|XP_029722019.1|AEAL, LOC115263209|XP_029722054.1|AEAL, LOC109430845|XP_019562486.2|AEAL
OG0000051	LOC117576304|XP_034116849.1|DALB, LOC117576889|XP_034117914.1|DALB, LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB, LOC117576902|XP_034117931.1|DALB	LOC109430500|XP_029732671.1|AEAL, LOC109413829|XP_019543100.2|AEAL, LOC109430428|XP_029732623.1|AEAL, LOC109430433|XP_019562037.2|AEAL, LOC115268560|XP_029732528.1|AEAL, LOC109413823|XP_019543095.2|AEAL, LOC109409607|XP_029718954.1|AEAL, LOC109430439|XP_019562042.2|AEAL, LOC115255265|XP_029709099.1|AEAL, LOC109413830|XP_029709535.1|AEAL, LOC109405777|XP_029730639.1|AEAL, LOC109430435|XP_019562039.2|AEAL, LOC109430411|XP_019562018.2|AEAL, LOC109413821|XP_019543093.2|AEAL, LOC115268580|XP_029732559.1|AEAL, LOC109405721|XP_019534339.2|AEAL, LOC115267635|XP_029730641.1|AEAL, LOC115268656|XP_029732628.1|AEAL, LOC109430430|XP_019562033.2|AEAL, LOC109413827|XP_019543098.2|AEAL, LOC109430429|XP_019562032.2|AEAL, LOC109430431|XP_019562034.2|AEAL
OG0000053	LOC117569597|XP_034106723.1|DALB, LOC117569598|XP_034106724.1|DALB, LOC117569609|XP_034106736.1|DALB	LOC109399585|XP_019527609.2|AEAL, LOC109426036|XP_019557019.2|AEAL, LOC109426037|XP_029731825.1|AEAL
OG0000054	LOC117575896|XP_034116230.1|DALB, LOC117575899|XP_034116231.1|DALB	LOC109408663|XP_019537561.2|AEAL, LOC109403074|XP_019531357.2|AEAL, LOC109408662|XP_019537559.2|AEAL, LOC109408659|XP_029735838.1|AEAL, LOC109408675|XP_029734574.1|AEAL, LOC109403053|XP_029735706.1|AEAL, LOC109408692|XP_029734575.1|AEAL, LOC109403004|XP_019531261.2|AEAL, LOC109408694|XP_019537603.2|AEAL
OG0000055	LOC117575962|XP_034116331.1|DALB, LOC117575960|XP_034116330.1|DALB, LOC117574528|XP_034114281.1|DALB, LOC117574682|XP_034114479.1|DALB, LOC117575963|XP_034116332.1|DALB, LOC117574889|XP_034114817.1|DALB	LOC115256529|XP_029711077.1|AEAL
