Orthogroup	DALB.longest_only	DPER.longest_only
OG0000009	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC117565994|XP_034101304.1|DALB	LOC6590981|XP_002016546.2|DPER
OG0000010	LOC117564301|XP_034098889.1|DALB	LOC113567415|XP_026850950.1|DPER
OG0000010	LOC117564299|XP_034098888.1|DALB	LOC113567250|XP_026850220.1|DPER
OG0000012	LOC117568055|XP_034104297.1|DALB	LOC6589910|XP_026840670.1|DPER
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	LOC6589909|XP_002016518.1|DPER
OG0000012	LOC117569585|XP_034106704.1|DALB	LOC6589908|XP_026841658.1|DPER
OG0000012	LOC117568054|XP_034104292.1|DALB	LOC6589911|XP_026840671.1|DPER
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER
OG0000012	LOC117571184|XP_034109105.1|DALB	LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER
OG0000012	LOC117568519|XP_034105112.1|DALB	LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC117573950|XP_034113367.1|DALB	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER
OG0000015	LOC117575381|XP_034115447.1|DALB, LOC117575264|XP_034115291.1|DALB, LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB, LOC117574088|XP_034113615.1|DALB	LOC113565257|XP_026842907.1|DPER
OG0000015	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER
OG0000016	LOC117573987|XP_034113425.1|DALB	LOC6587871|XP_002013173.2|DPER
OG0000016	LOC117567642|XP_034103639.1|DALB	LOC6593077|XP_002017890.1|DPER
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC117567926|XP_034104102.1|DALB	LOC6601585|XP_002026606.2|DPER
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC117567888|XP_034104050.1|DALB	LOC6592910|XP_002018578.1|DPER
OG0000016	LOC117573754|XP_034113029.1|DALB	LOC6587745|XP_026840230.1|DPER
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC6602189|XP_026848039.1|DPER
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER
OG0000017	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER
OG0000017	LOC117568041|XP_034104279.1|DALB	LOC6592612|XP_002018160.1|DPER
OG0000017	LOC117571751|XP_034109992.1|DALB	LOC6602127|XP_002027093.1|DPER
OG0000017	LOC117564917|XP_034099761.1|DALB	LOC6595695|XP_026843975.1|DPER, LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER
OG0000018	LOC117569762|XP_034106946.1|DALB	LOC6601451|XP_002026453.1|DPER
OG0000018	LOC117569760|XP_034106944.1|DALB	LOC6601450|XP_002026452.1|DPER
OG0000018	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB, LOC117569766|XP_034106951.1|DALB	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC6601454|XP_026847893.1|DPER, LOC6601453|XP_002026455.1|DPER
OG0000020	LOC117576477|XP_034117138.1|DALB	LOC6594838|XP_002020242.2|DPER
OG0000020	LOC117568572|XP_034105192.1|DALB	LOC6590666|XP_002015941.1|DPER
OG0000020	LOC117565600|XP_034100691.1|DALB	LOC6589657|XP_002014518.1|DPER
OG0000020	LOC117576162|XP_034116628.1|DALB	LOC6594627|XP_026850533.1|DPER
OG0000020	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB	LOC6594128|XP_002019432.1|DPER
OG0000020	LOC117565601|XP_034100693.1|DALB	LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC117570665|XP_034108343.1|DALB	LOC6603691|XP_002028659.1|DPER
OG0000021	LOC117570908|XP_034108704.1|DALB	LOC6592715|XP_002018082.1|DPER
OG0000021	LOC117570905|XP_034108701.1|DALB	LOC6592713|XP_002018080.1|DPER
OG0000021	LOC117570907|XP_034108703.1|DALB	LOC6592714|XP_026841677.1|DPER
OG0000021	LOC117566492|XP_034101922.1|DALB	LOC6592588|XP_002018070.2|DPER
OG0000021	LOC117570266|XP_034107672.1|DALB	LOC6592233|XP_002018052.1|DPER
OG0000021	LOC117570906|XP_034108702.1|DALB	LOC6592712|XP_002018079.1|DPER
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC117574572|XP_034114338.1|DALB	LOC113565817|XP_026844838.1|DPER
OG0000021	LOC117576017|XP_034116416.1|DALB	LOC6598730|XP_026840231.1|DPER
OG0000021	LOC117575314|XP_034115363.1|DALB	LOC6597578|XP_026848930.1|DPER
OG0000022	LOC117569951|XP_034107204.1|DALB	LOC6593244|XP_026840814.1|DPER
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER
OG0000022	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB	LOC113566793|XP_026849743.1|DPER, LOC113566797|XP_026849748.1|DPER
OG0000022	LOC117569847|XP_034107067.1|DALB	LOC113566794|XP_026849744.1|DPER
OG0000023	LOC117576456|XP_034117119.1|DALB	LOC6594351|XP_026840807.1|DPER
OG0000023	LOC117565137|XP_034099998.1|DALB	LOC6594350|XP_002019529.2|DPER
OG0000023	LOC117568013|XP_034104228.1|DALB	LOC6590773|XP_002016461.1|DPER
OG0000023	LOC117576455|XP_034117118.1|DALB	LOC6594346|XP_002019525.2|DPER
OG0000023	LOC117576451|XP_034117113.1|DALB	LOC6594348|XP_002019527.1|DPER
OG0000023	LOC117576915|XP_034117947.1|DALB	LOC6594344|XP_002019523.1|DPER
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER
OG0000024	LOC117569374|XP_034106395.1|DALB	LOC6592578|XP_002017743.2|DPER
OG0000024	LOC117575969|XP_034116339.1|DALB	LOC6593580|XP_002018871.1|DPER
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	LOC6592580|XP_002017745.1|DPER
OG0000024	LOC117571483|XP_034109539.1|DALB	LOC6591036|XP_002016629.1|DPER
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC6599955|XP_002025032.1|DPER
OG0000025	LOC117566085|XP_034101455.1|DALB	LOC6604122|XP_002029055.1|DPER
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	LOC6598208|XP_002023333.1|DPER
OG0000026	LOC117564398|XP_034099013.1|DALB	LOC6589226|XP_002014215.1|DPER
OG0000026	LOC117573365|XP_034112385.1|DALB	LOC6598768|XP_002023910.1|DPER
OG0000027	LOC117564244|XP_034098829.1|DALB	LOC6589175|XP_002014624.1|DPER
OG0000027	LOC117565445|XP_034100427.1|DALB	LOC6589176|XP_002014625.1|DPER
OG0000028	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB	LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER
OG0000028	LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB	LOC6602374|XP_026848578.1|DPER
OG0000029	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB	LOC6587627|XP_026841612.1|DPER
OG0000029	LOC117569056|XP_034105958.1|DALB	LOC6599019|XP_002024136.1|DPER
OG0000030	LOC117563844|XP_034098265.1|DALB	LOC6595505|XP_002020610.1|DPER
OG0000030	LOC117564908|XP_034099753.1|DALB	LOC6596396|XP_002021549.2|DPER
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	LOC6592616|XP_002018164.1|DPER
OG0000030	LOC117568192|XP_034104545.1|DALB	LOC6600142|XP_002025259.1|DPER
OG0000030	LOC117566924|XP_034102438.1|DALB	LOC6597331|XP_002022519.1|DPER
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000031	LOC117565207|XP_034100106.1|DALB	LOC6589468|XP_002014413.1|DPER
OG0000032	LOC117574198|XP_034113792.1|DALB	LOC6598612|XP_002023857.1|DPER
OG0000032	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER
OG0000033	LOC117571679|XP_034109811.1|DALB	LOC6590958|XP_002015543.1|DPER
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	LOC6590962|XP_002015544.1|DPER
OG0000034	LOC117565378|XP_034100343.1|DALB	LOC6589244|XP_002014736.2|DPER
OG0000034	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB	LOC6589243|XP_002014735.1|DPER
OG0000034	LOC117563632|XP_034097930.1|DALB	LOC6589242|XP_002014734.1|DPER
OG0000034	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER
OG0000034	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB	LOC6593808|XP_026844827.1|DPER
OG0000035	LOC117577292|XP_034118160.1|DALB	LOC113566113|XP_026846027.1|DPER
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC6587691|XP_002013731.1|DPER
OG0000036	LOC117574592|XP_034114366.1|DALB	LOC6594383|XP_002019297.1|DPER
OG0000036	LOC117576608|XP_034117400.1|DALB	LOC6594997|XP_002020163.1|DPER, LOC6594996|XP_002020162.1|DPER
OG0000037	LOC117568663|XP_034105356.1|DALB	LOC6590968|XP_002015904.2|DPER
OG0000037	LOC117575741|XP_034115985.1|DALB	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC117570082|XP_034107414.1|DALB	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC117570080|XP_034107411.1|DALB	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC117575707|XP_034115928.1|DALB	LOC6591968|XP_026846968.1|DPER
OG0000039	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB	LOC6598396|XP_002023519.1|DPER
OG0000039	LOC117577745|XP_034118547.1|DALB	LOC6598397|XP_002023520.1|DPER
OG0000039	LOC117574799|XP_034114654.1|DALB	LOC6598395|XP_002023518.2|DPER
OG0000039	LOC117565813|XP_034101004.1|DALB	LOC6599449|XP_026847206.1|DPER
OG0000040	LOC117573615|XP_034112803.1|DALB	LOC113566301|XP_026847173.1|DPER, LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER
OG0000040	LOC117573619|XP_034112810.1|DALB	LOC6594422|XP_002019754.1|DPER
OG0000040	LOC117573618|XP_034112808.1|DALB	LOC6594616|XP_002019839.1|DPER
OG0000041	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER
OG0000042	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB	LOC6592870|XP_026842041.1|DPER, LOC6592873|XP_002018540.1|DPER, LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER
OG0000042	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB	LOC6592874|XP_002018541.2|DPER
OG0000043	LOC117574637|XP_034114425.1|DALB	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER
OG0000043	LOC117574639|XP_034114428.1|DALB	LOC6594474|XP_002019740.1|DPER
OG0000043	LOC117574208|XP_034113803.1|DALB	LOC6594076|XP_002019736.1|DPER
OG0000043	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER
OG0000044	LOC117576108|XP_034116557.1|DALB	LOC6591553|XP_026847828.1|DPER
OG0000044	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB	LOC6591547|XP_002017056.1|DPER, LOC6591548|XP_026843232.1|DPER
OG0000044	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB	LOC6591549|XP_002017058.1|DPER, LOC6591550|XP_002017059.1|DPER
OG0000044	LOC117574699|XP_034114502.1|DALB	LOC113564933|XP_026840246.1|DPER
OG0000045	LOC117568925|XP_034105726.1|DALB	LOC6603693|XP_002028666.1|DPER
OG0000045	LOC117566426|XP_034101847.1|DALB	LOC6601537|XP_002026551.1|DPER
OG0000045	LOC117566425|XP_034101846.1|DALB	LOC6595948|XP_002021076.1|DPER
OG0000045	LOC117572554|XP_034111317.1|DALB	LOC113565382|XP_026842979.1|DPER, LOC6595949|XP_026845634.1|DPER
OG0000046	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB	LOC6602909|XP_002027932.2|DPER, LOC6602912|XP_026849662.1|DPER
OG0000046	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB	LOC6591074|XP_002015712.2|DPER, LOC6595022|XP_026847277.1|DPER, LOC6595021|XP_026847265.1|DPER, LOC6595020|XP_026847261.1|DPER
OG0000047	LOC117570312|XP_034107745.1|DALB	LOC6589933|XP_002015961.2|DPER
OG0000047	LOC117567370|XP_034103204.1|DALB	LOC6592655|XP_026842447.1|DPER
OG0000047	LOC117570238|XP_034107631.1|DALB	LOC6592377|XP_002017999.1|DPER
OG0000048	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB	LOC6599875|XP_002024929.1|DPER, LOC6599876|XP_002024930.2|DPER
OG0000048	LOC117571564|XP_034109658.1|DALB	LOC6599712|XP_002024897.1|DPER, LOC6599711|XP_002024896.1|DPER, LOC6599880|XP_026847455.1|DPER
