Orthogroup	DALB.longest_only	DVIR.longest_only
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB	LOC6623051|XP_032290850.1|DVIR
OG0000007	LOC117569232|XP_034106197.1|DALB	LOC6623055|XP_002046521.1|DVIR
OG0000007	LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB	LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR
OG0000007	LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC117565287|XP_034100206.1|DALB	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC117568811|XP_034105563.1|DALB	LOC6626762|XP_032292470.1|DVIR
OG0000009	LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB	LOC6626659|XP_002049470.1|DVIR
OG0000009	LOC117566724|XP_034102158.1|DALB	LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC117572671|XP_034111579.1|DALB	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC117565994|XP_034101304.1|DALB	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC117564301|XP_034098889.1|DALB	LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC117564299|XP_034098888.1|DALB	LOC116649824|XP_032288860.1|DVIR
OG0000011	LOC117571839|XP_034110118.1|DALB	LOC6624097|XP_002046304.2|DVIR
OG0000011	LOC117575640|XP_034115810.1|DALB	LOC6629279|XP_002054687.1|DVIR
OG0000011	LOC117569027|XP_034105908.1|DALB	LOC6624639|XP_002048133.1|DVIR, LOC6624698|XP_002048132.1|DVIR
OG0000011	LOC117570589|XP_034108223.1|DALB, LOC117572252|XP_034110830.1|DALB	LOC6624619|XP_002048380.1|DVIR
OG0000011	LOC117570898|XP_034108692.1|DALB	LOC6624268|XP_002048361.3|DVIR
OG0000011	LOC117568323|XP_034104794.1|DALB	LOC6622373|XP_002048410.2|DVIR
OG0000012	LOC117568055|XP_034104297.1|DALB	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC117569585|XP_034106704.1|DALB	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC117568054|XP_034104292.1|DALB	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB	LOC6625066|XP_002049213.2|DVIR
OG0000012	LOC117571638|XP_034109755.1|DALB	LOC6625067|XP_032293151.1|DVIR
OG0000012	LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB	LOC6624920|XP_002050775.2|DVIR
OG0000012	LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC117571184|XP_034109105.1|DALB	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC117568519|XP_034105112.1|DALB	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC117573950|XP_034113367.1|DALB	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000015	LOC117565931|XP_034101209.1|DALB	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC117565916|XP_034101175.1|DALB	LOC116651432|XP_032293641.1|DVIR
OG0000015	LOC117564597|XP_034099342.1|DALB, LOC117564598|XP_034099344.1|DALB, LOC117564596|XP_034099340.1|DALB, LOC117564343|XP_034098944.1|DALB, LOC117564332|XP_034098928.1|DALB	LOC6629199|XP_002051601.2|DVIR
OG0000015	LOC117567386|XP_034103227.1|DALB	LOC26531129|XP_015031696.1|DVIR
OG0000015	LOC117564019|XP_034098510.1|DALB, LOC117564020|XP_034098511.1|DALB	LOC26531900|XP_015029004.1|DVIR, LOC26530539|XP_015028823.1|DVIR, LOC6629186|XP_002051591.1|DVIR
OG0000015	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC117573987|XP_034113425.1|DALB	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC117567642|XP_034103639.1|DALB	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC117567926|XP_034104102.1|DALB	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC117567888|XP_034104050.1|DALB	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC117573754|XP_034113029.1|DALB	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC117574957|XP_034114906.1|DALB	LOC6628970|XP_032293497.1|DVIR
OG0000017	LOC117569360|XP_034106383.1|DALB	LOC6623565|XP_032291328.1|DVIR
OG0000017	LOC117568041|XP_034104279.1|DALB	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC117575876|XP_034116205.1|DALB	LOC6630620|XP_032292274.1|DVIR, LOC116650326|XP_032289604.1|DVIR, LOC26531549|XP_032289465.1|DVIR
OG0000017	LOC117573599|XP_034112784.1|DALB, LOC117573598|XP_034112783.1|DALB	LOC6633214|XP_002055979.2|DVIR
OG0000017	LOC117571751|XP_034109992.1|DALB	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC117564917|XP_034099761.1|DALB	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC117569762|XP_034106946.1|DALB	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC117570357|XP_034107819.1|DALB	LOC6623368|XP_002046143.1|DVIR
OG0000018	LOC117569760|XP_034106944.1|DALB	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB	LOC6623104|XP_002046157.1|DVIR
OG0000018	LOC117569766|XP_034106951.1|DALB	LOC6623391|XP_002046158.1|DVIR
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC6623443|XP_002046145.1|DVIR
OG0000020	LOC117576477|XP_034117138.1|DALB	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC117568572|XP_034105192.1|DALB	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC117565600|XP_034100691.1|DALB	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC117576162|XP_034116628.1|DALB	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC117576471|XP_034117133.1|DALB	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC117565601|XP_034100693.1|DALB	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC117570665|XP_034108343.1|DALB	LOC6624373|XP_002047473.1|DVIR
OG0000021	LOC117570908|XP_034108704.1|DALB	LOC6627017|XP_002049727.2|DVIR
OG0000021	LOC117570905|XP_034108701.1|DALB	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC117570907|XP_034108703.1|DALB	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC117566492|XP_034101922.1|DALB	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC117570266|XP_034107672.1|DALB	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC117570906|XP_034108702.1|DALB	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC117574572|XP_034114338.1|DALB	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC117576017|XP_034116416.1|DALB	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC117575314|XP_034115363.1|DALB	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC117569951|XP_034107204.1|DALB	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC117567521|XP_034103458.1|DALB	LOC6622533|XP_002046430.1|DVIR
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC117576456|XP_034117119.1|DALB	LOC26530945|XP_015026270.1|DVIR
OG0000023	LOC117565137|XP_034099998.1|DALB	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC117568013|XP_034104228.1|DALB	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC117576455|XP_034117118.1|DALB	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC117576451|XP_034117113.1|DALB	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC117576915|XP_034117947.1|DALB	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC117569374|XP_034106395.1|DALB	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC117575969|XP_034116339.1|DALB	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC117571483|XP_034109539.1|DALB	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC117566085|XP_034101455.1|DALB	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC117564398|XP_034099013.1|DALB	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB	LOC6631256|XP_002053244.1|DVIR, LOC6636025|XP_002059549.1|DVIR, LOC6636164|XP_002059550.1|DVIR
OG0000026	LOC117573365|XP_034112385.1|DALB	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC117564244|XP_034098829.1|DALB	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC117565445|XP_034100427.1|DALB	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR
OG0000028	LOC117566511|XP_034101942.1|DALB	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC117566595|XP_034102028.1|DALB	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC117569056|XP_034105958.1|DALB	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC117563844|XP_034098265.1|DALB	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC117564908|XP_034099753.1|DALB	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC117568192|XP_034104545.1|DALB	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC117566924|XP_034102438.1|DALB	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC117565254|XP_034100159.1|DALB	LOC6634269|XP_002057551.2|DVIR
OG0000031	LOC117563835|XP_034098255.1|DALB	LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC117565207|XP_034100106.1|DALB	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC117574198|XP_034113792.1|DALB	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC117574485|XP_034114214.1|DALB	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB	LOC6634892|XP_002058480.2|DVIR
OG0000032	LOC117575800|XP_034116069.1|DALB	LOC6629977|XP_002054335.1|DVIR
OG0000032	LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC117571679|XP_034109811.1|DALB	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC117565378|XP_034100343.1|DALB	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC117563632|XP_034097930.1|DALB	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR
OG0000034	LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB	LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC117574592|XP_034114366.1|DALB	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC117576608|XP_034117400.1|DALB	LOC6630607|XP_002054482.2|DVIR
OG0000036	LOC117565385|XP_034100358.1|DALB	LOC6631850|XP_002055586.3|DVIR
OG0000037	LOC117568663|XP_034105356.1|DALB	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC117575741|XP_034115985.1|DALB	LOC6629970|XP_002053079.1|DVIR
OG0000037	LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB	LOC6630819|XP_002054726.2|DVIR
OG0000037	LOC117569403|XP_034106430.1|DALB	LOC26531412|XP_015030326.1|DVIR
OG0000038	LOC117570082|XP_034107414.1|DALB	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC117570080|XP_034107411.1|DALB	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC117575707|XP_034115928.1|DALB	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC117577745|XP_034118547.1|DALB	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC117574799|XP_034114654.1|DALB	LOC6632395|XP_002056631.2|DVIR
OG0000039	LOC117565813|XP_034101004.1|DALB	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC117573615|XP_034112803.1|DALB	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC117573619|XP_034112810.1|DALB	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC117573618|XP_034112808.1|DALB	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC117573616|XP_034112804.1|DALB	LOC6629627|XP_002054867.1|DVIR
OG0000041	LOC117575844|XP_034116145.1|DALB	LOC6630636|XP_002053634.1|DVIR
OG0000041	LOC117574557|XP_034114320.1|DALB	LOC6630746|XP_002053207.1|DVIR
OG0000041	LOC117573341|XP_034112342.1|DALB	LOC6630637|XP_002053635.1|DVIR
OG0000041	LOC117575360|XP_034115416.1|DALB	LOC6630748|XP_002053209.1|DVIR
OG0000041	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR
OG0000041	LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC117574637|XP_034114425.1|DALB	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC117574639|XP_034114428.1|DALB	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC117574208|XP_034113803.1|DALB	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC117576108|XP_034116557.1|DALB	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC117576553|XP_034117282.1|DALB	LOC116651012|XP_032292468.1|DVIR
OG0000044	LOC117576551|XP_034117281.1|DALB	LOC6630492|XP_002053199.1|DVIR
OG0000044	LOC117576550|XP_034117280.1|DALB	LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC117568925|XP_034105726.1|DALB	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC117566426|XP_034101847.1|DALB	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC117566425|XP_034101846.1|DALB	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC117572554|XP_034111317.1|DALB	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC117566493|XP_034101923.1|DALB	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR
OG0000046	LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB	LOC6634417|XP_032296431.1|DVIR
