Orthogroup	DALB.longest_only	DSEC.longest_only
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC
OG0000012	LOC117571184|XP_034109105.1|DALB	LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC
OG0000012	LOC117568519|XP_034105112.1|DALB	LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC6605619|XP_032575697.1|DSEC
OG0000013	LOC117573950|XP_034113367.1|DALB	LOC6606578|XP_002031379.1|DSEC
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC6607674|XP_002032439.2|DSEC
OG0000015	LOC117565931|XP_034101209.1|DALB	LOC6614679|XP_002039106.1|DSEC
OG0000015	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB	LOC6608675|XP_002033404.2|DSEC, LOC116801741|XP_032578887.1|DSEC
OG0000016	LOC117573987|XP_034113425.1|DALB	LOC6606525|XP_002031326.2|DSEC
OG0000016	LOC117567642|XP_034103639.1|DALB	LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC117567926|XP_034104102.1|DALB	LOC6609492|XP_032572820.1|DSEC
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC117567888|XP_034104050.1|DALB	LOC6619144|XP_002043384.1|DSEC
OG0000016	LOC117573754|XP_034113029.1|DALB	LOC6606248|XP_002031056.2|DSEC
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC6616531|XP_002040890.1|DSEC
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	LOC6619131|XP_002043371.1|DSEC
OG0000017	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB	LOC6618718|XP_002042977.1|DSEC
OG0000017	LOC117568041|XP_034104279.1|DALB	LOC6615716|XP_032571357.1|DSEC
OG0000017	LOC117571751|XP_034109992.1|DALB	LOC6619133|XP_002043373.1|DSEC
OG0000017	LOC117564917|XP_034099761.1|DALB	LOC6617387|XP_032577559.1|DSEC
OG0000018	LOC117569762|XP_034106946.1|DALB	LOC6610983|XP_002035540.1|DSEC
OG0000018	LOC117569760|XP_034106944.1|DALB	LOC6621634|XP_002045742.2|DSEC
OG0000020	LOC117576477|XP_034117138.1|DALB	LOC116801805|XP_032579403.1|DSEC
OG0000020	LOC117568572|XP_034105192.1|DALB	LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC117565600|XP_034100691.1|DALB	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC
OG0000020	LOC117576162|XP_034116628.1|DALB	LOC6619030|XP_032578205.1|DSEC
OG0000020	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB	LOC6606811|XP_002031608.2|DSEC
OG0000020	LOC117565601|XP_034100693.1|DALB	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC117570905|XP_034108701.1|DALB	LOC6613204|XP_002037684.1|DSEC
OG0000021	LOC117570907|XP_034108703.1|DALB	LOC116803465|XP_032583061.1|DSEC
OG0000021	LOC117566492|XP_034101922.1|DALB	LOC6615454|XP_002039834.1|DSEC
OG0000021	LOC117570266|XP_034107672.1|DALB	LOC6615468|XP_002039848.1|DSEC
OG0000021	LOC117570906|XP_034108702.1|DALB	LOC116803406|XP_032583029.1|DSEC
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC117574572|XP_034114338.1|DALB	LOC6607757|XP_002032520.1|DSEC
OG0000021	LOC117576017|XP_034116416.1|DALB	LOC6606667|XP_002031467.1|DSEC
OG0000021	LOC117575314|XP_034115363.1|DALB	LOC6620369|XP_002044577.1|DSEC
OG0000022	LOC117569951|XP_034107204.1|DALB	LOC6609401|XP_002034086.1|DSEC
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC
OG0000022	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB	LOC116801300|XP_032575946.1|DSEC
OG0000023	LOC117576456|XP_034117119.1|DALB	LOC6614266|XP_002038706.1|DSEC
OG0000023	LOC117565137|XP_034099998.1|DALB	LOC6614270|XP_002038710.2|DSEC
OG0000023	LOC117568013|XP_034104228.1|DALB	LOC6615538|XP_002039917.1|DSEC
OG0000023	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB	LOC6614265|XP_002038705.1|DSEC
OG0000023	LOC117576455|XP_034117118.1|DALB	LOC6614261|XP_032579066.1|DSEC
OG0000023	LOC117576451|XP_034117113.1|DALB	LOC6614263|XP_002038703.1|DSEC
OG0000023	LOC117576915|XP_034117947.1|DALB	LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC
OG0000024	LOC117569374|XP_034106395.1|DALB	LOC6608651|XP_032573063.1|DSEC
OG0000024	LOC117575969|XP_034116339.1|DALB	LOC6618118|XP_002042417.2|DSEC
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	LOC6608649|XP_032571742.1|DSEC
OG0000024	LOC117571483|XP_034109539.1|DALB	LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	LOC6617640|XP_002041953.1|DSEC
OG0000026	LOC117564398|XP_034099013.1|DALB	LOC6613582|XP_002038050.1|DSEC
OG0000026	LOC117573365|XP_034112385.1|DALB	LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC117564244|XP_034098829.1|DALB	LOC6611562|XP_002036100.1|DSEC
OG0000027	LOC117565445|XP_034100427.1|DALB	LOC6611563|XP_002036101.1|DSEC
OG0000029	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB	LOC6607309|XP_002032088.1|DSEC
OG0000029	LOC117569056|XP_034105958.1|DALB	LOC6618299|XP_002042572.1|DSEC
OG0000030	LOC117563844|XP_034098265.1|DALB	LOC6617677|XP_032583255.1|DSEC
OG0000030	LOC117564908|XP_034099753.1|DALB	LOC6613129|XP_002037610.2|DSEC
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	LOC6615712|XP_002040083.1|DSEC
OG0000030	LOC117568192|XP_034104545.1|DALB	LOC6616124|XP_002040489.1|DSEC
OG0000030	LOC117566924|XP_034102438.1|DALB	LOC6615087|XP_032581969.1|DSEC
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC
OG0000031	LOC117565207|XP_034100106.1|DALB	LOC6611956|XP_002036473.1|DSEC
OG0000032	LOC117574198|XP_034113792.1|DALB	LOC6606692|XP_002031492.2|DSEC
OG0000032	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000033	LOC117571679|XP_034109811.1|DALB	LOC6618199|XP_032571400.1|DSEC, LOC6618200|XP_032577814.1|DSEC, LOC6618198|XP_002042473.1|DSEC, LOC6607913|XP_002032667.1|DSEC, LOC6607912|XP_002032666.2|DSEC
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	LOC6607918|XP_002032668.1|DSEC
OG0000034	LOC117565378|XP_034100343.1|DALB	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC
OG0000034	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB	LOC6614429|XP_032583720.1|DSEC
OG0000034	LOC117563632|XP_034097930.1|DALB	LOC6614430|XP_002038863.1|DSEC
OG0000034	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB	LOC6613602|XP_002038072.1|DSEC
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC6606280|XP_032578992.1|DSEC
OG0000036	LOC117574592|XP_034114366.1|DALB	LOC6613804|XP_032577945.1|DSEC
OG0000036	LOC117576608|XP_034117400.1|DALB	LOC6607601|XP_002032369.2|DSEC
OG0000037	LOC117568663|XP_034105356.1|DALB	LOC6609848|XP_002034500.1|DSEC
OG0000037	LOC117575741|XP_034115985.1|DALB	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC117570082|XP_034107414.1|DALB	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC117570080|XP_034107411.1|DALB	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC117575707|XP_034115928.1|DALB	LOC6614108|XP_032577608.1|DSEC
OG0000039	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB	LOC6619553|XP_002043768.1|DSEC
OG0000039	LOC117577745|XP_034118547.1|DALB	LOC6619552|XP_002043767.1|DSEC
OG0000039	LOC117565813|XP_034101004.1|DALB	LOC6617545|XP_032581966.1|DSEC
OG0000040	LOC117573615|XP_034112803.1|DALB	LOC6616682|XP_002041037.1|DSEC, LOC6606863|XP_002031657.1|DSEC
OG0000040	LOC117573619|XP_034112810.1|DALB	LOC6606864|XP_002031658.1|DSEC
OG0000040	LOC117573618|XP_034112808.1|DALB	LOC6616678|XP_002041033.1|DSEC
OG0000041	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000042	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB	LOC6609765|XP_002034419.1|DSEC, LOC6609768|XP_002034422.2|DSEC, LOC6609766|XP_032571746.1|DSEC, LOC6609767|XP_032571748.1|DSEC, LOC116800694|XP_032572982.1|DSEC
OG0000042	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB	LOC6609769|XP_002034423.2|DSEC
OG0000043	LOC117574637|XP_034114425.1|DALB	LOC6606880|XP_002031674.2|DSEC
OG0000043	LOC117574639|XP_034114428.1|DALB	LOC6606881|XP_032578763.1|DSEC
OG0000043	LOC117574208|XP_034113803.1|DALB	LOC6606886|XP_002031680.1|DSEC
OG0000043	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000044	LOC117576108|XP_034116557.1|DALB	LOC6619712|XP_032578272.1|DSEC
OG0000044	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC
OG0000044	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB	LOC6619713|XP_032578123.1|DSEC
OG0000045	LOC117568925|XP_034105726.1|DALB	LOC6605191|XP_002030030.1|DSEC
OG0000045	LOC117566426|XP_034101847.1|DALB	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC
OG0000045	LOC117566425|XP_034101846.1|DALB	LOC6611095|XP_002035652.1|DSEC
OG0000045	LOC117572554|XP_034111317.1|DALB	LOC6611094|XP_002035651.1|DSEC
OG0000046	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB	LOC6615012|XP_002039429.1|DSEC, LOC6615013|XP_002039430.2|DSEC
OG0000046	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB	LOC6615011|XP_032581038.1|DSEC, LOC6607592|XP_032578892.1|DSEC, LOC6618806|XP_002043055.1|DSEC, LOC6607590|XP_002032359.1|DSEC, LOC6608938|XP_002033652.1|DSEC
OG0000047	LOC117570271|XP_034107678.1|DALB	LOC6609458|XP_002034143.1|DSEC
OG0000047	LOC117570312|XP_034107745.1|DALB	LOC6609455|XP_002034140.1|DSEC
OG0000047	LOC117567370|XP_034103204.1|DALB	LOC6609036|XP_032573031.1|DSEC
OG0000047	LOC117567748|XP_034103827.1|DALB	LOC6605158|XP_002029997.1|DSEC
OG0000047	LOC117570238|XP_034107631.1|DALB	LOC6609046|XP_032572064.1|DSEC
OG0000048	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC
OG0000048	LOC117572034|XP_034110480.1|DALB	LOC6605923|XP_002030736.1|DSEC
OG0000048	LOC117569405|XP_034106432.1|DALB	LOC6605926|XP_002030739.1|DSEC
OG0000049	LOC117574804|XP_034114660.1|DALB	LOC6616787|XP_002041124.1|DSEC
OG0000049	LOC117574253|XP_034113873.1|DALB	LOC6616784|XP_002041121.1|DSEC
OG0000049	LOC117574270|XP_034113907.1|DALB	LOC6616788|XP_002041125.1|DSEC
OG0000049	LOC117576198|XP_034116681.1|DALB	LOC6616789|XP_002041126.1|DSEC
OG0000049	LOC117574439|XP_034114168.1|DALB	LOC6616783|XP_002041120.1|DSEC
OG0000050	LOC117567964|XP_034104164.1|DALB	LOC6608707|XP_002033431.1|DSEC
OG0000050	LOC117566525|XP_034101957.1|DALB	LOC6616571|XP_032575631.1|DSEC
OG0000050	LOC117566526|XP_034101958.1|DALB	LOC6616570|XP_002040929.1|DSEC
OG0000050	LOC117570483|XP_034108058.1|DALB	LOC116800887|XP_032573137.1|DSEC
OG0000050	LOC117569367|XP_034106390.1|DALB	LOC6616572|XP_002040931.1|DSEC
OG0000051	LOC117576304|XP_034116849.1|DALB	LOC6607242|XP_032578378.1|DSEC
OG0000051	LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB	LOC6606627|XP_002031428.1|DSEC
OG0000051	LOC117576902|XP_034117931.1|DALB	LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC
OG0000052	LOC117576244|XP_034116756.1|DALB, LOC117576245|XP_034116757.1|DALB, LOC117576070|XP_034116497.1|DALB, LOC117576071|XP_034116498.1|DALB, LOC117576069|XP_034116496.1|DALB, LOC117575219|XP_034115236.1|DALB, LOC117576928|XP_034117962.1|DALB	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC
OG0000052	LOC117568864|XP_034105642.1|DALB, LOC117571307|XP_034109272.1|DALB, LOC117566592|XP_034102025.1|DALB, LOC117569133|XP_034106052.1|DALB, LOC117566590|XP_034102023.1|DALB, LOC117566591|XP_034102024.1|DALB, LOC117572296|XP_034110899.1|DALB	LOC6609846|XP_002034498.1|DSEC
OG0000052	LOC117572297|XP_034110900.1|DALB, LOC117566593|XP_034102026.1|DALB	LOC6609845|XP_002034497.1|DSEC
OG0000053	LOC117569597|XP_034106723.1|DALB	LOC6608189|XP_002032934.2|DSEC
OG0000053	LOC117569598|XP_034106724.1|DALB	LOC6608187|XP_002032932.1|DSEC
OG0000053	LOC117569609|XP_034106736.1|DALB	LOC6608186|XP_002032931.2|DSEC
OG0000053	LOC117569596|XP_034106722.1|DALB	LOC6608184|XP_002032929.1|DSEC
OG0000053	LOC117569600|XP_034106726.1|DALB	LOC6608180|XP_002032925.1|DSEC
