Orthogroup	DALB.longest_only	DHYD.longest_only
OG0000029	LOC117566595|XP_034102028.1|DALB	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC117569056|XP_034105958.1|DALB	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC117563844|XP_034098265.1|DALB	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC117564908|XP_034099753.1|DALB	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC117568192|XP_034104545.1|DALB	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC117566924|XP_034102438.1|DALB	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC117565254|XP_034100159.1|DALB	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC117565207|XP_034100106.1|DALB	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC117574198|XP_034113792.1|DALB	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC117574485|XP_034114214.1|DALB	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC117575800|XP_034116069.1|DALB	LOC111598586|XP_023169670.2|DHYD
OG0000032	LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC117571679|XP_034109811.1|DALB	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC117565378|XP_034100343.1|DALB	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC117563632|XP_034097930.1|DALB	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC117574592|XP_034114366.1|DALB	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC117576608|XP_034117400.1|DALB	LOC111601529|XP_023173926.1|DHYD
OG0000036	LOC117565385|XP_034100358.1|DALB	LOC111605324|XP_023179557.2|DHYD
OG0000037	LOC117568663|XP_034105356.1|DALB	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC117575741|XP_034115985.1|DALB	LOC111601750|XP_023174255.2|DHYD
OG0000037	LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB	LOC111599598|XP_023171051.2|DHYD
OG0000037	LOC117569403|XP_034106430.1|DALB	LOC111592218|XP_023160061.2|DHYD
OG0000038	LOC117570082|XP_034107414.1|DALB	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC117570080|XP_034107411.1|DALB	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC117575707|XP_034115928.1|DALB	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC117577745|XP_034118547.1|DALB	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC117574799|XP_034114654.1|DALB	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD
OG0000039	LOC117565813|XP_034101004.1|DALB	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC117573615|XP_034112803.1|DALB	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC117573619|XP_034112810.1|DALB	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC117573618|XP_034112808.1|DALB	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC117573616|XP_034112804.1|DALB	LOC111604244|XP_023177997.1|DHYD
OG0000041	LOC117575844|XP_034116145.1|DALB	LOC111597538|XP_023168095.2|DHYD
OG0000041	LOC117574557|XP_034114320.1|DALB	LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD
OG0000041	LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB	LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD
OG0000041	LOC117573341|XP_034112342.1|DALB	LOC111597523|XP_023168066.2|DHYD
OG0000041	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD
OG0000041	LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC117574637|XP_034114425.1|DALB	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC117574639|XP_034114428.1|DALB	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC117574208|XP_034113803.1|DALB	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC117576108|XP_034116557.1|DALB	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC117576553|XP_034117282.1|DALB	LOC111604858|XP_023178860.2|DHYD, LOC111604849|XP_023178850.2|DHYD
OG0000044	LOC117576551|XP_034117281.1|DALB	LOC111604836|XP_023178833.2|DHYD
OG0000044	LOC117576550|XP_034117280.1|DALB	LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC117574699|XP_034114502.1|DALB	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC117568925|XP_034105726.1|DALB	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC117566426|XP_034101847.1|DALB	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC117566425|XP_034101846.1|DALB	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC117572554|XP_034111317.1|DALB	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC117566493|XP_034101923.1|DALB	LOC111594427|XP_023163484.2|DHYD
OG0000046	LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB	LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD
OG0000046	LOC117576921|XP_034117957.1|DALB	LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC117570271|XP_034107678.1|DALB	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC117570312|XP_034107745.1|DALB	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC117567370|XP_034103204.1|DALB	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC117570238|XP_034107631.1|DALB	LOC111595525|XP_023165074.2|DHYD
