Orthogroup	DALB.longest_only	DMEL.longest_only
OG0000002	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB	CG9500|NP_609018.3|DMEL
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC117566351|XP_034101728.1|DALB	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC117570242|XP_034107635.1|DALB	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	Cyp6a16|NP_001285631.1|DMEL
OG0000005	LOC117564270|XP_034098864.1|DALB	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL
OG0000006	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000006	LOC117566088|XP_034101456.1|DALB	His2A_CG33844|NP_001027351.1|DMEL
OG0000007	LOC117571630|XP_034109745.1|DALB	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC117571629|XP_034109744.1|DALB	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC117571628|XP_034109743.1|DALB	yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	Jon44E|NP_724699.1|DMEL
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL
OG0000008	LOC117574613|XP_034114391.1|DALB	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC117570995|XP_034108835.1|DALB	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC117565304|XP_034100233.1|DALB	Crys|NP_476906.1|DMEL
OG0000008	LOC117571003|XP_034108844.1|DALB	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB	Ccp84Ad|NP_649680.1|DMEL
OG0000008	LOC117574119|XP_034113664.1|DALB	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC117574113|XP_034113658.1|DALB	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC117574115|XP_034113660.1|DALB	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC117574118|XP_034113663.1|DALB	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC117574725|XP_034114546.1|DALB	CG11453|NP_650832.1|DMEL
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	CG11391|NP_650830.1|DMEL
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL
OG0000009	LOC117565287|XP_034100206.1|DALB	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL
OG0000009	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB	CG4563|NP_611913.1|DMEL
OG0000009	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB	CG8834|NP_610779.1|DMEL
OG0000010	LOC117564301|XP_034098889.1|DALB	His4_CG33885|NP_001027342.1|DMEL
OG0000010	LOC117564299|XP_034098888.1|DALB	His4_CG33883|NP_001027347.1|DMEL
OG0000012	LOC117568055|XP_034104297.1|DALB	CG9416|NP_611415.2|DMEL
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	CG10051|NP_611414.1|DMEL
OG0000012	LOC117569585|XP_034106704.1|DALB	CG11961|NP_725876.1|DMEL
OG0000012	LOC117568054|XP_034104292.1|DALB	CG10062|NP_001261089.1|DMEL
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL
OG0000012	LOC117571184|XP_034109105.1|DALB	CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL
OG0000012	LOC117568519|XP_034105112.1|DALB	CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL
OG0000013	LOC117571859|XP_034110145.1|DALB	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC117563213|XP_034097295.1|DALB	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC117576138|XP_034116595.1|DALB	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC117568434|XP_034104988.1|DALB	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC117573950|XP_034113367.1|DALB	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	Hsp68|NP_524474.1|DMEL
OG0000015	LOC117565931|XP_034101209.1|DALB	lectin-37Db|NP_001188847.1|DMEL
OG0000015	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB	CG7763|NP_001356891.1|DMEL
OG0000016	LOC117573987|XP_034113425.1|DALB	Act87E|NP_477091.1|DMEL
OG0000016	LOC117567642|XP_034103639.1|DALB	Act57B|NP_523800.1|DMEL
OG0000016	LOC117574647|XP_034114439.1|DALB	Arp1|NP_524331.2|DMEL
OG0000016	LOC117567926|XP_034104102.1|DALB	Arp53D|NP_477037.2|DMEL
OG0000016	LOC117576743|XP_034117709.1|DALB	Act5C|NP_511052.1|DMEL
OG0000016	LOC117567888|XP_034104050.1|DALB	Act42A|NP_523625.1|DMEL
OG0000016	LOC117573754|XP_034113029.1|DALB	Act88F|NP_524367.1|DMEL
OG0000016	LOC117568261|XP_034104638.1|DALB	Act79B|NP_524210.1|DMEL
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	Or42a|NP_523622.2|DMEL
OG0000017	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB	Or98a|NP_524536.2|DMEL
OG0000017	LOC117568041|XP_034104279.1|DALB	Or59b|NP_523822.1|DMEL
OG0000017	LOC117571751|XP_034109992.1|DALB	Or42b|NP_523624.2|DMEL
OG0000017	LOC117564917|XP_034099761.1|DALB	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL
OG0000018	LOC117569762|XP_034106946.1|DALB	Lcp65Ac|NP_477279.1|DMEL
OG0000018	LOC117569760|XP_034106944.1|DALB	Lcp65Ad|NP_477278.1|DMEL
OG0000020	LOC117576477|XP_034117138.1|DALB	rdog|NP_651678.1|DMEL
OG0000020	LOC117568572|XP_034105192.1|DALB	CG10505|NP_611571.2|DMEL
OG0000020	LOC117565600|XP_034100691.1|DALB	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL
OG0000020	LOC117576162|XP_034116628.1|DALB	CG4562|NP_001262747.1|DMEL
OG0000020	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB	Mrp4|NP_650086.2|DMEL
OG0000020	LOC117565601|XP_034100693.1|DALB	CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL
OG0000021	LOC117570905|XP_034108701.1|DALB	PpD6|NP_524947.1|DMEL
OG0000021	LOC117570907|XP_034108703.1|DALB	Pp1-Y1|NP_001104152.3|DMEL
OG0000021	LOC117566492|XP_034101922.1|DALB	PpN58A|NP_477384.1|DMEL
OG0000021	LOC117570266|XP_034107672.1|DALB	PpD5|NP_524707.1|DMEL
OG0000021	LOC117570906|XP_034108702.1|DALB	Pp1-Y2|NP_001015497.4|DMEL
OG0000021	LOC117573953|XP_034113413.1|DALB	flw|NP_727418.1|DMEL
OG0000021	LOC117574572|XP_034114338.1|DALB	Pp1alpha-96A|NP_524484.1|DMEL
OG0000021	LOC117576017|XP_034116416.1|DALB	Pp1-87B|NP_524937.1|DMEL
OG0000021	LOC117575314|XP_034115363.1|DALB	Pp1-13C|NP_524921.1|DMEL
OG0000022	LOC117569951|XP_034107204.1|DALB	CG7798|NP_611098.1|DMEL
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL
OG0000022	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB	LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL
OG0000023	LOC117576456|XP_034117119.1|DALB	alpha-Est6|NP_524262.1|DMEL
OG0000023	LOC117565137|XP_034099998.1|DALB	alpha-Est5|NP_001246965.1|DMEL
OG0000023	LOC117568013|XP_034104228.1|DALB	gas|NP_611678.1|DMEL
OG0000023	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB	alpha-Est7|NP_524261.1|DMEL
OG0000023	LOC117576455|XP_034117118.1|DALB	alpha-Est9|NP_731165.2|DMEL
OG0000023	LOC117576451|XP_034117113.1|DALB	alpha-Est8|NP_524259.2|DMEL
OG0000023	LOC117576915|XP_034117947.1|DALB	alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL
OG0000024	LOC117569374|XP_034106395.1|DALB	epsilonTry|NP_525112.1|DMEL
OG0000024	LOC117575969|XP_034116339.1|DALB	CG17571|NP_610109.1|DMEL
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	thetaTry|NP_523693.1|DMEL
OG0000024	LOC117571483|XP_034109539.1|DALB	Ser8|NP_610874.1|DMEL
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC117566085|XP_034101455.1|DALB	His3_CG33848|NP_001027358.1|DMEL, His3_CG33824|NP_001027318.1|DMEL, His3_CG33815|NP_001027303.1|DMEL, His3_CG33866|NP_001027387.1|DMEL, His3_CG33839|NP_001027343.1|DMEL
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	antdh|NP_572695.2|DMEL
OG0000026	LOC117564398|XP_034099013.1|DALB	CG9150|NP_608991.2|DMEL
OG0000026	LOC117573365|XP_034112385.1|DALB	CG3301|NP_650964.1|DMEL
OG0000027	LOC117564244|XP_034098829.1|DALB	Acp1|NP_477115.1|DMEL
OG0000027	LOC117565445|XP_034100427.1|DALB	CG7214|NP_609141.1|DMEL
OG0000028	LOC117566511|XP_034101942.1|DALB	CG14095|NP_649112.1|DMEL
OG0000029	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB	CheA84a|NP_001027150.1|DMEL
OG0000029	LOC117569056|XP_034105958.1|DALB	CheA75a|NP_649035.2|DMEL
OG0000030	LOC117563844|XP_034098265.1|DALB	Or33c|NP_523555.1|DMEL
OG0000030	LOC117564908|XP_034099753.1|DALB	Or23a|NP_523458.3|DMEL
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	Or59a|NP_523821.1|DMEL
OG0000030	LOC117568192|XP_034104545.1|DALB	Or2a|NP_525046.1|DMEL
OG0000030	LOC117566924|XP_034102438.1|DALB	Or19b|NP_728315.1|DMEL, Or19a|NP_525013.2|DMEL
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL
OG0000031	LOC117565207|XP_034100106.1|DALB	CG5390|NP_609374.1|DMEL
OG0000032	LOC117574198|XP_034113792.1|DALB	GstD1|NP_524326.1|DMEL
OG0000032	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	GstD8|NP_524916.1|DMEL, GstD4|NP_524913.1|DMEL, GstD2|NP_524912.1|DMEL, GstD5|NP_524914.3|DMEL, GstD3|NP_788656.1|DMEL, GstD7|NP_525114.1|DMEL, GstD6|NP_524915.1|DMEL
OG0000033	LOC117571679|XP_034109811.1|DALB	CheB38a|NP_995736.1|DMEL, CheB38c|NP_610061.2|DMEL, CheB38b|NP_995735.1|DMEL, CheB42c|NP_995764.2|DMEL, CheB42b|NP_995763.1|DMEL
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	CheB42a|NP_995765.1|DMEL
OG0000034	LOC117565378|XP_034100343.1|DALB	Ugt37C1|NP_525007.1|DMEL, Ugt37C2|NP_652629.1|DMEL
OG0000034	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB	Ugt37E1|NP_652628.2|DMEL
OG0000034	LOC117563632|XP_034097930.1|DALB	Ugt37D1|NP_652627.2|DMEL
OG0000034	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB	Ugt37B1|NP_525008.2|DMEL
OG0000036	LOC117575319|XP_034115366.1|DALB	Sp7|NP_649734.2|DMEL
OG0000036	LOC117574531|XP_034114284.1|DALB	ea|NP_524362.2|DMEL
OG0000036	LOC117574592|XP_034114366.1|DALB	MP1|NP_001303421.1|DMEL
OG0000036	LOC117576608|XP_034117400.1|DALB	SPE|NP_651168.1|DMEL
OG0000037	LOC117568663|XP_034105356.1|DALB	Cyp12b2|NP_611370.2|DMEL
OG0000037	LOC117575741|XP_034115985.1|DALB	Cyp12a5|NP_650782.1|DMEL, Cyp12a4|NP_650783.2|DMEL
OG0000038	LOC117570082|XP_034107414.1|DALB	Cpr76Bb|NP_649121.1|DMEL
OG0000038	LOC117570080|XP_034107411.1|DALB	Cpr76Bd|NP_001262052.1|DMEL
OG0000039	LOC117575707|XP_034115928.1|DALB	CG42564|NP_649651.2|DMEL
OG0000039	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB	Ag5r|NP_524770.1|DMEL
OG0000039	LOC117577745|XP_034118547.1|DALB	Ag5r2|NP_524689.2|DMEL
OG0000039	LOC117565813|XP_034101004.1|DALB	CG32679|NP_727412.2|DMEL
OG0000040	LOC117573615|XP_034112803.1|DALB	CG17803|NP_650657.2|DMEL, CG6689|NP_650051.1|DMEL
OG0000040	LOC117573619|XP_034112810.1|DALB	CG4820|NP_001097748.1|DMEL
OG0000040	LOC117573618|XP_034112808.1|DALB	Odj|NP_650661.1|DMEL
OG0000041	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	CG31300|NP_651373.2|DMEL, CG31104|NP_733090.1|DMEL, CG11893|NP_651375.1|DMEL, CG13658|NP_651374.2|DMEL, CG31436|NP_733096.1|DMEL, CG13659|NP_651378.1|DMEL, CG31370|NP_733095.2|DMEL
OG0000042	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB	CG14502|NP_611311.1|DMEL, CG18539|NP_611315.3|DMEL, CG18536|NP_611312.1|DMEL, CG18538|NP_611314.2|DMEL, CG18537|NP_611313.1|DMEL
OG0000042	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB	CG18540|NP_611316.2|DMEL
OG0000043	LOC117574637|XP_034114425.1|DALB	Ugt302C1|NP_652626.1|DMEL
OG0000043	LOC117574639|XP_034114428.1|DALB	Ugt302E1|NP_652625.2|DMEL
OG0000043	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	Ugt35E1|NP_652622.3|DMEL, Ugt35E2|NP_652623.2|DMEL, Ugt35D1|NP_651866.1|DMEL, Ugt35B1|NP_524313.2|DMEL
OG0000044	LOC117576108|XP_034116557.1|DALB	CG31087|NP_733100.1|DMEL
OG0000044	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB	CG10562|NP_651385.3|DMEL, CHKov1|NP_001097918.1|DMEL
OG0000044	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB	CG10559|NP_651382.2|DMEL
OG0000044	LOC117574699|XP_034114502.1|DALB	CG6908|NP_650105.1|DMEL
OG0000045	LOC117568925|XP_034105726.1|DALB	Cpr67Fb|NP_648420.1|DMEL
OG0000045	LOC117566426|XP_034101847.1|DALB	Cpr67Fa1|NP_648418.1|DMEL, Cpr67Fa2|NP_648419.1|DMEL
OG0000045	LOC117566425|XP_034101846.1|DALB	Cpr65Ec|NP_648077.1|DMEL
OG0000045	LOC117572554|XP_034111317.1|DALB	Cpr65Eb|NP_648076.3|DMEL
OG0000046	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB	CG14219|NP_608322.1|DMEL, CG14205|NP_608323.1|DMEL
OG0000046	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB	CG14204|NP_608321.1|DMEL, CG16723|NP_651159.3|DMEL, CG10183|NP_651160.3|DMEL, CG33337|NP_996269.2|DMEL, CG10182|NP_651158.1|DMEL, CG13325|NP_610836.1|DMEL
OG0000047	LOC117570271|XP_034107678.1|DALB	loopin-1|NP_001097338.1|DMEL
OG0000047	LOC117570312|XP_034107745.1|DALB	S-Lap8|NP_611132.1|DMEL
OG0000047	LOC117567370|XP_034103204.1|DALB	S-Lap5|NP_610892.1|DMEL
OG0000047	LOC117567748|XP_034103827.1|DALB	S-Lap3|NP_648394.1|DMEL
OG0000047	LOC117570238|XP_034107631.1|DALB	S-Lap7|NP_610900.1|DMEL
OG0000048	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB	CG13060|NP_648873.1|DMEL, CG13041|NP_648872.1|DMEL
OG0000048	LOC117572034|XP_034110480.1|DALB	CG13044|NP_648867.1|DMEL
OG0000048	LOC117569405|XP_034106432.1|DALB	CG13042|NP_648870.1|DMEL
OG0000049	LOC117574804|XP_034114660.1|DALB	CG4053|NP_650601.2|DMEL
OG0000049	LOC117574253|XP_034113873.1|DALB	CG5246|NP_650603.1|DMEL
OG0000049	LOC117574270|XP_034113907.1|DALB	CG17475|NP_650600.2|DMEL
OG0000049	LOC117576198|XP_034116681.1|DALB	CG31265|NP_650599.1|DMEL
OG0000049	LOC117574439|XP_034114168.1|DALB	CG5255|NP_650604.1|DMEL
OG0000050	LOC117567964|XP_034104164.1|DALB	CG13193|NP_610699.1|DMEL
OG0000050	LOC117566525|XP_034101957.1|DALB	CG33770|NP_001027144.2|DMEL
OG0000050	LOC117566526|XP_034101958.1|DALB	CG33769|NP_001027143.1|DMEL
OG0000050	LOC117570483|XP_034108058.1|DALB	CG33767|NP_001027141.1|DMEL
OG0000050	LOC117569367|XP_034106390.1|DALB	CG33771|NP_001027145.3|DMEL
OG0000051	LOC117576304|XP_034116849.1|DALB	Cyp313b1|NP_649807.1|DMEL
OG0000051	LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB	Cyp313a4|NP_650224.3|DMEL
OG0000051	LOC117576902|XP_034117931.1|DALB	Cyp313a5|NP_650168.1|DMEL, Cyp313a1|NP_650368.1|DMEL, Cyp313a2|NP_650169.3|DMEL, Cyp313a3|NP_650170.2|DMEL
