Orthogroup	DALB.longest_only	DANA.longest_only
OG0000024	LOC117575969|XP_034116339.1|DALB	LOC6498256|XP_001962412.1|DANA
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	LOC6495254|XP_001958751.1|DANA
OG0000024	LOC117571483|XP_034109539.1|DALB	LOC6496529|XP_001961079.1|DANA
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC117566085|XP_034101455.1|DALB	LOC6496740|XP_001967888.2|DANA, LOC26513707|XP_032309216.1|DANA
OG0000025	LOC117563559|XP_034097830.1|DALB	LOC6498725|XP_001967729.1|DANA
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	LOC6505023|XP_001965614.1|DANA
OG0000026	LOC117564398|XP_034099013.1|DALB	LOC6498214|XP_001962316.1|DANA
OG0000026	LOC117573365|XP_034112385.1|DALB	LOC6500045|XP_001953325.1|DANA
OG0000027	LOC117564244|XP_034098829.1|DALB	LOC6497408|XP_001962144.1|DANA
OG0000027	LOC117565445|XP_034100427.1|DALB	LOC6497407|XP_001962145.1|DANA
OG0000028	LOC117566511|XP_034101942.1|DALB	LOC116655895|XP_032310688.1|DANA
OG0000029	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA
OG0000029	LOC117569056|XP_034105958.1|DALB	LOC6506262|XP_014764698.1|DANA
OG0000030	LOC117563844|XP_034098265.1|DALB	LOC6504294|XP_001965069.1|DANA
OG0000030	LOC117564908|XP_034099753.1|DALB	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	LOC6494711|XP_001959810.1|DANA
OG0000030	LOC117568192|XP_034104545.1|DALB	LOC6504640|XP_001966489.1|DANA
OG0000030	LOC117566924|XP_034102438.1|DALB	LOC6503160|XP_001963545.1|DANA
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	LOC6495934|XP_001959882.2|DANA, LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000031	LOC117565207|XP_034100106.1|DALB	LOC6496944|XP_001963083.2|DANA
OG0000032	LOC117574198|XP_034113792.1|DALB	LOC6499841|XP_001953793.1|DANA
OG0000032	LOC117574485|XP_034114214.1|DALB	LOC6499843|XP_032305552.1|DANA
OG0000032	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000033	LOC117571679|XP_034109811.1|DALB	LOC6494619|XP_001959999.1|DANA, LOC6494622|XP_001959998.3|DANA
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	LOC6495993|XP_001960000.1|DANA
OG0000034	LOC117565378|XP_034100343.1|DALB	LOC6498174|XP_001962232.1|DANA
OG0000034	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA
OG0000034	LOC117563632|XP_034097930.1|DALB	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA
OG0000034	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB	LOC6498552|XP_001963046.3|DANA
OG0000034	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC6505844|XP_001964473.1|DANA
OG0000036	LOC117574592|XP_034114366.1|DALB	LOC6500980|XP_001954293.1|DANA
OG0000036	LOC117576608|XP_034117400.1|DALB	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA
OG0000037	LOC117568663|XP_034105356.1|DALB	LOC6493979|XP_001961214.2|DANA
OG0000037	LOC117575741|XP_034115985.1|DALB	LOC6498848|XP_001955809.2|DANA
OG0000038	LOC117570082|XP_034107414.1|DALB	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC117570080|XP_034107411.1|DALB	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC117575707|XP_034115928.1|DALB	LOC6501134|XP_001954615.2|DANA
OG0000039	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB	LOC6502398|XP_001967387.3|DANA
OG0000039	LOC117577745|XP_034118547.1|DALB	LOC6504273|XP_001967388.1|DANA
OG0000039	LOC117574799|XP_034114654.1|DALB	LOC6504271|XP_032308876.1|DANA
OG0000039	LOC117565813|XP_034101004.1|DALB	LOC6503200|XP_032311880.1|DANA
OG0000040	LOC117573615|XP_034112803.1|DALB	LOC6500947|XP_014766809.1|DANA, LOC6501033|XP_001954424.1|DANA
OG0000040	LOC117573619|XP_034112810.1|DALB	LOC6499533|XP_001954425.2|DANA
OG0000040	LOC117573618|XP_034112808.1|DALB	LOC6500944|XP_001954222.1|DANA
OG0000040	LOC117573616|XP_034112804.1|DALB	LOC6500236|XP_001952967.2|DANA
OG0000041	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA
OG0000042	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB	LOC6495008|XP_001959230.2|DANA, LOC6495010|XP_001959228.2|DANA, LOC6495011|XP_001959229.1|DANA
OG0000042	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB	LOC6495009|XP_001959227.2|DANA
OG0000043	LOC117574637|XP_034114425.1|DALB	LOC6499525|XP_001954440.1|DANA
OG0000043	LOC117574208|XP_034113803.1|DALB	LOC6499523|XP_032311279.1|DANA
OG0000043	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB	LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000044	LOC117576108|XP_034116557.1|DALB	LOC6500203|XP_032305729.1|DANA
OG0000044	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA
OG0000044	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB	LOC6500202|XP_001953032.2|DANA
OG0000044	LOC117574699|XP_034114502.1|DALB	LOC6499418|XP_001954679.1|DANA
OG0000045	LOC117568925|XP_034105726.1|DALB	LOC6493486|XP_001957849.1|DANA
OG0000045	LOC117566426|XP_034101847.1|DALB	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA
OG0000045	LOC117566425|XP_034101846.1|DALB	LOC6507632|XP_001956043.1|DANA
OG0000045	LOC117572554|XP_034111317.1|DALB	LOC6507423|XP_032310209.1|DANA
OG0000046	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB	LOC6503183|XP_001963600.1|DANA, LOC6502915|XP_001963599.1|DANA
OG0000046	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB	LOC6503185|XP_032311857.1|DANA, LOC26514371|XP_014767278.1|DANA, LOC6501525|XP_014767090.2|DANA, LOC6501523|XP_001955420.3|DANA, LOC116654466|XP_032311125.1|DANA, LOC6501526|XP_001955423.1|DANA
OG0000047	LOC117570271|XP_034107678.1|DALB	LOC6496443|XP_001960921.1|DANA
OG0000047	LOC117570312|XP_034107745.1|DALB	LOC6496440|XP_001960917.1|DANA
OG0000047	LOC117567370|XP_034103204.1|DALB	LOC6496543|XP_001961111.1|DANA
OG0000047	LOC117567748|XP_034103827.1|DALB	LOC6493464|XP_001957813.1|DANA
OG0000047	LOC117570238|XP_034107631.1|DALB	LOC6494029|XP_001961117.1|DANA
OG0000048	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA
OG0000048	LOC117571564|XP_034109658.1|DALB	LOC6506811|XP_001957192.1|DANA
OG0000048	LOC117572034|XP_034110480.1|DALB	LOC6493171|XP_001957195.2|DANA
OG0000048	LOC117569405|XP_034106432.1|DALB	LOC6493169|XP_001957191.1|DANA
OG0000049	LOC117574804|XP_034114660.1|DALB	LOC6500644|XP_001953636.2|DANA
OG0000049	LOC117574253|XP_034113873.1|DALB	LOC6499920|XP_001953633.1|DANA
OG0000049	LOC117574270|XP_034113907.1|DALB	LOC6500645|XP_001953637.1|DANA
OG0000049	LOC117576198|XP_034116681.1|DALB	LOC6502640|XP_001953638.1|DANA
OG0000049	LOC117574439|XP_034114168.1|DALB	LOC6499921|XP_001953632.1|DANA
