Orthogroup	DALB.longest_only	DMIR.longest_only
OG0000002	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB	LOC108161412|XP_017151153.2|DMIR
OG0000002	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB	LOC108161232|XP_017150945.1|DMIR
OG0000003	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC117566351|XP_034101728.1|DALB	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC117570242|XP_034107635.1|DALB	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000003	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB	LOC108163634|XP_017154532.1|DMIR
OG0000005	LOC117564270|XP_034098864.1|DALB	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR
OG0000006	LOC117563579|XP_034097856.1|DALB	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB, LOC117566088|XP_034101456.1|DALB	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC117572105|XP_034110613.1|DALB	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC117571630|XP_034109745.1|DALB	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC117571629|XP_034109744.1|DALB	LOC108152481|XP_017137344.1|DMIR
OG0000007	LOC117571628|XP_034109743.1|DALB	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB	LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR
OG0000008	LOC117574613|XP_034114391.1|DALB	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC117570995|XP_034108835.1|DALB	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC117565304|XP_034100233.1|DALB	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC117571003|XP_034108844.1|DALB	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC117574119|XP_034113664.1|DALB	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC117574113|XP_034113658.1|DALB	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC117574115|XP_034113660.1|DALB	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC117574118|XP_034113663.1|DALB	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC117574725|XP_034114546.1|DALB	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC117565287|XP_034100206.1|DALB	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC117565994|XP_034101304.1|DALB	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC117565598|XP_034100689.1|DALB, LOC117564301|XP_034098889.1|DALB, LOC117564305|XP_034098892.1|DALB	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC117564298|XP_034098887.1|DALB, LOC117564299|XP_034098888.1|DALB	LOC117187312|XP_033245576.1|DMIR
OG0000012	LOC117568055|XP_034104297.1|DALB	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC117569585|XP_034106704.1|DALB	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC117568054|XP_034104292.1|DALB	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC117571184|XP_034109105.1|DALB	LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC117568519|XP_034105112.1|DALB	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC117571859|XP_034110145.1|DALB	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC117563213|XP_034097295.1|DALB	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC117576138|XP_034116595.1|DALB	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC117568434|XP_034104988.1|DALB	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000015	LOC117575381|XP_034115447.1|DALB, LOC117575264|XP_034115291.1|DALB, LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB, LOC117574088|XP_034113615.1|DALB	LOC108154428|XP_017140186.1|DMIR
OG0000015	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB	LOC117189153|XP_033250113.1|DMIR, LOC108162329|XP_017152508.1|DMIR, LOC108162330|XP_017152509.1|DMIR
OG0000016	LOC117573987|XP_034113425.1|DALB	LOC108156024|XP_017142762.1|DMIR
OG0000016	LOC117567642|XP_034103639.1|DALB	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC117574647|XP_034114439.1|DALB	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC117567926|XP_034104102.1|DALB	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR
OG0000016	LOC117576743|XP_034117709.1|DALB	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC117567888|XP_034104050.1|DALB	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR
OG0000016	LOC117573754|XP_034113029.1|DALB	LOC108156493|XP_017143475.1|DMIR
OG0000016	LOC117568261|XP_034104638.1|DALB	LOC108150995|XP_017134834.1|DMIR
OG0000017	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000017	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR
OG0000017	LOC117568041|XP_034104279.1|DALB	LOC108160759|XP_017150448.1|DMIR
OG0000017	LOC117571751|XP_034109992.1|DALB	LOC108159970|XP_017149142.1|DMIR
OG0000017	LOC117564917|XP_034099761.1|DALB	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR
OG0000018	LOC117569762|XP_034106946.1|DALB	LOC108150791|XP_017134583.1|DMIR
OG0000018	LOC117569760|XP_034106944.1|DALB	LOC108150854|XP_017134645.1|DMIR
OG0000018	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB, LOC117569766|XP_034106951.1|DALB	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000018	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR
OG0000020	LOC117576477|XP_034117138.1|DALB	LOC108156412|XP_017143346.1|DMIR
OG0000020	LOC117568572|XP_034105192.1|DALB	LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC117565600|XP_034100691.1|DALB	LOC108163672|XP_017154587.1|DMIR
OG0000020	LOC117576162|XP_034116628.1|DALB	LOC108155178|XP_017141337.1|DMIR
OG0000020	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB	LOC108156137|XP_017142939.1|DMIR
OG0000020	LOC117565601|XP_034100693.1|DALB	LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC117570665|XP_034108343.1|DALB	LOC108153591|XP_017139161.1|DMIR
OG0000021	LOC117570908|XP_034108704.1|DALB	LOC117185775|XP_033246995.1|DMIR
OG0000021	LOC117570905|XP_034108701.1|DALB	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR
OG0000021	LOC117570907|XP_034108703.1|DALB	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR
OG0000021	LOC117566492|XP_034101922.1|DALB	LOC108159581|XP_017148519.1|DMIR
OG0000021	LOC117570266|XP_034107672.1|DALB	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR
OG0000021	LOC117570906|XP_034108702.1|DALB	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR
OG0000021	LOC117573953|XP_034113413.1|DALB	LOC108164567|XP_033246575.1|DMIR
OG0000021	LOC117574572|XP_034114338.1|DALB	LOC108156061|XP_017142833.1|DMIR
OG0000021	LOC117576017|XP_034116416.1|DALB	LOC108156847|XP_017144055.1|DMIR
OG0000021	LOC117575314|XP_034115363.1|DALB	LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC117569951|XP_034107204.1|DALB	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR
OG0000022	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR
OG0000022	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB	LOC108152470|XP_017137327.1|DMIR, LOC108152469|XP_017137325.1|DMIR
OG0000022	LOC117569847|XP_034107067.1|DALB	LOC108152471|XP_017137328.1|DMIR
OG0000023	LOC117565137|XP_034099998.1|DALB	LOC108153857|XP_033244801.1|DMIR
OG0000023	LOC117568013|XP_034104228.1|DALB	LOC108158830|XP_017147022.1|DMIR
OG0000023	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB	LOC108157164|XP_017144562.1|DMIR
OG0000023	LOC117576455|XP_034117118.1|DALB	LOC108156708|XP_017143845.1|DMIR
OG0000023	LOC117576451|XP_034117113.1|DALB	LOC108156707|XP_017143844.1|DMIR
OG0000023	LOC117576915|XP_034117947.1|DALB	LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR
OG0000024	LOC117569374|XP_034106395.1|DALB	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR
OG0000024	LOC117575969|XP_034116339.1|DALB	LOC108161382|XP_017151119.1|DMIR
OG0000024	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR
OG0000024	LOC117571483|XP_034109539.1|DALB	LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB	LOC108157728|XP_017145391.1|DMIR
OG0000025	LOC117566085|XP_034101455.1|DALB	LOC108156793|XP_017143960.1|DMIR
OG0000026	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB	LOC108150850|XP_017134646.1|DMIR
OG0000026	LOC117564398|XP_034099013.1|DALB	LOC108162957|XP_033248732.1|DMIR
OG0000026	LOC117573365|XP_034112385.1|DALB	LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC117564244|XP_034098829.1|DALB	LOC108162948|XP_017153432.1|DMIR
OG0000027	LOC117565445|XP_034100427.1|DALB	LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR
OG0000028	LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB	LOC108165421|XP_017156949.1|DMIR
OG0000029	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB	LOC108154578|XP_017140369.1|DMIR
OG0000029	LOC117569056|XP_034105958.1|DALB	LOC108150820|XP_017134616.1|DMIR
OG0000030	LOC117563844|XP_034098265.1|DALB	LOC108161306|XP_017151015.1|DMIR
OG0000030	LOC117564908|XP_034099753.1|DALB	LOC108161162|XP_017150872.2|DMIR
OG0000030	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB	LOC108160793|XP_017150492.1|DMIR
OG0000030	LOC117568192|XP_034104545.1|DALB	LOC108151546|XP_033246807.1|DMIR
OG0000030	LOC117566924|XP_034102438.1|DALB	LOC108154542|XP_017140365.1|DMIR
OG0000031	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR
OG0000031	LOC117565207|XP_034100106.1|DALB	LOC108161610|XP_017151398.1|DMIR
OG0000032	LOC117574198|XP_034113792.1|DALB	LOC108156619|XP_017143664.1|DMIR
OG0000032	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB	LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR
OG0000033	LOC117571679|XP_034109811.1|DALB	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR
OG0000033	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR
OG0000034	LOC117565378|XP_034100343.1|DALB	LOC108164271|XP_017155403.1|DMIR
OG0000034	LOC117563632|XP_034097930.1|DALB	LOC108164069|XP_033249364.1|DMIR
OG0000034	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR
OG0000034	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB	LOC108162131|XP_017152200.1|DMIR
OG0000035	LOC117577292|XP_034118160.1|DALB	LOC117191836|XP_033252497.1|DMIR, LOC117191390|XP_033252163.1|DMIR, LOC117191070|XP_033251929.1|DMIR
OG0000036	LOC117575319|XP_034115366.1|DALB	LOC108157733|XP_017145397.1|DMIR
OG0000036	LOC117574531|XP_034114284.1|DALB	LOC117187198|XP_033245230.1|DMIR
OG0000036	LOC117574592|XP_034114366.1|DALB	LOC108157106|XP_017144468.1|DMIR
OG0000036	LOC117576608|XP_034117400.1|DALB	LOC108155636|XP_017142064.1|DMIR, LOC108155635|XP_017142061.1|DMIR
OG0000037	LOC117568663|XP_034105356.1|DALB	LOC108160263|XP_017149626.1|DMIR
OG0000037	LOC117575741|XP_034115985.1|DALB	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR
