Orthogroup	DSAN.longest_only	DVIR.longest_only
OG0000043	LOC120453349|XP_039493953.1|DSAN	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC120453637|XP_039494364.1|DSAN	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC120452826|XP_039493165.1|DSAN	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC120448397|XP_039486321.1|DSAN	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC120448761|XP_039486880.1|DSAN	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC120448760|XP_039486879.1|DSAN	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC120446362|XP_039483228.1|DSAN	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC120446445|XP_039483359.1|DSAN	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC120447165|XP_039484555.1|DSAN	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC120449448|XP_039487853.1|DSAN	LOC6623898|XP_015031386.1|DVIR
OG0000047	LOC120446374|XP_039483239.1|DSAN	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN	LOC6623801|XP_002046214.1|DVIR
OG0000048	LOC120447858|XP_039485399.1|DSAN	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC120447864|XP_039485406.1|DSAN	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC120451912|XP_039491855.1|DSAN	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC120454479|XP_039495747.1|DSAN	LOC6632702|XP_002056035.3|DVIR
OG0000049	LOC120451908|XP_039491850.1|DSAN	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC120451911|XP_039491854.1|DSAN	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC120454478|XP_039495745.1|DSAN	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC120444560|XP_039480251.1|DSAN	LOC116651245|XP_032293110.1|DVIR
OG0000050	LOC120450200|XP_039489002.1|DSAN	LOC116650744|XP_032291206.1|DVIR
OG0000050	LOC120450145|XP_039488909.1|DSAN	LOC6622355|XP_002047925.1|DVIR
OG0000050	LOC120450199|XP_039489001.1|DSAN	LOC6622345|XP_002047924.2|DVIR
OG0000050	LOC120449121|XP_039487366.1|DSAN	LOC6622312|XP_002047926.2|DVIR
OG0000050	LOC120450198|XP_039489000.1|DSAN	LOC6622403|XP_002047934.2|DVIR
OG0000051	LOC120454079|XP_039495023.1|DSAN	LOC6633160|XP_002056609.1|DVIR
OG0000051	LOC120450805|XP_039489908.1|DSAN	LOC6630427|XP_002053739.1|DVIR
OG0000052	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR
OG0000052	LOC120446961|XP_039484150.1|DSAN	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR
OG0000052	LOC120446960|XP_039484149.1|DSAN	LOC6626911|XP_002050286.2|DVIR
OG0000053	LOC120458373|XP_039501926.1|DSAN	LOC6625282|XP_002049664.3|DVIR
OG0000053	LOC120458372|XP_039501925.1|DSAN	LOC6624847|XP_002049663.1|DVIR
OG0000053	LOC120458371|XP_039501924.1|DSAN	LOC6624846|XP_002049662.1|DVIR
OG0000053	LOC120458368|XP_039501922.1|DSAN	LOC6624845|XP_002049661.1|DVIR
OG0000053	LOC120458380|XP_039501934.1|DSAN	LOC6624806|XP_002049656.1|DVIR
OG0000054	LOC120451731|XP_039491574.1|DSAN	LOC6633223|XP_002056282.1|DVIR
OG0000054	LOC120451217|XP_039490630.1|DSAN	LOC6629800|XP_002053376.1|DVIR
OG0000054	LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR
