Orthogroup	DSAN.longest_only	AEAL.longest_only
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC120452846|XP_039493217.1|DSAN, LOC120453968|XP_039494853.1|DSAN, LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN, LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN, LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC115261276|XP_029718511.1|AEAL, LOC115264603|XP_029724326.1|AEAL, LOC115261272|XP_029718507.1|AEAL
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC115261274|XP_029718509.1|AEAL, LOC109401799|XP_029718532.1|AEAL
OG0000010	LOC120457967|XP_039501402.1|DSAN	LOC115261275|XP_029718510.1|AEAL
OG0000012	LOC120445821|XP_039482372.1|DSAN, LOC120445820|XP_039482371.1|DSAN, LOC120446192|XP_039482973.1|DSAN, LOC120446256|XP_039483062.1|DSAN, LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC109401240|XP_019529248.2|AEAL
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC109430791|XP_019562417.1|AEAL
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL
OG0000013	LOC120452623|XP_039492863.1|DSAN, LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000016	LOC120451140|XP_039490495.1|DSAN, LOC120444605|XP_039480314.1|DSAN	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC109414002|XP_019543272.1|AEAL
OG0000019	LOC120453199|XP_039493718.1|DSAN, LOC120453201|XP_039493721.1|DSAN, LOC120453202|XP_039493723.1|DSAN, LOC120453194|XP_039493696.1|DSAN, LOC120453200|XP_039493720.1|DSAN, LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL
OG0000020	LOC120451285|XP_039490765.1|DSAN, LOC120445014|XP_039481012.1|DSAN	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN, LOC120450860|XP_039490007.1|DSAN, LOC120453863|XP_039494701.1|DSAN, LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL
OG0000021	LOC120450748|XP_039489804.1|DSAN, LOC120454061|XP_039495000.1|DSAN, LOC120456471|XP_039499263.1|DSAN	LOC109412802|XP_029732887.1|AEAL
OG0000022	LOC120445477|XP_039481858.1|DSAN, LOC120449728|XP_039488291.1|DSAN, LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN, LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN, LOC120449729|XP_039488292.1|DSAN	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN, LOC120454388|XP_039495572.1|DSAN, LOC120444959|XP_039480909.1|DSAN, LOC120453781|XP_039494563.1|DSAN, LOC120453806|XP_039494614.1|DSAN, LOC120450927|XP_039490127.1|DSAN, LOC120453011|XP_039493460.1|DSAN, LOC120450929|XP_039490129.1|DSAN	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN, LOC120445293|XP_039481530.1|DSAN, LOC120446616|XP_039483595.1|DSAN, LOC120446257|XP_039483064.1|DSAN, LOC120446965|XP_039484167.1|DSAN	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC120453411|XP_039494047.1|DSAN, LOC120456451|XP_039499224.1|DSAN	LOC109413799|XP_019543073.1|AEAL
OG0000025	LOC120457929|XP_039501366.1|DSAN	LOC109431226|XP_029724373.1|AEAL
OG0000026	LOC120456651|XP_039499515.1|DSAN, LOC120453885|XP_039494736.1|DSAN	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL
OG0000027	LOC120458674|XP_039502344.1|DSAN, LOC120458543|XP_039502157.1|DSAN, LOC120458684|XP_039502355.1|DSAN	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL
OG0000028	LOC120447590|XP_039484991.1|DSAN, LOC120447589|XP_039484990.1|DSAN, LOC120447591|XP_039484992.1|DSAN, LOC120447592|XP_039484994.1|DSAN, LOC120447587|XP_039484989.1|DSAN, LOC120447866|XP_039485407.1|DSAN	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL
OG0000029	LOC120454032|XP_039494960.1|DSAN, LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN, LOC120452245|XP_039492306.1|DSAN, LOC120448524|XP_039486496.1|DSAN	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN, LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL
OG0000032	LOC120451694|XP_039491522.1|DSAN, LOC120453292|XP_039493855.1|DSAN, LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN, LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC109404182|XP_019532551.2|AEAL, LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN, LOC120447093|XP_039484433.1|DSAN, LOC120447092|XP_039484432.1|DSAN, LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN, LOC120458883|XP_039502653.1|DSAN	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL, LOC109422421|XP_019552762.2|AEAL
OG0000035	LOC120457486|XP_039500973.1|DSAN, LOC120445830|XP_039482385.1|DSAN, LOC120455841|XP_039498244.1|DSAN, LOC120456938|XP_039500011.1|DSAN, LOC120445462|XP_039481840.1|DSAN, LOC120446640|XP_039483642.1|DSAN, LOC120457505|XP_039500991.1|DSAN, LOC120453629|XP_039494355.1|DSAN, LOC120451089|XP_039490413.1|DSAN, LOC120452368|XP_039492492.1|DSAN, LOC120456274|XP_039498941.1|DSAN, LOC120450885|XP_039490059.1|DSAN, LOC120457553|XP_039501025.1|DSAN, LOC120445700|XP_039482192.1|DSAN, LOC120445691|XP_039482183.1|DSAN, LOC120457524|XP_039501002.1|DSAN, LOC120450091|XP_039488817.1|DSAN, LOC120457508|XP_039500995.1|DSAN, LOC120457638|XP_039501067.1|DSAN, LOC120457639|XP_039501068.1|DSAN, LOC120451416|XP_039491025.1|DSAN, LOC120457081|XP_039500195.1|DSAN	LOC115268848|XP_029732879.1|AEAL
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC109424827|XP_019555564.2|AEAL
OG0000037	LOC120445359|XP_039481651.1|DSAN, LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL, LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC109422559|XP_029727967.1|AEAL, LOC109422710|XP_029727894.1|AEAL
OG0000043	LOC120453988|XP_039494877.1|DSAN, LOC120453019|XP_039493471.1|DSAN, LOC120453349|XP_039493953.1|DSAN, LOC120453637|XP_039494364.1|DSAN, LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC109408672|XP_019537578.2|AEAL, LOC109414818|XP_019544201.2|AEAL, LOC109418033|XP_029726645.1|AEAL
OG0000044	LOC120452826|XP_039493165.1|DSAN, LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN, LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN, LOC120453569|XP_039494260.1|DSAN	LOC115264850|XP_029724740.1|AEAL, LOC109422698|XP_029727931.1|AEAL
OG0000045	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN, LOC120448761|XP_039486880.1|DSAN, LOC120448760|XP_039486879.1|DSAN	LOC109420320|XP_019550189.2|AEAL, LOC109401625|XP_019529740.2|AEAL
OG0000047	LOC120446362|XP_039483228.1|DSAN, LOC120446445|XP_039483359.1|DSAN, LOC120447165|XP_039484555.1|DSAN, LOC120449448|XP_039487853.1|DSAN, LOC120446374|XP_039483239.1|DSAN, LOC120450023|XP_039488699.1|DSAN	LOC109430117|XP_029718231.1|AEAL
OG0000048	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN, LOC120447858|XP_039485399.1|DSAN, LOC120447864|XP_039485406.1|DSAN	LOC109426621|XP_019557695.1|AEAL, LOC115265708|XP_029727528.1|AEAL, LOC109426620|XP_019557694.2|AEAL, LOC115265702|XP_029727525.1|AEAL
OG0000049	LOC120451912|XP_039491855.1|DSAN, LOC120454479|XP_039495747.1|DSAN, LOC120451908|XP_039491850.1|DSAN, LOC120451909|XP_039491851.1|DSAN, LOC120451911|XP_039491854.1|DSAN, LOC120454478|XP_039495745.1|DSAN	LOC109399452|XP_019527436.2|AEAL, LOC109399533|XP_019527529.1|AEAL, LOC109398113|XP_019526019.1|AEAL, LOC115263197|XP_029722019.1|AEAL, LOC115263209|XP_029722054.1|AEAL, LOC109430845|XP_019562486.2|AEAL
OG0000051	LOC120454079|XP_039495023.1|DSAN, LOC120450805|XP_039489908.1|DSAN, LOC120453085|XP_039493545.1|DSAN, LOC120452423|XP_039492584.1|DSAN, LOC120454116|XP_039495080.1|DSAN	LOC109430500|XP_029732671.1|AEAL, LOC109413829|XP_019543100.2|AEAL, LOC109430428|XP_029732623.1|AEAL, LOC109430433|XP_019562037.2|AEAL, LOC115268560|XP_029732528.1|AEAL, LOC109413823|XP_019543095.2|AEAL, LOC109409607|XP_029718954.1|AEAL, LOC109430439|XP_019562042.2|AEAL, LOC115255265|XP_029709099.1|AEAL, LOC109413830|XP_029709535.1|AEAL, LOC109405777|XP_029730639.1|AEAL, LOC109430435|XP_019562039.2|AEAL, LOC109430411|XP_019562018.2|AEAL, LOC109413821|XP_019543093.2|AEAL, LOC115268580|XP_029732559.1|AEAL, LOC109405721|XP_019534339.2|AEAL, LOC115267635|XP_029730641.1|AEAL, LOC115268656|XP_029732628.1|AEAL, LOC109430430|XP_019562033.2|AEAL, LOC109413827|XP_019543098.2|AEAL, LOC109430429|XP_019562032.2|AEAL, LOC109430431|XP_019562034.2|AEAL
OG0000053	LOC120458373|XP_039501926.1|DSAN, LOC120458372|XP_039501925.1|DSAN, LOC120458371|XP_039501924.1|DSAN	LOC109399585|XP_019527609.2|AEAL, LOC109426036|XP_019557019.2|AEAL, LOC109426037|XP_029731825.1|AEAL
OG0000054	LOC120451731|XP_039491574.1|DSAN, LOC120451217|XP_039490630.1|DSAN, LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN	LOC109408663|XP_019537561.2|AEAL, LOC109403074|XP_019531357.2|AEAL, LOC109408662|XP_019537559.2|AEAL, LOC109408659|XP_029735838.1|AEAL, LOC109408675|XP_029734574.1|AEAL, LOC109403053|XP_029735706.1|AEAL, LOC109408692|XP_029734575.1|AEAL, LOC109403004|XP_019531261.2|AEAL, LOC109408694|XP_019537603.2|AEAL
OG0000055	LOC120452017|XP_039491994.1|DSAN, LOC120452015|XP_039491992.1|DSAN, LOC120452018|XP_039491995.1|DSAN, LOC120454320|XP_039495456.1|DSAN	LOC115256529|XP_029711077.1|AEAL
OG0000056	LOC120454503|XP_039495790.1|DSAN, LOC120454502|XP_039495789.1|DSAN, LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN, LOC120450990|XP_039490227.1|DSAN	LOC115254536|XP_029707956.1|AEAL, LOC109397278|XP_029712433.1|AEAL, LOC109423208|XP_019553687.2|AEAL, LOC115255644|XP_029709605.1|AEAL, LOC109405345|XP_029709588.1|AEAL
OG0000058	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN, LOC120456673|XP_039499561.1|DSAN, LOC120456892|XP_039499925.1|DSAN	LOC109413458|XP_019542679.2|AEAL, LOC115265775|XP_029727582.1|AEAL, LOC109623107|XP_019933135.2|AEAL, LOC109405129|XP_019533674.2|AEAL
OG0000060	LOC120457148|XP_039500354.1|DSAN	LOC115253826|XP_029711789.1|AEAL, LOC109415565|XP_019544994.1|AEAL, LOC109431105|XP_029711394.1|AEAL, LOC115256864|XP_029711798.1|AEAL
OG0000060	LOC120453827|XP_039494650.1|DSAN	LOC109421315|XP_029726943.1|AEAL, LOC109621270|XP_029727055.1|AEAL
OG0000061	LOC120458680|XP_039502351.1|DSAN, LOC120449973|XP_039488618.1|DSAN, LOC120456052|XP_039498568.1|DSAN, LOC120458126|XP_039501597.1|DSAN	LOC109412047|XP_019541235.2|AEAL, LOC115259629|XP_029716255.1|AEAL, LOC109398453|XP_029716337.1|AEAL, LOC109424658|XP_019555373.2|AEAL
OG0000067	LOC120448549|XP_039486536.1|DSAN	LOC109411462|XP_019540532.2|AEAL
