Orthogroup	DSAN.longest_only	DPSE.longest_only
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC6902590|XP_002133118.2|DPSE
OG0000005	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE
OG0000006	LOC120457932|XP_039501372.1|DSAN	LOC117185602|XP_033241630.1|DPSE
OG0000006	LOC120457931|XP_039501371.1|DSAN	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC120457940|XP_039501381.1|DSAN, LOC120446201|XP_039482984.1|DSAN, LOC120457933|XP_039501373.1|DSAN, LOC120457937|XP_039501378.1|DSAN, LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN, LOC120457943|XP_039501383.1|DSAN, LOC120445991|XP_039482657.1|DSAN	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC120449828|XP_039488411.1|DSAN	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC120453301|XP_039493868.1|DSAN	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC117185617|XP_033241647.1|DPSE, LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC120457684|XP_039501107.1|DSAN, LOC120457972|XP_039501407.1|DSAN	LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC26532710|XP_015035140.1|DPSE
OG0000011	LOC120456909|XP_039499973.1|DSAN, LOC120458387|XP_039501940.1|DSAN, LOC120458388|XP_039501941.1|DSAN, LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN, LOC120449699|XP_039488248.1|DSAN, LOC120454523|XP_039495825.1|DSAN, LOC120444818|XP_039480708.1|DSAN, LOC120447070|XP_039484395.1|DSAN, LOC120445760|XP_039482290.1|DSAN, LOC120454945|XP_039496647.1|DSAN	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	LOC120449538|XP_039487994.1|DSAN	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC6900040|XP_002135404.2|DPSE
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC120445730|XP_039482234.1|DSAN	LOC4804263|XP_001360847.3|DPSE
OG0000012	LOC120446629|XP_039483624.1|DSAN	LOC6898438|XP_002138480.2|DPSE
OG0000012	LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN	LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC120446006|XP_039482689.1|DSAN	LOC6898439|XP_002138481.3|DPSE
OG0000012	LOC120446007|XP_039482691.1|DSAN	LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000014	LOC120450089|XP_039488815.1|DSAN	LOC117184937|XP_033240069.1|DPSE
OG0000015	LOC120445789|XP_039482329.1|DSAN	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC120445231|XP_039481423.1|DSAN	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC120444059|XP_039479503.1|DSAN	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC120450954|XP_039490174.1|DSAN	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC120458133|XP_039501613.1|DSAN	LOC4805006|XP_001361476.2|DPSE
OG0000017	LOC120453270|XP_039493835.1|DSAN	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	LOC120445309|XP_039481553.1|DSAN	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC120454864|XP_039496354.1|DSAN	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC120445308|XP_039481552.1|DSAN	LOC4804477|XP_001361035.3|DPSE
OG0000017	LOC120454377|XP_039495551.1|DSAN	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC120449281|XP_039487598.1|DSAN	LOC4813480|XP_001353827.2|DPSE
OG0000018	LOC120448951|XP_039487134.1|DSAN, LOC120448952|XP_039487135.1|DSAN, LOC120448659|XP_039486726.1|DSAN	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000019	LOC120453199|XP_039493718.1|DSAN	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC120453194|XP_039493696.1|DSAN	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC120453200|XP_039493720.1|DSAN	LOC4801131|XP_001358273.2|DPSE
OG0000019	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC120451285|XP_039490765.1|DSAN	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC120445014|XP_039481012.1|DSAN	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC120450860|XP_039490007.1|DSAN	LOC117183221|XP_033232918.1|DPSE
OG0000020	LOC120453863|XP_039494701.1|DSAN	LOC6897832|XP_002137937.1|DPSE
OG0000020	LOC120457706|XP_039501135.1|DSAN	LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC120458794|XP_039502520.1|DSAN	LOC6898835|XP_002138808.1|DPSE
OG0000021	LOC120445641|XP_039482116.1|DSAN	LOC6898840|XP_002138811.3|DPSE
OG0000021	LOC120445227|XP_039481419.1|DSAN	LOC4805268|XP_001361693.2|DPSE
OG0000021	LOC120444372|XP_039479913.1|DSAN	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC120450748|XP_039489804.1|DSAN	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC120454061|XP_039495000.1|DSAN	LOC4800831|XP_001358035.1|DPSE
OG0000021	LOC120456471|XP_039499263.1|DSAN	LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC120445477|XP_039481858.1|DSAN	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC120449728|XP_039488291.1|DSAN	LOC6899947|XP_002135315.1|DPSE
OG0000022	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE
OG0000022	LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN	LOC4812049|XP_001352467.1|DPSE
OG0000022	LOC120449729|XP_039488292.1|DSAN	LOC6899946|XP_002135314.1|DPSE
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN	LOC6897864|XP_033232668.1|DPSE
OG0000023	LOC120454388|XP_039495572.1|DSAN	LOC4802964|XP_001359777.4|DPSE
OG0000023	LOC120444959|XP_039480909.1|DSAN	LOC4804210|XP_001360806.2|DPSE
OG0000023	LOC120453781|XP_039494563.1|DSAN	LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC120453806|XP_039494614.1|DSAN	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC120450927|XP_039490127.1|DSAN	LOC5495505|XP_001359769.4|DPSE
OG0000023	LOC120453011|XP_039493460.1|DSAN	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC120450929|XP_039490129.1|DSAN	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC120445292|XP_039481529.1|DSAN	LOC5495520|XP_001361563.3|DPSE
OG0000024	LOC120445293|XP_039481530.1|DSAN	LOC4805107|XP_001361564.1|DPSE
OG0000024	LOC120446616|XP_039483595.1|DSAN	LOC6899225|XP_002136299.3|DPSE
OG0000024	LOC120446257|XP_039483064.1|DSAN	LOC5495508|XP_001361566.2|DPSE
OG0000024	LOC120446965|XP_039484167.1|DSAN	LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC120456451|XP_039499224.1|DSAN	LOC6901557|XP_002134231.1|DPSE
OG0000026	LOC120456669|XP_039499542.1|DSAN	LOC4814777|XP_001354707.2|DPSE
OG0000026	LOC120458576|XP_039502209.1|DSAN	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC120456651|XP_039499515.1|DSAN	LOC4815876|XP_001355332.2|DPSE
OG0000026	LOC120453885|XP_039494736.1|DSAN	LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC120458674|XP_039502344.1|DSAN	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC120458543|XP_039502157.1|DSAN	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC120458684|XP_039502355.1|DSAN	LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC120447587|XP_039484989.1|DSAN	LOC6900255|XP_002135584.2|DPSE
OG0000028	LOC120447866|XP_039485407.1|DSAN	LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE
OG0000029	LOC120452245|XP_039492306.1|DSAN	LOC6897267|XP_033233167.1|DPSE
OG0000029	LOC120448524|XP_039486496.1|DSAN	LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC120458250|XP_039501773.1|DSAN	LOC4817563|XP_001356970.3|DPSE
OG0000030	LOC120458016|XP_039501452.1|DSAN	LOC4817564|XP_002132859.2|DPSE
OG0000030	LOC120457864|XP_039501320.1|DSAN	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	LOC120458849|XP_039502609.1|DSAN	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC120445779|XP_039482317.1|DSAN	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC120455262|XP_039497197.1|DSAN	LOC4816069|XP_001355235.2|DPSE
OG0000030	LOC120456032|XP_039498536.1|DSAN	LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN	LOC6902663|XP_015036753.2|DPSE
OG0000031	LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000031	LOC120456119|XP_039498683.1|DSAN	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC120453292|XP_039493855.1|DSAN	LOC4800808|XP_001358017.2|DPSE
OG0000032	LOC120453694|XP_039494449.1|DSAN	LOC6896921|XP_033236577.1|DPSE
OG0000032	LOC120451410|XP_039491015.1|DSAN	LOC4800814|XP_001358021.1|DPSE
OG0000032	LOC120451635|XP_039491427.1|DSAN	LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC120452564|XP_039492778.1|DSAN, LOC120452239|XP_039492298.1|DSAN	LOC4800626|XP_001357867.3|DPSE
OG0000033	LOC120443742|XP_039478933.1|DSAN	LOC6898089|XP_002138174.1|DPSE
OG0000033	LOC120443741|XP_039478932.1|DSAN	LOC6898093|XP_002138175.2|DPSE
OG0000033	LOC120447695|XP_039485159.1|DSAN, LOC120452485|XP_039492667.1|DSAN, LOC120446152|XP_039482915.1|DSAN, LOC120446144|XP_039482905.1|DSAN	LOC4800868|XP_001358066.3|DPSE
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN	LOC4817450|XP_001356533.3|DPSE
OG0000034	LOC120447093|XP_039484433.1|DSAN	LOC4817037|XP_001356534.3|DPSE
OG0000034	LOC120447092|XP_039484432.1|DSAN	LOC6902878|XP_002132612.2|DPSE
OG0000034	LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE
OG0000034	LOC120458883|XP_039502653.1|DSAN	LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC120452669|XP_039492941.1|DSAN	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN	LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC120445359|XP_039481651.1|DSAN	LOC4803745|XP_001360410.4|DPSE
OG0000037	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC120456815|XP_039499797.1|DSAN	LOC4815394|XP_001354810.3|DPSE
OG0000039	LOC120456766|XP_039499698.1|DSAN	LOC4814563|XP_001354811.1|DPSE
OG0000039	LOC120455951|XP_039498428.1|DSAN	LOC6901668|XP_002134337.3|DPSE
OG0000040	LOC120453227|XP_039493756.1|DSAN	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	LOC120453230|XP_039493764.1|DSAN	LOC4803144|XP_001359934.2|DPSE
OG0000040	LOC120453844|XP_039494674.1|DSAN	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE
OG0000040	LOC120453843|XP_039494672.1|DSAN	LOC6897971|XP_002138070.1|DPSE
OG0000040	LOC120453846|XP_039494677.1|DSAN	LOC4803208|XP_001359988.4|DPSE
OG0000040	LOC120454621|XP_039496023.1|DSAN	LOC4801113|XP_001358260.2|DPSE
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE
OG0000041	LOC120453724|XP_039494486.1|DSAN	LOC4802353|XP_001359283.3|DPSE
OG0000041	LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC6897572|XP_033240353.1|DPSE
OG0000042	LOC120456654|XP_039499520.1|DSAN	LOC6902242|XP_002133769.2|DPSE
OG0000042	LOC120446237|XP_039483042.1|DSAN	LOC4804794|XP_001361299.3|DPSE
OG0000042	LOC120446238|XP_039483043.1|DSAN	LOC5495510|XP_001361301.4|DPSE
OG0000042	LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN	LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE
OG0000042	LOC120446234|XP_039483038.1|DSAN	LOC4804792|XP_001361298.2|DPSE
OG0000043	LOC120453988|XP_039494877.1|DSAN	LOC4803128|XP_001359922.2|DPSE
OG0000043	LOC120453019|XP_039493471.1|DSAN	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE
OG0000043	LOC120453349|XP_039493953.1|DSAN	LOC4803134|XP_001359926.3|DPSE
OG0000043	LOC120453637|XP_039494364.1|DSAN	LOC4803126|XP_001359920.4|DPSE
OG0000043	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN	LOC6897937|XP_002138039.2|DPSE
OG0000043	LOC120453380|XP_039493988.1|DSAN	LOC4803132|XP_001359925.3|DPSE
OG0000044	LOC120452826|XP_039493165.1|DSAN	LOC4802344|XP_001359278.1|DPSE
OG0000044	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE
OG0000044	LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN	LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE
OG0000044	LOC120453569|XP_039494260.1|DSAN	LOC4802849|XP_001359684.3|DPSE
