Orthogroup	DSAN.longest_only	DNOV.longest_only
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC120453056|XP_039493512.1|DSAN	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC115757743|XP_030553989.1|DNOV, LOC115761844|XP_030559686.1|DNOV, LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	LOC120446987|XP_039484221.1|DSAN	LOC115763530|XP_030562001.1|DNOV
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC120445231|XP_039481423.1|DSAN	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC120444059|XP_039479503.1|DSAN	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC120450954|XP_039490174.1|DSAN	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC120453270|XP_039493835.1|DSAN	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC120445309|XP_039481553.1|DSAN	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC120454864|XP_039496354.1|DSAN	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC120454377|XP_039495551.1|DSAN	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC120447671|XP_039485130.1|DSAN	LOC115762718|XP_030560904.1|DNOV
OG0000019	LOC120453199|XP_039493718.1|DSAN	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC120453194|XP_039493696.1|DSAN	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC120453200|XP_039493720.1|DSAN	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC120451285|XP_039490765.1|DSAN	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC120445014|XP_039481012.1|DSAN	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC120450860|XP_039490007.1|DSAN	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC120453863|XP_039494701.1|DSAN	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC120458794|XP_039502520.1|DSAN	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC120445641|XP_039482116.1|DSAN	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC120445227|XP_039481419.1|DSAN	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC120444372|XP_039479913.1|DSAN	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC120450748|XP_039489804.1|DSAN	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC120454061|XP_039495000.1|DSAN	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC120456471|XP_039499263.1|DSAN	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC120445477|XP_039481858.1|DSAN	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN, LOC120449729|XP_039488292.1|DSAN	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC120454388|XP_039495572.1|DSAN	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC120444959|XP_039480909.1|DSAN	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC120453781|XP_039494563.1|DSAN	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC120453806|XP_039494614.1|DSAN	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC120450927|XP_039490127.1|DSAN	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC120453011|XP_039493460.1|DSAN	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC120450929|XP_039490129.1|DSAN	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC120446616|XP_039483595.1|DSAN	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC120446257|XP_039483064.1|DSAN	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC120446965|XP_039484167.1|DSAN	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC120453411|XP_039494047.1|DSAN, LOC120456451|XP_039499224.1|DSAN	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC120446200|XP_039482983.1|DSAN, LOC120446199|XP_039482982.1|DSAN, LOC120457929|XP_039501366.1|DSAN	LOC115770696|XP_030571951.1|DNOV
OG0000026	LOC120456669|XP_039499542.1|DSAN	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC120458576|XP_039502209.1|DSAN	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC120453885|XP_039494736.1|DSAN	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC120458674|XP_039502344.1|DSAN	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC120458684|XP_039502355.1|DSAN	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC120447587|XP_039484989.1|DSAN	LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC120452245|XP_039492306.1|DSAN	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC120448524|XP_039486496.1|DSAN	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC120458250|XP_039501773.1|DSAN	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC120458849|XP_039502609.1|DSAN	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC120445779|XP_039482317.1|DSAN	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC120455262|XP_039497197.1|DSAN	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC120456032|XP_039498536.1|DSAN	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC120456119|XP_039498683.1|DSAN	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC120451694|XP_039491522.1|DSAN	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC120443741|XP_039478932.1|DSAN	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC120447093|XP_039484433.1|DSAN	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC120447092|XP_039484432.1|DSAN	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC120453778|XP_039494559.1|DSAN	LOC115759327|XP_030556099.1|DNOV
OG0000034	LOC120458883|XP_039502653.1|DSAN	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC120452669|XP_039492941.1|DSAN	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC120445359|XP_039481651.1|DSAN	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC120456815|XP_039499797.1|DSAN	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC120456766|XP_039499698.1|DSAN	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC120455951|XP_039498428.1|DSAN	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC120453230|XP_039493764.1|DSAN	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC120453844|XP_039494674.1|DSAN, LOC120453843|XP_039494672.1|DSAN	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC120453846|XP_039494677.1|DSAN	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC120454621|XP_039496023.1|DSAN	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC120453019|XP_039493471.1|DSAN	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC120453637|XP_039494364.1|DSAN	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC120452826|XP_039493165.1|DSAN	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC120453569|XP_039494260.1|DSAN	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC120448397|XP_039486321.1|DSAN	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC120448761|XP_039486880.1|DSAN	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC120448760|XP_039486879.1|DSAN	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC120446445|XP_039483359.1|DSAN	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC120447165|XP_039484555.1|DSAN	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC120446374|XP_039483239.1|DSAN	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN	LOC115762848|XP_030561084.1|DNOV
OG0000048	LOC120447858|XP_039485399.1|DSAN	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC120447864|XP_039485406.1|DSAN	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC120451912|XP_039491855.1|DSAN	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC120454479|XP_039495747.1|DSAN	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC120451908|XP_039491850.1|DSAN	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC120451911|XP_039491854.1|DSAN	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC120454478|XP_039495745.1|DSAN	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC120444560|XP_039480251.1|DSAN	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC120450145|XP_039488909.1|DSAN	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC120450199|XP_039489001.1|DSAN	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC120449121|XP_039487366.1|DSAN	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC120450198|XP_039489000.1|DSAN	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC120454079|XP_039495023.1|DSAN	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC120450805|XP_039489908.1|DSAN	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC120446961|XP_039484150.1|DSAN	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC120446960|XP_039484149.1|DSAN	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC120458373|XP_039501926.1|DSAN	LOC115771927|XP_030573689.1|DNOV
OG0000053	LOC120458372|XP_039501925.1|DSAN	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC120458371|XP_039501924.1|DSAN	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC120458368|XP_039501922.1|DSAN	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC120458380|XP_039501934.1|DSAN	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC120451731|XP_039491574.1|DSAN	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC120451217|XP_039490630.1|DSAN	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN	LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC120452017|XP_039491994.1|DSAN, LOC120452015|XP_039491992.1|DSAN	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV
OG0000056	LOC120454503|XP_039495790.1|DSAN	LOC115764820|XP_030563929.1|DNOV
OG0000056	LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN	LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN	LOC115758934|XP_030555595.1|DNOV
OG0000058	LOC120456673|XP_039499561.1|DSAN	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV
OG0000058	LOC120456892|XP_039499925.1|DSAN	LOC115766835|XP_030566732.1|DNOV
