Orthogroup	DSAN.longest_only	CQUI.longest_only
OG0000009	LOC120452846|XP_039493217.1|DSAN, LOC120453968|XP_039494853.1|DSAN, LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN, LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN, LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC120457966|XP_039501401.1|DSAN, LOC120451706|XP_039491540.1|DSAN, LOC120446204|XP_039482989.1|DSAN, LOC120457973|XP_039501408.1|DSAN, LOC120457963|XP_039501400.1|DSAN, LOC120457684|XP_039501107.1|DSAN, LOC120457972|XP_039501407.1|DSAN, LOC120457967|XP_039501402.1|DSAN	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC6048602|XP_038111058.1|CQUI
OG0000012	LOC120445821|XP_039482372.1|DSAN, LOC120445820|XP_039482371.1|DSAN, LOC120446192|XP_039482973.1|DSAN, LOC120446256|XP_039483062.1|DSAN, LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC120452623|XP_039492863.1|DSAN, LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC6047923|XP_001864910.2|CQUI
OG0000016	LOC120451140|XP_039490495.1|DSAN, LOC120444605|XP_039480314.1|DSAN	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC6049793|XP_038119134.1|CQUI
OG0000019	LOC120453199|XP_039493718.1|DSAN, LOC120453201|XP_039493721.1|DSAN, LOC120453202|XP_039493723.1|DSAN, LOC120453194|XP_039493696.1|DSAN, LOC120453200|XP_039493720.1|DSAN, LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC120451285|XP_039490765.1|DSAN, LOC120445014|XP_039481012.1|DSAN	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN, LOC120450860|XP_039490007.1|DSAN, LOC120453863|XP_039494701.1|DSAN, LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC120450748|XP_039489804.1|DSAN, LOC120454061|XP_039495000.1|DSAN, LOC120456471|XP_039499263.1|DSAN	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC120445477|XP_039481858.1|DSAN, LOC120449728|XP_039488291.1|DSAN, LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN, LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN, LOC120449729|XP_039488292.1|DSAN	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN, LOC120454388|XP_039495572.1|DSAN, LOC120444959|XP_039480909.1|DSAN, LOC120453781|XP_039494563.1|DSAN, LOC120453806|XP_039494614.1|DSAN, LOC120450927|XP_039490127.1|DSAN, LOC120453011|XP_039493460.1|DSAN, LOC120450929|XP_039490129.1|DSAN	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN, LOC120445293|XP_039481530.1|DSAN, LOC120446616|XP_039483595.1|DSAN, LOC120446257|XP_039483064.1|DSAN, LOC120446965|XP_039484167.1|DSAN	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC120456451|XP_039499224.1|DSAN	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000026	LOC120456651|XP_039499515.1|DSAN, LOC120453885|XP_039494736.1|DSAN	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC120458674|XP_039502344.1|DSAN, LOC120458543|XP_039502157.1|DSAN, LOC120458684|XP_039502355.1|DSAN	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	LOC120447590|XP_039484991.1|DSAN, LOC120447589|XP_039484990.1|DSAN, LOC120447591|XP_039484992.1|DSAN, LOC120447592|XP_039484994.1|DSAN, LOC120447587|XP_039484989.1|DSAN, LOC120447866|XP_039485407.1|DSAN	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	LOC120454032|XP_039494960.1|DSAN, LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN, LOC120452245|XP_039492306.1|DSAN, LOC120448524|XP_039486496.1|DSAN	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN, LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000032	LOC120451694|XP_039491522.1|DSAN, LOC120453292|XP_039493855.1|DSAN, LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN, LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN, LOC120447093|XP_039484433.1|DSAN, LOC120447092|XP_039484432.1|DSAN, LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN, LOC120458883|XP_039502653.1|DSAN	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC6035433|XP_001845622.2|CQUI
OG0000037	LOC120445359|XP_039481651.1|DSAN, LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC6047259|XP_001864341.2|CQUI
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC120453988|XP_039494877.1|DSAN, LOC120453019|XP_039493471.1|DSAN, LOC120453349|XP_039493953.1|DSAN, LOC120453637|XP_039494364.1|DSAN, LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI
OG0000044	LOC120452826|XP_039493165.1|DSAN, LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN, LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN, LOC120453569|XP_039494260.1|DSAN	LOC6043407|XP_038120989.1|CQUI
OG0000047	LOC120446362|XP_039483228.1|DSAN, LOC120446445|XP_039483359.1|DSAN, LOC120447165|XP_039484555.1|DSAN, LOC120449448|XP_039487853.1|DSAN, LOC120446374|XP_039483239.1|DSAN, LOC120450023|XP_039488699.1|DSAN	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN, LOC120447858|XP_039485399.1|DSAN, LOC120447864|XP_039485406.1|DSAN	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI
OG0000049	LOC120451912|XP_039491855.1|DSAN, LOC120454479|XP_039495747.1|DSAN, LOC120451908|XP_039491850.1|DSAN, LOC120451909|XP_039491851.1|DSAN, LOC120451911|XP_039491854.1|DSAN, LOC120454478|XP_039495745.1|DSAN	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI
OG0000051	LOC120454079|XP_039495023.1|DSAN, LOC120450805|XP_039489908.1|DSAN, LOC120453085|XP_039493545.1|DSAN, LOC120452423|XP_039492584.1|DSAN, LOC120454116|XP_039495080.1|DSAN	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC120458373|XP_039501926.1|DSAN, LOC120458372|XP_039501925.1|DSAN, LOC120458371|XP_039501924.1|DSAN	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI
OG0000054	LOC120451731|XP_039491574.1|DSAN, LOC120451217|XP_039490630.1|DSAN, LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC120452017|XP_039491994.1|DSAN, LOC120452015|XP_039491992.1|DSAN, LOC120452018|XP_039491995.1|DSAN, LOC120454320|XP_039495456.1|DSAN	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC120454503|XP_039495790.1|DSAN, LOC120454502|XP_039495789.1|DSAN, LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN, LOC120450990|XP_039490227.1|DSAN	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000058	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN, LOC120456673|XP_039499561.1|DSAN, LOC120456892|XP_039499925.1|DSAN	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI
OG0000060	LOC120457148|XP_039500354.1|DSAN	LOC6052719|XP_038111213.1|CQUI
OG0000060	LOC120453827|XP_039494650.1|DSAN	LOC6034874|XP_038108204.1|CQUI
OG0000061	LOC120458680|XP_039502351.1|DSAN, LOC120449973|XP_039488618.1|DSAN, LOC120456052|XP_039498568.1|DSAN, LOC120458126|XP_039501597.1|DSAN	LOC6034209|XP_001844562.2|CQUI
OG0000067	LOC120454266|XP_039495354.1|DSAN, LOC120457853|XP_039501305.1|DSAN, LOC120450458|XP_039489412.1|DSAN	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI
OG0000067	LOC120448549|XP_039486536.1|DSAN	LOC6032826|XP_038121454.1|CQUI
OG0000068	LOC120447690|XP_039485154.1|DSAN, LOC120450869|XP_039490026.1|DSAN, LOC120448372|XP_039486275.1|DSAN, LOC120447208|XP_039484652.1|DSAN, LOC120454977|XP_039496696.1|DSAN	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI
OG0000070	LOC120458437|XP_039502014.1|DSAN, LOC120456297|XP_039498979.1|DSAN, LOC120449441|XP_039488053.1|DSAN, LOC120456697|XP_039499596.1|DSAN	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI
OG0000071	LOC120448314|XP_039486195.1|DSAN	LOC119766520|XP_038107045.1|CQUI
OG0000071	LOC120449503|XP_039487937.1|DSAN, LOC120449500|XP_039487934.1|DSAN, LOC120449502|XP_039487935.1|DSAN	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI
OG0000072	LOC120446358|XP_039483223.1|DSAN, LOC120446143|XP_039482904.1|DSAN, LOC120445202|XP_039481371.1|DSAN	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI
OG0000073	LOC120444353|XP_039479869.1|DSAN	LOC6036627|XP_001846655.1|CQUI
OG0000073	LOC120456580|XP_039499414.1|DSAN	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI
OG0000074	LOC120449385|XP_039487757.1|DSAN, LOC120450528|XP_039489549.1|DSAN	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI
OG0000076	LOC120447668|XP_039485120.1|DSAN	LOC6052885|XP_038117932.1|CQUI
OG0000076	LOC120455415|XP_039497494.1|DSAN	LOC119770103|XP_038120268.1|CQUI
OG0000077	LOC120444282|XP_039479731.1|DSAN	LOC6034293|XP_038107616.1|CQUI
OG0000077	LOC120452789|XP_039493115.1|DSAN	LOC119766730|XP_038108150.1|CQUI
OG0000077	LOC120445437|XP_039481803.1|DSAN	LOC6034296|XP_038108770.1|CQUI
OG0000077	LOC120451310|XP_039490813.1|DSAN	LOC6035184|XP_038117374.1|CQUI
OG0000078	LOC120446615|XP_039483594.1|DSAN, LOC120449498|XP_039487932.1|DSAN, LOC120454154|XP_039495149.1|DSAN, LOC120455667|XP_039497996.1|DSAN, LOC120457056|XP_039500165.1|DSAN	LOC6049605|XP_038114648.1|CQUI
OG0000080	LOC120445807|XP_039482353.1|DSAN, LOC120446014|XP_039482702.1|DSAN, LOC120445200|XP_039481358.1|DSAN	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI
OG0000082	LOC120444539|XP_039480221.1|DSAN, LOC120453176|XP_039493670.1|DSAN, LOC120454374|XP_039495543.1|DSAN	LOC6053936|XP_001869938.2|CQUI, LOC6035883|XP_038106135.1|CQUI, LOC6040822|XP_001850162.2|CQUI, LOC6053935|XP_038112245.1|CQUI, LOC6048581|XP_001865480.2|CQUI, LOC6041263|XP_038117473.1|CQUI, LOC6044163|XP_001861715.1|CQUI
OG0000083	LOC120458313|XP_039501854.1|DSAN, LOC120455686|XP_039498031.1|DSAN, LOC120456937|XP_039500014.1|DSAN, LOC120455860|XP_039498269.1|DSAN, LOC120455849|XP_039498257.1|DSAN, LOC120450759|XP_039489843.1|DSAN	LOC6049436|XP_038110738.1|CQUI, LOC6049432|XP_001866193.2|CQUI
OG0000084	LOC120446957|XP_039484147.1|DSAN	LOC6040637|XP_038118743.1|CQUI, LOC6040638|XP_038118742.1|CQUI, LOC6040643|XP_038117287.1|CQUI, LOC6040635|XP_001850003.2|CQUI, LOC6040641|XP_001850001.2|CQUI, LOC6037611|XP_038121017.1|CQUI, LOC6039554|XP_038121068.1|CQUI
OG0000084	LOC120444572|XP_039480266.1|DSAN	LOC6044981|XP_001862405.1|CQUI, LOC6050126|XP_038105300.1|CQUI, LOC6044985|XP_001862409.2|CQUI, LOC6044987|XP_038112285.1|CQUI, LOC6046173|XP_001863404.2|CQUI, LOC6044988|XP_001862412.2|CQUI, LOC6044990|XP_038121275.1|CQUI, LOC6044989|XP_001862413.2|CQUI, LOC6044991|XP_038112291.1|CQUI, LOC6035601|XP_001845751.2|CQUI
OG0000085	LOC120448625|XP_039486680.1|DSAN	LOC6043704|XP_001861330.2|CQUI
OG0000086	LOC120444981|XP_039480942.1|DSAN	LOC6046855|XP_001863974.2|CQUI
OG0000087	LOC120458014|XP_039501448.1|DSAN	LOC6046704|XP_001863865.2|CQUI, LOC6046705|XP_001863866.1|CQUI, LOC6046699|XP_038111910.1|CQUI, LOC6046707|XP_001863868.2|CQUI, LOC6046702|XP_001863863.2|CQUI, LOC6046700|XP_001863862.1|CQUI, LOC6046706|XP_001863867.2|CQUI
OG0000087	LOC120452956|XP_039493382.1|DSAN, LOC120451745|XP_039491597.1|DSAN	LOC6046726|XP_001863885.1|CQUI, LOC6046725|XP_001863884.1|CQUI
OG0000088	LOC120445629|XP_039482091.1|DSAN	LOC6043654|XP_038106206.1|CQUI
OG0000088	LOC120451916|XP_039491866.1|DSAN, LOC120448571|XP_039486565.1|DSAN, LOC120444823|XP_039480713.1|DSAN, LOC120448663|XP_039486732.1|DSAN	LOC119768033|XP_038114253.1|CQUI
OG0000089	LOC120454625|XP_039496027.1|DSAN, LOC120454392|XP_039495577.1|DSAN	LOC6051513|XP_001867948.1|CQUI
OG0000089	LOC120454433|XP_039495663.1|DSAN	LOC6044343|XP_001861873.1|CQUI
OG0000089	LOC120447506|XP_039484850.1|DSAN	LOC6036223|XP_001846298.2|CQUI, LOC6036139|XP_038118377.1|CQUI
