Orthogroup	DSAN.longest_only	DALB.longest_only
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000005	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC120457931|XP_039501371.1|DSAN	LOC117563579|XP_034097856.1|DALB
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000006	LOC120457674|XP_039501100.1|DSAN	LOC117564286|XP_034098876.1|DALB
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC120453056|XP_039493512.1|DSAN	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC117564301|XP_034098889.1|DALB
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC120446987|XP_039484221.1|DSAN	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC120445789|XP_039482329.1|DSAN, LOC120454309|XP_039495442.1|DSAN	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC120445231|XP_039481423.1|DSAN	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC120444059|XP_039479503.1|DSAN	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC120450954|XP_039490174.1|DSAN	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC120453270|XP_039493835.1|DSAN	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC120445309|XP_039481553.1|DSAN	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC120454864|XP_039496354.1|DSAN	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC120454377|XP_039495551.1|DSAN	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC120449277|XP_039487593.1|DSAN	LOC117571926|XP_034110299.1|DALB, LOC117569761|XP_034106945.1|DALB
OG0000018	LOC120447671|XP_039485130.1|DSAN	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC120448951|XP_039487134.1|DSAN, LOC120448952|XP_039487135.1|DSAN, LOC120448659|XP_039486726.1|DSAN	LOC117569766|XP_034106951.1|DALB
OG0000020	LOC120451285|XP_039490765.1|DSAN	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC120445014|XP_039481012.1|DSAN	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC120450860|XP_039490007.1|DSAN	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC120453863|XP_039494701.1|DSAN	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC120458794|XP_039502520.1|DSAN	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC120445641|XP_039482116.1|DSAN	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC120445227|XP_039481419.1|DSAN	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC120450748|XP_039489804.1|DSAN	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC120454061|XP_039495000.1|DSAN	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC120456471|XP_039499263.1|DSAN	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC120445477|XP_039481858.1|DSAN	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN, LOC120449729|XP_039488292.1|DSAN	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC120444959|XP_039480909.1|DSAN	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC120453806|XP_039494614.1|DSAN	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC120450927|XP_039490127.1|DSAN	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC120453011|XP_039493460.1|DSAN	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC120450929|XP_039490129.1|DSAN	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC120445293|XP_039481530.1|DSAN	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC120446616|XP_039483595.1|DSAN	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC120446257|XP_039483064.1|DSAN	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC120446965|XP_039484167.1|DSAN	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC120456451|XP_039499224.1|DSAN	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC120457929|XP_039501366.1|DSAN	LOC117566085|XP_034101455.1|DALB
OG0000026	LOC120456669|XP_039499542.1|DSAN	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC120458576|XP_039502209.1|DSAN	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC120453885|XP_039494736.1|DSAN	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC120458674|XP_039502344.1|DSAN	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC120458684|XP_039502355.1|DSAN	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC120447587|XP_039484989.1|DSAN	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC120452245|XP_039492306.1|DSAN	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC120448524|XP_039486496.1|DSAN	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC120458250|XP_039501773.1|DSAN	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC120458849|XP_039502609.1|DSAN	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC120445779|XP_039482317.1|DSAN	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC120455262|XP_039497197.1|DSAN	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC120456032|XP_039498536.1|DSAN	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC120456119|XP_039498683.1|DSAN	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC120451694|XP_039491522.1|DSAN	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC120443741|XP_039478932.1|DSAN	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC120447093|XP_039484433.1|DSAN	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC120447092|XP_039484432.1|DSAN	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC120453778|XP_039494559.1|DSAN	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB
OG0000034	LOC120458883|XP_039502653.1|DSAN	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC120451416|XP_039491025.1|DSAN, LOC120457081|XP_039500195.1|DSAN	LOC117577461|XP_034118238.1|DALB, LOC117577285|XP_034118153.1|DALB, LOC117577448|XP_034118230.1|DALB, LOC117577266|XP_034118142.1|DALB, LOC117577460|XP_034118236.1|DALB, LOC117577290|XP_034118157.1|DALB, LOC117576887|XP_034117917.1|DALB
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC120452669|XP_039492941.1|DSAN	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC120445359|XP_039481651.1|DSAN	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC120456815|XP_039499797.1|DSAN	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC120456766|XP_039499698.1|DSAN	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC120455951|XP_039498428.1|DSAN	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC120453230|XP_039493764.1|DSAN	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC120453846|XP_039494677.1|DSAN	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC120446234|XP_039483038.1|DSAN	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC120453019|XP_039493471.1|DSAN	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC120453349|XP_039493953.1|DSAN	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC120453637|XP_039494364.1|DSAN	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC120452826|XP_039493165.1|DSAN	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC120451723|XP_039491559.1|DSAN	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC120453569|XP_039494260.1|DSAN	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC120448397|XP_039486321.1|DSAN	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC120448761|XP_039486880.1|DSAN	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC120448760|XP_039486879.1|DSAN	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC120446362|XP_039483228.1|DSAN	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC120446445|XP_039483359.1|DSAN	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC120447165|XP_039484555.1|DSAN	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC120449448|XP_039487853.1|DSAN	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC120446374|XP_039483239.1|DSAN	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC120447858|XP_039485399.1|DSAN	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC120447864|XP_039485406.1|DSAN	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC120451912|XP_039491855.1|DSAN	LOC117574804|XP_034114660.1|DALB
