Orthogroup	DSAN.longest_only	AAEG.longest_only
OG0000028	LOC120447590|XP_039484991.1|DSAN, LOC120447589|XP_039484990.1|DSAN, LOC120447591|XP_039484992.1|DSAN, LOC120447592|XP_039484994.1|DSAN, LOC120447587|XP_039484989.1|DSAN, LOC120447866|XP_039485407.1|DSAN	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC120454032|XP_039494960.1|DSAN, LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN, LOC120452245|XP_039492306.1|DSAN, LOC120448524|XP_039486496.1|DSAN	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN, LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC120451694|XP_039491522.1|DSAN, LOC120453292|XP_039493855.1|DSAN, LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN, LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN, LOC120447093|XP_039484433.1|DSAN, LOC120447092|XP_039484432.1|DSAN, LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN, LOC120458883|XP_039502653.1|DSAN	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC120445359|XP_039481651.1|DSAN, LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC120453988|XP_039494877.1|DSAN, LOC120453019|XP_039493471.1|DSAN, LOC120453349|XP_039493953.1|DSAN, LOC120453637|XP_039494364.1|DSAN, LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC120452826|XP_039493165.1|DSAN, LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN, LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN, LOC120453569|XP_039494260.1|DSAN	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN, LOC120448761|XP_039486880.1|DSAN, LOC120448760|XP_039486879.1|DSAN	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC120446362|XP_039483228.1|DSAN, LOC120446445|XP_039483359.1|DSAN, LOC120447165|XP_039484555.1|DSAN, LOC120449448|XP_039487853.1|DSAN, LOC120446374|XP_039483239.1|DSAN, LOC120450023|XP_039488699.1|DSAN	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN, LOC120447858|XP_039485399.1|DSAN, LOC120447864|XP_039485406.1|DSAN	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC120451912|XP_039491855.1|DSAN, LOC120454479|XP_039495747.1|DSAN, LOC120451908|XP_039491850.1|DSAN, LOC120451909|XP_039491851.1|DSAN, LOC120451911|XP_039491854.1|DSAN, LOC120454478|XP_039495745.1|DSAN	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC120454079|XP_039495023.1|DSAN, LOC120450805|XP_039489908.1|DSAN, LOC120453085|XP_039493545.1|DSAN, LOC120452423|XP_039492584.1|DSAN, LOC120454116|XP_039495080.1|DSAN	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC120458373|XP_039501926.1|DSAN, LOC120458372|XP_039501925.1|DSAN, LOC120458371|XP_039501924.1|DSAN	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC120451731|XP_039491574.1|DSAN, LOC120451217|XP_039490630.1|DSAN, LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC120454503|XP_039495790.1|DSAN, LOC120454502|XP_039495789.1|DSAN, LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN, LOC120450990|XP_039490227.1|DSAN	LOC5574529|XP_001655182.1|AAEG
OG0000058	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN, LOC120456673|XP_039499561.1|DSAN, LOC120456892|XP_039499925.1|DSAN	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC120457148|XP_039500354.1|DSAN	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC120453827|XP_039494650.1|DSAN	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC120458680|XP_039502351.1|DSAN, LOC120449973|XP_039488618.1|DSAN, LOC120456052|XP_039498568.1|DSAN, LOC120458126|XP_039501597.1|DSAN	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000067	LOC120454266|XP_039495354.1|DSAN, LOC120457853|XP_039501305.1|DSAN, LOC120450458|XP_039489412.1|DSAN	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC120458360|XP_039501908.1|DSAN, LOC120450457|XP_039489411.1|DSAN	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC120448549|XP_039486536.1|DSAN	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC120447690|XP_039485154.1|DSAN, LOC120450869|XP_039490026.1|DSAN, LOC120448372|XP_039486275.1|DSAN, LOC120447208|XP_039484652.1|DSAN, LOC120454977|XP_039496696.1|DSAN	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC120458437|XP_039502014.1|DSAN, LOC120456297|XP_039498979.1|DSAN, LOC120449441|XP_039488053.1|DSAN, LOC120456697|XP_039499596.1|DSAN	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC120448314|XP_039486195.1|DSAN	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC120449503|XP_039487937.1|DSAN, LOC120449500|XP_039487934.1|DSAN, LOC120449502|XP_039487935.1|DSAN	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC120446358|XP_039483223.1|DSAN, LOC120446143|XP_039482904.1|DSAN, LOC120445202|XP_039481371.1|DSAN	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC120444353|XP_039479869.1|DSAN	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC120456580|XP_039499414.1|DSAN	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC120454001|XP_039494904.1|DSAN	LOC5573536|XP_021693962.1|AAEG
OG0000074	LOC120449385|XP_039487757.1|DSAN, LOC120450528|XP_039489549.1|DSAN	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC120447668|XP_039485120.1|DSAN	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC120455415|XP_039497494.1|DSAN	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC120444282|XP_039479731.1|DSAN	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC120452789|XP_039493115.1|DSAN	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC120445437|XP_039481803.1|DSAN	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC120451310|XP_039490813.1|DSAN	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC120446615|XP_039483594.1|DSAN, LOC120449498|XP_039487932.1|DSAN, LOC120454154|XP_039495149.1|DSAN, LOC120455667|XP_039497996.1|DSAN, LOC120457056|XP_039500165.1|DSAN	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC120445807|XP_039482353.1|DSAN, LOC120446014|XP_039482702.1|DSAN, LOC120445200|XP_039481358.1|DSAN	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC120444539|XP_039480221.1|DSAN, LOC120453176|XP_039493670.1|DSAN, LOC120454374|XP_039495543.1|DSAN	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC120458313|XP_039501854.1|DSAN, LOC120455686|XP_039498031.1|DSAN, LOC120456937|XP_039500014.1|DSAN, LOC120455860|XP_039498269.1|DSAN, LOC120455849|XP_039498257.1|DSAN, LOC120450759|XP_039489843.1|DSAN	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC120446957|XP_039484147.1|DSAN	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC120444572|XP_039480266.1|DSAN	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC120448625|XP_039486680.1|DSAN	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC120444981|XP_039480942.1|DSAN	LOC5575040|XP_001661772.2|AAEG
OG0000087	LOC120458014|XP_039501448.1|DSAN	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	LOC120452956|XP_039493382.1|DSAN, LOC120451745|XP_039491597.1|DSAN	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	LOC120445629|XP_039482091.1|DSAN	LOC5573732|XP_001654757.1|AAEG
OG0000089	LOC120454625|XP_039496027.1|DSAN, LOC120454392|XP_039495577.1|DSAN	LOC5577489|XP_001663407.1|AAEG
OG0000089	LOC120454433|XP_039495663.1|DSAN	LOC5575826|XP_021694449.1|AAEG
OG0000089	LOC120447506|XP_039484850.1|DSAN	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
OG0000090	LOC120448309|XP_039486192.1|DSAN, LOC120448284|XP_039486150.1|DSAN, LOC120447536|XP_039484914.1|DSAN, LOC120449735|XP_039488300.1|DSAN	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG
OG0000091	LOC120454553|XP_039495874.1|DSAN	LOC5578943|XP_021693136.1|AAEG
OG0000091	LOC120458039|XP_039501482.1|DSAN, LOC120454568|XP_039495897.1|DSAN, LOC120452896|XP_039493288.1|DSAN	LOC5579216|XP_021706364.1|AAEG
OG0000094	LOC120447699|XP_039485161.1|DSAN, LOC120452712|XP_039493010.1|DSAN	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG
OG0000099	LOC120455656|XP_039497981.1|DSAN	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG
