Orthogroup	DSAN.longest_only	DHYD.longest_only
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC115483192|XP_030080237.1|DHYD, LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC120446987|XP_039484221.1|DSAN	LOC111592667|XP_023160798.2|DHYD
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC120445231|XP_039481423.1|DSAN	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC120444059|XP_039479503.1|DSAN	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC120450954|XP_039490174.1|DSAN	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC120453270|XP_039493835.1|DSAN	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC120445309|XP_039481553.1|DSAN	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC120454864|XP_039496354.1|DSAN	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC120454377|XP_039495551.1|DSAN	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC120447671|XP_039485130.1|DSAN	LOC111600507|XP_023172403.1|DHYD
OG0000019	LOC120453199|XP_039493718.1|DSAN	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC120453194|XP_039493696.1|DSAN	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC120453200|XP_039493720.1|DSAN	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC120451285|XP_039490765.1|DSAN	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC120445014|XP_039481012.1|DSAN	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC120450860|XP_039490007.1|DSAN	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC120453863|XP_039494701.1|DSAN	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC120458794|XP_039502520.1|DSAN	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC120445641|XP_039482116.1|DSAN	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC120445227|XP_039481419.1|DSAN	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC120444372|XP_039479913.1|DSAN	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC120450748|XP_039489804.1|DSAN	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC120454061|XP_039495000.1|DSAN	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC120456471|XP_039499263.1|DSAN	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC120445477|XP_039481858.1|DSAN	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC120454388|XP_039495572.1|DSAN	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC120444959|XP_039480909.1|DSAN	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC120453781|XP_039494563.1|DSAN	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC120453806|XP_039494614.1|DSAN	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC120450927|XP_039490127.1|DSAN	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC120453011|XP_039493460.1|DSAN	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC120450929|XP_039490129.1|DSAN	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC120445293|XP_039481530.1|DSAN	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC120446616|XP_039483595.1|DSAN	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC120446257|XP_039483064.1|DSAN	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC120446965|XP_039484167.1|DSAN	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC120456451|XP_039499224.1|DSAN	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC120457929|XP_039501366.1|DSAN	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD
OG0000026	LOC120456669|XP_039499542.1|DSAN	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC120458576|XP_039502209.1|DSAN	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC120453885|XP_039494736.1|DSAN	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC120458674|XP_039502344.1|DSAN	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC120458543|XP_039502157.1|DSAN	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC120458684|XP_039502355.1|DSAN	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC120447587|XP_039484989.1|DSAN	LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC120452245|XP_039492306.1|DSAN	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC120448524|XP_039486496.1|DSAN	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC120458250|XP_039501773.1|DSAN	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC120458849|XP_039502609.1|DSAN	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC120445779|XP_039482317.1|DSAN	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC120455262|XP_039497197.1|DSAN	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC120456032|XP_039498536.1|DSAN	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC120456119|XP_039498683.1|DSAN	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC120451694|XP_039491522.1|DSAN	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC120453292|XP_039493855.1|DSAN	LOC111598628|XP_023169740.2|DHYD
OG0000032	LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC120443741|XP_039478932.1|DSAN	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC120447092|XP_039484432.1|DSAN	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC120458883|XP_039502653.1|DSAN	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC120452669|XP_039492941.1|DSAN	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN	LOC111601529|XP_023173926.1|DHYD
OG0000037	LOC120445359|XP_039481651.1|DSAN	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC111601750|XP_023174255.2|DHYD
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC120456815|XP_039499797.1|DSAN	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC120456766|XP_039499698.1|DSAN	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC120455951|XP_039498428.1|DSAN	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC120453230|XP_039493764.1|DSAN	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC120453844|XP_039494674.1|DSAN, LOC120453843|XP_039494672.1|DSAN	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC120453846|XP_039494677.1|DSAN	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC120454621|XP_039496023.1|DSAN	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC120446234|XP_039483038.1|DSAN	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC120453019|XP_039493471.1|DSAN	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC120453349|XP_039493953.1|DSAN	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC120453637|XP_039494364.1|DSAN	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC120452826|XP_039493165.1|DSAN	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC120451723|XP_039491559.1|DSAN	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC120453569|XP_039494260.1|DSAN	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC120448397|XP_039486321.1|DSAN	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC120448761|XP_039486880.1|DSAN	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC120448760|XP_039486879.1|DSAN	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC120446362|XP_039483228.1|DSAN	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC120446445|XP_039483359.1|DSAN	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC120447165|XP_039484555.1|DSAN	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC120446374|XP_039483239.1|DSAN	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN	LOC111604700|XP_023178641.1|DHYD
OG0000048	LOC120447858|XP_039485399.1|DSAN	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC120447864|XP_039485406.1|DSAN	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC120451912|XP_039491855.1|DSAN	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC120454479|XP_039495747.1|DSAN	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC120451908|XP_039491850.1|DSAN	LOC111594475|XP_023163544.1|DHYD
OG0000049	LOC120451911|XP_039491854.1|DSAN	LOC111594476|XP_023163545.2|DHYD
OG0000049	LOC120454478|XP_039495745.1|DSAN	LOC111594581|XP_023163706.2|DHYD
OG0000050	LOC120444560|XP_039480251.1|DSAN	LOC111592220|XP_023160064.2|DHYD
OG0000050	LOC120450199|XP_039489001.1|DSAN	LOC111597562|XP_023168129.2|DHYD
OG0000050	LOC120449121|XP_039487366.1|DSAN	LOC111597563|XP_023168130.1|DHYD
OG0000050	LOC120450198|XP_039489000.1|DSAN	LOC111597557|XP_023168122.2|DHYD
OG0000051	LOC120454079|XP_039495023.1|DSAN	LOC111604842|XP_023178842.2|DHYD
OG0000051	LOC120450805|XP_039489908.1|DSAN	LOC111598254|XP_023169188.2|DHYD
OG0000052	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN	LOC111604961|XP_023179009.1|DHYD, LOC111604963|XP_023179011.2|DHYD, LOC111604962|XP_023179010.1|DHYD
OG0000052	LOC120446961|XP_039484150.1|DSAN	LOC111604228|XP_023177970.1|DHYD, LOC111604271|XP_023178041.2|DHYD, LOC111604241|XP_023177996.1|DHYD, LOC111604278|XP_023178055.1|DHYD
OG0000052	LOC120446960|XP_039484149.1|DSAN	LOC111604234|XP_023177982.1|DHYD
OG0000053	LOC120458373|XP_039501926.1|DSAN	LOC111602599|XP_023175526.2|DHYD
OG0000053	LOC120458372|XP_039501925.1|DSAN	LOC111602600|XP_023175527.2|DHYD
OG0000053	LOC120458371|XP_039501924.1|DSAN	LOC111596382|XP_023166356.2|DHYD
OG0000053	LOC120458368|XP_039501922.1|DSAN	LOC111596381|XP_023166355.2|DHYD
OG0000053	LOC120458380|XP_039501934.1|DSAN	LOC111596379|XP_023166352.2|DHYD
OG0000054	LOC120451731|XP_039491574.1|DSAN	LOC111604826|XP_023178817.2|DHYD
OG0000054	LOC120451217|XP_039490630.1|DSAN	LOC111593322|XP_023161796.2|DHYD
OG0000054	LOC120451218|XP_039490631.1|DSAN, LOC120451219|XP_039490632.1|DSAN	LOC111604856|XP_023178857.2|DHYD
OG0000055	LOC120452017|XP_039491994.1|DSAN, LOC120452015|XP_039491992.1|DSAN	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD
OG0000056	LOC120454503|XP_039495790.1|DSAN	LOC111599611|XP_023171068.2|DHYD
OG0000056	LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN	LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD
