Orthogroup	DSAN.longest_only	DBUS.longest_only
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC120457963|XP_039501400.1|DSAN, LOC120457684|XP_039501107.1|DSAN, LOC120457972|XP_039501407.1|DSAN, LOC120457967|XP_039501402.1|DSAN	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000014	LOC120457516|XP_039500998.1|DSAN	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC120445231|XP_039481423.1|DSAN	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC120444059|XP_039479503.1|DSAN	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC120450954|XP_039490174.1|DSAN	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC120453270|XP_039493835.1|DSAN	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC120445309|XP_039481553.1|DSAN	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC120454864|XP_039496354.1|DSAN	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC120454377|XP_039495551.1|DSAN	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC120447671|XP_039485130.1|DSAN	LOC108597971|XP_017840076.1|DBUS
OG0000019	LOC120453199|XP_039493718.1|DSAN	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC120453194|XP_039493696.1|DSAN	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC120453200|XP_039493720.1|DSAN	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC120451285|XP_039490765.1|DSAN	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC120445014|XP_039481012.1|DSAN	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC120450860|XP_039490007.1|DSAN	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC120453863|XP_039494701.1|DSAN	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC120458794|XP_039502520.1|DSAN	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC120445641|XP_039482116.1|DSAN	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC120445227|XP_039481419.1|DSAN	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC120444372|XP_039479913.1|DSAN	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC120450748|XP_039489804.1|DSAN	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC120456471|XP_039499263.1|DSAN	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC120445477|XP_039481858.1|DSAN	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC120454388|XP_039495572.1|DSAN	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC120444959|XP_039480909.1|DSAN	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC120453781|XP_039494563.1|DSAN	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC120453806|XP_039494614.1|DSAN	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC120450927|XP_039490127.1|DSAN	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC120453011|XP_039493460.1|DSAN	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC120450929|XP_039490129.1|DSAN	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC120445293|XP_039481530.1|DSAN	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC120446616|XP_039483595.1|DSAN	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC120446965|XP_039484167.1|DSAN	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC120456451|XP_039499224.1|DSAN	LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC120456669|XP_039499542.1|DSAN	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC120458576|XP_039502209.1|DSAN	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC120456651|XP_039499515.1|DSAN	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC120453885|XP_039494736.1|DSAN	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC120458674|XP_039502344.1|DSAN	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC120458543|XP_039502157.1|DSAN	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC120458684|XP_039502355.1|DSAN	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC120447587|XP_039484989.1|DSAN	LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC120447866|XP_039485407.1|DSAN	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC120452245|XP_039492306.1|DSAN	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC120448524|XP_039486496.1|DSAN	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC120458250|XP_039501773.1|DSAN	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC120458849|XP_039502609.1|DSAN	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC120445779|XP_039482317.1|DSAN	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC120455262|XP_039497197.1|DSAN	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC120456119|XP_039498683.1|DSAN	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC120451694|XP_039491522.1|DSAN	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC120445509|XP_039481901.1|DSAN, LOC120443742|XP_039478933.1|DSAN, LOC120443740|XP_039478930.1|DSAN	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC120443741|XP_039478932.1|DSAN	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC120447093|XP_039484433.1|DSAN	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC120447092|XP_039484432.1|DSAN	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC120458883|XP_039502653.1|DSAN	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000035	LOC120453629|XP_039494355.1|DSAN, LOC120451089|XP_039490413.1|DSAN, LOC120452368|XP_039492492.1|DSAN, LOC120456274|XP_039498941.1|DSAN, LOC120450885|XP_039490059.1|DSAN, LOC120457553|XP_039501025.1|DSAN, LOC120445700|XP_039482192.1|DSAN, LOC120445691|XP_039482183.1|DSAN, LOC120457524|XP_039501002.1|DSAN, LOC120450091|XP_039488817.1|DSAN, LOC120457508|XP_039500995.1|DSAN, LOC120457638|XP_039501067.1|DSAN, LOC120457639|XP_039501068.1|DSAN	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC120452669|XP_039492941.1|DSAN	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC120456815|XP_039499797.1|DSAN	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC120455951|XP_039498428.1|DSAN	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC120453842|XP_039494671.1|DSAN, LOC120453227|XP_039493756.1|DSAN	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC120453230|XP_039493764.1|DSAN	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC120453844|XP_039494674.1|DSAN, LOC120453843|XP_039494672.1|DSAN	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC120453846|XP_039494677.1|DSAN	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC120454621|XP_039496023.1|DSAN	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN, LOC120453724|XP_039494486.1|DSAN, LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC120446237|XP_039483042.1|DSAN, LOC120446238|XP_039483043.1|DSAN, LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC120446234|XP_039483038.1|DSAN	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC120453349|XP_039493953.1|DSAN	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC120453637|XP_039494364.1|DSAN	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN, LOC120453380|XP_039493988.1|DSAN	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC120452826|XP_039493165.1|DSAN	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC120448397|XP_039486321.1|DSAN	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC120448761|XP_039486880.1|DSAN	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC120448760|XP_039486879.1|DSAN	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC120446362|XP_039483228.1|DSAN	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC120446445|XP_039483359.1|DSAN	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC120447165|XP_039484555.1|DSAN	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC120449448|XP_039487853.1|DSAN	LOC108601150|XP_033149649.1|DBUS
OG0000047	LOC120446374|XP_039483239.1|DSAN	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC120447859|XP_039485400.1|DSAN, LOC120447862|XP_039485404.1|DSAN	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC120447858|XP_039485399.1|DSAN	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC120447864|XP_039485406.1|DSAN	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC120451912|XP_039491855.1|DSAN	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC120454479|XP_039495747.1|DSAN	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC120451908|XP_039491850.1|DSAN	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC120451911|XP_039491854.1|DSAN	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC120454478|XP_039495745.1|DSAN	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC120450199|XP_039489001.1|DSAN	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC120450198|XP_039489000.1|DSAN	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC120454079|XP_039495023.1|DSAN	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC120450805|XP_039489908.1|DSAN	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC120453085|XP_039493545.1|DSAN, LOC120452423|XP_039492584.1|DSAN, LOC120454116|XP_039495080.1|DSAN	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC120451899|XP_039491841.1|DSAN, LOC120452530|XP_039492728.1|DSAN, LOC120451902|XP_039491845.1|DSAN, LOC120451901|XP_039491844.1|DSAN, LOC120451898|XP_039491840.1|DSAN, LOC120451896|XP_039491839.1|DSAN	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC120446961|XP_039484150.1|DSAN	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC120446960|XP_039484149.1|DSAN	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC120458373|XP_039501926.1|DSAN	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC120458372|XP_039501925.1|DSAN	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC120458371|XP_039501924.1|DSAN	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC120458368|XP_039501922.1|DSAN	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC120458380|XP_039501934.1|DSAN	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC120451731|XP_039491574.1|DSAN	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC120451217|XP_039490630.1|DSAN	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC120452017|XP_039491994.1|DSAN, LOC120452015|XP_039491992.1|DSAN	LOC108602318|XP_017845891.1|DBUS
OG0000055	LOC120452018|XP_039491995.1|DSAN	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS
OG0000055	LOC120454320|XP_039495456.1|DSAN	LOC108602521|XP_017846144.1|DBUS
OG0000056	LOC120454503|XP_039495790.1|DSAN	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC120454505|XP_039495792.1|DSAN, LOC120454507|XP_039495793.1|DSAN, LOC120454504|XP_039495791.1|DSAN	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC120450990|XP_039490227.1|DSAN	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC120446054|XP_039482765.1|DSAN, LOC120446683|XP_039483696.1|DSAN, LOC120446675|XP_039483682.1|DSAN	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC120456673|XP_039499561.1|DSAN	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC120456892|XP_039499925.1|DSAN	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC120452562|XP_039492776.1|DSAN, LOC120451718|XP_039491555.1|DSAN	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC120452007|XP_039491978.1|DSAN	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC120451854|XP_039491780.1|DSAN	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC120457148|XP_039500354.1|DSAN	LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC120446738|XP_039483795.1|DSAN	LOC108596314|XP_017837413.1|DBUS
OG0000060	LOC120452766|XP_039493085.1|DSAN	LOC108602170|XP_017845695.1|DBUS
OG0000060	LOC120453827|XP_039494650.1|DSAN	LOC108604124|XP_017848902.1|DBUS
OG0000060	LOC120456505|XP_039499307.1|DSAN	LOC108605927|XP_017851236.1|DBUS
OG0000060	LOC120458923|XP_039502708.1|DSAN	LOC108594930|XP_033150017.1|DBUS
OG0000061	LOC120458680|XP_039502351.1|DSAN	LOC108602145|XP_017845670.1|DBUS
OG0000061	LOC120449973|XP_039488618.1|DSAN	LOC108594753|XP_017835384.1|DBUS
