Orthogroup	DSAN.longest_only	DFIC.longest_only
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC120446974|XP_039484179.1|DSAN	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC120446687|XP_039483714.1|DSAN	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC120446686|XP_039483713.1|DSAN	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC120446975|XP_039484180.1|DSAN	LOC108099209|XP_017058075.1|DFIC
OG0000003	LOC120446688|XP_039483715.1|DSAN	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC120458377|XP_039501931.1|DSAN	LOC108090319|XP_017044419.1|DFIC
OG0000003	LOC120458378|XP_039501932.1|DSAN	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
OG0000004	LOC120457677|XP_039501102.1|DSAN, LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN, LOC120457919|XP_039501359.1|DSAN, LOC120446198|XP_039482981.1|DSAN, LOC120457920|XP_039501360.1|DSAN, LOC120457916|XP_039501355.1|DSAN, LOC120457918|XP_039501357.1|DSAN, LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN	LOC108094043|XP_017049969.1|DFIC
OG0000005	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC108094052|XP_017049981.1|DFIC
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC120449521|XP_039487968.1|DSAN	LOC108093241|XP_017048705.1|DFIC
OG0000007	LOC120448563|XP_039486553.1|DSAN	LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC108089978|XP_017043968.1|DFIC
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC120448335|XP_039486223.1|DSAN	LOC108088955|XP_017042464.1|DFIC
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC108088950|XP_017042460.1|DFIC
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	LOC120449828|XP_039488411.1|DSAN	LOC108093152|XP_017048588.1|DFIC
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC120453056|XP_039493512.1|DSAN	LOC108091746|XP_017046577.1|DFIC
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC120453968|XP_039494853.1|DSAN	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC120454581|XP_039495924.1|DSAN	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC
OG0000009	LOC120452847|XP_039493218.1|DSAN	LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC120446532|XP_039483479.1|DSAN	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC120453301|XP_039493868.1|DSAN	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC120445192|XP_039481349.1|DSAN	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC108086655|XP_017039128.1|DFIC
OG0000010	LOC120457684|XP_039501107.1|DSAN, LOC120457972|XP_039501407.1|DSAN	LOC108098255|XP_017056544.1|DFIC
OG0000010	LOC120457967|XP_039501402.1|DSAN	LOC108086289|XP_017038672.1|DFIC
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC108101428|XP_017061247.1|DFIC
OG0000011	LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN	LOC108101289|XP_017061078.1|DFIC
OG0000011	LOC120449699|XP_039488248.1|DSAN	LOC108100104|XP_017059339.1|DFIC
OG0000011	LOC120445760|XP_039482290.1|DSAN	LOC108098171|XP_017056393.1|DFIC
OG0000011	LOC120454945|XP_039496647.1|DSAN	LOC108095556|XP_017052180.1|DFIC
OG0000011	LOC120449538|XP_039487994.1|DSAN	LOC108086883|XP_017039433.1|DFIC
OG0000011	LOC120449537|XP_039487993.1|DSAN	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC120452178|XP_039492220.1|DSAN	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC120445821|XP_039482372.1|DSAN	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC120445820|XP_039482371.1|DSAN	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC120446192|XP_039482973.1|DSAN	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC120446256|XP_039483062.1|DSAN	LOC108096943|XP_017054393.1|DFIC
OG0000012	LOC120444865|XP_039480765.1|DSAN	LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC120445730|XP_039482234.1|DSAN	LOC108086628|XP_017039092.1|DFIC
OG0000012	LOC120446629|XP_039483624.1|DSAN	LOC108086618|XP_017039083.1|DFIC
OG0000012	LOC120446410|XP_039483290.1|DSAN	LOC108086755|XP_017039283.1|DFIC
OG0000012	LOC120445226|XP_039481417.1|DSAN	LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC120446006|XP_039482689.1|DSAN	LOC108086627|XP_017039091.1|DFIC
OG0000012	LOC120446007|XP_039482691.1|DSAN	LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC120450808|XP_039489911.1|DSAN	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC120452623|XP_039492863.1|DSAN	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC120456360|XP_039499095.1|DSAN	LOC108094095|XP_017050008.1|DFIC
OG0000015	LOC120458799|XP_039502526.1|DSAN	LOC108094122|XP_017050032.1|DFIC
OG0000015	LOC120458791|XP_039502509.1|DSAN	LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC
OG0000015	LOC120458608|XP_039502248.1|DSAN	LOC108100786|XP_017060316.1|DFIC, LOC108100835|XP_017060395.1|DFIC, LOC108100853|XP_017060421.1|DFIC, LOC108100833|XP_017060393.1|DFIC
OG0000015	LOC120445789|XP_039482329.1|DSAN	LOC108086461|XP_017038876.1|DFIC
OG0000015	LOC120454309|XP_039495442.1|DSAN	LOC108098714|XP_017057318.1|DFIC, LOC108094483|XP_017050559.1|DFIC
OG0000016	LOC120451140|XP_039490495.1|DSAN	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC120444605|XP_039480314.1|DSAN	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC120445231|XP_039481423.1|DSAN	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC120444059|XP_039479503.1|DSAN	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC120450954|XP_039490174.1|DSAN	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC120456210|XP_039498824.1|DSAN	LOC108098017|XP_017056155.1|DFIC
OG0000017	LOC120458133|XP_039501613.1|DSAN	LOC108101533|XP_017061396.1|DFIC
OG0000017	LOC120453270|XP_039493835.1|DSAN	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC120452397|XP_039492549.1|DSAN	LOC108097740|XP_017055736.1|DFIC
OG0000017	LOC120452471|XP_039492644.1|DSAN	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC120445309|XP_039481553.1|DSAN	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC120454864|XP_039496354.1|DSAN	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC120445308|XP_039481552.1|DSAN	LOC108087715|XP_017040725.1|DFIC
OG0000017	LOC120454377|XP_039495551.1|DSAN	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC120447671|XP_039485130.1|DSAN	LOC108093128|XP_017048562.1|DFIC
OG0000019	LOC120453199|XP_039493718.1|DSAN	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC120453201|XP_039493721.1|DSAN	LOC108086542|XP_017038968.1|DFIC
OG0000019	LOC120453202|XP_039493723.1|DSAN	LOC108086544|XP_017038971.1|DFIC
OG0000019	LOC120453194|XP_039493696.1|DSAN	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC120453200|XP_039493720.1|DSAN	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC120453203|XP_039493724.1|DSAN	LOC108086538|XP_017038965.1|DFIC
OG0000019	LOC120453198|XP_039493717.1|DSAN	LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC120451285|XP_039490765.1|DSAN	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC120445014|XP_039481012.1|DSAN	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC120445000|XP_039480984.1|DSAN	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC120450860|XP_039490007.1|DSAN	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC120453863|XP_039494701.1|DSAN	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC120457706|XP_039501135.1|DSAN	LOC108089992|XP_017043983.1|DFIC
OG0000020	LOC120444385|XP_039479926.1|DSAN	LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC120445641|XP_039482116.1|DSAN	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC120445227|XP_039481419.1|DSAN	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC120444372|XP_039479913.1|DSAN	LOC108093638|XP_017049284.1|DFIC
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC120450748|XP_039489804.1|DSAN	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC120454061|XP_039495000.1|DSAN	LOC108088013|XP_017041113.1|DFIC
OG0000021	LOC120456471|XP_039499263.1|DSAN	LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC120445477|XP_039481858.1|DSAN	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC120449728|XP_039488291.1|DSAN	LOC108100202|XP_017059465.1|DFIC
OG0000022	LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN	LOC108100308|XP_017059596.1|DFIC
OG0000022	LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN	LOC108100304|XP_017059591.1|DFIC
OG0000022	LOC120449729|XP_039488292.1|DSAN	LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN	LOC108096122|XP_017052987.1|DFIC
OG0000023	LOC120454388|XP_039495572.1|DSAN	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC120444959|XP_039480909.1|DSAN	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC120453781|XP_039494563.1|DSAN	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC120453806|XP_039494614.1|DSAN	LOC108096118|XP_017052982.1|DFIC
OG0000023	LOC120450927|XP_039490127.1|DSAN	LOC108096119|XP_017052984.1|DFIC
OG0000023	LOC120453011|XP_039493460.1|DSAN	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC120450929|XP_039490129.1|DSAN	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC120445294|XP_039481531.1|DSAN	LOC108086469|XP_017038885.1|DFIC
OG0000024	LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN	LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC
OG0000024	LOC120445292|XP_039481529.1|DSAN	LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC120445293|XP_039481530.1|DSAN	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC120446616|XP_039483595.1|DSAN	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC120446257|XP_039483064.1|DSAN	LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC120446965|XP_039484167.1|DSAN	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC120453411|XP_039494047.1|DSAN, LOC120456451|XP_039499224.1|DSAN	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC120456669|XP_039499542.1|DSAN	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC120458576|XP_039502209.1|DSAN	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC120456651|XP_039499515.1|DSAN	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC
OG0000026	LOC120453885|XP_039494736.1|DSAN	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC120458674|XP_039502344.1|DSAN	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC120458543|XP_039502157.1|DSAN	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC120458684|XP_039502355.1|DSAN	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC120447587|XP_039484989.1|DSAN	LOC108095285|XP_017051819.1|DFIC
OG0000028	LOC120447866|XP_039485407.1|DSAN	LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC120450915|XP_039490111.1|DSAN	LOC108090681|XP_017044956.1|DFIC
OG0000029	LOC120445653|XP_039482132.1|DSAN	LOC108100972|XP_017060614.1|DFIC
OG0000029	LOC120448524|XP_039486496.1|DSAN	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC120458250|XP_039501773.1|DSAN	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC120458016|XP_039501452.1|DSAN	LOC108093469|XP_017049043.1|DFIC
OG0000030	LOC120457864|XP_039501320.1|DSAN	LOC108093479|XP_017049053.1|DFIC
OG0000030	LOC120458849|XP_039502609.1|DSAN	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC120445779|XP_039482317.1|DSAN	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC120455262|XP_039497197.1|DSAN	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC120456032|XP_039498536.1|DSAN	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC
OG0000031	LOC120446453|XP_039483382.1|DSAN	LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC
OG0000031	LOC120458846|XP_039502606.1|DSAN	LOC108092296|XP_017047319.1|DFIC
OG0000031	LOC120456119|XP_039498683.1|DSAN	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC120453694|XP_039494449.1|DSAN	LOC108088062|XP_017041192.1|DFIC
OG0000032	LOC120453066|XP_039493525.1|DSAN	LOC108088066|XP_017041199.1|DFIC
OG0000032	LOC120451611|XP_039491379.1|DSAN	LOC108087979|XP_017041070.1|DFIC
OG0000032	LOC120451410|XP_039491015.1|DSAN	LOC108087896|XP_017040963.1|DFIC
OG0000032	LOC120451635|XP_039491427.1|DSAN	LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC120452239|XP_039492298.1|DSAN	LOC108102066|XP_017062199.1|DFIC
OG0000033	LOC120445509|XP_039481901.1|DSAN	LOC108089807|XP_017043693.1|DFIC, LOC108089809|XP_017043695.1|DFIC, LOC108089769|XP_017043650.1|DFIC
OG0000033	LOC120443742|XP_039478933.1|DSAN	LOC108094281|XP_017050264.1|DFIC
OG0000033	LOC120443740|XP_039478930.1|DSAN	LOC108094283|XP_017050266.1|DFIC
OG0000033	LOC120443741|XP_039478932.1|DSAN	LOC108094282|XP_017050265.1|DFIC
OG0000033	LOC120447695|XP_039485159.1|DSAN	LOC108098498|XP_017056906.1|DFIC
OG0000033	LOC120452485|XP_039492667.1|DSAN	LOC108098495|XP_017056904.1|DFIC
OG0000034	LOC120445348|XP_039481622.1|DSAN	LOC108090289|XP_017044389.1|DFIC
OG0000034	LOC120447094|XP_039484434.1|DSAN	LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC120447093|XP_039484433.1|DSAN	LOC108098179|XP_017056401.1|DFIC
OG0000034	LOC120447092|XP_039484432.1|DSAN	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC120445471|XP_039481849.1|DSAN	LOC108098386|XP_017056743.1|DFIC
OG0000034	LOC120452815|XP_039493155.1|DSAN	LOC108087083|XP_017039752.1|DFIC
OG0000034	LOC120452816|XP_039493156.1|DSAN	LOC108087380|XP_017040209.1|DFIC
OG0000034	LOC120458883|XP_039502653.1|DSAN	LOC108093450|XP_017049013.1|DFIC
OG0000035	LOC120457486|XP_039500973.1|DSAN, LOC120445830|XP_039482385.1|DSAN, LOC120455841|XP_039498244.1|DSAN, LOC120456938|XP_039500011.1|DSAN, LOC120445462|XP_039481840.1|DSAN, LOC120446640|XP_039483642.1|DSAN, LOC120457505|XP_039500991.1|DSAN	LOC108102183|XP_017062377.1|DFIC
OG0000035	LOC120453629|XP_039494355.1|DSAN, LOC120451089|XP_039490413.1|DSAN, LOC120452368|XP_039492492.1|DSAN, LOC120456274|XP_039498941.1|DSAN, LOC120450885|XP_039490059.1|DSAN, LOC120457553|XP_039501025.1|DSAN, LOC120445700|XP_039482192.1|DSAN, LOC120445691|XP_039482183.1|DSAN, LOC120457524|XP_039501002.1|DSAN, LOC120450091|XP_039488817.1|DSAN, LOC120457508|XP_039500995.1|DSAN, LOC120457638|XP_039501067.1|DSAN, LOC120457639|XP_039501068.1|DSAN	LOC108093569|XP_017049153.1|DFIC
OG0000036	LOC120453442|XP_039494083.1|DSAN	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC120450981|XP_039490212.1|DSAN	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC120452669|XP_039492941.1|DSAN	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC120445359|XP_039481651.1|DSAN	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC120451056|XP_039490346.1|DSAN	LOC108088042|XP_017041165.1|DFIC
OG0000037	LOC120451055|XP_039490345.1|DSAN	LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC120447582|XP_039484984.1|DSAN	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC120448623|XP_039486674.1|DSAN	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC120453556|XP_039494243.1|DSAN	LOC108091791|XP_017046639.1|DFIC
OG0000039	LOC120456815|XP_039499797.1|DSAN	LOC108097516|XP_017055329.1|DFIC
OG0000039	LOC120456766|XP_039499698.1|DSAN	LOC108097515|XP_017055328.1|DFIC
OG0000039	LOC120455951|XP_039498428.1|DSAN	LOC108095512|XP_017052111.1|DFIC
OG0000040	LOC120453842|XP_039494671.1|DSAN	LOC108092229|XP_017047255.1|DFIC
OG0000040	LOC120453227|XP_039493756.1|DSAN	LOC108087305|XP_017040113.1|DFIC
OG0000040	LOC120453230|XP_039493764.1|DSAN	LOC108087307|XP_017040114.1|DFIC
OG0000040	LOC120453844|XP_039494674.1|DSAN	LOC108092211|XP_017047228.1|DFIC
OG0000040	LOC120453843|XP_039494672.1|DSAN	LOC108092212|XP_017047230.1|DFIC
OG0000040	LOC120453846|XP_039494677.1|DSAN	LOC108092206|XP_017047224.1|DFIC
OG0000040	LOC120454621|XP_039496023.1|DSAN	LOC108100764|XP_017060292.1|DFIC
OG0000041	LOC120452967|XP_039493393.1|DSAN	LOC108095996|XP_017052831.1|DFIC
OG0000041	LOC120451583|XP_039491328.1|DSAN	LOC108095939|XP_017052765.1|DFIC
OG0000041	LOC120453724|XP_039494486.1|DSAN	LOC108095866|XP_017052659.1|DFIC
OG0000041	LOC120451584|XP_039491329.1|DSAN, LOC120453723|XP_039494485.1|DSAN	LOC108095867|XP_017052660.1|DFIC
OG0000042	LOC120456654|XP_039499520.1|DSAN	LOC108097744|XP_017055741.1|DFIC
OG0000042	LOC120446237|XP_039483042.1|DSAN	LOC108090330|XP_017044433.1|DFIC
OG0000042	LOC120446238|XP_039483043.1|DSAN	LOC108090327|XP_017044430.1|DFIC
OG0000042	LOC120446233|XP_039483037.1|DSAN	LOC108090329|XP_017044432.1|DFIC
OG0000042	LOC120446236|XP_039483040.1|DSAN	LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC
OG0000042	LOC120446234|XP_039483038.1|DSAN	LOC108090331|XP_017044434.1|DFIC
OG0000043	LOC120453988|XP_039494877.1|DSAN	LOC108087389|XP_017040220.1|DFIC
OG0000043	LOC120453019|XP_039493471.1|DSAN	LOC108087351|XP_017040180.1|DFIC
OG0000043	LOC120453349|XP_039493953.1|DSAN	LOC108087056|XP_017039721.1|DFIC
OG0000043	LOC120453637|XP_039494364.1|DSAN	LOC108092195|XP_017047211.1|DFIC
OG0000043	LOC120452792|XP_039493119.1|DSAN	LOC108087304|XP_017040112.1|DFIC
OG0000043	LOC120454041|XP_039494968.1|DSAN	LOC108087099|XP_017039770.1|DFIC
OG0000043	LOC120452693|XP_039492981.1|DSAN	LOC108086831|XP_017039366.1|DFIC
