Orthogroup	DEUG.longest_only	SLEB.longest_only
OG0000033	LOC108115450|XP_017082374.1|DEUG, LOC108115449|XP_017082373.1|DEUG, LOC108115445|XP_017082370.1|DEUG, LOC108115429|XP_017082354.1|DEUG, LOC108115474|XP_017082423.1|DEUG, LOC108115416|XP_017082341.1|DEUG, LOC108115417|XP_017082342.1|DEUG, LOC108112609|XP_017078188.1|DEUG, LOC108112610|XP_017078190.1|DEUG	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC108118408|XP_017086572.1|DEUG	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC108112000|XP_017077225.1|DEUG	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC108102893|XP_017063585.1|DEUG	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC108103025|XP_017063841.1|DEUG	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC108105051|XP_017066944.1|DEUG	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC108116469|XP_017083889.1|DEUG	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC108116470|XP_017083890.1|DEUG	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC108109350|XP_017073299.1|DEUG	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC108108093|XP_017071481.1|DEUG	LOC115630085|XP_030382572.1|SLEB
OG0000042	LOC108112378|XP_017077703.1|DEUG, LOC108112385|XP_017077715.1|DEUG, LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC108116482|XP_017083904.1|DEUG	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC108116483|XP_017083905.1|DEUG	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC108113702|XP_017079868.1|DEUG	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG	LOC115631500|XP_030384120.1|SLEB
OG0000044	LOC108116281|XP_017083557.1|DEUG	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC108114047|XP_017080284.1|DEUG	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC108107675|XP_017070752.1|DEUG	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC108107619|XP_017070678.1|DEUG	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC108110175|XP_017074588.1|DEUG, LOC108110153|XP_017074563.1|DEUG, LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG, LOC108105004|XP_017066870.1|DEUG, LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC108112199|XP_017077502.1|DEUG	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC108113383|XP_017079444.1|DEUG	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC108106728|XP_017069453.1|DEUG	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC108106783|XP_017069514.1|DEUG, LOC108113976|XP_017080206.1|DEUG	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC108113900|XP_017080095.1|DEUG	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC108114275|XP_017080660.1|DEUG	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC108117079|XP_017084741.1|DEUG	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC108117054|XP_017084715.1|DEUG	LOC115625471|XP_030376380.1|SLEB
OG0000049	LOC108117035|XP_017084693.1|DEUG	LOC115625469|XP_030376378.1|SLEB
OG0000049	LOC108117069|XP_017084731.1|DEUG	LOC115625467|XP_030376376.1|SLEB
OG0000049	LOC108117036|XP_017084694.1|DEUG	LOC115625232|XP_030376077.1|SLEB
OG0000049	LOC108117318|XP_017085175.1|DEUG	LOC115621014|XP_030370394.1|SLEB
OG0000050	LOC108116757|XP_017084265.1|DEUG	LOC115632844|XP_030385961.1|SLEB
OG0000050	LOC108116725|XP_017084231.1|DEUG	LOC115632845|XP_030385962.1|SLEB
OG0000050	LOC108116727|XP_017084233.1|DEUG	LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	LOC108109429|XP_017073417.1|DEUG	LOC115624036|XP_030374474.1|SLEB
OG0000051	LOC108117064|XP_017084724.1|DEUG	LOC115620987|XP_030370367.1|SLEB
OG0000052	LOC108109404|XP_017073394.1|DEUG, LOC108116631|XP_017084099.1|DEUG, LOC108109394|XP_017073383.1|DEUG, LOC108110610|XP_017075201.1|DEUG, LOC108110028|XP_017074367.1|DEUG, LOC108110036|XP_017074380.1|DEUG	LOC115621355|XP_030370842.1|SLEB
OG0000052	LOC108111978|XP_017077180.1|DEUG, LOC108111977|XP_017077179.1|DEUG	LOC115621366|XP_030370854.1|SLEB
OG0000053	LOC108104547|XP_017066177.1|DEUG, LOC108104546|XP_017066176.1|DEUG	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	LOC108104610|XP_017066273.1|DEUG	LOC115634038|XP_030387442.1|SLEB
OG0000053	LOC108104585|XP_017066235.1|DEUG	LOC115634037|XP_030387441.1|SLEB
OG0000053	LOC108113522|XP_017079606.1|DEUG	LOC115634626|XP_030388341.1|SLEB
OG0000054	LOC108116465|XP_017083884.1|DEUG	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
OG0000054	LOC108116310|XP_017083589.1|DEUG, LOC108116309|XP_017083588.1|DEUG	LOC115623633|XP_030373934.1|SLEB
OG0000054	LOC108116517|XP_017083943.1|DEUG, LOC108116481|XP_017083903.1|DEUG	LOC115624033|XP_030374471.1|SLEB
OG0000056	LOC108115632|XP_017082673.1|DEUG	LOC115626734|XP_030378039.1|SLEB
OG0000056	LOC108115630|XP_017082671.1|DEUG, LOC108115634|XP_017082675.1|DEUG, LOC108115633|XP_017082674.1|DEUG	LOC115626727|XP_030378033.1|SLEB
OG0000056	LOC108116242|XP_017083521.1|DEUG, LOC108116270|XP_017083548.1|DEUG	LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000058	LOC108111899|XP_017077025.1|DEUG, LOC108114779|XP_017081378.1|DEUG, LOC108114875|XP_017081520.1|DEUG, LOC108111925|XP_017077056.1|DEUG, LOC108113468|XP_017079539.1|DEUG	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB
OG0000058	LOC108103231|XP_017064121.1|DEUG	LOC115629610|XP_030381967.1|SLEB
OG0000059	LOC108113647|XP_017079807.1|DEUG	LOC115621406|XP_030370909.1|SLEB, LOC115620363|XP_030369427.1|SLEB, LOC115620758|XP_030370015.1|SLEB
OG0000059	LOC108113646|XP_017079806.1|DEUG	LOC115621386|XP_030370879.1|SLEB
OG0000059	LOC108113524|XP_017079604.1|DEUG	LOC115620757|XP_030370013.1|SLEB
OG0000060	LOC108103845|XP_017065030.1|DEUG	LOC115629929|XP_030382393.1|SLEB
OG0000060	LOC108103085|XP_017063927.1|DEUG	LOC115630565|XP_030383041.1|SLEB
OG0000060	LOC108115377|XP_017082302.1|DEUG	LOC115623364|XP_030373510.1|SLEB
