Orthogroup	DEUG.longest_only	DMIR.longest_only
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC108154608|XP_017140414.2|DMIR
OG0000001	LOC108118112|XP_017086151.1|DEUG, LOC108103727|XP_017064815.1|DEUG	LOC117189970|XP_033250943.1|DMIR, LOC117191669|XP_033252365.1|DMIR, LOC117193543|XP_033254178.1|DMIR
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC108114765|XP_017081366.1|DEUG	LOC117188692|XP_033248809.1|DMIR
OG0000002	LOC108105850|XP_017068103.1|DEUG	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR
OG0000002	LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC108161412|XP_017151153.2|DMIR
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG, LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC108156794|XP_017143962.2|DMIR, LOC117187298|XP_033245559.1|DMIR, LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR, LOC117187300|XP_033245561.1|DMIR
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC108165521|XP_017157067.1|DMIR
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC108164169|XP_017155268.2|DMIR
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC108152483|XP_017137346.1|DMIR
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC108154377|XP_017140130.1|DMIR
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC117187310|XP_033245574.1|DMIR, LOC108156705|XP_033245573.1|DMIR
OG0000011	LOC108111192|XP_017076075.1|DEUG, LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG, LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG, LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG, LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG	LOC117185695|XP_017152271.2|DMIR, LOC108163065|XP_017153628.2|DMIR, LOC117188829|XP_033249173.1|DMIR, LOC108161855|XP_033249172.1|DMIR, LOC108164675|XP_017156017.1|DMIR, LOC108162189|XP_033249910.1|DMIR, LOC108162187|XP_017152275.1|DMIR, LOC108162186|XP_017152273.1|DMIR, LOC117188852|XP_033249240.1|DMIR, LOC108161557|XP_017151330.1|DMIR, LOC108163629|XP_017154523.1|DMIR, LOC108162188|XP_017152278.1|DMIR, LOC108163972|XP_017155018.1|DMIR, LOC117185693|XP_017154036.1|DMIR, LOC117188957|XP_033249531.1|DMIR, LOC108162812|XP_017153212.1|DMIR, LOC108163322|XP_033249532.1|DMIR, LOC108162815|XP_017153219.1|DMIR
OG0000011	LOC108105968|XP_017068261.1|DEUG	LOC108165384|XP_017156911.1|DMIR
OG0000011	LOC108105967|XP_017068260.1|DEUG	LOC108153161|XP_017138453.1|DMIR
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR
OG0000012	LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG	LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC108106282|XP_017068738.1|DEUG	LOC108158925|XP_017147218.1|DMIR
OG0000012	LOC108106301|XP_017068761.1|DEUG	LOC108158929|XP_017147224.1|DMIR
OG0000012	LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG	LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC108106742|XP_017069468.1|DEUG	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR
OG0000012	LOC108106739|XP_017069464.1|DEUG	LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	LOC108104162|XP_017065556.1|DEUG	LOC117193489|XP_033254131.1|DMIR, LOC117187336|XP_033245660.1|DMIR
OG0000014	LOC108111829|XP_017076924.1|DEUG	LOC117194202|XP_033254747.1|DMIR
OG0000014	LOC108117407|XP_017085303.1|DEUG, LOC108112994|XP_017078897.1|DEUG, LOC108110723|XP_017075400.1|DEUG, LOC108103093|XP_017063939.1|DEUG	LOC117186505|XP_033243277.1|DMIR
OG0000014	LOC108105912|XP_017068177.1|DEUG	LOC117193488|XP_033254130.1|DMIR
OG0000014	LOC108117406|XP_017085302.1|DEUG	LOC117187335|XP_033245659.1|DMIR
OG0000015	LOC108107905|XP_017071204.1|DEUG	LOC108160096|XP_017149373.1|DMIR, LOC108158178|XP_017145884.1|DMIR, LOC117190962|XP_033251844.1|DMIR, LOC108160103|XP_017149386.1|DMIR
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC108156024|XP_017142762.1|DMIR
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC108113063|XP_017078988.1|DEUG	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC108156493|XP_017143475.1|DMIR
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC108150995|XP_017134834.1|DMIR
OG0000017	LOC108103426|XP_017064385.1|DEUG	LOC108153009|XP_017138281.1|DMIR
OG0000017	LOC108112627|XP_017078221.1|DEUG	LOC108160150|XP_017149453.1|DMIR
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000017	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC108160759|XP_017150448.1|DMIR
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC108159970|XP_017149142.1|DMIR
OG0000017	LOC108109231|XP_017073193.1|DEUG	LOC108157934|XP_017145566.1|DMIR
OG0000017	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC108150828|XP_017134625.1|DMIR
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC108150791|XP_017134583.1|DMIR
OG0000018	LOC108108164|XP_017071591.1|DEUG	LOC108150854|XP_017134645.1|DMIR
OG0000018	LOC108107661|XP_017070737.1|DEUG, LOC108107530|XP_017070560.1|DEUG, LOC108107673|XP_017070750.1|DEUG	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000018	LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR
OG0000019	LOC108115822|XP_017082901.1|DEUG	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR
OG0000019	LOC108115829|XP_017082909.1|DEUG	LOC108157037|XP_017144339.1|DMIR
OG0000019	LOC108115823|XP_017082903.1|DEUG	LOC108157043|XP_017144347.2|DMIR
OG0000019	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC108156412|XP_017143346.1|DMIR
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG	LOC108163672|XP_017154587.1|DMIR
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC108155178|XP_017141337.1|DMIR
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC108156137|XP_017142939.1|DMIR
OG0000020	LOC108107046|XP_017069896.1|DEUG	LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC108110545|XP_017075123.1|DEUG	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC108159581|XP_017148519.1|DMIR
OG0000021	LOC108112288|XP_017077598.1|DEUG	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR
OG0000021	LOC108112285|XP_017077596.1|DEUG	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR
OG0000021	LOC108109877|XP_017074162.1|DEUG	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC108164567|XP_033246575.1|DMIR
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC108156061|XP_017142833.1|DMIR
OG0000021	LOC108111770|XP_017076824.1|DEUG	LOC108156847|XP_017144055.1|DMIR
OG0000021	LOC108110043|XP_017074396.1|DEUG	LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR
OG0000022	LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG	LOC108152468|XP_017137324.1|DMIR
OG0000022	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR
OG0000022	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG	LOC108152470|XP_017137327.1|DMIR
OG0000022	LOC108102797|XP_017063457.1|DEUG	LOC108152469|XP_017137325.1|DMIR
OG0000023	LOC108115114|XP_017081855.1|DEUG	LOC108153857|XP_033244801.1|DMIR
OG0000023	LOC108115112|XP_017081853.1|DEUG	LOC108155686|XP_017142144.1|DMIR
OG0000023	LOC108115052|XP_017081788.1|DEUG	LOC108155685|XP_017142143.1|DMIR
OG0000023	LOC108112507|XP_017077883.1|DEUG	LOC108158830|XP_017147022.1|DMIR
OG0000023	LOC108115111|XP_017081852.1|DEUG	LOC108153856|XP_033244802.1|DMIR
OG0000023	LOC108115051|XP_017081787.1|DEUG	LOC108157164|XP_017144562.1|DMIR
OG0000023	LOC108115158|XP_017081958.1|DEUG	LOC108156708|XP_017143845.1|DMIR
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC108156707|XP_017143844.1|DMIR
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC108106506|XP_017069088.1|DEUG	LOC108160883|XP_017150641.1|DMIR
OG0000024	LOC108106500|XP_017069084.1|DEUG	LOC117194102|XP_033254634.1|DMIR, LOC108160812|XP_017150524.1|DMIR
OG0000024	LOC108115421|XP_017082346.1|DEUG	LOC108161382|XP_017151119.1|DMIR
OG0000024	LOC108106503|XP_017069087.1|DEUG	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC108157728|XP_017145391.1|DMIR
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC108150850|XP_017134646.1|DMIR
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC108162957|XP_033248732.1|DMIR
OG0000026	LOC108103585|XP_017064599.1|DEUG	LOC108165129|XP_017156683.1|DMIR
OG0000026	LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG	LOC108157803|XP_017145484.1|DMIR, LOC108155726|XP_017142223.1|DMIR, LOC108154308|XP_017140053.1|DMIR
OG0000026	LOC108110172|XP_017074584.1|DEUG	LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC108162948|XP_017153432.1|DMIR
OG0000027	LOC108106871|XP_017069603.1|DEUG	LOC108162949|XP_017153433.1|DMIR
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC108108455|XP_017071998.1|DEUG	LOC108165421|XP_017156949.1|DMIR
OG0000028	LOC108114276|XP_017080662.1|DEUG	LOC108151302|XP_017135327.1|DMIR
OG0000029	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG	LOC117191657|XP_033252354.1|DMIR, LOC108158000|XP_017145632.1|DMIR
OG0000029	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG	LOC108154578|XP_017140369.1|DMIR
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC108150820|XP_017134616.1|DMIR
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC108161306|XP_017151015.1|DMIR
OG0000030	LOC108104049|XP_017065385.1|DEUG	LOC108161304|XP_017151013.1|DMIR
OG0000030	LOC108104046|XP_017065382.1|DEUG	LOC108161303|XP_017151011.1|DMIR, LOC108161305|XP_017151014.1|DMIR
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC108161162|XP_017150872.2|DMIR
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC108160793|XP_017150492.1|DMIR
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC108151546|XP_033246807.1|DMIR
OG0000030	LOC108104999|XP_017066865.1|DEUG	LOC108154542|XP_017140365.1|DMIR
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG	LOC108163859|XP_017154864.1|DMIR
OG0000031	LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG	LOC108161143|XP_033248838.1|DMIR, LOC108161141|XP_033248476.1|DMIR
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC108161610|XP_017151398.1|DMIR
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC108156619|XP_017143664.1|DMIR
OG0000032	LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG	LOC108156621|XP_017143666.1|DMIR
OG0000032	LOC108111718|XP_017076758.1|DEUG	LOC108157634|XP_017145264.1|DMIR
OG0000032	LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC108156618|XP_017143663.1|DMIR
OG0000033	LOC108116079|XP_017083286.1|DEUG, LOC108115913|XP_017083039.1|DEUG	LOC108156558|XP_017143572.1|DMIR
OG0000033	LOC108112609|XP_017078188.1|DEUG	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR
OG0000033	LOC108108576|XP_017072157.1|DEUG, LOC108115098|XP_017081835.1|DEUG, LOC108112351|XP_017077669.1|DEUG, LOC108117093|XP_017084781.1|DEUG	LOC108153999|XP_033244121.1|DMIR
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG	LOC108164271|XP_017155403.1|DMIR
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC108164069|XP_033249364.1|DMIR
OG0000034	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR
OG0000034	LOC108113407|XP_017079451.1|DEUG	LOC108162131|XP_017152200.1|DMIR
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC108157733|XP_017145397.1|DMIR
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC117187198|XP_033245230.1|DMIR
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC108157106|XP_017144468.1|DMIR
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC108155635|XP_017142061.1|DMIR
OG0000037	LOC108112000|XP_017077225.1|DEUG	LOC108160263|XP_017149626.1|DMIR
