Orthogroup	DEUG.longest_only	DBUS.longest_only
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC108103372|XP_017064308.1|DEUG	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000014	LOC108112994|XP_017078897.1|DEUG	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS
OG0000014	LOC108117406|XP_017085302.1|DEUG	LOC117134671|XP_033148998.1|DBUS
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC108113063|XP_017078988.1|DEUG	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC108108164|XP_017071591.1|DEUG	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC108115822|XP_017082901.1|DEUG	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC108115827|XP_017082907.1|DEUG	LOC108601285|XP_017844674.1|DBUS
OG0000019	LOC108115829|XP_017082909.1|DEUG	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC108115823|XP_017082903.1|DEUG	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC108107046|XP_017069896.1|DEUG	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC108110545|XP_017075123.1|DEUG	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC108112288|XP_017077598.1|DEUG	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC108112285|XP_017077596.1|DEUG	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC108109877|XP_017074162.1|DEUG	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC108110043|XP_017074396.1|DEUG	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC108115114|XP_017081855.1|DEUG	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC108115112|XP_017081853.1|DEUG	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC108115052|XP_017081788.1|DEUG	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC108112507|XP_017077883.1|DEUG	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC108115111|XP_017081852.1|DEUG	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC108115051|XP_017081787.1|DEUG	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC108115158|XP_017081958.1|DEUG	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC108106500|XP_017069084.1|DEUG	LOC108595136|XP_017835788.1|DBUS
OG0000024	LOC108115421|XP_017082346.1|DEUG	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC108607483|XP_017853815.1|DBUS
OG0000025	LOC108103398|XP_017064344.1|DEUG	LOC117134728|XP_033149262.1|DBUS
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS
OG0000026	LOC108110172|XP_017074584.1|DEUG	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC108106871|XP_017069603.1|DEUG	LOC108608302|XP_017855118.1|DBUS
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC108108455|XP_017071998.1|DEUG	LOC108598250|XP_017840354.1|DBUS
OG0000028	LOC108114276|XP_017080662.1|DEUG	LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS
OG0000031	LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS
OG0000031	LOC108102303|XP_017066607.1|DEUG	LOC108595066|XP_017835705.2|DBUS
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG, LOC108111711|XP_017076750.1|DEUG	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC108115450|XP_017082374.1|DEUG, LOC108115449|XP_017082373.1|DEUG, LOC108115445|XP_017082370.1|DEUG, LOC108115429|XP_017082354.1|DEUG, LOC108115474|XP_017082423.1|DEUG, LOC108115416|XP_017082341.1|DEUG, LOC108115417|XP_017082342.1|DEUG, LOC108112609|XP_017078188.1|DEUG, LOC108112610|XP_017078190.1|DEUG	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC108118408|XP_017086572.1|DEUG	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC108113407|XP_017079451.1|DEUG	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000037	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC108102893|XP_017063585.1|DEUG	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC108105051|XP_017066944.1|DEUG	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC108116469|XP_017083889.1|DEUG	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC108116470|XP_017083890.1|DEUG	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC108111548|XP_017076556.1|DEUG	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC108109350|XP_017073299.1|DEUG	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC108112378|XP_017077703.1|DEUG, LOC108112385|XP_017077715.1|DEUG, LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000042	LOC108112384|XP_017077714.1|DEUG	LOC108601375|XP_033149906.1|DBUS
OG0000043	LOC108116483|XP_017083905.1|DEUG	LOC108602016|XP_033149810.1|DBUS
OG0000043	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC108113702|XP_017079868.1|DEUG	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC108114047|XP_017080284.1|DEUG	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC108107675|XP_017070752.1|DEUG	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC108107619|XP_017070678.1|DEUG	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC108105004|XP_017066870.1|DEUG, LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC108112199|XP_017077502.1|DEUG	LOC108595113|XP_033148899.1|DBUS
OG0000047	LOC108113383|XP_017079444.1|DEUG	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC108106728|XP_017069453.1|DEUG	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC108114731|XP_017081330.1|DEUG	LOC108601150|XP_033149649.1|DBUS
OG0000047	LOC108106783|XP_017069514.1|DEUG	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC108114269|XP_017080655.1|DEUG	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC108113900|XP_017080095.1|DEUG	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC108114275|XP_017080660.1|DEUG	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC108117079|XP_017084741.1|DEUG	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC108117054|XP_017084715.1|DEUG	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC108117035|XP_017084693.1|DEUG	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC108117036|XP_017084694.1|DEUG	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC108117318|XP_017085175.1|DEUG	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC108116757|XP_017084265.1|DEUG	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC108116727|XP_017084233.1|DEUG	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC108109429|XP_017073417.1|DEUG	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC108117064|XP_017084724.1|DEUG	LOC108603519|XP_017847901.1|DBUS
OG0000051	LOC108111707|XP_017076746.1|DEUG, LOC108111705|XP_017076743.1|DEUG, LOC108111631|XP_017076651.1|DEUG, LOC108111676|XP_017076702.1|DEUG, LOC108111706|XP_017076744.1|DEUG, LOC108111732|XP_017076775.1|DEUG	LOC108601326|XP_017844713.1|DBUS
OG0000052	LOC108109404|XP_017073394.1|DEUG, LOC108116631|XP_017084099.1|DEUG, LOC108109394|XP_017073383.1|DEUG, LOC108110610|XP_017075201.1|DEUG, LOC108110028|XP_017074367.1|DEUG, LOC108110036|XP_017074380.1|DEUG	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC108111978|XP_017077180.1|DEUG	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS
OG0000052	LOC108111977|XP_017077179.1|DEUG	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC108104547|XP_017066177.1|DEUG	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC108104546|XP_017066176.1|DEUG	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC108104610|XP_017066273.1|DEUG	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC108104585|XP_017066235.1|DEUG	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC108113522|XP_017079606.1|DEUG	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC108116465|XP_017083884.1|DEUG	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC108116310|XP_017083589.1|DEUG, LOC108116309|XP_017083588.1|DEUG	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC108111360|XP_017076282.1|DEUG, LOC108112571|XP_017078103.1|DEUG, LOC108111359|XP_017076280.1|DEUG	LOC108602318|XP_017845891.1|DBUS
OG0000055	LOC108111363|XP_017076285.1|DEUG	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS
OG0000056	LOC108115632|XP_017082673.1|DEUG	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC108115634|XP_017082675.1|DEUG, LOC108115633|XP_017082674.1|DEUG	LOC108602080|XP_017845593.1|DBUS
OG0000056	LOC108116242|XP_017083521.1|DEUG, LOC108116270|XP_017083548.1|DEUG	LOC108598485|XP_017840632.1|DBUS
OG0000058	LOC108111899|XP_017077025.1|DEUG, LOC108114779|XP_017081378.1|DEUG, LOC108114875|XP_017081520.1|DEUG, LOC108111925|XP_017077056.1|DEUG	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS
OG0000058	LOC108113468|XP_017079539.1|DEUG	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC108103231|XP_017064121.1|DEUG	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC108113544|XP_017079627.1|DEUG, LOC108113548|XP_017079631.1|DEUG	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
