Orthogroup	DEUG.longest_only	DSIM.longest_only
OG0000012	LOC108106300|XP_017068760.1|DEUG	LOC6734134|XP_016027146.1|DSIM
OG0000012	LOC108106742|XP_017069468.1|DEUG	LOC6734135|XP_002081164.1|DSIM
OG0000012	LOC108106739|XP_017069464.1|DEUG	LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC6729335|XP_016035977.1|DSIM
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000014	LOC108112994|XP_017078897.1|DEUG	LOC120285345|XP_039153408.1|DSIM
OG0000014	LOC108117404|XP_017085301.1|DEUG, LOC108105912|XP_017068177.1|DEUG	LOC120285375|XP_039153883.1|DSIM
OG0000014	LOC108117406|XP_017085302.1|DEUG	LOC120284347|XP_039147384.1|DSIM
OG0000015	LOC108106955|XP_017069721.1|DEUG	LOC6732807|XP_002079920.3|DSIM
OG0000015	LOC108110504|XP_017075072.1|DEUG	LOC27208270|XP_016038606.1|DSIM
OG0000015	LOC108111565|XP_017076580.1|DEUG	LOC6730642|XP_002077813.2|DSIM
OG0000015	LOC108106912|XP_017069652.1|DEUG, LOC108106885|XP_017069622.1|DEUG, LOC108106894|XP_017069633.1|DEUG	LOC6731349|XP_002078505.1|DSIM
OG0000015	LOC108106913|XP_017069653.1|DEUG, LOC108106877|XP_017069613.1|DEUG	LOC6731405|XP_002078558.1|DSIM
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC6728214|XP_016034853.1|DSIM
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC108113063|XP_017078988.1|DEUG	LOC6734815|XP_016028043.1|DSIM
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC6725225|XP_016038239.1|DSIM
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC6733183|XP_016026067.1|DSIM
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC6727955|XP_016034553.1|DSIM
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC6739089|XP_016032930.1|DSIM
OG0000017	LOC108103426|XP_017064385.1|DEUG	LOC6740020|XP_002076907.2|DSIM
OG0000017	LOC108112627|XP_017078221.1|DEUG	LOC6733445|XP_002080502.2|DSIM
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC6733173|XP_002080249.1|DSIM
OG0000017	LOC108109558|XP_017073619.1|DEUG	LOC6740754|XP_016035626.1|DSIM
OG0000017	LOC108116012|XP_017083185.1|DEUG	LOC6729887|XP_002105190.2|DSIM
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC6735880|XP_002082790.1|DSIM
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC6733175|XP_002080251.2|DSIM
OG0000017	LOC108109231|XP_017073193.1|DEUG	LOC6735881|XP_002082791.1|DSIM
OG0000017	LOC108111034|XP_017075854.1|DEUG	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC6736980|XP_002083827.1|DSIM
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC6736983|XP_002083830.1|DSIM
OG0000018	LOC108108164|XP_017071591.1|DEUG	LOC6736982|XP_002083829.1|DSIM
OG0000018	LOC108107530|XP_017070560.1|DEUG	LOC6736975|XP_002083822.1|DSIM
OG0000019	LOC108115822|XP_017082901.1|DEUG	LOC6729811|XP_002105114.1|DSIM
OG0000019	LOC108115824|XP_017082904.1|DEUG	LOC6729810|XP_002105113.1|DSIM
OG0000019	LOC108115825|XP_017082905.1|DEUG	LOC27208716|XP_016036498.1|DSIM
OG0000019	LOC108115829|XP_017082909.1|DEUG	LOC6729806|XP_002105109.2|DSIM
OG0000019	LOC108115823|XP_017082903.1|DEUG	LOC6729809|XP_002105112.1|DSIM
OG0000019	LOC108115820|XP_017082899.1|DEUG	LOC6729812|XP_002105115.1|DSIM
OG0000019	LOC108115821|XP_017082900.1|DEUG	LOC6729813|XP_002105116.1|DSIM
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC6730019|XP_002105313.2|DSIM
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC6735524|XP_016028869.1|DSIM
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG	LOC6733705|XP_002080752.3|DSIM
OG0000020	LOC108106167|XP_017068567.1|DEUG	LOC6731489|XP_016024167.1|DSIM
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC6727407|XP_016033953.2|DSIM
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC6728507|XP_016035147.1|DSIM
OG0000020	LOC108107046|XP_017069896.1|DEUG	LOC6732748|XP_016025473.2|DSIM
OG0000021	LOC108110545|XP_017075123.1|DEUG	LOC6730820|XP_002077987.1|DSIM
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC6735639|XP_002082557.1|DSIM
OG0000021	LOC108112288|XP_017077598.1|DEUG	LOC6739483|XP_002076381.1|DSIM
OG0000021	LOC108112285|XP_017077596.1|DEUG	LOC27206609|XP_016028304.1|DSIM
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC6725592|XP_039153232.1|DSIM
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC6729419|XP_002104734.2|DSIM
OG0000021	LOC108111770|XP_017076824.1|DEUG	LOC6728358|XP_016034980.1|DSIM
OG0000021	LOC108110043|XP_017074396.1|DEUG	LOC6726014|XP_016039394.1|DSIM
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC27206614|XP_039147853.1|DSIM
OG0000022	LOC108102780|XP_017063430.1|DEUG	LOC6736292|XP_002083176.1|DSIM
OG0000022	LOC108102802|XP_017063462.1|DEUG	LOC6736297|XP_002083181.2|DSIM
OG0000022	LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG	LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM
OG0000022	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG	LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM
OG0000022	LOC108102797|XP_017063457.1|DEUG	LOC27207148|XP_016029776.1|DSIM
OG0000023	LOC108115114|XP_017081855.1|DEUG	LOC6727104|XP_002102497.2|DSIM
OG0000023	LOC108115052|XP_017081788.1|DEUG	LOC6727107|XP_016033584.1|DSIM
OG0000023	LOC108112507|XP_017077883.1|DEUG	LOC6735713|XP_002082629.1|DSIM
OG0000023	LOC108115111|XP_017081852.1|DEUG	LOC6727106|XP_039151383.1|DSIM
OG0000023	LOC108115051|XP_017081787.1|DEUG	LOC6727099|XP_002102492.1|DSIM
OG0000023	LOC108115158|XP_017081958.1|DEUG	LOC6727095|XP_016033580.1|DSIM
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC6727097|XP_002102490.1|DSIM
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC6727094|XP_016033578.1|DSIM
OG0000024	LOC108106508|XP_017069090.1|DEUG	LOC6733991|XP_002081035.1|DSIM
OG0000024	LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG	LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM
OG0000024	LOC108106506|XP_017069088.1|DEUG	LOC27209398|XP_016027021.1|DSIM
OG0000024	LOC108106500|XP_017069084.1|DEUG	LOC6733990|XP_002081034.2|DSIM
OG0000024	LOC108115421|XP_017082346.1|DEUG	LOC6732909|XP_002080014.1|DSIM
OG0000024	LOC108106503|XP_017069087.1|DEUG	LOC6733989|XP_002081033.1|DSIM
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC6739427|XP_002076329.1|DSIM
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC27207833|XP_016038650.1|DSIM
OG0000025	LOC108114004|XP_017080277.1|DEUG	LOC120285798|XP_039154348.1|DSIM
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC6725654|XP_002106661.1|DSIM
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC6731167|XP_002078325.1|DSIM
OG0000026	LOC108103585|XP_017064599.1|DEUG	LOC6725713|XP_002106716.1|DSIM
OG0000026	LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG	LOC6726897|XP_002102299.1|DSIM
OG0000026	LOC108110172|XP_017074584.1|DEUG	LOC6727211|XP_002102603.1|DSIM
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC6731383|XP_002078536.1|DSIM
OG0000027	LOC108106871|XP_017069603.1|DEUG	LOC6731386|XP_002078539.1|DSIM
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC6731384|XP_002078537.1|DSIM
OG0000028	LOC108108736|XP_017072363.1|DEUG, LOC108108737|XP_017072364.1|DEUG	LOC120284825|XP_039150147.1|DSIM, LOC120284826|XP_039150148.1|DSIM, LOC6738682|XP_016032507.2|DSIM, LOC120284824|XP_039150146.1|DSIM
OG0000028	LOC108108455|XP_017071998.1|DEUG	LOC6738680|XP_039149230.1|DSIM
OG0000028	LOC108114276|XP_017080662.1|DEUG	LOC120284696|XP_039148939.1|DSIM
OG0000029	LOC108104771|XP_017066496.1|DEUG	LOC6733757|XP_002080801.1|DSIM
OG0000029	LOC108106174|XP_017068584.1|DEUG	LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM
OG0000029	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG	LOC6728974|XP_002104302.1|DSIM
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC27208471|XP_016032409.1|DSIM
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC6732024|XP_016024722.1|DSIM
OG0000030	LOC108104049|XP_017065385.1|DEUG	LOC6732022|XP_002079155.1|DSIM
OG0000030	LOC108104046|XP_017065382.1|DEUG	LOC6732023|XP_002079156.1|DSIM
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC6730745|XP_002077913.2|DSIM
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC6735876|XP_002082786.1|DSIM
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC27208281|XP_039152536.1|DSIM
OG0000030	LOC108104999|XP_017066865.1|DEUG	LOC6740355|XP_002077222.1|DSIM
OG0000031	LOC108105113|XP_017067036.1|DEUG	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM
OG0000031	LOC108105166|XP_017067095.1|DEUG	LOC6732447|XP_002079568.2|DSIM
OG0000031	LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG	LOC6736718|XP_002083574.1|DSIM
OG0000031	LOC108110574|XP_017075160.1|DEUG	LOC6730782|XP_002077950.2|DSIM
OG0000031	LOC108110535|XP_017075106.1|DEUG	LOC6733504|XP_016026473.1|DSIM
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC6731777|XP_016024472.1|DSIM
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC6728385|XP_016034993.2|DSIM
OG0000032	LOC108111712|XP_017076751.1|DEUG	LOC6728379|XP_016034990.1|DSIM
OG0000032	LOC108111805|XP_017076892.1|DEUG	LOC6728381|XP_016034991.1|DSIM
OG0000032	LOC108111711|XP_017076750.1|DEUG	LOC6728387|XP_039151488.1|DSIM
OG0000032	LOC108111718|XP_017076758.1|DEUG	LOC6728378|XP_002103726.1|DSIM
OG0000033	LOC108115913|XP_017083039.1|DEUG	LOC6729955|XP_039150847.1|DSIM
OG0000033	LOC108115445|XP_017082370.1|DEUG	LOC6732999|XP_002080078.1|DSIM
OG0000033	LOC108115429|XP_017082354.1|DEUG	LOC6733000|XP_016025683.2|DSIM
OG0000033	LOC108115417|XP_017082342.1|DEUG	LOC6732998|XP_016025682.1|DSIM
OG0000033	LOC108112609|XP_017078188.1|DEUG	LOC6733292|XP_016026219.1|DSIM
OG0000033	LOC108112610|XP_017078190.1|DEUG	LOC6733291|XP_002080354.2|DSIM
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC6733297|XP_016026220.1|DSIM
OG0000033	LOC108108576|XP_017072157.1|DEUG	LOC6738496|XP_002085302.1|DSIM
OG0000033	LOC108115098|XP_017081835.1|DEUG	LOC6727186|XP_002102578.1|DSIM, LOC6727187|XP_002102579.2|DSIM
OG0000033	LOC108112351|XP_017077669.1|DEUG	LOC6734776|XP_002081779.1|DSIM
OG0000034	LOC108118404|XP_017086569.1|DEUG	LOC6732560|XP_002079679.3|DSIM
OG0000034	LOC108118408|XP_017086572.1|DEUG	LOC6732561|XP_002079680.1|DSIM
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC27209034|XP_016025242.1|DSIM
OG0000034	LOC108115439|XP_017082363.1|DEUG	LOC6732919|XP_002080023.2|DSIM
OG0000034	LOC108116805|XP_017084341.1|DEUG	LOC6728308|XP_016034943.1|DSIM
OG0000034	LOC108116981|XP_017084632.1|DEUG	LOC6728309|XP_016034944.1|DSIM
OG0000034	LOC108113407|XP_017079451.1|DEUG	LOC6731186|XP_002078345.3|DSIM
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC6727116|XP_002102509.1|DSIM
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC6727985|XP_002103337.2|DSIM
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC6726665|XP_039151600.1|DSIM
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM
OG0000037	LOC108112000|XP_017077225.1|DEUG	LOC6735171|XP_016028454.1|DSIM
OG0000037	LOC108117112|XP_017084823.1|DEUG	LOC6727491|XP_002102871.2|DSIM
OG0000037	LOC108117111|XP_017084822.1|DEUG	LOC6727490|XP_002102870.2|DSIM
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC6738693|XP_002085495.1|DSIM
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC6738696|XP_016032514.1|DSIM
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC6726964|XP_002102366.2|DSIM
OG0000039	LOC108102893|XP_017063585.1|DEUG	LOC27207643|XP_016039311.1|DSIM
OG0000039	LOC108103025|XP_017063841.1|DEUG	LOC6740324|XP_002077196.2|DSIM
OG0000039	LOC108105051|XP_017066944.1|DEUG	LOC6725586|XP_039153235.1|DSIM
OG0000040	LOC108116469|XP_017083889.1|DEUG	LOC6728556|XP_002103897.1|DSIM
OG0000040	LOC108116470|XP_017083890.1|DEUG	LOC6728557|XP_002103898.1|DSIM
OG0000040	LOC108111562|XP_017076575.1|DEUG	LOC6727641|XP_002103018.1|DSIM
OG0000040	LOC108111560|XP_017076573.1|DEUG	LOC6727640|XP_016034235.1|DSIM
OG0000040	LOC108111548|XP_017076556.1|DEUG	LOC6727638|XP_002103015.1|DSIM
OG0000040	LOC108109350|XP_017073299.1|DEUG	LOC6730355|XP_002105637.2|DSIM
OG0000041	LOC108113674|XP_017079839.1|DEUG	LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM
OG0000041	LOC108113782|XP_017079974.1|DEUG	LOC6729591|XP_002104899.1|DSIM
OG0000041	LOC108113689|XP_017079854.1|DEUG	LOC6729598|XP_002104906.1|DSIM
OG0000041	LOC108113801|XP_017079998.1|DEUG	LOC6729597|XP_016036238.1|DSIM
OG0000042	LOC108108093|XP_017071481.1|DEUG	LOC27209427|XP_016038683.1|DSIM
OG0000042	LOC108112378|XP_017077703.1|DEUG	LOC6735085|XP_039148041.1|DSIM
