Orthogroup	DEUG.longest_only	AAEG.longest_only
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC108107616|XP_017070674.1|DEUG	LOC5577643|XP_001656641.1|AAEG
OG0000019	LOC108115822|XP_017082901.1|DEUG, LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG, LOC108115827|XP_017082907.1|DEUG, LOC108115829|XP_017082909.1|DEUG, LOC108115823|XP_017082903.1|DEUG, LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC108116051|XP_017083239.1|DEUG, LOC108109261|XP_017073233.1|DEUG	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG, LOC108117182|XP_017084963.1|DEUG, LOC108116455|XP_017083873.1|DEUG, LOC108107046|XP_017069896.1|DEUG, LOC108115414|XP_017082340.1|DEUG	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC108117533|XP_017085522.1|DEUG, LOC108111770|XP_017076824.1|DEUG, LOC108110043|XP_017074396.1|DEUG	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC108115114|XP_017081855.1|DEUG, LOC108115112|XP_017081853.1|DEUG, LOC108115052|XP_017081788.1|DEUG, LOC108112507|XP_017077883.1|DEUG, LOC108115111|XP_017081852.1|DEUG, LOC108115051|XP_017081787.1|DEUG, LOC108115158|XP_017081958.1|DEUG, LOC108115110|XP_017081851.1|DEUG, LOC108115157|XP_017081956.1|DEUG	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG, LOC108106500|XP_017069084.1|DEUG, LOC108115421|XP_017082346.1|DEUG, LOC108106503|XP_017069087.1|DEUG, LOC108111932|XP_017077077.1|DEUG	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000025	LOC108114004|XP_017080277.1|DEUG	LOC110679738|XP_021711159.1|AAEG
OG0000025	LOC108103398|XP_017064344.1|DEUG	LOC110677924|XP_021705634.1|AAEG, LOC110678834|XP_021708004.1|AAEG, LOC5578786|XP_001657156.1|AAEG, LOC110679742|XP_021711163.1|AAEG, LOC110679740|XP_021711161.1|AAEG
OG0000026	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG, LOC108110172|XP_017074584.1|DEUG	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC108106863|XP_017069596.1|DEUG, LOC108106871|XP_017069603.1|DEUG, LOC108106870|XP_017069602.1|DEUG	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC108108736|XP_017072363.1|DEUG, LOC108108737|XP_017072364.1|DEUG, LOC108108647|XP_017072239.1|DEUG, LOC108108738|XP_017072365.1|DEUG, LOC108108739|XP_017072366.1|DEUG, LOC108108680|XP_017072274.1|DEUG, LOC108108455|XP_017071998.1|DEUG, LOC108114276|XP_017080662.1|DEUG	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG, LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG, LOC108108451|XP_017071993.1|DEUG	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG, LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG, LOC108102303|XP_017066607.1|DEUG	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC108111801|XP_017076881.1|DEUG, LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG, LOC108111711|XP_017076750.1|DEUG, LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG, LOC108118408|XP_017086572.1|DEUG, LOC108118494|XP_017086716.1|DEUG, LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC108112000|XP_017077225.1|DEUG, LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC108116482|XP_017083904.1|DEUG, LOC108116483|XP_017083905.1|DEUG, LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG, LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC108113702|XP_017079868.1|DEUG, LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG, LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG, LOC108116281|XP_017083557.1|DEUG	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG, LOC108107675|XP_017070752.1|DEUG, LOC108107619|XP_017070678.1|DEUG	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC108112199|XP_017077502.1|DEUG, LOC108113383|XP_017079444.1|DEUG, LOC108106728|XP_017069453.1|DEUG, LOC108114731|XP_017081330.1|DEUG, LOC108106783|XP_017069514.1|DEUG, LOC108113976|XP_017080206.1|DEUG	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC108114269|XP_017080655.1|DEUG, LOC108113900|XP_017080095.1|DEUG, LOC108114275|XP_017080660.1|DEUG	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC108117079|XP_017084741.1|DEUG, LOC108117054|XP_017084715.1|DEUG, LOC108117035|XP_017084693.1|DEUG, LOC108117069|XP_017084731.1|DEUG, LOC108117036|XP_017084694.1|DEUG, LOC108117318|XP_017085175.1|DEUG	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC108109429|XP_017073417.1|DEUG, LOC108117064|XP_017084724.1|DEUG, LOC108111707|XP_017076746.1|DEUG, LOC108111705|XP_017076743.1|DEUG, LOC108111631|XP_017076651.1|DEUG, LOC108111676|XP_017076702.1|DEUG, LOC108111706|XP_017076744.1|DEUG, LOC108111732|XP_017076775.1|DEUG	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC108104547|XP_017066177.1|DEUG, LOC108104546|XP_017066176.1|DEUG, LOC108104610|XP_017066273.1|DEUG	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC108116465|XP_017083884.1|DEUG, LOC108116310|XP_017083589.1|DEUG, LOC108116309|XP_017083588.1|DEUG, LOC108116517|XP_017083943.1|DEUG, LOC108116481|XP_017083903.1|DEUG	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC108115632|XP_017082673.1|DEUG, LOC108115630|XP_017082671.1|DEUG, LOC108115634|XP_017082675.1|DEUG, LOC108115633|XP_017082674.1|DEUG, LOC108116242|XP_017083521.1|DEUG, LOC108116270|XP_017083548.1|DEUG	LOC5574529|XP_001655182.1|AAEG
OG0000058	LOC108111899|XP_017077025.1|DEUG, LOC108114779|XP_017081378.1|DEUG, LOC108114875|XP_017081520.1|DEUG, LOC108111925|XP_017077056.1|DEUG, LOC108113468|XP_017079539.1|DEUG, LOC108103231|XP_017064121.1|DEUG	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC108103845|XP_017065030.1|DEUG	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC108104222|XP_017065654.1|DEUG	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC108105141|XP_017067063.1|DEUG, LOC108105148|XP_017067072.1|DEUG, LOC108105132|XP_017067054.1|DEUG, LOC108105140|XP_017067062.1|DEUG	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000067	LOC108110201|XP_017074664.1|DEUG, LOC108108193|XP_017071634.1|DEUG	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC108104759|XP_017066483.1|DEUG, LOC108107601|XP_017070655.1|DEUG	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC108113955|XP_017080157.1|DEUG	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC108108396|XP_017071938.1|DEUG, LOC108117125|XP_017084845.1|DEUG, LOC108108595|XP_017072182.1|DEUG, LOC108109162|XP_017073074.1|DEUG, LOC108113259|XP_017079298.1|DEUG, LOC108117707|XP_017085744.1|DEUG	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC108113477|XP_017079549.1|DEUG, LOC108105517|XP_017067632.1|DEUG, LOC108113476|XP_017079548.1|DEUG, LOC108117153|XP_017084908.1|DEUG	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC108113923|XP_017080119.1|DEUG	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC108113853|XP_017080051.1|DEUG, LOC108113829|XP_017080027.1|DEUG, LOC108113830|XP_017080028.1|DEUG	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC108112416|XP_017077748.1|DEUG, LOC108112101|XP_017077339.1|DEUG	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC108112923|XP_017078801.1|DEUG	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC108102436|XP_017062902.1|DEUG	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC108115124|XP_017081864.1|DEUG	LOC5573536|XP_021693962.1|AAEG
OG0000073	LOC108102888|XP_017063576.1|DEUG	LOC5578376|XP_021695142.1|AAEG
OG0000074	LOC108107571|XP_017070620.1|DEUG, LOC108108501|XP_017072057.1|DEUG	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC108107737|XP_017070877.1|DEUG	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC108103550|XP_017064568.1|DEUG	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC108109158|XP_017073068.1|DEUG	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC108109792|XP_017073986.1|DEUG	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC108107356|XP_017070344.1|DEUG	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC108116009|XP_017083176.1|DEUG	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC108108942|XP_017072686.1|DEUG, LOC108108692|XP_017072286.1|DEUG, LOC108115080|XP_017081817.1|DEUG, LOC108115236|XP_017082120.1|DEUG, LOC108105339|XP_017067321.1|DEUG	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC108112927|XP_017078808.1|DEUG, LOC108112926|XP_017078807.1|DEUG, LOC108112904|XP_017078751.1|DEUG	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC108112180|XP_017077478.1|DEUG, LOC108115688|XP_017082745.1|DEUG, LOC108115689|XP_017082747.1|DEUG, LOC108115722|XP_017082784.1|DEUG, LOC108116863|XP_017084418.1|DEUG, LOC108116862|XP_017084417.1|DEUG	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC108111226|XP_017076117.1|DEUG, LOC108111194|XP_017076078.1|DEUG, LOC108110427|XP_017074983.1|DEUG, LOC108111109|XP_017075947.1|DEUG, LOC108110531|XP_017075102.1|DEUG, LOC108110509|XP_017075078.1|DEUG, LOC108111080|XP_017075904.1|DEUG	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC108112025|XP_017077258.1|DEUG	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC108112786|XP_017078554.1|DEUG	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC108112567|XP_017078019.1|DEUG	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC108112934|XP_017078816.1|DEUG	LOC5575040|XP_001661772.2|AAEG
OG0000087	LOC108110461|XP_017075018.1|DEUG	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	LOC108105764|XP_017067973.1|DEUG, LOC108110497|XP_017075066.1|DEUG	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	LOC108114909|XP_017081575.1|DEUG	LOC5573732|XP_001654757.1|AAEG
OG0000089	LOC108116217|XP_017083494.1|DEUG, LOC108115116|XP_017081857.1|DEUG	LOC5577489|XP_001663407.1|AAEG
OG0000089	LOC108110281|XP_017074767.1|DEUG	LOC5575826|XP_021694449.1|AAEG
OG0000089	LOC108114313|XP_017080713.1|DEUG	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
OG0000090	LOC108104816|XP_017066589.1|DEUG, LOC108104868|XP_017066681.1|DEUG, LOC108107791|XP_017070990.1|DEUG, LOC108102781|XP_017063431.1|DEUG	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG
OG0000091	LOC108116035|XP_017083214.1|DEUG	LOC5578943|XP_021693136.1|AAEG
OG0000091	LOC108104140|XP_017065530.1|DEUG, LOC108116874|XP_017084454.1|DEUG, LOC108117005|XP_017084662.1|DEUG	LOC5579216|XP_021706364.1|AAEG
