Orthogroup	DEUG.longest_only	DVIR.longest_only
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC6625463|XP_002049667.1|DVIR
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC116649800|XP_032288822.1|DVIR, LOC6637072|XP_002060487.1|DVIR, LOC116649809|XP_032288836.1|DVIR, LOC116649803|XP_032288825.1|DVIR, LOC116649805|XP_032288827.1|DVIR, LOC6637262|XP_032288828.1|DVIR, LOC116649810|XP_032288837.1|DVIR, LOC6630106|XP_032288838.1|DVIR
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000011	LOC108105967|XP_017068260.1|DEUG	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC108111829|XP_017076924.1|DEUG	LOC116652015|XP_032295550.1|DVIR
OG0000014	LOC108110723|XP_017075400.1|DEUG, LOC108103093|XP_017063939.1|DEUG	LOC116650074|XP_032289316.1|DVIR
OG0000014	LOC108117404|XP_017085301.1|DEUG, LOC108105912|XP_017068177.1|DEUG	LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR
OG0000015	LOC108106955|XP_017069721.1|DEUG	LOC6633997|XP_032293758.1|DVIR
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC108113063|XP_017078988.1|DEUG	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC108108164|XP_017071591.1|DEUG	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC108107661|XP_017070737.1|DEUG, LOC108107530|XP_017070560.1|DEUG, LOC108107673|XP_017070750.1|DEUG	LOC6623391|XP_002046158.1|DVIR
OG0000018	LOC108107616|XP_017070674.1|DEUG	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC108115822|XP_017082901.1|DEUG	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC108115829|XP_017082909.1|DEUG	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC108115823|XP_017082903.1|DEUG	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC108107046|XP_017069896.1|DEUG	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC108110545|XP_017075123.1|DEUG	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC108112288|XP_017077598.1|DEUG	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC108112285|XP_017077596.1|DEUG	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC108109877|XP_017074162.1|DEUG	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC108111770|XP_017076824.1|DEUG	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC108110043|XP_017074396.1|DEUG	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC108115114|XP_017081855.1|DEUG	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC108115112|XP_017081853.1|DEUG	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC108115052|XP_017081788.1|DEUG	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC108112507|XP_017077883.1|DEUG	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC108115111|XP_017081852.1|DEUG	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC108115051|XP_017081787.1|DEUG	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC108115158|XP_017081958.1|DEUG	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC108106500|XP_017069084.1|DEUG	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC108115421|XP_017082346.1|DEUG	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC108106503|XP_017069087.1|DEUG	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC6635606|XP_002058949.1|DVIR
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC108110172|XP_017074584.1|DEUG	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC108108455|XP_017071998.1|DEUG	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC108104999|XP_017066865.1|DEUG	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG, LOC108111711|XP_017076750.1|DEUG	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC108115450|XP_017082374.1|DEUG, LOC108115449|XP_017082373.1|DEUG, LOC108115445|XP_017082370.1|DEUG, LOC108115429|XP_017082354.1|DEUG, LOC108115474|XP_017082423.1|DEUG, LOC108115416|XP_017082341.1|DEUG, LOC108115417|XP_017082342.1|DEUG, LOC108112609|XP_017078188.1|DEUG, LOC108112610|XP_017078190.1|DEUG	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC108118408|XP_017086572.1|DEUG	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC108113407|XP_017079451.1|DEUG	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC108112000|XP_017077225.1|DEUG	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC108102893|XP_017063585.1|DEUG	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC108103025|XP_017063841.1|DEUG	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC108105051|XP_017066944.1|DEUG	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC108116469|XP_017083889.1|DEUG	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC108116470|XP_017083890.1|DEUG	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC108111548|XP_017076556.1|DEUG	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC108109350|XP_017073299.1|DEUG	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC108112378|XP_017077703.1|DEUG, LOC108112385|XP_017077715.1|DEUG, LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC108116482|XP_017083904.1|DEUG	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC108116483|XP_017083905.1|DEUG	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC108113702|XP_017079868.1|DEUG	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC108114047|XP_017080284.1|DEUG	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC108107675|XP_017070752.1|DEUG	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC108107619|XP_017070678.1|DEUG	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC108105004|XP_017066870.1|DEUG, LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC108112199|XP_017077502.1|DEUG	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC108113383|XP_017079444.1|DEUG	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC108106728|XP_017069453.1|DEUG	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC108114731|XP_017081330.1|DEUG	LOC6623898|XP_015031386.1|DVIR
OG0000047	LOC108106783|XP_017069514.1|DEUG	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC108114269|XP_017080655.1|DEUG	LOC6623801|XP_002046214.1|DVIR
OG0000048	LOC108113900|XP_017080095.1|DEUG	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC108114275|XP_017080660.1|DEUG	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC108117079|XP_017084741.1|DEUG	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC108117054|XP_017084715.1|DEUG	LOC6632702|XP_002056035.3|DVIR
OG0000049	LOC108117035|XP_017084693.1|DEUG	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC108117036|XP_017084694.1|DEUG	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC108117318|XP_017085175.1|DEUG	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC108106209|XP_017068623.1|DEUG	LOC116651245|XP_032293110.1|DVIR
OG0000050	LOC108116755|XP_017084263.1|DEUG	LOC116650744|XP_032291206.1|DVIR
OG0000050	LOC108116756|XP_017084264.1|DEUG	LOC6622355|XP_002047925.1|DVIR
OG0000050	LOC108116757|XP_017084265.1|DEUG	LOC6622345|XP_002047924.2|DVIR
OG0000050	LOC108116725|XP_017084231.1|DEUG	LOC6622312|XP_002047926.2|DVIR
OG0000050	LOC108116727|XP_017084233.1|DEUG	LOC6622403|XP_002047934.2|DVIR
