Orthogroup	DEUG.longest_only	CPIP.longest_only
OG0000010	LOC108103372|XP_017064308.1|DEUG	LOC120422947|XP_039442463.1|CPIP
OG0000012	LOC108113192|XP_017079208.1|DEUG, LOC108113191|XP_017079207.1|DEUG, LOC108113343|XP_017079393.1|DEUG, LOC108113377|XP_017079435.1|DEUG, LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG, LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG, LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC120421446|XP_039440586.1|CPIP
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC120414719|XP_039431959.1|CPIP
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC120419254|XP_039437842.1|CPIP
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC120420165|XP_039439065.1|CPIP
OG0000013	LOC108116618|XP_017084081.1|DEUG, LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP
OG0000014	LOC108117406|XP_017085302.1|DEUG	LOC120413983|XP_039430927.1|CPIP, LOC120421589|XP_039440753.1|CPIP
OG0000016	LOC108116882|XP_017084468.1|DEUG, LOC108109063|XP_017072885.1|DEUG	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC120432396|XP_039453527.1|CPIP
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC120421049|XP_039440125.1|CPIP
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC120418854|XP_039437316.1|CPIP
OG0000018	LOC108107616|XP_017070674.1|DEUG	LOC120425088|XP_039445415.1|CPIP
OG0000019	LOC108115822|XP_017082901.1|DEUG, LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG, LOC108115827|XP_017082907.1|DEUG, LOC108115829|XP_017082909.1|DEUG, LOC108115823|XP_017082903.1|DEUG, LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP
OG0000020	LOC108116051|XP_017083239.1|DEUG, LOC108109261|XP_017073233.1|DEUG	LOC120421785|XP_039440991.1|CPIP
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG, LOC108117182|XP_017084963.1|DEUG, LOC108116455|XP_017083873.1|DEUG, LOC108107046|XP_017069896.1|DEUG, LOC108115414|XP_017082340.1|DEUG	LOC120420106|XP_039438987.1|CPIP
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC120418811|XP_039437259.1|CPIP
OG0000021	LOC108117533|XP_017085522.1|DEUG, LOC108111770|XP_017076824.1|DEUG, LOC108110043|XP_017074396.1|DEUG	LOC120424111|XP_039444066.1|CPIP
OG0000022	LOC108113005|XP_017078913.1|DEUG, LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG, LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG, LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG	LOC120418999|XP_039437504.1|CPIP
OG0000023	LOC108115114|XP_017081855.1|DEUG, LOC108115112|XP_017081853.1|DEUG, LOC108115052|XP_017081788.1|DEUG, LOC108112507|XP_017077883.1|DEUG, LOC108115111|XP_017081852.1|DEUG, LOC108115051|XP_017081787.1|DEUG, LOC108115158|XP_017081958.1|DEUG, LOC108115110|XP_017081851.1|DEUG, LOC108115157|XP_017081956.1|DEUG	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP
OG0000025	LOC108114004|XP_017080277.1|DEUG	LOC120422943|XP_039442460.1|CPIP
OG0000026	LOC108103585|XP_017064599.1|DEUG, LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG, LOC108110172|XP_017074584.1|DEUG	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP
OG0000027	LOC108106863|XP_017069596.1|DEUG, LOC108106871|XP_017069603.1|DEUG, LOC108106870|XP_017069602.1|DEUG	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP
OG0000028	LOC108108736|XP_017072363.1|DEUG, LOC108108737|XP_017072364.1|DEUG, LOC108108647|XP_017072239.1|DEUG, LOC108108738|XP_017072365.1|DEUG, LOC108108739|XP_017072366.1|DEUG, LOC108108680|XP_017072274.1|DEUG, LOC108108455|XP_017071998.1|DEUG, LOC108114276|XP_017080662.1|DEUG	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP
OG0000029	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG, LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG, LOC108108451|XP_017071993.1|DEUG	LOC120427995|XP_039448892.1|CPIP, LOC120429043|XP_039450116.1|CPIP, LOC120425400|XP_039445848.1|CPIP, LOC120412437|XP_039428830.1|CPIP, LOC120412438|XP_039428832.1|CPIP, LOC120412377|XP_039428737.1|CPIP, LOC120426298|XP_039446982.1|CPIP, LOC120431774|XP_039452829.1|CPIP, LOC120431776|XP_039452830.1|CPIP, LOC120414517|XP_039431660.1|CPIP, LOC120431779|XP_039452834.1|CPIP, LOC120431777|XP_039452831.1|CPIP, LOC120414516|XP_039431658.1|CPIP, LOC120431778|XP_039452832.1|CPIP, LOC120431781|XP_039452836.1|CPIP, LOC120423531|XP_039443312.1|CPIP, LOC120423591|XP_039443386.1|CPIP, LOC120423529|XP_039443310.1|CPIP, LOC120423562|XP_039443346.1|CPIP, LOC120423590|XP_039443385.1|CPIP, LOC120423574|XP_039443365.1|CPIP, LOC120423530|XP_039443311.1|CPIP, LOC120428050|XP_039448948.1|CPIP, LOC120428047|XP_039448945.1|CPIP, LOC120428042|XP_039448940.1|CPIP, LOC120428049|XP_039448947.1|CPIP, LOC120428044|XP_039448941.1|CPIP, LOC120428048|XP_039448946.1|CPIP, LOC120428041|XP_039448939.1|CPIP, LOC120416967|XP_039434819.1|CPIP, LOC120416965|XP_039434818.1|CPIP, LOC120416968|XP_039434820.1|CPIP, LOC120424280|XP_039444284.1|CPIP, LOC120416978|XP_039434836.1|CPIP, LOC120425984|XP_039446573.1|CPIP
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG, LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG, LOC108102303|XP_017066607.1|DEUG	LOC120431052|XP_039452140.1|CPIP, LOC120431053|XP_039452142.1|CPIP, LOC120431044|XP_039452130.1|CPIP
OG0000032	LOC108111801|XP_017076881.1|DEUG, LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG, LOC108111711|XP_017076750.1|DEUG, LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC120428276|XP_039449203.1|CPIP, LOC120428278|XP_039449205.1|CPIP, LOC120423181|XP_039442808.1|CPIP, LOC120428273|XP_039449199.1|CPIP, LOC120428279|XP_039449206.1|CPIP, LOC120423333|XP_039443034.1|CPIP, LOC120423329|XP_039443024.1|CPIP
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG, LOC108118408|XP_017086572.1|DEUG, LOC108118494|XP_017086716.1|DEUG, LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG, LOC108113407|XP_017079451.1|DEUG	LOC120424426|XP_039444477.1|CPIP, LOC120424428|XP_039444478.1|CPIP, LOC120425576|XP_039446083.1|CPIP
OG0000035	LOC108103278|XP_017064178.1|DEUG, LOC108104237|XP_017065676.1|DEUG, LOC108118065|XP_017086097.1|DEUG	LOC120422668|XP_039442108.1|CPIP, LOC120417424|XP_039435402.1|CPIP
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC120423312|XP_039443009.1|CPIP, LOC120423302|XP_039442999.1|CPIP
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC120428713|XP_039449719.1|CPIP
OG0000037	LOC108112000|XP_017077225.1|DEUG, LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC120427863|XP_039448721.1|CPIP, LOC120427866|XP_039448727.1|CPIP
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC120421672|XP_039440837.1|CPIP
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC120424485|XP_039444561.1|CPIP
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC120423308|XP_039443007.1|CPIP, LOC120423309|XP_039443008.1|CPIP, LOC120423299|XP_039442997.1|CPIP, LOC120423315|XP_039443011.1|CPIP, LOC120414296|XP_039431365.1|CPIP, LOC120414287|XP_039431352.1|CPIP, LOC120425565|XP_039446064.1|CPIP, LOC120425872|XP_039446428.1|CPIP, LOC120421228|XP_039440361.1|CPIP, LOC120420530|XP_039439537.1|CPIP, LOC120419083|XP_039437604.1|CPIP, LOC120419038|XP_039437539.1|CPIP, LOC120419279|XP_039437882.1|CPIP
OG0000041	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG	LOC120412956|XP_039429533.1|CPIP, LOC120412955|XP_039429528.1|CPIP, LOC120412998|XP_039429583.1|CPIP, LOC120412985|XP_039429569.1|CPIP, LOC120412939|XP_039429511.1|CPIP
OG0000043	LOC108116482|XP_017083904.1|DEUG, LOC108116483|XP_017083905.1|DEUG, LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG, LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG	LOC120430105|XP_039451125.1|CPIP, LOC120430134|XP_039451155.1|CPIP, LOC120423650|XP_039443467.1|CPIP, LOC120423651|XP_039443468.1|CPIP
OG0000044	LOC108113702|XP_017079868.1|DEUG, LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG, LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG, LOC108116281|XP_017083557.1|DEUG	LOC120431841|XP_039452903.1|CPIP
OG0000047	LOC108112199|XP_017077502.1|DEUG, LOC108113383|XP_017079444.1|DEUG, LOC108106728|XP_017069453.1|DEUG, LOC108114731|XP_017081330.1|DEUG, LOC108106783|XP_017069514.1|DEUG, LOC108113976|XP_017080206.1|DEUG	LOC120423119|XP_039442732.1|CPIP
OG0000048	LOC108114269|XP_017080655.1|DEUG, LOC108113900|XP_017080095.1|DEUG, LOC108114275|XP_017080660.1|DEUG	LOC120428345|XP_039449278.1|CPIP, LOC120428347|XP_039449282.1|CPIP
OG0000049	LOC108117079|XP_017084741.1|DEUG, LOC108117054|XP_017084715.1|DEUG, LOC108117035|XP_017084693.1|DEUG, LOC108117069|XP_017084731.1|DEUG, LOC108117036|XP_017084694.1|DEUG, LOC108117318|XP_017085175.1|DEUG	LOC120423767|XP_039443615.1|CPIP, LOC120423768|XP_039443616.1|CPIP, LOC120422276|XP_039441594.1|CPIP, LOC120414464|XP_039431589.1|CPIP
OG0000051	LOC108109429|XP_017073417.1|DEUG, LOC108117064|XP_017084724.1|DEUG, LOC108111707|XP_017076746.1|DEUG, LOC108111705|XP_017076743.1|DEUG, LOC108111631|XP_017076651.1|DEUG, LOC108111676|XP_017076702.1|DEUG, LOC108111706|XP_017076744.1|DEUG, LOC108111732|XP_017076775.1|DEUG	LOC120417514|XP_039435529.1|CPIP, LOC120417515|XP_039435532.1|CPIP, LOC120417516|XP_039435533.1|CPIP, LOC120417522|XP_039435539.1|CPIP, LOC120417521|XP_039435538.1|CPIP
OG0000053	LOC108104547|XP_017066177.1|DEUG, LOC108104546|XP_017066176.1|DEUG, LOC108104610|XP_017066273.1|DEUG	LOC120416815|XP_039434629.1|CPIP, LOC120422201|XP_039441517.1|CPIP, LOC120422212|XP_039441531.1|CPIP, LOC120422199|XP_039441515.1|CPIP
OG0000054	LOC108116465|XP_017083884.1|DEUG, LOC108116310|XP_017083589.1|DEUG, LOC108116309|XP_017083588.1|DEUG, LOC108116517|XP_017083943.1|DEUG, LOC108116481|XP_017083903.1|DEUG	LOC120424642|XP_039444745.1|CPIP, LOC120424640|XP_039444743.1|CPIP, LOC120424639|XP_039444742.1|CPIP, LOC120424641|XP_039444744.1|CPIP, LOC120423364|XP_039443073.1|CPIP, LOC120426098|XP_039446735.1|CPIP, LOC120426101|XP_039446739.1|CPIP, LOC120423365|XP_039443074.1|CPIP, LOC120424648|XP_039444752.1|CPIP, LOC120430136|XP_039451157.1|CPIP, LOC120430099|XP_039451120.1|CPIP, LOC120432483|XP_039453634.1|CPIP, LOC120430127|XP_039451146.1|CPIP, LOC120430097|XP_039451119.1|CPIP
OG0000055	LOC108111361|XP_017076283.1|DEUG, LOC108111362|XP_017076284.1|DEUG, LOC108111360|XP_017076282.1|DEUG, LOC108112571|XP_017078103.1|DEUG, LOC108111359|XP_017076280.1|DEUG, LOC108111363|XP_017076285.1|DEUG	LOC120417320|XP_039435220.1|CPIP, LOC120426347|XP_039447068.1|CPIP, LOC120426434|XP_039447163.1|CPIP
OG0000056	LOC108115632|XP_017082673.1|DEUG, LOC108115630|XP_017082671.1|DEUG, LOC108115634|XP_017082675.1|DEUG, LOC108115633|XP_017082674.1|DEUG, LOC108116242|XP_017083521.1|DEUG, LOC108116270|XP_017083548.1|DEUG	LOC120426017|XP_039446626.1|CPIP, LOC120426019|XP_039446628.1|CPIP, LOC120426018|XP_039446627.1|CPIP, LOC120421076|XP_039440155.1|CPIP
OG0000058	LOC108111899|XP_017077025.1|DEUG, LOC108114779|XP_017081378.1|DEUG, LOC108114875|XP_017081520.1|DEUG, LOC108111925|XP_017077056.1|DEUG, LOC108113468|XP_017079539.1|DEUG, LOC108103231|XP_017064121.1|DEUG	LOC120416511|XP_039434162.1|CPIP, LOC120416581|XP_039434249.1|CPIP, LOC120416580|XP_039434248.1|CPIP, LOC120416567|XP_039434234.1|CPIP, LOC120416513|XP_039434165.1|CPIP, LOC120416512|XP_039434163.1|CPIP
OG0000060	LOC108103845|XP_017065030.1|DEUG	LOC120420228|XP_039439150.1|CPIP
OG0000060	LOC108104222|XP_017065654.1|DEUG	LOC120426886|XP_039447624.1|CPIP
OG0000061	LOC108105141|XP_017067063.1|DEUG, LOC108105148|XP_017067072.1|DEUG, LOC108105132|XP_017067054.1|DEUG, LOC108105140|XP_017067062.1|DEUG	LOC120415159|XP_039432529.1|CPIP
OG0000067	LOC108110201|XP_017074664.1|DEUG, LOC108108193|XP_017071634.1|DEUG	LOC120432580|XP_039453749.1|CPIP, LOC120432652|XP_039453830.1|CPIP, LOC120432654|XP_039453831.1|CPIP
OG0000067	LOC108104759|XP_017066483.1|DEUG, LOC108107601|XP_017070655.1|DEUG	LOC120432651|XP_039453829.1|CPIP
OG0000067	LOC108113955|XP_017080157.1|DEUG	LOC120427625|XP_039448443.1|CPIP
OG0000068	LOC108108396|XP_017071938.1|DEUG, LOC108117125|XP_017084845.1|DEUG, LOC108108595|XP_017072182.1|DEUG, LOC108109162|XP_017073074.1|DEUG, LOC108113259|XP_017079298.1|DEUG, LOC108117707|XP_017085744.1|DEUG	LOC120412403|XP_039428799.1|CPIP, LOC120412410|XP_039428807.1|CPIP, LOC120412405|XP_039428802.1|CPIP, LOC120412404|XP_039428800.1|CPIP, LOC120417591|XP_039435637.1|CPIP, LOC120417584|XP_039435629.1|CPIP, LOC120417585|XP_039435630.1|CPIP, LOC120412539|XP_039428969.1|CPIP
OG0000070	LOC108113477|XP_017079549.1|DEUG, LOC108105517|XP_017067632.1|DEUG, LOC108113476|XP_017079548.1|DEUG, LOC108117153|XP_017084908.1|DEUG	LOC120414155|XP_039431129.1|CPIP
OG0000071	LOC108113853|XP_017080051.1|DEUG, LOC108113829|XP_017080027.1|DEUG, LOC108113830|XP_017080028.1|DEUG	LOC120417372|XP_039435321.1|CPIP, LOC120425799|XP_039446344.1|CPIP
OG0000072	LOC108112416|XP_017077748.1|DEUG, LOC108112101|XP_017077339.1|DEUG	LOC120420739|XP_039439769.1|CPIP, LOC120412899|XP_039429465.1|CPIP, LOC120412897|XP_039429462.1|CPIP, LOC120419603|XP_039438279.1|CPIP, LOC120420422|XP_039439378.1|CPIP, LOC120420470|XP_039439437.1|CPIP, LOC120419611|XP_039438287.1|CPIP
OG0000073	LOC108112923|XP_017078801.1|DEUG	LOC120414900|XP_039432160.1|CPIP
OG0000073	LOC108102436|XP_017062902.1|DEUG	LOC120424938|XP_039445177.1|CPIP, LOC120424929|XP_039445153.1|CPIP, LOC120424940|XP_039445180.1|CPIP
OG0000073	LOC108115124|XP_017081864.1|DEUG	LOC120418372|XP_039436675.1|CPIP
OG0000073	LOC108102888|XP_017063576.1|DEUG	LOC120419640|XP_039438328.1|CPIP
OG0000074	LOC108107571|XP_017070620.1|DEUG, LOC108108501|XP_017072057.1|DEUG	LOC120428393|XP_039449334.1|CPIP, LOC120428412|XP_039449359.1|CPIP, LOC120428418|XP_039449364.1|CPIP, LOC120428413|XP_039449360.1|CPIP, LOC120423023|XP_039442600.1|CPIP, LOC120423018|XP_039442593.1|CPIP, LOC120423020|XP_039442594.1|CPIP, LOC120423021|XP_039442595.1|CPIP, LOC120423005|XP_039442562.1|CPIP, LOC120423030|XP_039442605.1|CPIP, LOC120428411|XP_039449358.1|CPIP, LOC120420019|XP_039438857.1|CPIP, LOC120428388|XP_039449320.1|CPIP, LOC120428410|XP_039449357.1|CPIP, LOC120428409|XP_039449356.1|CPIP, LOC120427610|XP_039448425.1|CPIP
OG0000076	LOC108107737|XP_017070877.1|DEUG	LOC120414119|XP_039431083.1|CPIP
OG0000076	LOC108103550|XP_017064568.1|DEUG	LOC120419152|XP_039437732.1|CPIP
OG0000077	LOC108109158|XP_017073068.1|DEUG	LOC120428195|XP_039449110.1|CPIP
OG0000077	LOC108107356|XP_017070344.1|DEUG	LOC120425394|XP_039445844.1|CPIP
OG0000077	LOC108116009|XP_017083176.1|DEUG	LOC120420744|XP_039439774.1|CPIP
OG0000078	LOC108108942|XP_017072686.1|DEUG, LOC108108692|XP_017072286.1|DEUG, LOC108115080|XP_017081817.1|DEUG, LOC108115236|XP_017082120.1|DEUG, LOC108105339|XP_017067321.1|DEUG	LOC120426652|XP_039447380.1|CPIP, LOC120417056|XP_039434945.1|CPIP
OG0000080	LOC108112927|XP_017078808.1|DEUG, LOC108112926|XP_017078807.1|DEUG, LOC108112904|XP_017078751.1|DEUG	LOC120419665|XP_039438362.1|CPIP, LOC120432076|XP_039453147.1|CPIP, LOC120431515|XP_039452549.1|CPIP, LOC120432086|XP_039453158.1|CPIP, LOC120431996|XP_039453065.1|CPIP
OG0000082	LOC108112180|XP_017077478.1|DEUG, LOC108115688|XP_017082745.1|DEUG, LOC108115689|XP_017082747.1|DEUG, LOC108115722|XP_017082784.1|DEUG, LOC108116863|XP_017084418.1|DEUG, LOC108116862|XP_017084417.1|DEUG	LOC120417717|XP_039435802.1|CPIP, LOC120412752|XP_039429279.1|CPIP, LOC120412753|XP_039429280.1|CPIP, LOC120419465|XP_039438084.1|CPIP, LOC120419907|XP_039438710.1|CPIP, LOC120417732|XP_039435823.1|CPIP, LOC120413477|XP_039430262.1|CPIP, LOC120430123|XP_039451143.1|CPIP, LOC120414610|XP_039431767.1|CPIP
OG0000083	LOC108111226|XP_017076117.1|DEUG, LOC108111194|XP_017076078.1|DEUG, LOC108110427|XP_017074983.1|DEUG, LOC108111109|XP_017075947.1|DEUG, LOC108110531|XP_017075102.1|DEUG, LOC108110509|XP_017075078.1|DEUG, LOC108111080|XP_017075904.1|DEUG	LOC120420972|XP_039440038.1|CPIP, LOC120420970|XP_039440036.1|CPIP
OG0000084	LOC108112025|XP_017077258.1|DEUG	LOC120417385|XP_039435338.1|CPIP, LOC120417417|XP_039435394.1|CPIP, LOC120417391|XP_039435346.1|CPIP, LOC120421339|XP_039440455.1|CPIP, LOC120416554|XP_039434220.1|CPIP
