Orthogroup	DEUG.longest_only	DSUB.longest_only
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC117896426|XP_034660636.1|DSUB
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC117892374|XP_034654475.1|DSUB
OG0000011	LOC108111192|XP_017076075.1|DEUG, LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG, LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG, LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG, LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB
OG0000011	LOC108105968|XP_017068261.1|DEUG	LOC117893712|XP_034656290.1|DSUB
OG0000011	LOC108105967|XP_017068260.1|DEUG	LOC117894953|XP_034658172.1|DSUB
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC117897187|XP_034661778.1|DSUB
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB
OG0000012	LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG	LOC117892200|XP_034654187.1|DSUB
OG0000012	LOC108106282|XP_017068738.1|DEUG	LOC117891062|XP_034652125.1|DSUB
OG0000012	LOC108106301|XP_017068761.1|DEUG	LOC117891063|XP_034652127.1|DSUB
OG0000012	LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG	LOC117891061|XP_034652124.1|DSUB
OG0000012	LOC108106742|XP_017069468.1|DEUG	LOC117891058|XP_034652122.1|DSUB
OG0000012	LOC108106739|XP_017069464.1|DEUG	LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000015	LOC108107905|XP_017071204.1|DEUG	LOC117901317|XP_034667918.1|DSUB
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC117899529|XP_034665488.1|DSUB
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC108113063|XP_017078988.1|DEUG	LOC117892105|XP_034654005.1|DSUB
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC108103426|XP_017064385.1|DEUG	LOC117892719|XP_034655033.1|DSUB
OG0000017	LOC108112627|XP_017078221.1|DEUG	LOC117890423|XP_034651134.1|DSUB
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC117891086|XP_034652156.1|DSUB
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC117890435|XP_034651155.1|DSUB
OG0000017	LOC108109231|XP_017073193.1|DEUG	LOC117892462|XP_034654603.1|DSUB
OG0000017	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC108108164|XP_017071591.1|DEUG	LOC117895258|XP_034658670.1|DSUB
OG0000018	LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC117895272|XP_034658688.1|DSUB
OG0000019	LOC108115822|XP_017082901.1|DEUG	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB
OG0000019	LOC108115829|XP_017082909.1|DEUG	LOC117899339|XP_034665171.1|DSUB
OG0000019	LOC108115823|XP_017082903.1|DEUG	LOC117899361|XP_034665230.1|DSUB
OG0000019	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC117898500|XP_034663833.1|DSUB
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC117898411|XP_034663671.1|DSUB
OG0000020	LOC108107046|XP_017069896.1|DEUG	LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC108110545|XP_017075123.1|DEUG	LOC117892038|XP_034653853.1|DSUB
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC117891478|XP_034652849.1|DSUB
OG0000021	LOC108112288|XP_017077598.1|DEUG	LOC117891531|XP_034652923.1|DSUB
OG0000021	LOC108109877|XP_017074162.1|DEUG	LOC117892040|XP_034653856.1|DSUB
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC117896843|XP_034661258.1|DSUB
OG0000021	LOC108111770|XP_017076824.1|DEUG	LOC117898591|XP_034664027.1|DSUB
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG	LOC117892920|XP_034655126.1|DSUB
OG0000022	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG	LOC117892921|XP_034655127.1|DSUB
OG0000022	LOC108102797|XP_017063457.1|DEUG	LOC117892919|XP_034655125.1|DSUB
OG0000023	LOC108115114|XP_017081855.1|DEUG	LOC117896153|XP_034660122.1|DSUB
OG0000023	LOC108115112|XP_017081853.1|DEUG	LOC117896151|XP_034660118.1|DSUB
OG0000023	LOC108115052|XP_017081788.1|DEUG	LOC117896150|XP_034660117.1|DSUB
OG0000023	LOC108112507|XP_017077883.1|DEUG	LOC117891805|XP_034653377.1|DSUB
OG0000023	LOC108115111|XP_017081852.1|DEUG	LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC108106508|XP_017069090.1|DEUG	LOC117889935|XP_034650357.1|DSUB
OG0000024	LOC108106506|XP_017069088.1|DEUG	LOC117889933|XP_034650355.1|DSUB
OG0000024	LOC108106500|XP_017069084.1|DEUG	LOC117889934|XP_034650356.1|DSUB
OG0000024	LOC108115421|XP_017082346.1|DEUG	LOC117901020|XP_034667512.1|DSUB
OG0000024	LOC108106503|XP_017069087.1|DEUG	LOC117889812|XP_034650181.1|DSUB
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC117889599|XP_034649905.1|DSUB
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC108103585|XP_017064599.1|DEUG	LOC117903905|XP_034672302.1|DSUB
OG0000026	LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG	LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB
OG0000026	LOC108110172|XP_017074584.1|DEUG	LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC108106871|XP_017069603.1|DEUG	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC108108455|XP_017071998.1|DEUG	LOC117894266|XP_034657112.1|DSUB
OG0000028	LOC108114276|XP_017080662.1|DEUG	LOC117894530|XP_034657538.1|DSUB
OG0000029	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG	LOC117890176|XP_034650765.1|DSUB
OG0000029	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG	LOC117898949|XP_034664564.1|DSUB
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC117901334|XP_034667933.1|DSUB
OG0000030	LOC108104049|XP_017065385.1|DEUG	LOC117901337|XP_034667938.1|DSUB
OG0000030	LOC108104046|XP_017065382.1|DEUG	LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC117903801|XP_034672130.1|DSUB
OG0000030	LOC108104999|XP_017066865.1|DEUG	LOC117903197|XP_034670973.1|DSUB
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG	LOC117898606|XP_034664047.1|DSUB
OG0000032	LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG	LOC117898607|XP_034664048.1|DSUB
OG0000032	LOC108111711|XP_017076750.1|DEUG	LOC117899193|XP_034664947.1|DSUB
OG0000032	LOC108111718|XP_017076758.1|DEUG	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB
OG0000032	LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC117898597|XP_034664035.1|DSUB
OG0000033	LOC108116079|XP_017083286.1|DEUG, LOC108115913|XP_017083039.1|DEUG	LOC117899465|XP_034665372.1|DSUB
OG0000033	LOC108112609|XP_017078188.1|DEUG	LOC117891426|XP_034652788.1|DSUB
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC117891425|XP_034652787.1|DSUB
OG0000033	LOC108108576|XP_017072157.1|DEUG, LOC108115098|XP_017081835.1|DEUG, LOC108112351|XP_017077669.1|DEUG, LOC108117093|XP_017084781.1|DEUG	LOC117897820|XP_034662764.1|DSUB
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG	LOC117902583|XP_034669972.1|DSUB
OG0000034	LOC108118408|XP_017086572.1|DEUG	LOC117902581|XP_034669969.1|DSUB
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC117902582|XP_034669970.1|DSUB
OG0000034	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB
OG0000034	LOC108113407|XP_017079451.1|DEUG	LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC108112000|XP_017077225.1|DEUG	LOC117890311|XP_034650989.1|DSUB
OG0000037	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC117894264|XP_034657109.1|DSUB
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC117893334|XP_034655815.1|DSUB
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC117897419|XP_034662142.1|DSUB
OG0000039	LOC108102893|XP_017063585.1|DEUG	LOC117903895|XP_034672289.1|DSUB
OG0000039	LOC108103025|XP_017063841.1|DEUG	LOC117903896|XP_034672290.1|DSUB
OG0000039	LOC108105051|XP_017066944.1|DEUG	LOC117892341|XP_034654394.1|DSUB
OG0000040	LOC108116469|XP_017083889.1|DEUG	LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB
OG0000040	LOC108116470|XP_017083890.1|DEUG	LOC117899278|XP_034665074.1|DSUB
OG0000040	LOC108111562|XP_017076575.1|DEUG	LOC117896008|XP_034659896.1|DSUB
OG0000040	LOC108111560|XP_017076573.1|DEUG	LOC117899589|XP_034665598.1|DSUB
OG0000040	LOC108111548|XP_017076556.1|DEUG	LOC117899588|XP_034665597.1|DSUB
OG0000040	LOC108109350|XP_017073299.1|DEUG	LOC117899356|XP_034665219.1|DSUB
OG0000041	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB
OG0000041	LOC108113689|XP_017079854.1|DEUG	LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000042	LOC108108093|XP_017071481.1|DEUG	LOC117903839|XP_034672183.1|DSUB
OG0000042	LOC108112378|XP_017077703.1|DEUG	LOC117891862|XP_034653515.1|DSUB
OG0000042	LOC108112385|XP_017077715.1|DEUG	LOC117891861|XP_034653514.1|DSUB
OG0000042	LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG	LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB
OG0000042	LOC108112384|XP_017077714.1|DEUG	LOC117891864|XP_034653517.1|DSUB
OG0000043	LOC108116482|XP_017083904.1|DEUG	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB
OG0000043	LOC108116483|XP_017083905.1|DEUG	LOC117898866|XP_034664435.1|DSUB
OG0000043	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB
OG0000043	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG	LOC117898867|XP_034664437.1|DSUB
OG0000043	LOC108116498|XP_017083919.1|DEUG	LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC108113702|XP_017079868.1|DEUG	LOC117898991|XP_034664623.1|DSUB
OG0000044	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG	LOC117895983|XP_034659856.1|DSUB
OG0000044	LOC108113686|XP_017079852.1|DEUG, LOC108113695|XP_017079861.1|DEUG, LOC108113682|XP_017079848.1|DEUG	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	LOC108116281|XP_017083557.1|DEUG	LOC117898153|XP_034663242.1|DSUB
OG0000045	LOC108114047|XP_017080284.1|DEUG	LOC117894865|XP_034658016.1|DSUB
OG0000045	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG	LOC117893502|XP_034656031.1|DSUB
OG0000045	LOC108107675|XP_017070752.1|DEUG	LOC117894637|XP_034657700.1|DSUB
OG0000045	LOC108107619|XP_017070678.1|DEUG	LOC117893875|XP_034656539.1|DSUB
OG0000046	LOC108110175|XP_017074588.1|DEUG	LOC117898099|XP_034663170.1|DSUB
OG0000046	LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB
OG0000046	LOC108105004|XP_017066870.1|DEUG	LOC117892077|XP_034653957.1|DSUB
OG0000046	LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG	LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB
OG0000047	LOC108112199|XP_017077502.1|DEUG	LOC117891323|XP_034652630.1|DSUB
OG0000047	LOC108113383|XP_017079444.1|DEUG	LOC117891482|XP_034652852.1|DSUB
OG0000047	LOC108106728|XP_017069453.1|DEUG	LOC117892480|XP_034654625.1|DSUB
OG0000047	LOC108114731|XP_017081330.1|DEUG	LOC117893757|XP_034656383.1|DSUB
OG0000047	LOC108106783|XP_017069514.1|DEUG	LOC117891376|XP_034652704.1|DSUB
OG0000047	LOC108113976|XP_017080206.1|DEUG	LOC117895380|XP_034658890.1|DSUB
