Orthogroup	DEUG.longest_only	DKIK.longest_only
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC108103426|XP_017064385.1|DEUG	LOC108083777|XP_017035189.1|DKIK
OG0000017	LOC108112627|XP_017078221.1|DEUG	LOC108076702|XP_017025149.1|DKIK
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC108109558|XP_017073619.1|DEUG	LOC108085024|XP_017036959.1|DKIK
OG0000017	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG	LOC108083626|XP_017034986.1|DKIK
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC108109231|XP_017073193.1|DEUG	LOC108076530|XP_017024931.1|DKIK
OG0000017	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC108107641|XP_017070716.1|DEUG	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC108071573|XP_017017843.1|DKIK
OG0000018	LOC108107673|XP_017070750.1|DEUG	LOC108071604|XP_017017875.1|DKIK
OG0000018	LOC108107616|XP_017070674.1|DEUG	LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC108115822|XP_017082901.1|DEUG	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC108115824|XP_017082904.1|DEUG, LOC108115825|XP_017082905.1|DEUG	LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK
OG0000019	LOC108115829|XP_017082909.1|DEUG	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC108115823|XP_017082903.1|DEUG	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK
OG0000020	LOC108106167|XP_017068567.1|DEUG	LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC108107046|XP_017069896.1|DEUG	LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC108112288|XP_017077598.1|DEUG	LOC108085116|XP_017037095.1|DKIK
OG0000021	LOC108112285|XP_017077596.1|DEUG	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC108109877|XP_017074162.1|DEUG	LOC108072267|XP_017018826.1|DKIK
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC108111770|XP_017076824.1|DEUG	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC108110043|XP_017074396.1|DEUG	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG	LOC108071489|XP_017017741.1|DKIK
OG0000022	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG	LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC108115112|XP_017081853.1|DEUG	LOC108084054|XP_017035562.1|DKIK
OG0000023	LOC108115052|XP_017081788.1|DEUG	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC108112507|XP_017077883.1|DEUG	LOC108078099|XP_017027186.1|DKIK
OG0000023	LOC108115051|XP_017081787.1|DEUG	LOC108084052|XP_017035560.1|DKIK
OG0000023	LOC108115158|XP_017081958.1|DEUG	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC108106506|XP_017069088.1|DEUG	LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC108106500|XP_017069084.1|DEUG	LOC108078192|XP_017027349.1|DKIK
OG0000024	LOC108115421|XP_017082346.1|DEUG	LOC108072495|XP_017019150.1|DKIK
OG0000024	LOC108106503|XP_017069087.1|DEUG	LOC108078211|XP_017027385.1|DKIK
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC108086239|XP_017038600.1|DKIK
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC108103585|XP_017064599.1|DEUG	LOC108079334|XP_017029126.1|DKIK
OG0000026	LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG	LOC108070686|XP_017016752.1|DKIK
OG0000026	LOC108110172|XP_017074584.1|DEUG	LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC108106871|XP_017069603.1|DEUG	LOC108079587|XP_017029421.1|DKIK
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC108079588|XP_017029422.1|DKIK
OG0000029	LOC108104771|XP_017066496.1|DEUG	LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK
OG0000029	LOC108106174|XP_017068584.1|DEUG	LOC108085551|XP_017037679.1|DKIK
OG0000029	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG	LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK
OG0000029	LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG	LOC108071401|XP_017017633.1|DKIK
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC108104049|XP_017065385.1|DEUG	LOC108075896|XP_017024005.1|DKIK
OG0000030	LOC108104046|XP_017065382.1|DEUG	LOC108075779|XP_017023830.1|DKIK
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC108104999|XP_017066865.1|DEUG	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG	LOC108082121|XP_017032911.1|DKIK
OG0000031	LOC108110574|XP_017075160.1|DEUG	LOC108075780|XP_017023827.1|DKIK
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC108111717|XP_017076757.1|DEUG	LOC108077711|XP_017026651.1|DKIK
OG0000032	LOC108111805|XP_017076892.1|DEUG	LOC108077714|XP_017026653.1|DKIK
OG0000032	LOC108111718|XP_017076758.1|DEUG	LOC108077846|XP_017026865.1|DKIK
OG0000032	LOC108111814|XP_017076907.1|DEUG	LOC108074977|XP_017022699.1|DKIK
OG0000032	LOC108111713|XP_017076752.1|DEUG	LOC108077828|XP_017026842.1|DKIK
OG0000033	LOC108116079|XP_017083286.1|DEUG, LOC108115913|XP_017083039.1|DEUG	LOC108080886|XP_017031277.1|DKIK, LOC108080887|XP_017031279.1|DKIK, LOC108081203|XP_017031760.1|DKIK
OG0000033	LOC108112609|XP_017078188.1|DEUG	LOC108080716|XP_017031056.1|DKIK
OG0000033	LOC108112610|XP_017078190.1|DEUG	LOC108080717|XP_017031057.1|DKIK
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC108080718|XP_017031058.1|DKIK
OG0000033	LOC108108576|XP_017072157.1|DEUG	LOC108084001|XP_017035503.1|DKIK
OG0000033	LOC108115098|XP_017081835.1|DEUG	LOC108076855|XP_017025374.1|DKIK
OG0000033	LOC108112351|XP_017077669.1|DEUG	LOC108076138|XP_017024355.1|DKIK
OG0000033	LOC108117093|XP_017084781.1|DEUG	LOC108084006|XP_017035508.1|DKIK, LOC108074461|XP_017022015.1|DKIK
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK
OG0000034	LOC108118408|XP_017086572.1|DEUG	LOC108076836|XP_017025354.1|DKIK
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK
OG0000034	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG	LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK
OG0000034	LOC108113407|XP_017079451.1|DEUG	LOC108082755|XP_017033759.1|DKIK
OG0000035	LOC108103278|XP_017064178.1|DEUG	LOC108072805|XP_017019589.1|DKIK, LOC108074192|XP_017021623.1|DKIK
OG0000035	LOC108104237|XP_017065676.1|DEUG	LOC108072063|XP_017018552.1|DKIK
OG0000035	LOC108118065|XP_017086097.1|DEUG	LOC108084695|XP_017036518.1|DKIK, LOC108077135|XP_017025839.1|DKIK, LOC108081469|XP_017032150.1|DKIK, LOC108084509|XP_017036235.1|DKIK
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC108081215|XP_017031778.1|DKIK
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC108080827|XP_017031220.1|DKIK
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC108081087|XP_017031565.1|DKIK
OG0000037	LOC108112000|XP_017077225.1|DEUG	LOC108082568|XP_017033513.1|DKIK
OG0000037	LOC108117112|XP_017084823.1|DEUG	LOC108073148|XP_017020150.1|DKIK
OG0000037	LOC108117111|XP_017084822.1|DEUG	LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC108081169|XP_017031714.1|DKIK
OG0000039	LOC108102893|XP_017063585.1|DEUG	LOC108071695|XP_017017998.1|DKIK
OG0000039	LOC108103025|XP_017063841.1|DEUG	LOC108071709|XP_017018018.1|DKIK
OG0000039	LOC108105051|XP_017066944.1|DEUG	LOC108082955|XP_017034059.1|DKIK
OG0000040	LOC108116469|XP_017083889.1|DEUG	LOC108084882|XP_017036766.1|DKIK
OG0000040	LOC108116470|XP_017083890.1|DEUG	LOC108084883|XP_017036767.1|DKIK
OG0000040	LOC108111562|XP_017076575.1|DEUG	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK
OG0000040	LOC108111560|XP_017076573.1|DEUG	LOC108070662|XP_017016722.1|DKIK
OG0000040	LOC108111548|XP_017076556.1|DEUG	LOC108070710|XP_017016793.1|DKIK
OG0000040	LOC108109350|XP_017073299.1|DEUG	LOC108084976|XP_017036887.1|DKIK
OG0000041	LOC108113782|XP_017079974.1|DEUG	LOC108071358|XP_017017589.1|DKIK
OG0000041	LOC108113689|XP_017079854.1|DEUG	LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK
OG0000041	LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG	LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK
OG0000042	LOC108112378|XP_017077703.1|DEUG	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK
OG0000042	LOC108112385|XP_017077715.1|DEUG	LOC108076658|XP_017025082.1|DKIK
OG0000042	LOC108112383|XP_017077713.1|DEUG	LOC108076656|XP_017025079.1|DKIK
OG0000042	LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG	LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK
OG0000042	LOC108112384|XP_017077714.1|DEUG	LOC108076657|XP_017025080.1|DKIK
OG0000043	LOC108116482|XP_017083904.1|DEUG	LOC108081508|XP_017032216.1|DKIK
OG0000043	LOC108116483|XP_017083905.1|DEUG	LOC108081485|XP_017032173.1|DKIK
