Orthogroup	DEUG.longest_only	DALB.longest_only
OG0000002	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC117564282|XP_034098871.1|DALB, LOC117565595|XP_034100685.1|DALB, LOC117565594|XP_034100684.1|DALB, LOC117564287|XP_034098877.1|DALB, LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC117565994|XP_034101304.1|DALB
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC108106955|XP_017069721.1|DEUG	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC108110504|XP_017075072.1|DEUG	LOC117564021|XP_034098512.1|DALB
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC108113063|XP_017078988.1|DEUG	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC108105551|XP_017067677.1|DEUG	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC108108726|XP_017072348.1|DEUG	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC108104154|XP_017065544.1|DEUG	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC108109233|XP_017073194.1|DEUG	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC108110339|XP_017074859.1|DEUG	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC108107531|XP_017070561.1|DEUG	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC108108164|XP_017071591.1|DEUG	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC108107616|XP_017070674.1|DEUG	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC108116051|XP_017083239.1|DEUG	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC108109261|XP_017073233.1|DEUG	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC108117182|XP_017084963.1|DEUG	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC108116455|XP_017083873.1|DEUG	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC108107046|XP_017069896.1|DEUG	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC108110545|XP_017075123.1|DEUG	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC108112706|XP_017078416.1|DEUG	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC108112288|XP_017077598.1|DEUG	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC108109877|XP_017074162.1|DEUG	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC108105026|XP_017066911.1|DEUG	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC108117533|XP_017085522.1|DEUG	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC108111770|XP_017076824.1|DEUG	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC108110043|XP_017074396.1|DEUG	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC108113005|XP_017078913.1|DEUG	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC108115114|XP_017081855.1|DEUG	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC108112507|XP_017077883.1|DEUG	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC108115051|XP_017081787.1|DEUG	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC108115158|XP_017081958.1|DEUG	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC108115110|XP_017081851.1|DEUG	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC108115157|XP_017081956.1|DEUG	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC108106500|XP_017069084.1|DEUG	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC108115421|XP_017082346.1|DEUG	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC108106503|XP_017069087.1|DEUG	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC108111932|XP_017077077.1|DEUG	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC108103147|XP_017064008.1|DEUG	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC108114004|XP_017080277.1|DEUG	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC108111839|XP_017076932.1|DEUG	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC108113449|XP_017079511.1|DEUG	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC108110172|XP_017074584.1|DEUG	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC108106863|XP_017069596.1|DEUG	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC108106870|XP_017069602.1|DEUG	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC108108455|XP_017071998.1|DEUG	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC108108451|XP_017071993.1|DEUG	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC108104028|XP_017065349.1|DEUG	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC108109021|XP_017072783.1|DEUG	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC108103318|XP_017064237.1|DEUG	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC108104999|XP_017066865.1|DEUG	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC108105922|XP_017068599.1|DEUG, LOC108103077|XP_017063915.1|DEUG, LOC108103075|XP_017063912.1|DEUG, LOC108103076|XP_017063913.1|DEUG, LOC108118411|XP_017086576.1|DEUG, LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG, LOC108110535|XP_017075106.1|DEUG, LOC108105167|XP_017067096.1|DEUG	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC108111003|XP_017075802.1|DEUG	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC108111801|XP_017076881.1|DEUG	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC108111711|XP_017076750.1|DEUG	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC108115450|XP_017082374.1|DEUG, LOC108115449|XP_017082373.1|DEUG, LOC108115445|XP_017082370.1|DEUG, LOC108115429|XP_017082354.1|DEUG, LOC108115474|XP_017082423.1|DEUG, LOC108115416|XP_017082341.1|DEUG, LOC108115417|XP_017082342.1|DEUG, LOC108112609|XP_017078188.1|DEUG, LOC108112610|XP_017078190.1|DEUG	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC108112608|XP_017078187.1|DEUG	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC108118408|XP_017086572.1|DEUG	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC108118494|XP_017086716.1|DEUG	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC108113407|XP_017079451.1|DEUG	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC108104237|XP_017065676.1|DEUG	LOC117577461|XP_034118238.1|DALB, LOC117577285|XP_034118153.1|DALB, LOC117577448|XP_034118230.1|DALB, LOC117577266|XP_034118142.1|DALB, LOC117577460|XP_034118236.1|DALB, LOC117577290|XP_034118157.1|DALB, LOC117576887|XP_034117917.1|DALB
OG0000036	LOC108115061|XP_017081795.1|DEUG	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC108105599|XP_017067763.1|DEUG	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC108114960|XP_017081642.1|DEUG	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC108116661|XP_017084141.1|DEUG	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC108112000|XP_017077225.1|DEUG	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC108108735|XP_017072362.1|DEUG	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC108108809|XP_017072482.1|DEUG	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC108109615|XP_017073668.1|DEUG	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC108102893|XP_017063585.1|DEUG	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC108103025|XP_017063841.1|DEUG	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC108105051|XP_017066944.1|DEUG	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC108116469|XP_017083889.1|DEUG	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC108116470|XP_017083890.1|DEUG	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC108111548|XP_017076556.1|DEUG	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC108112378|XP_017077703.1|DEUG, LOC108112385|XP_017077715.1|DEUG, LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC108112384|XP_017077714.1|DEUG	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC108116482|XP_017083904.1|DEUG	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC108116483|XP_017083905.1|DEUG	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC108113702|XP_017079868.1|DEUG	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC108113686|XP_017079852.1|DEUG	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC108116281|XP_017083557.1|DEUG	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC108114047|XP_017080284.1|DEUG	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC108107675|XP_017070752.1|DEUG	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC108107619|XP_017070678.1|DEUG	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
