Orthogroup	DPSE.longest_only	DVIR.longest_only
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC6627946|XP_002051419.1|DVIR
OG0000004	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000005	LOC6903935|XP_002136582.1|DPSE	LOC26530672|XP_032288850.1|DVIR
OG0000005	LOC117183560|XP_033233682.1|DPSE	LOC6636998|XP_002060428.1|DVIR
OG0000005	LOC6903934|XP_002136584.1|DPSE	LOC116649817|XP_032288847.1|DVIR
OG0000005	LOC117185613|XP_033241643.1|DPSE	LOC116649816|XP_032288846.1|DVIR
OG0000006	LOC117183556|XP_033233676.1|DPSE	LOC116649803|XP_032288825.1|DVIR
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC6637128|XP_015023601.1|DVIR, LOC116649806|XP_032288830.1|DVIR, LOC6630844|XP_032294583.1|DVIR, LOC116649802|XP_032288824.1|DVIR, LOC6636961|XP_015023643.1|DVIR, LOC6636997|XP_032288831.1|DVIR, LOC6630084|XP_002053094.1|DVIR, LOC6637312|XP_002060557.1|DVIR
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC4802267|XP_001359221.4|DPSE	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC117183603|XP_033233990.1|DPSE	LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC117185618|XP_033241648.1|DPSE	LOC6630837|XP_002053113.1|DVIR
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC116649824|XP_032288860.1|DVIR
OG0000010	LOC26532710|XP_015035140.1|DPSE	LOC6637029|XP_002060450.1|DVIR
OG0000011	LOC6900040|XP_002135404.2|DPSE	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC6897605|XP_002137750.2|DPSE	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC117184937|XP_033240069.1|DPSE	LOC116652015|XP_032295550.1|DVIR
OG0000015	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC6623104|XP_002046157.1|DVIR, LOC6623391|XP_002046158.1|DVIR
OG0000018	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC4801129|XP_033235715.1|DPSE	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC4801131|XP_001358273.2|DPSE	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC4818201|XP_033236143.1|DPSE	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC6900570|XP_002134946.1|DPSE	LOC6624373|XP_002047473.1|DVIR
OG0000021	LOC6898833|XP_002138806.2|DPSE	LOC6627017|XP_002049727.2|DVIR
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC6898834|XP_002138807.1|DPSE	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC6898836|XP_002138809.1|DPSE	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC4812049|XP_001352467.1|DPSE, LOC6899946|XP_002135314.1|DPSE	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC4802962|XP_001359775.3|DPSE	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC4802964|XP_001359777.4|DPSE	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC6897865|XP_033232678.1|DPSE	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC4805107|XP_001361564.1|DPSE	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC5495508|XP_001361566.2|DPSE	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC6635606|XP_002058949.1|DVIR
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC6902663|XP_015036753.2|DPSE	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC6896921|XP_033236577.1|DPSE	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC4817037|XP_001356534.3|DPSE	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC4802757|XP_001359618.3|DPSE	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC4803745|XP_001360410.4|DPSE	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC6900265|XP_002135594.2|DPSE	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC4815394|XP_001354810.3|DPSE	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC4814563|XP_001354811.1|DPSE	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC6901425|XP_002134111.2|DPSE	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR
OG0000039	LOC6901668|XP_002134337.3|DPSE	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC4803144|XP_001359934.2|DPSE	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE, LOC6897971|XP_002138070.1|DPSE	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC4803208|XP_001359988.4|DPSE	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC4801113|XP_001358260.2|DPSE	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC4804794|XP_001361299.3|DPSE, LOC5495510|XP_001361301.4|DPSE, LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC4803134|XP_001359926.3|DPSE	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC4803126|XP_001359920.4|DPSE	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC4802344|XP_001359278.1|DPSE	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC4812813|XP_033238456.1|DPSE	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC4813084|XP_001353641.2|DPSE	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC6900434|XP_002134825.3|DPSE	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC6902130|XP_002133661.3|DPSE, LOC6902128|XP_002133659.2|DPSE	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC6898136|XP_002138215.2|DPSE, LOC6896807|XP_002137011.2|DPSE, LOC6896809|XP_002137013.2|DPSE, LOC6896808|XP_002137012.2|DPSE	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC4803784|XP_001360446.3|DPSE	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC4803787|XP_001360449.3|DPSE	LOC6624848|XP_002050849.2|DVIR
