Orthogroup	DPSE.longest_only	AAEG.longest_only
OG0000027	LOC6902829|XP_002132565.2|DPSE, LOC4817432|XP_001356466.2|DPSE, LOC4816919|XP_001356465.1|DPSE	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC6900259|XP_002135588.3|DPSE, LOC26532152|XP_033239703.1|DPSE, LOC6900257|XP_033239706.1|DPSE, LOC117184834|XP_033239705.1|DPSE, LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE, LOC6900255|XP_002135584.2|DPSE, LOC6900007|XP_002135372.2|DPSE	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE, LOC26533066|XP_015039817.2|DPSE, LOC6897267|XP_033233167.1|DPSE, LOC4813458|XP_001353977.2|DPSE	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC6902663|XP_015036753.2|DPSE, LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC4800808|XP_001358017.2|DPSE, LOC6896921|XP_033236577.1|DPSE, LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC4817450|XP_001356533.3|DPSE, LOC4817037|XP_001356534.3|DPSE, LOC6902878|XP_002132612.2|DPSE, LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE, LOC4816157|XP_001355874.3|DPSE	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC4803745|XP_001360410.4|DPSE, LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC4803128|XP_001359922.2|DPSE, LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE, LOC4803134|XP_001359926.3|DPSE, LOC4803126|XP_001359920.4|DPSE, LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC4802344|XP_001359278.1|DPSE, LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE, LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE, LOC4802849|XP_001359684.3|DPSE	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC4813084|XP_001353641.2|DPSE, LOC6900434|XP_002134825.3|DPSE, LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC4803784|XP_001360446.3|DPSE, LOC4803787|XP_001360449.3|DPSE, LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE, LOC6903509|XP_002132386.2|DPSE, LOC6902682|XP_002133198.2|DPSE, LOC4805161|XP_001361611.2|DPSE, LOC4813116|XP_001353776.3|DPSE	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC6900017|XP_033238773.1|DPSE, LOC6900029|XP_033240343.1|DPSE, LOC6900030|XP_002135394.2|DPSE, LOC4812161|XP_001352552.3|DPSE, LOC4812224|XP_033238777.1|DPSE	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC4800760|XP_001357975.3|DPSE, LOC4800765|XP_001357980.2|DPSE, LOC4800759|XP_001357974.3|DPSE, LOC4800761|XP_001357976.3|DPSE, LOC4800766|XP_001357981.4|DPSE, LOC4800764|XP_001357979.3|DPSE	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC4802029|XP_001359029.3|DPSE, LOC6896948|XP_002137133.2|DPSE, LOC4800870|XP_001358067.3|DPSE, LOC6897665|XP_002137803.2|DPSE, LOC6897664|XP_033232373.1|DPSE	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC4803611|XP_001360303.3|DPSE, LOC6898153|XP_002138231.3|DPSE, LOC4803609|XP_001360302.2|DPSE	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC117183732|XP_033234597.1|DPSE, LOC6898005|XP_002138098.2|DPSE, LOC4803309|XP_001360071.1|DPSE, LOC4803310|XP_001360074.4|DPSE, LOC5384075|XP_033232371.1|DPSE, LOC6898345|XP_002138398.2|DPSE, LOC5384076|XP_001360072.2|DPSE	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC4800581|XP_015038723.2|DPSE, LOC6896822|XP_002137025.2|DPSE, LOC4800580|XP_001357831.3|DPSE, LOC6897000|XP_002137186.2|DPSE, LOC6896999|XP_002137185.2|DPSE	LOC5574529|XP_001655182.1|AAEG
OG0000058	LOC6902428|XP_002133362.2|DPSE, LOC6902422|XP_002133356.2|DPSE, LOC6898067|XP_002138152.1|DPSE, LOC4816156|XP_001355873.3|DPSE, LOC4816089|XP_001355320.2|DPSE	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC4816062|XP_001355381.1|DPSE	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC4800333|XP_033234022.1|DPSE	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC4816506|XP_001356011.2|DPSE, LOC4816666|XP_001356006.2|DPSE, LOC6902543|XP_033236222.1|DPSE, LOC4816280|XP_001356010.3|DPSE, LOC4816542|XP_001356009.2|DPSE	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000067	LOC4801537|XP_001358611.3|DPSE, LOC4813294|XP_001353742.3|DPSE	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC4805303|XP_001361725.2|DPSE, LOC4813729|XP_001353743.2|DPSE	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC6901001|XP_033238396.1|DPSE	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC6900642|XP_002135015.3|DPSE, LOC6896795|XP_033241765.1|DPSE, LOC26532323|XP_033236250.1|DPSE, LOC6902365|XP_002133311.2|DPSE, LOC4815620|XP_015041394.2|DPSE	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC4816245|XP_001355864.2|DPSE, LOC4815848|XP_001355583.2|DPSE, LOC4816246|XP_001355865.2|DPSE, LOC6902417|XP_002133351.2|DPSE	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC6900130|XP_033241129.1|DPSE	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC4811953|XP_001352897.3|DPSE, LOC6900213|XP_033239373.1|DPSE, LOC6900212|XP_002135544.1|DPSE	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC4803792|XP_001360452.3|DPSE, LOC4803788|XP_001360450.3|DPSE, LOC6898245|XP_002138311.1|DPSE	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC4804155|XP_001360761.3|DPSE	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC6902077|XP_033240712.1|DPSE	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC13036455|XP_003736334.2|DPSE	LOC5573536|XP_021693962.1|AAEG
OG0000074	LOC4813467|XP_001353839.3|DPSE, LOC4813167|XP_001353329.2|DPSE	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC6900056|XP_033238646.1|DPSE	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC6901614|XP_002134284.3|DPSE	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC6903891|XP_002136626.1|DPSE	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC4800596|XP_001357842.1|DPSE	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC4805619|XP_001361993.1|DPSE	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC6897044|XP_003736391.1|DPSE	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC4804955|XP_001361435.3|DPSE, LOC6903186|XP_002132885.3|DPSE, LOC6897646|XP_002137789.2|DPSE, LOC117184537|XP_033238582.1|DPSE, LOC4802953|XP_001359766.2|DPSE, LOC4814621|XP_001355050.3|DPSE, LOC4815368|XP_001354621.3|DPSE	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC6898668|XP_002138673.2|DPSE, LOC6898669|XP_033233645.1|DPSE, LOC4805687|XP_001362046.3|DPSE	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC4803829|XP_001360483.2|DPSE, LOC4800945|XP_001358129.3|DPSE, LOC4801644|XP_001358698.2|DPSE	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC6899312|XP_033235907.1|DPSE, LOC117183164|XP_015036952.2|DPSE, LOC6902369|XP_002133315.2|DPSE, LOC6902371|XP_002133317.3|DPSE, LOC6902370|XP_002133316.2|DPSE, LOC26532411|XP_033235904.1|DPSE	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC4803751|XP_001360416.2|DPSE	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC4805472|XP_001361867.2|DPSE	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC4804898|XP_001361384.3|DPSE	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC4804253|XP_001360840.1|DPSE	LOC5575040|XP_001661772.2|AAEG
OG0000087	LOC4816786|XP_001356332.1|DPSE	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	LOC4817851|XP_001357379.2|DPSE, LOC6902768|XP_002132512.2|DPSE	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	LOC4805581|XP_001361962.1|DPSE	LOC5573732|XP_001654757.1|AAEG
OG0000089	LOC4802911|XP_001359737.1|DPSE	LOC5577489|XP_001663407.1|AAEG
OG0000089	LOC4812687|XP_001353070.2|DPSE	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
OG0000090	LOC4805122|XP_001361578.1|DPSE, LOC4805121|XP_015040451.2|DPSE, LOC6900041|XP_002135405.1|DPSE, LOC6899944|XP_002135312.2|DPSE	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG
OG0000091	LOC4801161|XP_015037056.1|DPSE	LOC5578943|XP_021693136.1|AAEG
OG0000091	LOC4816825|XP_001356505.3|DPSE, LOC4801449|XP_033232375.1|DPSE, LOC4801443|XP_001358537.1|DPSE	LOC5579216|XP_021706364.1|AAEG
OG0000094	LOC4813472|XP_015043125.2|DPSE, LOC4801917|XP_001358935.4|DPSE	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG
OG0000099	LOC6901374|XP_015041636.2|DPSE	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG
