Orthogroup	DPSE.longest_only	DEUG.longest_only
OG0000006	LOC117185602|XP_033241630.1|DPSE, LOC117183556|XP_033233676.1|DPSE, LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC5495509|XP_001355939.3|DPSE	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC4813941|XP_001354103.1|DPSE	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	LOC4816998|XP_001356721.3|DPSE	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC4813497|XP_001353852.2|DPSE	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC4813468|XP_001353840.2|DPSE	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC4802267|XP_001359221.4|DPSE	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC4802604|XP_001359493.2|DPSE	LOC108111728|XP_017076770.1|DEUG
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC108106283|XP_017068739.1|DEUG
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE	LOC108105230|XP_017067186.1|DEUG
OG0000011	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE	LOC108111192|XP_017076075.1|DEUG, LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG, LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG, LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG, LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG
OG0000011	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE	LOC108105968|XP_017068261.1|DEUG
OG0000011	LOC6900040|XP_002135404.2|DPSE	LOC108105967|XP_017068260.1|DEUG
OG0000011	LOC6897605|XP_002137750.2|DPSE	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG
OG0000012	LOC4804256|XP_015039778.2|DPSE	LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC4804263|XP_001360847.3|DPSE	LOC108106282|XP_017068738.1|DEUG
OG0000012	LOC6898438|XP_002138480.2|DPSE	LOC108106301|XP_017068761.1|DEUG
OG0000012	LOC4804265|XP_001360848.3|DPSE	LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC6898439|XP_002138481.3|DPSE	LOC108106742|XP_017069468.1|DEUG
OG0000012	LOC4804266|XP_033235099.1|DPSE	LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000014	LOC117184937|XP_033240069.1|DPSE	LOC108111829|XP_017076924.1|DEUG
OG0000015	LOC26532120|XP_015041304.2|DPSE, LOC6898242|XP_002138308.2|DPSE, LOC6902209|XP_015041303.2|DPSE	LOC108107905|XP_017071204.1|DEUG
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC108113063|XP_017078988.1|DEUG
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC4805006|XP_001361476.2|DPSE	LOC108112627|XP_017078221.1|DEUG
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC108104154|XP_017065544.1|DEUG
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC108109233|XP_017073194.1|DEUG
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC108110339|XP_017074859.1|DEUG
OG0000017	LOC4804477|XP_001361035.3|DPSE	LOC108109231|XP_017073193.1|DEUG
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC108108164|XP_017071591.1|DEUG
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC108107661|XP_017070737.1|DEUG, LOC108107530|XP_017070560.1|DEUG, LOC108107673|XP_017070750.1|DEUG
OG0000018	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE	LOC108107616|XP_017070674.1|DEUG, LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE	LOC108115822|XP_017082901.1|DEUG
OG0000019	LOC4801129|XP_033235715.1|DPSE	LOC108115829|XP_017082909.1|DEUG
OG0000019	LOC4801131|XP_001358273.2|DPSE	LOC108115823|XP_017082903.1|DEUG
OG0000019	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC108116051|XP_017083239.1|DEUG
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC108109261|XP_017073233.1|DEUG
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC108117182|XP_017084963.1|DEUG
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC108116455|XP_017083873.1|DEUG
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC108110545|XP_017075123.1|DEUG
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC108112706|XP_017078416.1|DEUG
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC108112288|XP_017077598.1|DEUG
OG0000021	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE	LOC108112285|XP_017077596.1|DEUG
OG0000021	LOC6898836|XP_002138809.1|DPSE	LOC108109877|XP_017074162.1|DEUG
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC108105026|XP_017066911.1|DEUG
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC108117533|XP_017085522.1|DEUG
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC108111770|XP_017076824.1|DEUG
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC108110043|XP_017074396.1|DEUG
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC6899947|XP_002135315.1|DPSE	LOC108102771|XP_017063418.1|DEUG, LOC108102780|XP_017063430.1|DEUG
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG
OG0000022	LOC4812049|XP_001352467.1|DPSE	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG
OG0000022	LOC6899946|XP_002135314.1|DPSE	LOC108102797|XP_017063457.1|DEUG
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC108115114|XP_017081855.1|DEUG
OG0000023	LOC4802962|XP_001359775.3|DPSE	LOC108115112|XP_017081853.1|DEUG
OG0000023	LOC4802964|XP_001359777.4|DPSE	LOC108115052|XP_017081788.1|DEUG
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC108112507|XP_017077883.1|DEUG
OG0000023	LOC6897865|XP_033232678.1|DPSE	LOC108115111|XP_017081852.1|DEUG
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC108115051|XP_017081787.1|DEUG
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC108115158|XP_017081958.1|DEUG
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC108115110|XP_017081851.1|DEUG
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC5495520|XP_001361563.3|DPSE	LOC108106506|XP_017069088.1|DEUG
OG0000024	LOC4805107|XP_001361564.1|DPSE	LOC108106500|XP_017069084.1|DEUG
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC108115421|XP_017082346.1|DEUG
OG0000024	LOC5495508|XP_001361566.2|DPSE	LOC108106503|XP_017069087.1|DEUG
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC108111932|XP_017077077.1|DEUG
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC108103147|XP_017064008.1|DEUG
OG0000025	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE	LOC108103398|XP_017064344.1|DEUG
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC108111839|XP_017076932.1|DEUG
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC108113449|XP_017079511.1|DEUG
OG0000026	LOC4815876|XP_001355332.2|DPSE	LOC108103585|XP_017064599.1|DEUG
OG0000026	LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE	LOC108115320|XP_017082216.1|DEUG, LOC108115238|XP_017082084.1|DEUG
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC108110172|XP_017074584.1|DEUG
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC108106863|XP_017069596.1|DEUG
OG0000027	LOC4817432|XP_001356466.2|DPSE	LOC108106871|XP_017069603.1|DEUG
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC108106870|XP_017069602.1|DEUG
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC108108455|XP_017071998.1|DEUG
OG0000028	LOC6900007|XP_002135372.2|DPSE	LOC108114276|XP_017080662.1|DEUG
OG0000029	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE	LOC108104771|XP_017066496.1|DEUG, LOC108106174|XP_017068584.1|DEUG
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC108104028|XP_017065349.1|DEUG
OG0000030	LOC4817564|XP_002132859.2|DPSE	LOC108104049|XP_017065385.1|DEUG
OG0000030	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE	LOC108104046|XP_017065382.1|DEUG
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC108109021|XP_017072783.1|DEUG
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC6902663|XP_015036753.2|DPSE	LOC108105113|XP_017067036.1|DEUG, LOC108105166|XP_017067095.1|DEUG
OG0000031	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC108110532|XP_017075103.1|DEUG, LOC108108070|XP_017071439.1|DEUG, LOC108110574|XP_017075160.1|DEUG
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC6896921|XP_033236577.1|DPSE	LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG
OG0000032	LOC4800814|XP_001358021.1|DPSE	LOC108111718|XP_017076758.1|DEUG
OG0000032	LOC4800811|XP_001358020.3|DPSE	LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000033	LOC4800626|XP_001357867.3|DPSE	LOC108116079|XP_017083286.1|DEUG, LOC108115913|XP_017083039.1|DEUG
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC108112609|XP_017078188.1|DEUG
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC108112608|XP_017078187.1|DEUG
OG0000033	LOC4800868|XP_001358066.3|DPSE	LOC108108576|XP_017072157.1|DEUG, LOC108115098|XP_017081835.1|DEUG, LOC108112351|XP_017077669.1|DEUG, LOC108117093|XP_017084781.1|DEUG
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG
OG0000034	LOC4817037|XP_001356534.3|DPSE	LOC108118408|XP_017086572.1|DEUG
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC108118494|XP_017086716.1|DEUG
OG0000034	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE	LOC108115439|XP_017082363.1|DEUG, LOC108116805|XP_017084341.1|DEUG, LOC108116981|XP_017084632.1|DEUG
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC108113407|XP_017079451.1|DEUG
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC108105599|XP_017067763.1|DEUG
OG0000036	LOC4802757|XP_001359618.3|DPSE	LOC108114960|XP_017081642.1|DEUG
OG0000036	LOC4800563|XP_033232364.1|DPSE	LOC108116661|XP_017084141.1|DEUG
OG0000037	LOC4803745|XP_001360410.4|DPSE	LOC108112000|XP_017077225.1|DEUG
OG0000037	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC108108735|XP_017072362.1|DEUG
OG0000038	LOC6900265|XP_002135594.2|DPSE	LOC108108809|XP_017072482.1|DEUG
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC108109615|XP_017073668.1|DEUG
OG0000039	LOC4815394|XP_001354810.3|DPSE	LOC108102893|XP_017063585.1|DEUG
OG0000039	LOC4814563|XP_001354811.1|DPSE	LOC108103025|XP_017063841.1|DEUG
OG0000039	LOC6901668|XP_002134337.3|DPSE	LOC108105051|XP_017066944.1|DEUG
OG0000040	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE	LOC108116469|XP_017083889.1|DEUG
OG0000040	LOC4803144|XP_001359934.2|DPSE	LOC108116470|XP_017083890.1|DEUG
OG0000040	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE	LOC108111562|XP_017076575.1|DEUG
OG0000040	LOC6897971|XP_002138070.1|DPSE	LOC108111560|XP_017076573.1|DEUG
OG0000040	LOC4803208|XP_001359988.4|DPSE	LOC108111548|XP_017076556.1|DEUG
OG0000040	LOC4801113|XP_001358260.2|DPSE	LOC108109350|XP_017073299.1|DEUG
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG
OG0000041	LOC4802353|XP_001359283.3|DPSE	LOC108113689|XP_017079854.1|DEUG
OG0000041	LOC6897572|XP_033240353.1|DPSE	LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG
OG0000042	LOC6902242|XP_002133769.2|DPSE	LOC108108093|XP_017071481.1|DEUG
OG0000042	LOC4804794|XP_001361299.3|DPSE	LOC108112378|XP_017077703.1|DEUG
OG0000042	LOC5495510|XP_001361301.4|DPSE	LOC108112385|XP_017077715.1|DEUG
