Orthogroup	DPSE.longest_only	DSUZ.longest_only
OG0000000	LOC6897749|XP_033232309.1|DPSE	LOC108012280|XP_036672320.1|DSUZ
OG0000001	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ
OG0000001	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE	LOC108020087|XP_016943677.1|DSUZ
OG0000001	LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE	LOC118878276|XP_036676059.1|DSUZ, LOC118878557|XP_036677467.1|DSUZ, LOC118879675|XP_036678469.1|DSUZ, LOC118879224|XP_036678009.1|DSUZ, LOC118879307|XP_036678060.1|DSUZ, LOC118878659|XP_036677594.1|DSUZ, LOC118878942|XP_036677819.1|DSUZ, LOC118879471|XP_036678240.1|DSUZ, LOC118878546|XP_036677455.1|DSUZ, LOC118878858|XP_036677778.1|DSUZ, LOC118877840|XP_036673943.1|DSUZ
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC118879778|XP_036678653.1|DSUZ, LOC118878795|XP_036677709.1|DSUZ, LOC118879348|XP_036678093.1|DSUZ
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE	LOC118878459|XP_036677349.1|DSUZ
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	LOC108011106|XP_016931667.2|DSUZ
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC108009013|XP_016928477.1|DSUZ
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC108007096|XP_016926191.1|DSUZ
OG0000005	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE	LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC118877308|XP_036671366.1|DSUZ, LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ, LOC118879255|XP_036678031.1|DSUZ
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC5495507|XP_001353849.1|DPSE	LOC108013025|XP_016934104.1|DSUZ
OG0000007	LOC5495509|XP_001355939.3|DPSE	LOC118879795|XP_036678702.1|DSUZ
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC108019834|XP_016943342.1|DSUZ
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC118876800|XP_036668611.1|DSUZ
OG0000007	LOC4813941|XP_001354103.1|DPSE	LOC108012354|XP_016933195.2|DSUZ
OG0000007	LOC4816998|XP_001356721.3|DPSE	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000007	LOC4813468|XP_001353840.2|DPSE	LOC108013030|XP_016934110.1|DSUZ
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC4802267|XP_001359221.4|DPSE	LOC108014235|XP_016935760.2|DSUZ
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC4802604|XP_001359493.2|DPSE	LOC108019245|XP_036673765.1|DSUZ
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC117185618|XP_033241648.1|DPSE	LOC118879650|XP_036678438.1|DSUZ
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC118879272|XP_036678049.1|DSUZ, LOC108014626|XP_016936278.1|DSUZ, LOC118879273|XP_036678050.1|DSUZ
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC118877317|XP_036671430.1|DSUZ
OG0000010	LOC26532710|XP_015035140.1|DPSE	LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ
OG0000010	LOC26532680|XP_015035136.1|DPSE	LOC108016333|XP_036678042.1|DSUZ
OG0000011	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE	LOC108005601|XP_016924394.1|DSUZ, LOC108015328|XP_036678699.1|DSUZ, LOC108018989|XP_016942085.1|DSUZ, LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ, LOC108010267|XP_016930620.1|DSUZ, LOC108009077|XP_016928601.2|DSUZ, LOC108007943|XP_016927205.1|DSUZ, LOC108011057|XP_016931608.2|DSUZ, LOC108017249|XP_016939743.2|DSUZ, LOC108005644|XP_016924447.2|DSUZ, LOC108006711|XP_036671367.1|DSUZ, LOC108020533|XP_016944364.2|DSUZ, LOC108018712|XP_036678677.1|DSUZ, LOC108009845|XP_016930030.1|DSUZ, LOC108007942|XP_016927238.1|DSUZ, LOC108007310|XP_016926446.1|DSUZ, LOC108020156|XP_036668757.1|DSUZ, LOC108014609|XP_016936264.1|DSUZ, LOC108014635|XP_016936289.1|DSUZ, LOC108005222|XP_016923902.1|DSUZ
OG0000011	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE	LOC108012408|XP_016933257.1|DSUZ
OG0000011	LOC6900040|XP_002135404.2|DPSE	LOC108015091|XP_036676218.1|DSUZ, LOC108012407|XP_016933256.1|DSUZ
OG0000011	LOC6897605|XP_002137750.2|DPSE	LOC118877899|XP_036674305.1|DSUZ
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ
OG0000012	LOC4804256|XP_015039778.2|DPSE	LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ
OG0000012	LOC4804263|XP_001360847.3|DPSE	LOC108008513|XP_016927870.1|DSUZ
OG0000012	LOC6898438|XP_002138480.2|DPSE	LOC108008168|XP_036669662.1|DSUZ
OG0000012	LOC4804265|XP_001360848.3|DPSE	LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ
OG0000012	LOC6898439|XP_002138481.3|DPSE	LOC108009569|XP_016929521.1|DSUZ
OG0000012	LOC4804266|XP_033235099.1|DPSE	LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC108018484|XP_016941530.2|DSUZ
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC108015759|XP_036673283.1|DSUZ
OG0000013	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC108007391|XP_016926534.2|DSUZ
OG0000015	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE	LOC108010103|XP_016930413.1|DSUZ
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC108009982|XP_016930246.1|DSUZ
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC108011133|XP_016931695.1|DSUZ
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC108010965|XP_016931470.1|DSUZ
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC108006430|XP_016925443.1|DSUZ
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC108007764|XP_016927008.1|DSUZ
OG0000017	LOC4805006|XP_001361476.2|DPSE	LOC108009448|XP_016929291.1|DSUZ
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC108015782|XP_016937825.2|DSUZ
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC108009905|XP_016930117.1|DSUZ
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC108019403|XP_016942713.1|DSUZ
OG0000017	LOC4804477|XP_001361035.3|DPSE	LOC108009903|XP_016930115.2|DSUZ, LOC108009904|XP_036669180.1|DSUZ
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC108012738|XP_016933660.1|DSUZ
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC108012663|XP_016933579.1|DSUZ
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC108013584|XP_036671249.1|DSUZ, LOC108013583|XP_016935000.1|DSUZ, LOC108012675|XP_016933591.2|DSUZ, LOC108012710|XP_016933628.2|DSUZ, LOC118877292|XP_036671250.1|DSUZ
OG0000018	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE	LOC108013582|XP_016934999.1|DSUZ
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE	LOC108016142|XP_016938246.1|DSUZ
OG0000019	LOC4801129|XP_033235715.1|DPSE	LOC108016158|XP_036675606.1|DSUZ
OG0000019	LOC4801131|XP_001358273.2|DPSE	LOC108016141|XP_016938245.1|DSUZ
OG0000019	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC108009233|XP_016928887.1|DSUZ
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC108015714|XP_036672549.1|DSUZ
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC108010610|XP_036674725.1|DSUZ
OG0000020	LOC4818201|XP_033236143.1|DPSE	LOC108021708|XP_016946031.1|DSUZ
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC108015921|XP_016937993.1|DSUZ
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC108009589|XP_016929550.1|DSUZ
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC108009874|XP_016930066.1|DSUZ
OG0000021	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE	LOC108008720|XP_016928109.1|DSUZ
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC108012220|XP_036675724.1|DSUZ
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC108006427|XP_036673222.1|DSUZ
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC108018719|XP_036672548.1|DSUZ
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC108005418|XP_036676931.1|DSUZ
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC108008926|XP_016928324.1|DSUZ
OG0000022	LOC6899947|XP_002135315.1|DPSE	LOC108012621|XP_016933529.1|DSUZ, LOC108012689|XP_016933606.1|DSUZ
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ
OG0000022	LOC4812049|XP_001352467.1|DPSE	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ
OG0000022	LOC6899946|XP_002135314.1|DPSE	LOC108013018|XP_016934098.1|DSUZ
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ
OG0000023	LOC4802962|XP_001359775.3|DPSE	LOC108013952|XP_016935450.2|DSUZ
OG0000023	LOC4802964|XP_001359777.4|DPSE	LOC108019337|XP_016942646.2|DSUZ
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC108009166|XP_016928770.1|DSUZ
OG0000023	LOC6897865|XP_033232678.1|DPSE	LOC108018731|XP_036675082.1|DSUZ
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC108013954|XP_016935453.2|DSUZ
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC108013962|XP_016935466.1|DSUZ
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC108013947|XP_036675218.1|DSUZ
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC108013965|XP_016935470.1|DSUZ
OG0000024	LOC5495520|XP_001361563.3|DPSE	LOC108010252|XP_016930594.2|DSUZ
OG0000024	LOC4805107|XP_001361564.1|DPSE	LOC108010071|XP_016930374.1|DSUZ
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC108019756|XP_016943207.1|DSUZ
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC108016763|XP_016939005.1|DSUZ
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC108004556|XP_016922979.1|DSUZ
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC108010503|XP_036668665.1|DSUZ
OG0000026	LOC4815876|XP_001355332.2|DPSE	LOC108005489|XP_016924284.1|DSUZ
OG0000026	LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE	LOC108014363|XP_016935943.1|DSUZ
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC108013851|XP_016935328.2|DSUZ
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC118879783|XP_036678676.1|DSUZ
OG0000027	LOC4817432|XP_001356466.2|DPSE	LOC108021423|XP_016945624.1|DSUZ
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC108015770|XP_036678674.1|DSUZ
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ
OG0000028	LOC6900007|XP_002135372.2|DPSE	LOC118877366|XP_036671777.1|DSUZ
OG0000029	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE	LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC108019543|XP_016942870.2|DSUZ
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC108013240|XP_036677776.1|DSUZ
OG0000030	LOC4817564|XP_002132859.2|DPSE	LOC108019494|XP_016942847.1|DSUZ
OG0000030	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE	LOC108012924|XP_016933943.1|DSUZ
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC108016627|XP_016938811.1|DSUZ
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ
OG0000031	LOC6902663|XP_015036753.2|DPSE	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ
OG0000031	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC108020065|XP_036671004.1|DSUZ, LOC108008340|XP_016927698.1|DSUZ
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ
OG0000032	LOC6896921|XP_033236577.1|DPSE	LOC108018355|XP_036672792.1|DSUZ, LOC108018356|XP_036672750.1|DSUZ
OG0000032	LOC4800814|XP_001358021.1|DPSE	LOC108018408|XP_016941455.1|DSUZ
OG0000032	LOC4800811|XP_001358020.3|DPSE	LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ
OG0000033	LOC4800626|XP_001357867.3|DPSE	LOC108007608|XP_016926802.1|DSUZ, LOC118877727|XP_036673586.1|DSUZ, LOC108007624|XP_036673594.1|DSUZ, LOC108007609|XP_016926803.2|DSUZ
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC108017678|XP_016940276.1|DSUZ
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC108017970|XP_016940756.2|DSUZ
OG0000033	LOC4800868|XP_001358066.3|DPSE	LOC108010515|XP_016930878.2|DSUZ, LOC108013858|XP_016935336.2|DSUZ, LOC118878058|XP_036675136.1|DSUZ, LOC108008236|XP_016927516.1|DSUZ, LOC108008237|XP_016927517.1|DSUZ, LOC108008235|XP_016927515.1|DSUZ, LOC108008234|XP_016927514.1|DSUZ
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC108021477|XP_016945708.1|DSUZ
OG0000034	LOC4817037|XP_001356534.3|DPSE	LOC108021476|XP_016945707.1|DSUZ
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC108021724|XP_016946052.1|DSUZ
OG0000034	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE	LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC108011927|XP_016932664.1|DSUZ
