Orthogroup	DPSE.longest_only	DALB.longest_only
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE, LOC6900542|XP_033238667.1|DPSE	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000005	LOC6903936|XP_033233874.1|DPSE	LOC117564293|XP_034098882.1|DALB
OG0000005	LOC117183560|XP_033233682.1|DPSE	LOC117564295|XP_034098885.1|DALB
OG0000005	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE	LOC117564270|XP_034098864.1|DALB
OG0000005	LOC117185613|XP_033241643.1|DPSE	LOC117566019|XP_034101338.1|DALB
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC117563579|XP_034097856.1|DALB
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC117564283|XP_034098872.1|DALB, LOC117564285|XP_034098875.1|DALB, LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB, LOC117566088|XP_034101456.1|DALB
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC5495507|XP_001353849.1|DPSE	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC4802267|XP_001359221.4|DPSE	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC117564299|XP_034098888.1|DALB
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC13036345|XP_003736506.3|DPSE	LOC117575381|XP_034115447.1|DALB, LOC117575264|XP_034115291.1|DALB, LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB, LOC117574088|XP_034113615.1|DALB
OG0000015	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB, LOC117569766|XP_034106951.1|DALB
OG0000018	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC4818201|XP_033236143.1|DPSE	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC6900570|XP_002134946.1|DPSE	LOC117570665|XP_034108343.1|DALB
OG0000021	LOC6898833|XP_002138806.2|DPSE	LOC117570908|XP_034108704.1|DALB
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC6898834|XP_002138807.1|DPSE	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC6898836|XP_002138809.1|DPSE	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC4812049|XP_001352467.1|DPSE, LOC6899946|XP_002135314.1|DPSE	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000022	LOC6899948|XP_002135316.2|DPSE	LOC117569847|XP_034107067.1|DALB
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC4805107|XP_001361564.1|DPSE	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC5495508|XP_001361566.2|DPSE	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC4817037|XP_001356534.3|DPSE	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE	LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC117183275|XP_033232534.1|DPSE, LOC117185563|XP_033241586.1|DPSE	LOC117577292|XP_034118160.1|DALB
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC4802757|XP_001359618.3|DPSE	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC4803745|XP_001360410.4|DPSE	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC6900265|XP_002135594.2|DPSE	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC4815394|XP_001354810.3|DPSE	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC4814563|XP_001354811.1|DPSE	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC6901425|XP_002134111.2|DPSE	LOC117574799|XP_034114654.1|DALB
OG0000039	LOC6901668|XP_002134337.3|DPSE	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC4803144|XP_001359934.2|DPSE	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC4803208|XP_001359988.4|DPSE	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC4804794|XP_001361299.3|DPSE, LOC5495510|XP_001361301.4|DPSE, LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC4804792|XP_001361298.2|DPSE	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC4803134|XP_001359926.3|DPSE	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC4803126|XP_001359920.4|DPSE	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC4802344|XP_001359278.1|DPSE	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC4802849|XP_001359684.3|DPSE	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC4812813|XP_033238456.1|DPSE	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC4813084|XP_001353641.2|DPSE	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC6900434|XP_002134825.3|DPSE	LOC117566425|XP_034101846.1|DALB
