Orthogroup	DPSE.longest_only	DSIM.longest_only
OG0000000	LOC6896813|XP_033232366.1|DPSE	LOC6736070|XP_039148852.1|DSIM
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC6729989|XP_002105283.1|DSIM
OG0000001	LOC117184744|XP_033239458.1|DPSE	LOC120284346|XP_039147371.1|DSIM
OG0000001	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE	LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC120284706|XP_039149044.1|DSIM
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC6738777|XP_016032596.1|DSIM
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC6731100|XP_002078257.3|DSIM
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC120285262|XP_039152630.1|DSIM, LOC120285543|XP_039154133.1|DSIM, LOC120285261|XP_039152626.1|DSIM, LOC120285802|XP_039154352.1|DSIM, LOC120285799|XP_039154349.1|DSIM, LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC5495507|XP_001353849.1|DPSE	LOC6736956|XP_002083803.1|DSIM
OG0000007	LOC5495509|XP_001355939.3|DPSE	LOC6731020|XP_002078181.1|DSIM
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC4813941|XP_001354103.1|DPSE	LOC27206286|XP_016030986.1|DSIM
OG0000007	LOC4816998|XP_001356721.3|DPSE	LOC6731019|XP_002078180.2|DSIM
OG0000007	LOC4813497|XP_001353852.2|DPSE	LOC6736957|XP_016030597.1|DSIM
OG0000007	LOC4813468|XP_001353840.2|DPSE	LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC6727422|XP_002102804.2|DSIM
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC6736062|XP_002082963.1|DSIM
OG0000009	LOC4802604|XP_001359493.2|DPSE	LOC6728414|XP_016035007.1|DSIM
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC6734157|XP_002081186.1|DSIM
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC117183603|XP_033233990.1|DPSE	LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM
OG0000010	LOC26532710|XP_015035140.1|DPSE	LOC6728075|XP_016034694.1|DSIM
OG0000011	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE	LOC6730832|XP_016023246.1|DSIM, LOC6730831|XP_002077997.2|DSIM, LOC27207823|XP_016023441.1|DSIM, LOC27206207|XP_039149631.1|DSIM, LOC27208543|XP_016037023.1|DSIM, LOC27207879|XP_016023440.1|DSIM, LOC27208182|XP_016025194.2|DSIM, LOC6732545|XP_016025201.1|DSIM, LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM
OG0000011	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE	LOC6737998|XP_002084813.2|DSIM
OG0000011	LOC6900040|XP_002135404.2|DPSE	LOC27206230|XP_016031794.1|DSIM
OG0000011	LOC6897605|XP_002137750.2|DPSE	LOC6728756|XP_002104091.1|DSIM
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE	LOC6735250|XP_002082223.1|DSIM
OG0000012	LOC4804256|XP_015039778.2|DPSE	LOC6735249|XP_016028575.1|DSIM
OG0000012	LOC4804263|XP_001360847.3|DPSE	LOC6734131|XP_002081160.1|DSIM
OG0000012	LOC6898438|XP_002138480.2|DPSE	LOC6734132|XP_016027145.1|DSIM
OG0000012	LOC4804265|XP_001360848.3|DPSE	LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM
OG0000012	LOC6898439|XP_002138481.3|DPSE	LOC6734135|XP_002081164.1|DSIM
OG0000012	LOC4804266|XP_033235099.1|DPSE	LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC6728269|XP_002103618.2|DSIM
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC6729335|XP_016035977.1|DSIM
OG0000013	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000015	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE	LOC27206160|XP_016027033.1|DSIM
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC6728214|XP_016034853.1|DSIM
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC6734815|XP_016028043.1|DSIM
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC6725225|XP_016038239.1|DSIM
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC6733183|XP_016026067.1|DSIM
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC6727955|XP_016034553.1|DSIM
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC6739089|XP_016032930.1|DSIM
OG0000017	LOC4805006|XP_001361476.2|DPSE	LOC6733445|XP_002080502.2|DSIM
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC6733173|XP_002080249.1|DSIM
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC6729887|XP_002105190.2|DSIM
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC6735880|XP_002082790.1|DSIM
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC6733175|XP_002080251.2|DSIM
OG0000017	LOC4804477|XP_001361035.3|DPSE	LOC6735881|XP_002082791.1|DSIM
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC6730585|XP_016023026.1|DSIM, LOC6730584|XP_002077763.1|DSIM
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC6736980|XP_002083827.1|DSIM
OG0000018	LOC4813480|XP_001353827.2|DPSE	LOC6736987|XP_002083834.1|DSIM
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC6736982|XP_002083829.1|DSIM
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC6736975|XP_002083822.1|DSIM, LOC120284721|XP_039149126.1|DSIM, LOC6736977|XP_016030614.1|DSIM, LOC120284720|XP_039149125.1|DSIM
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE	LOC6729811|XP_002105114.1|DSIM
OG0000019	LOC4801129|XP_033235715.1|DPSE	LOC6729806|XP_002105109.2|DSIM
OG0000019	LOC4801131|XP_001358273.2|DPSE	LOC6729809|XP_002105112.1|DSIM
OG0000019	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC6730019|XP_002105313.2|DSIM
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC6735524|XP_016028869.1|DSIM
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC6727407|XP_016033953.2|DSIM
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC6728507|XP_016035147.1|DSIM
OG0000020	LOC4818201|XP_033236143.1|DPSE	LOC6733023|XP_016025710.1|DSIM
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC6730820|XP_002077987.1|DSIM
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC6735639|XP_002082557.1|DSIM
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC6739483|XP_002076381.1|DSIM
OG0000021	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE	LOC27206609|XP_016028304.1|DSIM
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC6725592|XP_039153232.1|DSIM
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC6729419|XP_002104734.2|DSIM
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC6728358|XP_016034980.1|DSIM
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC6726014|XP_016039394.1|DSIM
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC27206614|XP_039147853.1|DSIM
OG0000022	LOC6899947|XP_002135315.1|DPSE	LOC6736292|XP_002083176.1|DSIM
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM
OG0000022	LOC4812049|XP_001352467.1|DPSE	LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM
OG0000022	LOC6899946|XP_002135314.1|DPSE	LOC27207148|XP_016029776.1|DSIM
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC6727104|XP_002102497.2|DSIM
OG0000023	LOC4802964|XP_001359777.4|DPSE	LOC6727107|XP_016033584.1|DSIM
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC6735713|XP_002082629.1|DSIM
OG0000023	LOC6897865|XP_033232678.1|DPSE	LOC6727106|XP_039151383.1|DSIM
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC6727099|XP_002102492.1|DSIM
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC6727095|XP_016033580.1|DSIM
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC6727097|XP_002102490.1|DSIM
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC6727094|XP_016033578.1|DSIM
OG0000024	LOC5495520|XP_001361563.3|DPSE	LOC27209398|XP_016027021.1|DSIM
OG0000024	LOC4805107|XP_001361564.1|DPSE	LOC6733990|XP_002081034.2|DSIM
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC6732909|XP_002080014.1|DSIM
OG0000024	LOC5495508|XP_001361566.2|DPSE	LOC6733989|XP_002081033.1|DSIM
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC6739427|XP_002076329.1|DSIM
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC27207833|XP_016038650.1|DSIM
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC6725654|XP_002106661.1|DSIM
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC6731167|XP_002078325.1|DSIM
OG0000026	LOC4815876|XP_001355332.2|DPSE	LOC6725713|XP_002106716.1|DSIM
OG0000026	LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE	LOC6726897|XP_002102299.1|DSIM
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC6727211|XP_002102603.1|DSIM
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC6731383|XP_002078536.1|DSIM
OG0000027	LOC4817432|XP_001356466.2|DPSE	LOC6731386|XP_002078539.1|DSIM
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC6731384|XP_002078537.1|DSIM
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC6738680|XP_039149230.1|DSIM
OG0000028	LOC6900007|XP_002135372.2|DPSE	LOC120284696|XP_039148939.1|DSIM
OG0000029	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE	LOC6733757|XP_002080801.1|DSIM, LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC27208471|XP_016032409.1|DSIM
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC6732024|XP_016024722.1|DSIM
OG0000030	LOC4817564|XP_002132859.2|DPSE	LOC6732022|XP_002079155.1|DSIM
OG0000030	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE	LOC6732023|XP_002079156.1|DSIM
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC6730745|XP_002077913.2|DSIM
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC6735876|XP_002082786.1|DSIM
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC27208281|XP_039152536.1|DSIM
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC6740355|XP_002077222.1|DSIM
OG0000031	LOC6902663|XP_015036753.2|DPSE	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM, LOC6732447|XP_002079568.2|DSIM
OG0000031	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC6736718|XP_002083574.1|DSIM, LOC6730782|XP_002077950.2|DSIM
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC6731777|XP_016024472.1|DSIM
OG0000032	LOC6896921|XP_033236577.1|DPSE	LOC6728379|XP_016034990.1|DSIM
OG0000032	LOC4800814|XP_001358021.1|DPSE	LOC6728378|XP_002103726.1|DSIM
OG0000033	LOC4800626|XP_001357867.3|DPSE	LOC6729955|XP_039150847.1|DSIM
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC6733292|XP_016026219.1|DSIM
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC6733297|XP_016026220.1|DSIM
OG0000033	LOC4800868|XP_001358066.3|DPSE	LOC6738496|XP_002085302.1|DSIM, LOC6727186|XP_002102578.1|DSIM, LOC6727187|XP_002102579.2|DSIM, LOC6734776|XP_002081779.1|DSIM, LOC6734775|XP_016027979.1|DSIM
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM
OG0000034	LOC4817037|XP_001356534.3|DPSE	LOC6732561|XP_002079680.1|DSIM
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC27209034|XP_016025242.1|DSIM
OG0000034	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE	LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC6731186|XP_002078345.3|DSIM
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC6727116|XP_002102509.1|DSIM
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC6727985|XP_002103337.2|DSIM
OG0000036	LOC4802757|XP_001359618.3|DPSE	LOC6726665|XP_039151600.1|DSIM
OG0000036	LOC4800563|XP_033232364.1|DPSE	LOC6729259|XP_016035909.1|DSIM, LOC6729260|XP_002104580.2|DSIM
OG0000037	LOC4803745|XP_001360410.4|DPSE	LOC6735171|XP_016028454.1|DSIM
OG0000037	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC6738693|XP_002085495.1|DSIM
OG0000038	LOC6900265|XP_002135594.2|DPSE	LOC6738696|XP_016032514.1|DSIM
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC6726964|XP_002102366.2|DSIM
OG0000039	LOC4815394|XP_001354810.3|DPSE	LOC27207643|XP_016039311.1|DSIM
OG0000039	LOC4814563|XP_001354811.1|DPSE	LOC6740324|XP_002077196.2|DSIM
OG0000039	LOC6901668|XP_002134337.3|DPSE	LOC6725586|XP_039153235.1|DSIM
OG0000040	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE	LOC6728556|XP_002103897.1|DSIM
OG0000040	LOC4803144|XP_001359934.2|DPSE	LOC6728557|XP_002103898.1|DSIM
OG0000040	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE	LOC6727641|XP_002103018.1|DSIM
OG0000040	LOC6897971|XP_002138070.1|DPSE	LOC6727640|XP_016034235.1|DSIM
OG0000040	LOC4803208|XP_001359988.4|DPSE	LOC6727638|XP_002103015.1|DSIM
OG0000040	LOC4801113|XP_001358260.2|DPSE	LOC6730355|XP_002105637.2|DSIM
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM
OG0000041	LOC4802353|XP_001359283.3|DPSE	LOC6729598|XP_002104906.1|DSIM
OG0000041	LOC6897572|XP_033240353.1|DPSE	LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM
OG0000042	LOC6902242|XP_002133769.2|DPSE	LOC27209427|XP_016038683.1|DSIM
OG0000042	LOC4804794|XP_001361299.3|DPSE	LOC6735085|XP_039148041.1|DSIM
OG0000042	LOC5495510|XP_001361301.4|DPSE	LOC6735089|XP_039148042.1|DSIM
OG0000042	LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE	LOC6735086|XP_002082063.1|DSIM, LOC120284425|XP_039148040.1|DSIM, LOC6735088|XP_039148043.1|DSIM, LOC120284426|XP_039148044.1|DSIM, LOC6735087|XP_002082064.1|DSIM
OG0000042	LOC4804792|XP_001361298.2|DPSE	LOC6735090|XP_016028363.1|DSIM
OG0000043	LOC4803128|XP_001359922.2|DPSE	LOC27207593|XP_016035207.2|DSIM
OG0000043	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE	LOC6728570|XP_016035206.2|DSIM
OG0000043	LOC4803134|XP_001359926.3|DPSE	LOC6728571|XP_002103912.1|DSIM
OG0000043	LOC4803126|XP_001359920.4|DPSE	LOC6728574|XP_002103915.1|DSIM
OG0000043	LOC6897937|XP_002138039.2|DPSE	LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM
OG0000044	LOC4802344|XP_001359278.1|DPSE	LOC6729601|XP_016036243.1|DSIM
OG0000044	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE	LOC6729605|XP_002104913.1|DSIM, LOC6729606|XP_002104914.1|DSIM
OG0000044	LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE	LOC6729602|XP_016036244.1|DSIM, LOC6729604|XP_002104912.1|DSIM, LOC6729603|XP_016036245.1|DSIM
OG0000044	LOC4802849|XP_001359684.3|DPSE	LOC6728484|XP_016035123.1|DSIM
OG0000045	LOC4812813|XP_033238456.1|DPSE	LOC27207701|XP_016031376.1|DSIM
OG0000045	LOC4813084|XP_001353641.2|DPSE	LOC6737583|XP_039149017.1|DSIM, LOC120284704|XP_039149018.1|DSIM, LOC120284202|XP_002084415.1|DSIM
OG0000045	LOC6900434|XP_002134825.3|DPSE	LOC6737082|XP_002083929.1|DSIM
OG0000045	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE	LOC6737081|XP_002083928.1|DSIM
