Orthogroup	DPSE.longest_only	DNOV.longest_only
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC115770575|XP_030571758.1|DNOV, LOC115761983|XP_030559890.1|DNOV, LOC115770814|XP_030572095.1|DNOV, LOC115770615|XP_030571811.1|DNOV, LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV, LOC115770816|XP_030572098.1|DNOV
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC4802267|XP_001359221.4|DPSE	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC117183603|XP_033233990.1|DPSE	LOC115770894|XP_030572189.1|DNOV
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC115770584|XP_030571769.1|DNOV
OG0000010	LOC26532710|XP_015035140.1|DPSE	LOC115759945|XP_030556945.1|DNOV
OG0000011	LOC6900040|XP_002135404.2|DPSE	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC6897605|XP_002137750.2|DPSE	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	LOC13036345|XP_003736506.3|DPSE	LOC115761485|XP_030559111.1|DNOV
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC115762873|XP_030561108.1|DNOV
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV
OG0000018	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE	LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC4801129|XP_033235715.1|DPSE	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC4801131|XP_001358273.2|DPSE	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC4818201|XP_033236143.1|DPSE	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC6900570|XP_002134946.1|DPSE	LOC115769690|XP_030570474.1|DNOV
OG0000021	LOC6898833|XP_002138806.2|DPSE	LOC115768167|XP_030568564.1|DNOV
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC6898834|XP_002138807.1|DPSE	LOC115768250|XP_030568679.1|DNOV
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE	LOC115772083|XP_030573900.1|DNOV
OG0000021	LOC6898836|XP_002138809.1|DPSE	LOC115762372|XP_030560413.1|DNOV
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC115771758|XP_030573467.1|DNOV
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC115766401|XP_030566179.1|DNOV
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC4812049|XP_001352467.1|DPSE, LOC6899946|XP_002135314.1|DPSE	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC4802962|XP_001359775.3|DPSE	LOC115761267|XP_030558841.1|DNOV
OG0000023	LOC4802964|XP_001359777.4|DPSE	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC6897865|XP_033232678.1|DPSE	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC115761262|XP_030558836.1|DNOV
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC115761326|XP_030558919.1|DNOV
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC5495508|XP_001361566.2|DPSE	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC115758436|XP_030554952.1|DNOV
OG0000025	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE	LOC115761982|XP_030559889.1|DNOV
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC6896921|XP_033236577.1|DPSE	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC4817037|XP_001356534.3|DPSE	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE	LOC115759327|XP_030556099.1|DNOV
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC4802757|XP_001359618.3|DPSE	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC4803745|XP_001360410.4|DPSE	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC6900265|XP_002135594.2|DPSE	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC4815394|XP_001354810.3|DPSE	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC4814563|XP_001354811.1|DPSE	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC6901425|XP_002134111.2|DPSE	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV
OG0000039	LOC6901668|XP_002134337.3|DPSE	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC4803144|XP_001359934.2|DPSE	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE, LOC6897971|XP_002138070.1|DPSE	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC4803208|XP_001359988.4|DPSE	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC4801113|XP_001358260.2|DPSE	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC4804794|XP_001361299.3|DPSE, LOC5495510|XP_001361301.4|DPSE, LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC4803126|XP_001359920.4|DPSE	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC4802344|XP_001359278.1|DPSE	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC4802849|XP_001359684.3|DPSE	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC4812813|XP_033238456.1|DPSE	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC4813084|XP_001353641.2|DPSE	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC6900434|XP_002134825.3|DPSE	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC6902130|XP_002133661.3|DPSE, LOC6902128|XP_002133659.2|DPSE	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC6898136|XP_002138215.2|DPSE, LOC6896807|XP_002137011.2|DPSE, LOC6896809|XP_002137013.2|DPSE, LOC6896808|XP_002137012.2|DPSE	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC4803787|XP_001360449.3|DPSE	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC4805161|XP_001361611.2|DPSE	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC6900020|XP_002135385.1|DPSE, LOC6900019|XP_002135384.1|DPSE	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC4812161|XP_001352552.3|DPSE	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC4812224|XP_033238777.1|DPSE	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC6896800|XP_015037024.2|DPSE, LOC6896904|XP_002137091.3|DPSE	LOC115761458|XP_030559085.1|DNOV
OG0000049	LOC4800760|XP_001357975.3|DPSE	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC4800765|XP_001357980.2|DPSE	LOC115761542|XP_030559185.1|DNOV
OG0000049	LOC4800759|XP_001357974.3|DPSE	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC4800766|XP_001357981.4|DPSE	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC4800764|XP_001357979.3|DPSE	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC4805406|XP_001361811.3|DPSE	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC6899912|XP_033237397.1|DPSE	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC6899911|XP_002135279.1|DPSE	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC6899908|XP_033237399.1|DPSE, LOC6899907|XP_033237400.1|DPSE	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC6899913|XP_002135281.2|DPSE	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC4802029|XP_001359029.3|DPSE	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC6896948|XP_002137133.2|DPSE, LOC4800870|XP_001358067.3|DPSE	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC4801488|XP_001358571.4|DPSE, LOC4801489|XP_001358572.4|DPSE	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
