Orthogroup	DPSE.longest_only	CQUI.longest_only
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC6041962|XP_038113753.1|CQUI
OG0000009	LOC6897995|XP_002138092.2|DPSE, LOC4803283|XP_001360048.3|DPSE, LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE, LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE, LOC4805603|XP_001361980.2|DPSE, LOC4802604|XP_001359493.2|DPSE, LOC4804281|XP_001360862.1|DPSE, LOC6898444|XP_002138487.3|DPSE	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC117185641|XP_033241728.1|DPSE, LOC4801366|XP_001358473.1|DPSE, LOC26532670|XP_033241726.1|DPSE, LOC117183610|XP_033234026.1|DPSE, LOC117185617|XP_033241647.1|DPSE, LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE, LOC117185618|XP_033241648.1|DPSE, LOC117185640|XP_033241727.1|DPSE	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC6048215|XP_038112551.1|CQUI
OG0000010	LOC26532710|XP_015035140.1|DPSE	LOC6048602|XP_038111058.1|CQUI
OG0000010	LOC117183563|XP_033233697.1|DPSE	LOC119765466|XP_038105274.1|CQUI
OG0000012	LOC4804261|XP_015039777.2|DPSE, LOC4804255|XP_001360842.2|DPSE, LOC4804254|XP_015039772.2|DPSE, LOC6898436|XP_033233736.1|DPSE, LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE, LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE, LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE, LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC6047923|XP_001864910.2|CQUI
OG0000016	LOC4801993|XP_001359004.1|DPSE, LOC6898475|XP_002138517.1|DPSE	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC6049793|XP_038119134.1|CQUI
OG0000018	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE	LOC6032081|XP_001842747.1|CQUI
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE, LOC4801129|XP_033235715.1|DPSE, LOC4801131|XP_001358273.2|DPSE, LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC6896759|XP_002136966.1|DPSE, LOC4803770|XP_001360432.3|DPSE	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC6902791|XP_002132528.2|DPSE, LOC117183221|XP_033232918.1|DPSE, LOC6897832|XP_002137937.1|DPSE, LOC4818201|XP_033236143.1|DPSE	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC6897478|XP_002137627.1|DPSE, LOC4800831|XP_001358035.1|DPSE, LOC6901811|XP_002134479.1|DPSE	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC4804646|XP_033234778.1|DPSE, LOC6899947|XP_002135315.1|DPSE, LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE, LOC4812049|XP_001352467.1|DPSE, LOC6899946|XP_002135314.1|DPSE, LOC6899948|XP_002135316.2|DPSE	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC6897864|XP_033232668.1|DPSE, LOC4802962|XP_001359775.3|DPSE, LOC4802964|XP_001359777.4|DPSE, LOC4804210|XP_001360806.2|DPSE, LOC6897865|XP_033232678.1|DPSE, LOC4802957|XP_001359771.3|DPSE, LOC5495505|XP_001359769.4|DPSE, LOC5384073|XP_001359768.2|DPSE, LOC4802956|XP_015038205.2|DPSE	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE, LOC4805107|XP_001361564.1|DPSE, LOC6899225|XP_002136299.3|DPSE, LOC5495508|XP_001361566.2|DPSE, LOC4805028|XP_001361496.1|DPSE	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000025	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE	LOC6037566|XP_001847464.2|CQUI
OG0000026	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE, LOC4800860|XP_001358060.2|DPSE	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC6902829|XP_002132565.2|DPSE, LOC4817432|XP_001356466.2|DPSE, LOC4816919|XP_001356465.1|DPSE	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	LOC6900259|XP_002135588.3|DPSE, LOC26532152|XP_033239703.1|DPSE, LOC6900257|XP_033239706.1|DPSE, LOC117184834|XP_033239705.1|DPSE, LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE, LOC6900255|XP_002135584.2|DPSE, LOC6900007|XP_002135372.2|DPSE	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE, LOC26533066|XP_015039817.2|DPSE, LOC6897267|XP_033233167.1|DPSE, LOC4813458|XP_001353977.2|DPSE	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000031	LOC6902663|XP_015036753.2|DPSE, LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000032	LOC4800808|XP_001358017.2|DPSE, LOC6896921|XP_033236577.1|DPSE, LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC4817450|XP_001356533.3|DPSE, LOC4817037|XP_001356534.3|DPSE, LOC6902878|XP_002132612.2|DPSE, LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE, LOC4816157|XP_001355874.3|DPSE	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC6035433|XP_001845622.2|CQUI
OG0000037	LOC4803745|XP_001360410.4|DPSE, LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC6900265|XP_002135594.2|DPSE	LOC6047259|XP_001864341.2|CQUI
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI, LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC4803128|XP_001359922.2|DPSE, LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE, LOC4803134|XP_001359926.3|DPSE, LOC4803126|XP_001359920.4|DPSE, LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE	LOC119770262|XP_038120732.1|CQUI, LOC6035302|XP_038116309.1|CQUI, LOC6035304|XP_001845522.2|CQUI, LOC6035303|XP_038116308.1|CQUI
OG0000044	LOC4802344|XP_001359278.1|DPSE, LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE, LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE, LOC4802849|XP_001359684.3|DPSE	LOC6043407|XP_038120989.1|CQUI
OG0000047	LOC4803784|XP_001360446.3|DPSE, LOC4803787|XP_001360449.3|DPSE, LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE, LOC6903509|XP_002132386.2|DPSE, LOC6902682|XP_002133198.2|DPSE, LOC4805161|XP_001361611.2|DPSE, LOC4813116|XP_001353776.3|DPSE	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC6900017|XP_033238773.1|DPSE, LOC6900029|XP_033240343.1|DPSE, LOC6900030|XP_002135394.2|DPSE, LOC4812161|XP_001352552.3|DPSE, LOC4812224|XP_033238777.1|DPSE	LOC6042064|XP_001851216.1|CQUI, LOC6042091|XP_038120615.1|CQUI
OG0000049	LOC4800760|XP_001357975.3|DPSE, LOC4800765|XP_001357980.2|DPSE, LOC4800759|XP_001357974.3|DPSE, LOC4800761|XP_001357976.3|DPSE, LOC4800766|XP_001357981.4|DPSE, LOC4800764|XP_001357979.3|DPSE	LOC119770327|XP_038120923.1|CQUI, LOC6040028|XP_001849502.2|CQUI, LOC6038239|XP_001848065.2|CQUI
OG0000051	LOC4802029|XP_001359029.3|DPSE, LOC6896948|XP_002137133.2|DPSE, LOC4800870|XP_001358067.3|DPSE, LOC6897665|XP_002137803.2|DPSE, LOC6897664|XP_033232373.1|DPSE	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI, LOC6049616|XP_001866343.2|CQUI, LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC4803611|XP_001360303.3|DPSE, LOC6898153|XP_002138231.3|DPSE, LOC4803609|XP_001360302.2|DPSE	LOC6042358|XP_001851486.2|CQUI, LOC6053872|XP_001869889.2|CQUI, LOC6037642|XP_001847529.2|CQUI
OG0000054	LOC117183732|XP_033234597.1|DPSE, LOC6898005|XP_002138098.2|DPSE, LOC4803309|XP_001360071.1|DPSE, LOC4803310|XP_001360074.4|DPSE, LOC5384075|XP_033232371.1|DPSE, LOC6898345|XP_002138398.2|DPSE, LOC5384076|XP_001360072.2|DPSE	LOC6047251|XP_038118267.1|CQUI, LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI, LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI, LOC6050365|XP_038117140.1|CQUI, LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC6896733|XP_002136944.1|DPSE, LOC6896732|XP_002136943.1|DPSE, LOC6896731|XP_002136942.1|DPSE, LOC5495517|XP_002136945.3|DPSE, LOC6896734|XP_002136946.1|DPSE	LOC6036945|XP_001846918.2|CQUI, LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC4800581|XP_015038723.2|DPSE, LOC6896822|XP_002137025.2|DPSE, LOC4800580|XP_001357831.3|DPSE, LOC6897000|XP_002137186.2|DPSE, LOC6896999|XP_002137185.2|DPSE	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000058	LOC6902428|XP_002133362.2|DPSE, LOC6902422|XP_002133356.2|DPSE, LOC6898067|XP_002138152.1|DPSE, LOC4816156|XP_001355873.3|DPSE, LOC4816089|XP_001355320.2|DPSE	LOC6045941|XP_001863218.2|CQUI, LOC6049584|XP_001866314.2|CQUI, LOC119770688|XP_038121949.1|CQUI, LOC6049585|XP_001866315.2|CQUI, LOC6045940|XP_001863217.1|CQUI, LOC6045939|XP_001863216.2|CQUI
OG0000060	LOC4816062|XP_001355381.1|DPSE	LOC6052719|XP_038111213.1|CQUI
OG0000060	LOC4800333|XP_033234022.1|DPSE	LOC6034874|XP_038108204.1|CQUI
OG0000061	LOC4816506|XP_001356011.2|DPSE, LOC4816666|XP_001356006.2|DPSE, LOC6902543|XP_033236222.1|DPSE, LOC4816280|XP_001356010.3|DPSE, LOC4816542|XP_001356009.2|DPSE	LOC6034209|XP_001844562.2|CQUI
OG0000067	LOC4801537|XP_001358611.3|DPSE, LOC4813294|XP_001353742.3|DPSE	LOC6051936|XP_038110342.1|CQUI, LOC6032295|XP_038111782.1|CQUI, LOC6032296|XP_001842932.2|CQUI
OG0000067	LOC6901001|XP_033238396.1|DPSE	LOC6032826|XP_038121454.1|CQUI
OG0000068	LOC6900642|XP_002135015.3|DPSE, LOC6896795|XP_033241765.1|DPSE, LOC26532323|XP_033236250.1|DPSE, LOC6902365|XP_002133311.2|DPSE, LOC4815620|XP_015041394.2|DPSE	LOC6036588|XP_038118645.1|CQUI, LOC6036586|XP_001846619.2|CQUI, LOC6042516|XP_001851810.2|CQUI, LOC6042515|XP_038108176.1|CQUI, LOC6042514|XP_001851807.2|CQUI, LOC6036917|XP_001846892.2|CQUI
OG0000070	LOC4816245|XP_001355864.2|DPSE, LOC4815848|XP_001355583.2|DPSE, LOC4816246|XP_001355865.2|DPSE, LOC6902417|XP_002133351.2|DPSE	LOC6037947|XP_001847798.2|CQUI, LOC6037948|XP_001847799.2|CQUI
OG0000071	LOC6900130|XP_033241129.1|DPSE	LOC119766520|XP_038107045.1|CQUI
OG0000071	LOC4811953|XP_001352897.3|DPSE, LOC6900213|XP_033239373.1|DPSE, LOC6900212|XP_002135544.1|DPSE	LOC6035460|XP_038107044.1|CQUI, LOC6035462|XP_001845648.2|CQUI, LOC6044126|XP_001861681.2|CQUI, LOC6035447|XP_001845634.1|CQUI
OG0000072	LOC4803792|XP_001360452.3|DPSE, LOC4803788|XP_001360450.3|DPSE, LOC6898245|XP_002138311.1|DPSE	LOC6046366|XP_038106922.1|CQUI, LOC6037132|XP_001847069.2|CQUI, LOC6046369|XP_001863585.1|CQUI, LOC6046367|XP_001863584.2|CQUI, LOC6046372|XP_001863588.1|CQUI, LOC6046370|XP_001863586.2|CQUI
OG0000073	LOC4804155|XP_001360761.3|DPSE	LOC6036627|XP_001846655.1|CQUI
OG0000073	LOC6902077|XP_033240712.1|DPSE	LOC6034716|XP_038105946.1|CQUI, LOC6034713|XP_038105974.1|CQUI
OG0000074	LOC4813467|XP_001353839.3|DPSE, LOC4813167|XP_001353329.2|DPSE	LOC6032868|XP_001843393.1|CQUI, LOC6032869|XP_001843394.2|CQUI, LOC6032872|XP_038117359.1|CQUI, LOC119768790|XP_038115896.1|CQUI, LOC119768789|XP_038115895.1|CQUI, LOC6049339|XP_001866118.2|CQUI, LOC119769377|XP_038117358.1|CQUI, LOC6049343|XP_038117357.1|CQUI, LOC6049341|XP_001866122.2|CQUI, LOC6032899|XP_001843424.2|CQUI, LOC6032870|XP_001843395.2|CQUI, LOC6043916|XP_001861478.2|CQUI, LOC6032877|XP_001843402.2|CQUI, LOC6032878|XP_038115901.1|CQUI, LOC119768791|XP_038115897.1|CQUI, LOC6032830|XP_001843365.2|CQUI
OG0000076	LOC6900056|XP_033238646.1|DPSE	LOC6052885|XP_038117932.1|CQUI
OG0000076	LOC6901614|XP_002134284.3|DPSE	LOC119770103|XP_038120268.1|CQUI
OG0000077	LOC6903891|XP_002136626.1|DPSE	LOC6034293|XP_038107616.1|CQUI
OG0000077	LOC4800596|XP_001357842.1|DPSE	LOC119766730|XP_038108150.1|CQUI
OG0000077	LOC4805619|XP_001361993.1|DPSE	LOC6034296|XP_038108770.1|CQUI
OG0000077	LOC6897044|XP_003736391.1|DPSE	LOC6035184|XP_038117374.1|CQUI
OG0000078	LOC4804955|XP_001361435.3|DPSE, LOC6903186|XP_002132885.3|DPSE, LOC6897646|XP_002137789.2|DPSE, LOC117184537|XP_033238582.1|DPSE, LOC4802953|XP_001359766.2|DPSE, LOC4814621|XP_001355050.3|DPSE, LOC4815368|XP_001354621.3|DPSE	LOC6049605|XP_038114648.1|CQUI
OG0000080	LOC6898668|XP_002138673.2|DPSE, LOC6898669|XP_033233645.1|DPSE, LOC4805687|XP_001362046.3|DPSE	LOC6039848|XP_001849353.1|CQUI, LOC6036493|XP_001846542.2|CQUI, LOC6036492|XP_001846541.1|CQUI, LOC6036497|XP_038105714.1|CQUI, LOC6036496|XP_001846545.2|CQUI
