Orthogroup	DPSE.longest_only	DSUP.longest_only
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC119550821|XP_037715691.1|DSUP
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC119551494|XP_037716788.1|DSUP
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP
OG0000012	LOC4804256|XP_015039778.2|DPSE	LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP
OG0000012	LOC4804263|XP_001360847.3|DPSE	LOC119549965|XP_037714285.1|DSUP
OG0000012	LOC6898438|XP_002138480.2|DPSE	LOC119551851|XP_037717353.1|DSUP
OG0000012	LOC4804265|XP_001360848.3|DPSE	LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP
OG0000012	LOC6898439|XP_002138481.3|DPSE	LOC119551476|XP_037716767.1|DSUP
OG0000012	LOC4804266|XP_033235099.1|DPSE	LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC119545787|XP_037707587.1|DSUP
OG0000013	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000015	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE	LOC119550622|XP_037715380.1|DSUP
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC119560964|XP_037730645.1|DSUP
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC119559471|XP_037728511.1|DSUP
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC119561925|XP_037731293.1|DSUP
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC119555565|XP_037722943.1|DSUP
OG0000017	LOC4805006|XP_001361476.2|DPSE	LOC119549290|XP_037713167.1|DSUP
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC119552736|XP_037718429.1|DSUP
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC119562595|XP_037731744.1|DSUP
OG0000017	LOC4804477|XP_001361035.3|DPSE	LOC119558630|XP_037727962.1|DSUP, LOC119550336|XP_037714883.1|DSUP
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC119546290|XP_037708399.1|DSUP
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC119554781|XP_037721753.1|DSUP
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC119554784|XP_037721757.1|DSUP
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC119553876|XP_037720463.1|DSUP, LOC119553875|XP_037720461.1|DSUP, LOC119553877|XP_037720464.1|DSUP, LOC119553878|XP_037720465.1|DSUP, LOC119552517|XP_037718063.1|DSUP, LOC119552516|XP_037718062.1|DSUP
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE	LOC119545699|XP_037707379.1|DSUP
OG0000019	LOC4801129|XP_033235715.1|DPSE	LOC119553849|XP_037720426.1|DSUP
OG0000019	LOC4801131|XP_001358273.2|DPSE	LOC119545700|XP_037707380.1|DSUP
OG0000019	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC119551011|XP_037715994.1|DSUP
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC119549986|XP_037714317.1|DSUP
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC119561092|XP_037730913.1|DSUP
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC119556769|XP_037725126.1|DSUP
OG0000020	LOC4818201|XP_033236143.1|DPSE	LOC119547825|XP_037710775.1|DSUP
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC119548675|XP_037712046.1|DSUP
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC119549002|XP_037712540.1|DSUP
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC119550684|XP_037715475.1|DSUP
OG0000021	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE	LOC119550497|XP_037715116.1|DSUP
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC119552371|XP_037718001.1|DSUP
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC119560336|XP_037729656.1|DSUP
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC119555956|XP_037723602.1|DSUP
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC119550370|XP_037714944.1|DSUP
OG0000022	LOC6899947|XP_002135315.1|DPSE	LOC119553490|XP_037719826.1|DSUP, LOC119555408|XP_037722693.1|DSUP
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP
OG0000022	LOC4812049|XP_001352467.1|DPSE	LOC119555581|XP_037722982.1|DSUP, LOC119555583|XP_037722985.1|DSUP
OG0000022	LOC6899946|XP_002135314.1|DPSE	LOC119555580|XP_037722981.1|DSUP
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP
OG0000023	LOC4802962|XP_001359775.3|DPSE	LOC119559786|XP_037728794.1|DSUP
OG0000023	LOC4802964|XP_001359777.4|DPSE	LOC119559783|XP_037728790.1|DSUP
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC119550999|XP_037715976.1|DSUP
OG0000023	LOC6897865|XP_033232678.1|DPSE	LOC119559784|XP_037728792.1|DSUP
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC119559779|XP_037728786.1|DSUP
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC119559782|XP_037728789.1|DSUP
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC119559778|XP_037728785.1|DSUP
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC119559785|XP_037728793.1|DSUP
OG0000024	LOC5495520|XP_001361563.3|DPSE	LOC119551714|XP_037717116.1|DSUP
OG0000024	LOC4805107|XP_001361564.1|DPSE	LOC119551121|XP_037716233.1|DSUP
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC119551919|XP_037717477.1|DSUP
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC119556135|XP_037723954.1|DSUP
OG0000025	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE	LOC119546077|XP_037708082.1|DSUP
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC119557908|XP_037726842.1|DSUP
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC119547110|XP_037709748.1|DSUP
OG0000026	LOC4815876|XP_001355332.2|DPSE	LOC119557301|XP_037725939.1|DSUP
OG0000026	LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE	LOC119561040|XP_037730797.1|DSUP
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC119548404|XP_037711568.1|DSUP
OG0000027	LOC4817432|XP_001356466.2|DPSE	LOC119548409|XP_037711576.1|DSUP
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE	LOC119555148|XP_037722304.1|DSUP
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC119555138|XP_037722293.1|DSUP
OG0000028	LOC6900007|XP_002135372.2|DPSE	LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE	LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC119554065|XP_037720734.1|DSUP
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC119547225|XP_037709914.1|DSUP
OG0000030	LOC4817564|XP_002132859.2|DPSE	LOC119546122|XP_037708143.1|DSUP
OG0000030	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE	LOC119547226|XP_037709915.1|DSUP
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC119557894|XP_037726826.1|DSUP
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC119556830|XP_037725216.1|DSUP
OG0000031	LOC6902663|XP_015036753.2|DPSE	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP
OG0000031	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP
OG0000032	LOC6896921|XP_033236577.1|DPSE	LOC119559968|XP_037729132.1|DSUP
OG0000032	LOC4800814|XP_001358021.1|DPSE	LOC119560574|XP_037730023.1|DSUP
OG0000032	LOC4800811|XP_001358020.3|DPSE	LOC119559967|XP_037729131.1|DSUP
OG0000033	LOC4800626|XP_001357867.3|DPSE	LOC119552590|XP_037718157.1|DSUP, LOC119552614|XP_037718209.1|DSUP, LOC119563311|XP_037732572.1|DSUP
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC119551206|XP_037716367.1|DSUP
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC119551205|XP_037716366.1|DSUP
OG0000033	LOC4800868|XP_001358066.3|DPSE	LOC119552692|XP_037718345.1|DSUP, LOC119560194|XP_037729486.1|DSUP, LOC119549869|XP_037714095.1|DSUP, LOC119549868|XP_037714094.1|DSUP, LOC119549866|XP_037714089.1|DSUP
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC119548454|XP_037711646.1|DSUP
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC119547534|XP_037710356.1|DSUP
OG0000034	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE	LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC119546951|XP_037709518.1|DSUP
OG0000035	LOC117183275|XP_033232534.1|DPSE, LOC117185563|XP_033241586.1|DPSE	LOC119562531|XP_037731651.1|DSUP
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC119560416|XP_037729780.1|DSUP
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC119555899|XP_037723507.1|DSUP
OG0000036	LOC4802757|XP_001359618.3|DPSE	LOC119560377|XP_037729713.1|DSUP
OG0000036	LOC4800563|XP_033232364.1|DPSE	LOC119545810|XP_037707622.1|DSUP
OG0000037	LOC4803745|XP_001360410.4|DPSE	LOC119549907|XP_037714155.1|DSUP
OG0000037	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC119555136|XP_037722291.1|DSUP
