Orthogroup	DPSE.longest_only	DHYD.longest_only
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC4802267|XP_001359221.4|DPSE	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC117183603|XP_033233990.1|DPSE	LOC115483264|XP_030080469.1|DHYD
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC115482881|XP_030078991.1|DHYD
OG0000010	LOC117185616|XP_033241646.1|DPSE	LOC115483289|XP_030080492.1|DHYD
OG0000011	LOC6897605|XP_002137750.2|DPSE	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC4804261|XP_015039777.2|DPSE	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC4804255|XP_001360842.2|DPSE	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC4804254|XP_015039772.2|DPSE	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC6898436|XP_033233736.1|DPSE	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC4801399|XP_001358499.2|DPSE	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC13036345|XP_003736506.3|DPSE	LOC111601485|XP_023173841.2|DHYD, LOC111598320|XP_023169285.2|DHYD
OG0000016	LOC4801993|XP_001359004.1|DPSE	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC6898475|XP_002138517.1|DPSE	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC4805675|XP_001362034.4|DPSE	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC6896970|XP_002137155.1|DPSE	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC4804478|XP_001361036.2|DPSE	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC4804840|XP_001361336.1|DPSE	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC4813481|XP_001353829.1|DPSE	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC4801129|XP_033235715.1|DPSE	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC4801131|XP_001358273.2|DPSE	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC6896759|XP_002136966.1|DPSE	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC4803770|XP_001360432.3|DPSE	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC6902791|XP_002132528.2|DPSE	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC117183221|XP_033232918.1|DPSE	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC6897832|XP_002137937.1|DPSE	LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC4818201|XP_033236143.1|DPSE	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC6900570|XP_002134946.1|DPSE	LOC111604510|XP_023178374.1|DHYD
OG0000021	LOC6898835|XP_002138808.1|DPSE	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC6898840|XP_002138811.3|DPSE	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC4805268|XP_001361693.2|DPSE	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC6898836|XP_002138809.1|DPSE	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC6897478|XP_002137627.1|DPSE	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC4800831|XP_001358035.1|DPSE	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC6901811|XP_002134479.1|DPSE	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC4804646|XP_033234778.1|DPSE	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000022	LOC6899948|XP_002135316.2|DPSE	LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC6897864|XP_033232668.1|DPSE	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC4802962|XP_001359775.3|DPSE	LOC111602703|XP_023175706.2|DHYD
OG0000023	LOC4802964|XP_001359777.4|DPSE	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC4804210|XP_001360806.2|DPSE	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC6897865|XP_033232678.1|DPSE	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC4802957|XP_001359771.3|DPSE	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC5495505|XP_001359769.4|DPSE	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC5384073|XP_001359768.2|DPSE	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC4802956|XP_015038205.2|DPSE	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD
OG0000024	LOC4805107|XP_001361564.1|DPSE	LOC111592141|XP_023159955.2|DHYD
OG0000024	LOC6899225|XP_002136299.3|DPSE	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC5495508|XP_001361566.2|DPSE	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC4805028|XP_001361496.1|DPSE	LOC111598026|XP_023168817.2|DHYD
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC4814777|XP_001354707.2|DPSE	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC4818162|XP_001357184.4|DPSE	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC4800860|XP_001358060.2|DPSE	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC6902829|XP_002132565.2|DPSE	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC4817432|XP_001356466.2|DPSE	LOC111595849|XP_023165527.1|DHYD
OG0000027	LOC4816919|XP_001356465.1|DPSE	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC6900259|XP_002135588.3|DPSE, LOC26532152|XP_033239703.1|DPSE, LOC6900257|XP_033239706.1|DPSE, LOC117184834|XP_033239705.1|DPSE	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD
OG0000028	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD
OG0000028	LOC6900255|XP_002135584.2|DPSE	LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC6897267|XP_033233167.1|DPSE	LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC4813458|XP_001353977.2|DPSE	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC4817563|XP_001356970.3|DPSE	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC4816660|XP_001355989.2|DPSE	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC4804482|XP_001361038.2|DPSE	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC4816069|XP_001355235.2|DPSE	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC4815215|XP_001354948.2|DPSE	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC6902663|XP_015036753.2|DPSE	LOC111596192|XP_023166065.2|DHYD
OG0000031	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000031	LOC26533742|XP_033235774.1|DPSE	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC4800808|XP_001358017.2|DPSE	LOC111598628|XP_023169740.2|DHYD
OG0000032	LOC6896921|XP_033236577.1|DPSE	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE	LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000033	LOC6898089|XP_002138174.1|DPSE	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC6898093|XP_002138175.2|DPSE	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC4817450|XP_001356533.3|DPSE	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC6902878|XP_002132612.2|DPSE	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC4816157|XP_001355874.3|DPSE	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC6897873|XP_002137975.2|DPSE	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC4801521|XP_033232300.1|DPSE	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC4802757|XP_001359618.3|DPSE	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE	LOC111601529|XP_023173926.1|DHYD
OG0000037	LOC4803745|XP_001360410.4|DPSE	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE	LOC111601750|XP_023174255.2|DHYD
OG0000038	LOC4812152|XP_001352947.2|DPSE	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC6900265|XP_002135594.2|DPSE	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC6897556|XP_033241818.1|DPSE	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC4815394|XP_001354810.3|DPSE	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC4814563|XP_001354811.1|DPSE	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC6901425|XP_002134111.2|DPSE	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD, LOC111600203|XP_023171988.2|DHYD
OG0000039	LOC6901668|XP_002134337.3|DPSE	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC4803144|XP_001359934.2|DPSE	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE, LOC6897971|XP_002138070.1|DPSE	LOC115482741|XP_023177941.2|DHYD, LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC4803208|XP_001359988.4|DPSE	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC4801113|XP_001358260.2|DPSE	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE	LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC4804794|XP_001361299.3|DPSE, LOC5495510|XP_001361301.4|DPSE, LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD, LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD, LOC111597715|XP_023168324.2|DHYD, LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000042	LOC4804792|XP_001361298.2|DPSE	LOC111598606|XP_023169706.2|DHYD
OG0000043	LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC4803134|XP_001359926.3|DPSE	LOC111600264|XP_023172080.2|DHYD
OG0000043	LOC4803126|XP_001359920.4|DPSE	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC4802344|XP_001359278.1|DPSE	LOC111604839|XP_023178838.2|DHYD
OG0000044	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE	LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD
OG0000044	LOC6897571|XP_033232533.1|DPSE, LOC4802345|XP_001359279.2|DPSE	LOC111604847|XP_023178847.2|DHYD
OG0000044	LOC4802849|XP_001359684.3|DPSE	LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC4812813|XP_033238456.1|DPSE	LOC111597387|XP_023167819.1|DHYD
OG0000045	LOC4813084|XP_001353641.2|DPSE	LOC111597391|XP_023167823.1|DHYD
OG0000045	LOC6900434|XP_002134825.3|DPSE	LOC111597386|XP_023167816.1|DHYD
OG0000045	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE	LOC111597377|XP_023167802.1|DHYD
OG0000046	LOC6902130|XP_002133661.3|DPSE, LOC6902128|XP_002133659.2|DPSE	LOC111591975|XP_023159692.2|DHYD
OG0000046	LOC6898136|XP_002138215.2|DPSE, LOC6896807|XP_002137011.2|DPSE, LOC6896809|XP_002137013.2|DPSE, LOC6896808|XP_002137012.2|DPSE	LOC111594427|XP_023163484.2|DHYD, LOC111600609|XP_030079920.1|DHYD, LOC111593401|XP_030079935.1|DHYD, LOC111594428|XP_030080652.1|DHYD
OG0000047	LOC4803784|XP_001360446.3|DPSE	LOC111596622|XP_023166677.1|DHYD
OG0000047	LOC4803787|XP_001360449.3|DPSE	LOC111594123|XP_023163050.2|DHYD
OG0000047	LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE	LOC111595469|XP_023165002.1|DHYD
OG0000047	LOC4805161|XP_001361611.2|DPSE	LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC6900020|XP_002135385.1|DPSE, LOC6900019|XP_002135384.1|DPSE	LOC111604705|XP_023178646.1|DHYD, LOC111604704|XP_023178645.2|DHYD
OG0000048	LOC4812161|XP_001352552.3|DPSE	LOC111604676|XP_023178606.1|DHYD
OG0000048	LOC4812224|XP_033238777.1|DPSE	LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC4800760|XP_001357975.3|DPSE	LOC111594543|XP_023163663.2|DHYD
OG0000049	LOC4800765|XP_001357980.2|DPSE	LOC111594529|XP_023163631.2|DHYD
OG0000049	LOC4800759|XP_001357974.3|DPSE	LOC111594475|XP_023163544.1|DHYD
