Orthogroup	DBIA.longest_only	DSER.longest_only
OG0000024	LOC108022666|XP_016947224.1|DBIA	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER
OG0000024	LOC108022667|XP_016947225.1|DBIA	LOC110179365|XP_020802539.1|DSER
OG0000024	LOC108034270|XP_016964618.1|DBIA	LOC110185697|XP_020810324.1|DSER
OG0000024	LOC108022158|XP_016946489.1|DBIA	LOC110179322|XP_020802473.1|DSER
OG0000024	LOC108029512|XP_016957298.1|DBIA	LOC110180569|XP_020803926.1|DSER
OG0000025	LOC108023228|XP_016947991.1|DBIA	LOC110182356|XP_020806054.1|DSER
OG0000025	LOC108021904|XP_016946215.1|DBIA	LOC110182443|XP_020806137.1|DSER
OG0000026	LOC108032654|XP_016962104.1|DBIA	LOC110176041|XP_020797911.1|DSER
OG0000026	LOC108033571|XP_016963404.1|DBIA	LOC110182689|XP_020806441.1|DSER
OG0000026	LOC108036455|XP_016968112.1|DBIA	LOC110179505|XP_020802740.1|DSER
OG0000026	LOC108027284|XP_016954161.1|DBIA	LOC110189572|XP_020815365.1|DSER
OG0000026	LOC108027046|XP_016953736.1|DBIA	LOC110188271|XP_020813620.1|DSER
OG0000027	LOC108033374|XP_016963181.1|DBIA	LOC110176950|XP_020799111.1|DSER
OG0000027	LOC108033303|XP_016963062.1|DBIA	LOC110176976|XP_020799142.1|DSER
OG0000027	LOC108033359|XP_016963159.1|DBIA	LOC110176929|XP_020799084.1|DSER
OG0000028	LOC108031851|XP_016961097.1|DBIA	LOC110190402|XP_020816516.1|DSER
OG0000028	LOC108031869|XP_016961120.1|DBIA, LOC108035884|XP_016967128.1|DBIA, LOC108031862|XP_016961109.1|DBIA, LOC108035881|XP_016967123.1|DBIA	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000028	LOC108035021|XP_016965853.1|DBIA	LOC110190608|XP_020816860.1|DSER
OG0000029	LOC108036183|XP_016967662.1|DBIA	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER
OG0000029	LOC108031286|XP_016960018.1|DBIA	LOC110185765|XP_020810430.1|DSER
OG0000029	LOC108028180|XP_016955330.1|DBIA	LOC110178924|XP_020801869.1|DSER
OG0000030	LOC108033540|XP_016963373.1|DBIA	LOC110184000|XP_020808016.1|DSER
OG0000030	LOC108036692|XP_016968470.1|DBIA	LOC110184885|XP_020809189.1|DSER
OG0000030	LOC108022382|XP_016946753.1|DBIA	LOC110178495|XP_020801302.1|DSER
OG0000030	LOC108023610|XP_016948706.1|DBIA	LOC110180192|XP_020803508.1|DSER
OG0000030	LOC108024286|XP_016949674.1|DBIA	LOC110184177|XP_020808247.1|DSER
OG0000031	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA	LOC110185921|XP_020810593.1|DSER
OG0000031	LOC108034241|XP_016964579.1|DBIA	LOC110183330|XP_020807237.1|DSER
OG0000032	LOC108027359|XP_016954271.1|DBIA	LOC110191017|XP_020817393.1|DSER
OG0000032	LOC108027164|XP_016953916.1|DBIA	LOC110189627|XP_020815431.1|DSER
OG0000032	LOC108027269|XP_016954133.1|DBIA	LOC110189708|XP_020815547.1|DSER
OG0000032	LOC108027165|XP_016953917.1|DBIA	LOC110188628|XP_020814064.1|DSER
OG0000032	LOC108027028|XP_016953713.1|DBIA	LOC110190425|XP_020816566.1|DSER
OG0000032	LOC108027228|XP_016954051.1|DBIA	LOC110191021|XP_020817396.1|DSER
OG0000032	LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA	LOC110188663|XP_020814116.1|DSER
OG0000032	LOC108027268|XP_016954132.1|DBIA	LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000033	LOC108024481|XP_016949890.1|DBIA, LOC108024462|XP_016949869.1|DBIA, LOC108024301|XP_016949691.1|DBIA	LOC110184954|XP_020809264.1|DSER, LOC110185945|XP_020810623.1|DSER
OG0000033	LOC108030100|XP_016958275.1|DBIA	LOC110189687|XP_020815520.1|DSER
OG0000033	LOC108030101|XP_016958276.1|DBIA	LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER
OG0000033	LOC108030098|XP_016958274.1|DBIA	LOC110189686|XP_020815519.1|DSER
OG0000033	LOC108028439|XP_016955758.1|DBIA	LOC110188470|XP_020813858.1|DSER, LOC110188471|XP_020813859.1|DSER
OG0000034	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA	LOC110184859|XP_020809159.1|DSER
OG0000034	LOC108035237|XP_016966261.1|DBIA	LOC110184879|XP_020809185.1|DSER
OG0000034	LOC108034999|XP_016965831.1|DBIA	LOC110184890|XP_020809195.1|DSER
OG0000034	LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA	LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER
OG0000034	LOC108036755|XP_016968570.1|DBIA	LOC110185768|XP_020810429.1|DSER
OG0000036	LOC108027411|XP_016954339.1|DBIA	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC108026449|XP_016952877.1|DBIA	LOC110191887|XP_020818531.1|DSER
OG0000036	LOC108024985|XP_016950728.1|DBIA	LOC110187659|XP_020812737.1|DSER
OG0000036	LOC108024657|XP_016950207.1|DBIA	LOC110186335|XP_020811144.1|DSER
OG0000037	LOC108029865|XP_016957843.1|DBIA	LOC110178458|XP_020801255.1|DSER
OG0000037	LOC108032009|XP_016961298.1|DBIA	LOC110188328|XP_020813694.1|DSER
OG0000037	LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA	LOC110188288|XP_020813646.1|DSER
OG0000038	LOC108030746|XP_016959281.1|DBIA	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000038	LOC108030931|XP_016959614.1|DBIA	LOC110189906|XP_020815830.1|DSER
OG0000039	LOC108025609|XP_016951633.1|DBIA	LOC110181782|XP_020805320.1|DSER
OG0000039	LOC108025634|XP_016951658.1|DBIA	LOC110181861|XP_020805441.1|DSER
OG0000039	LOC108025590|XP_016951608.1|DBIA	LOC110181937|XP_020805533.1|DSER
OG0000040	LOC108025546|XP_016951565.1|DBIA	LOC110177295|XP_020799616.1|DSER
OG0000040	LOC108024820|XP_016950438.1|DBIA	LOC110190225|XP_020816248.1|DSER
OG0000040	LOC108024821|XP_016950440.1|DBIA	LOC110190236|XP_020816258.1|DSER
OG0000040	LOC108025434|XP_016951413.1|DBIA	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER
OG0000040	LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA	LOC110177296|XP_020799617.1|DSER
OG0000040	LOC108025485|XP_016951488.1|DBIA	LOC110177417|XP_020799793.1|DSER
OG0000040	LOC108023851|XP_016948987.1|DBIA	LOC110186252|XP_020810992.1|DSER
OG0000041	LOC108026015|XP_016952195.1|DBIA	LOC110186567|XP_020811434.1|DSER
OG0000041	LOC108026380|XP_016952789.1|DBIA	LOC110186484|XP_020811330.1|DSER
OG0000041	LOC108026021|XP_016952202.1|DBIA	LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER
OG0000041	LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA	LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER
OG0000042	LOC108029979|XP_016957976.1|DBIA	LOC110191593|XP_020818136.1|DSER
OG0000042	LOC108029981|XP_016957978.1|DBIA	LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER
OG0000042	LOC108029869|XP_016957848.1|DBIA	LOC110191595|XP_020818140.1|DSER
OG0000042	LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA	LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER
OG0000042	LOC108029982|XP_016957980.1|DBIA	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER
OG0000043	LOC108024814|XP_016950428.1|DBIA	LOC110188004|XP_020813185.1|DSER
OG0000043	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER
OG0000043	LOC108024782|XP_016950387.1|DBIA	LOC110187858|XP_020813002.1|DSER
OG0000043	LOC108025302|XP_016951186.1|DBIA	LOC110191369|XP_020817880.1|DSER
OG0000043	LOC108024783|XP_016950388.1|DBIA	LOC110187786|XP_020812917.1|DSER
OG0000044	LOC108026455|XP_016952884.1|DBIA	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
