Orthogroup	DBIA.longest_only	DPER.longest_only
OG0000003	LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC6596552|XP_002021689.1|DPER
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC113567411|XP_026850946.1|DPER
OG0000007	LOC108028761|XP_016956223.1|DBIA	LOC6601481|XP_002026421.1|DPER, LOC6601476|XP_002026420.1|DPER
OG0000007	LOC108028706|XP_016956144.1|DBIA	LOC6601482|XP_002026422.2|DPER
OG0000007	LOC108027672|XP_016954706.1|DBIA	LOC6596309|XP_002021479.1|DPER
OG0000007	LOC108029358|XP_016957069.1|DBIA	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC108034518|XP_016964930.1|DBIA	LOC6601214|XP_002026310.2|DPER
OG0000007	LOC108027854|XP_016954941.1|DBIA	LOC6589529|XP_002015017.1|DPER
OG0000007	LOC108028309|XP_016955521.1|DBIA	LOC6601483|XP_026847920.1|DPER
OG0000007	LOC108028310|XP_016955522.1|DBIA	LOC6601458|XP_026847765.1|DPER
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC108027095|XP_016953802.1|DBIA	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC108027071|XP_016953774.1|DBIA	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC108031158|XP_016959863.1|DBIA	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC108032245|XP_016961597.1|DBIA	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC108028108|XP_016955244.1|DBIA	LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER
OG0000009	LOC108022184|XP_016946525.1|DBIA	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC108032134|XP_016961458.1|DBIA	LOC6591389|XP_002017359.1|DPER
OG0000009	LOC108023117|XP_016947872.1|DBIA	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC6590981|XP_002016546.2|DPER
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC113567423|XP_026850962.1|DPER
OG0000011	LOC108027845|XP_016954924.1|DBIA, LOC108033439|XP_016963254.1|DBIA, LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA, LOC108027698|XP_016954736.1|DBIA, LOC108027691|XP_016954727.1|DBIA, LOC108027694|XP_016954732.1|DBIA, LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA, LOC108027705|XP_016954744.1|DBIA, LOC108027867|XP_016954970.1|DBIA, LOC108033517|XP_016963352.1|DBIA, LOC108033630|XP_016963538.1|DBIA, LOC108035164|XP_016966113.1|DBIA, LOC108024287|XP_016949675.1|DBIA	LOC113565949|XP_026845159.1|DPER, LOC113565829|XP_026844915.1|DPER, LOC113565667|XP_026844172.1|DPER, LOC6593932|XP_026844170.1|DPER, LOC113565666|XP_026844171.1|DPER, LOC6599995|XP_026849180.1|DPER, LOC6595356|XP_026844919.1|DPER, LOC113565950|XP_026845160.1|DPER, LOC113565828|XP_026844914.1|DPER, LOC6595358|XP_026845178.1|DPER, LOC113565831|XP_026844923.1|DPER, LOC113565733|XP_026844523.1|DPER, LOC6595426|XP_002020848.1|DPER, LOC6595439|XP_002020860.2|DPER, LOC113565830|XP_026844917.1|DPER, LOC6595395|XP_026844752.1|DPER, LOC6595396|XP_026844748.1|DPER, LOC6595365|XP_002020801.1|DPER, LOC6595397|XP_026844754.1|DPER, LOC6595392|XP_026844750.1|DPER, LOC6595366|XP_002020802.2|DPER, LOC6595391|XP_026844351.1|DPER
OG0000011	LOC108035648|XP_016966843.1|DBIA	LOC6591700|XP_002017271.1|DPER, LOC6599732|XP_002024837.1|DPER
OG0000011	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA	LOC6599733|XP_002024838.2|DPER
OG0000011	LOC108024710|XP_016950292.1|DBIA	LOC6591544|XP_002017188.1|DPER
OG0000012	LOC108026825|XP_016953482.1|DBIA	LOC6589910|XP_026840670.1|DPER
OG0000012	LOC108026824|XP_016953480.1|DBIA	LOC6589909|XP_002016518.1|DPER
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	LOC6589908|XP_026841658.1|DPER
OG0000012	LOC108026906|XP_016953604.1|DBIA	LOC6589911|XP_026840671.1|DPER
OG0000012	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA	LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER
OG0000012	LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA	LOC6589912|XP_002016521.1|DPER
OG0000012	LOC108022093|XP_016946425.1|DBIA	LOC6590586|XP_002016525.1|DPER
OG0000012	LOC108022195|XP_016946536.1|DBIA	LOC6590587|XP_002016526.1|DPER
OG0000012	LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA	LOC6590588|XP_002016527.1|DPER
OG0000012	LOC108022979|XP_016947693.1|DBIA	LOC6590215|XP_002016528.1|DPER
OG0000012	LOC108022976|XP_016947689.1|DBIA	LOC6590216|XP_002016529.1|DPER
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC113564954|XP_026840479.1|DPER
OG0000013	LOC108026153|XP_016952377.1|DBIA	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000015	LOC108030294|XP_016958615.1|DBIA	LOC113565410|XP_026843113.1|DPER, LOC6593385|XP_002019084.1|DPER
OG0000016	LOC108031488|XP_016960465.1|DBIA	LOC6587871|XP_002013173.2|DPER
OG0000016	LOC108022510|XP_016946968.1|DBIA	LOC6593077|XP_002017890.1|DPER
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC108036535|XP_016968248.1|DBIA	LOC6601585|XP_002026606.2|DPER
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC108024269|XP_016949648.1|DBIA	LOC6592910|XP_002018578.1|DPER
OG0000016	LOC108026160|XP_016952383.1|DBIA	LOC6587745|XP_026840230.1|DPER
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC6602189|XP_026848039.1|DPER
OG0000017	LOC108032967|XP_016962527.1|DBIA	LOC6598163|XP_026846248.1|DPER
OG0000017	LOC108036348|XP_016967909.1|DBIA	LOC6590466|XP_002016652.1|DPER
OG0000017	LOC108036878|XP_016968743.1|DBIA	LOC6602148|XP_002027095.1|DPER, LOC6602132|XP_002027094.1|DPER
OG0000017	LOC108026055|XP_016952238.1|DBIA	LOC6591189|XP_002015913.2|DPER, LOC6594928|XP_002020025.1|DPER
OG0000017	LOC108022955|XP_016947661.1|DBIA	LOC6592612|XP_002018160.1|DPER
OG0000017	LOC108024069|XP_016949327.1|DBIA	LOC6602127|XP_002027093.1|DPER
OG0000017	LOC108022064|XP_016946398.1|DBIA	LOC6592611|XP_002018159.1|DPER
OG0000017	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA	LOC6595669|XP_002020729.1|DPER, LOC6595691|XP_002020717.1|DPER
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC6601448|XP_002026450.1|DPER
OG0000018	LOC108028081|XP_016955212.1|DBIA	LOC6601451|XP_002026453.1|DPER
OG0000018	LOC108028402|XP_016955706.1|DBIA	LOC6601450|XP_002026452.1|DPER
OG0000018	LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA, LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA	LOC6601447|XP_002026449.1|DPER, LOC6601443|XP_002026445.1|DPER, LOC6601446|XP_002026448.1|DPER, LOC6601444|XP_002026446.1|DPER
OG0000019	LOC108025227|XP_016951062.1|DBIA	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER
OG0000019	LOC108025224|XP_016951060.1|DBIA	LOC6588514|XP_002012998.2|DPER
OG0000019	LOC108025228|XP_016951063.1|DBIA	LOC6587186|XP_002012999.1|DPER
OG0000019	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA	LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC108026305|XP_016952678.1|DBIA	LOC6594838|XP_002020242.2|DPER
OG0000020	LOC108026784|XP_016953432.1|DBIA	LOC6590666|XP_002015941.1|DPER
OG0000020	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA	LOC6589657|XP_002014518.1|DPER
OG0000020	LOC108031537|XP_016960562.1|DBIA	LOC6594627|XP_026850533.1|DPER
OG0000020	LOC108024628|XP_016950157.1|DBIA	LOC6594128|XP_002019432.1|DPER
OG0000020	LOC108034268|XP_016964616.1|DBIA	LOC6593366|XP_002018585.1|DPER
OG0000020	LOC108033875|XP_016964007.1|DBIA	LOC6589656|XP_026844645.1|DPER
OG0000021	LOC108027666|XP_016954700.1|DBIA	LOC6592713|XP_002018080.1|DPER
OG0000021	LOC108027081|XP_016953819.1|DBIA	LOC6592714|XP_026841677.1|DPER
OG0000021	LOC108022678|XP_016947238.1|DBIA	LOC6592588|XP_002018070.2|DPER
OG0000021	LOC108022247|XP_016946595.1|DBIA	LOC6592233|XP_002018052.1|DPER
OG0000021	LOC108022243|XP_016946590.1|DBIA	LOC6597480|XP_002022716.1|DPER, LOC6597528|XP_002022710.1|DPER
OG0000021	LOC108036897|XP_016968766.1|DBIA	LOC6592712|XP_002018079.1|DPER
OG0000021	LOC108025789|XP_016951907.1|DBIA	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC108026319|XP_016952697.1|DBIA	LOC113565817|XP_026844838.1|DPER
OG0000021	LOC108027350|XP_016954258.1|DBIA	LOC6598730|XP_026840231.1|DPER
OG0000021	LOC108026442|XP_016952872.1|DBIA	LOC6597578|XP_026848930.1|DPER
OG0000022	LOC108022346|XP_016946698.1|DBIA	LOC6593244|XP_026840814.1|DPER
OG0000022	LOC108030636|XP_016959139.1|DBIA	LOC6601032|XP_002026120.1|DPER
OG0000022	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA	LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER
OG0000022	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA	LOC113566793|XP_026849743.1|DPER
OG0000022	LOC108029203|XP_016956872.1|DBIA	LOC113566797|XP_026849748.1|DPER
OG0000023	LOC108027148|XP_016953858.1|DBIA	LOC6594350|XP_002019529.2|DPER
OG0000023	LOC108027146|XP_016953855.1|DBIA	LOC6594355|XP_002019534.1|DPER
OG0000023	LOC108027143|XP_016953853.1|DBIA	LOC6594114|XP_002019536.2|DPER
OG0000023	LOC108026627|XP_016953132.1|DBIA	LOC6590773|XP_002016461.1|DPER
OG0000023	LOC108027145|XP_016953854.1|DBIA	LOC6594113|XP_002019535.2|DPER
OG0000023	LOC108027245|XP_016954086.1|DBIA	LOC6594346|XP_002019525.2|DPER
OG0000023	LOC108027357|XP_016954268.1|DBIA	LOC6594348|XP_002019527.1|DPER
OG0000023	LOC108027244|XP_016954083.1|DBIA	LOC6594344|XP_002019523.1|DPER
OG0000024	LOC108022666|XP_016947224.1|DBIA	LOC6592579|XP_002017744.1|DPER
OG0000024	LOC108022667|XP_016947225.1|DBIA	LOC6592578|XP_002017743.2|DPER
OG0000024	LOC108034270|XP_016964618.1|DBIA	LOC6593580|XP_002018871.1|DPER
OG0000024	LOC108022158|XP_016946489.1|DBIA	LOC6592580|XP_002017745.1|DPER
OG0000024	LOC108029512|XP_016957298.1|DBIA	LOC6591036|XP_002016629.1|DPER
OG0000025	LOC108023228|XP_016947991.1|DBIA	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER
OG0000026	LOC108032654|XP_016962104.1|DBIA	LOC6598208|XP_002023333.1|DPER
OG0000026	LOC108033571|XP_016963404.1|DBIA	LOC6589226|XP_002014215.1|DPER
OG0000026	LOC108036455|XP_016968112.1|DBIA	LOC6600343|XP_026848406.1|DPER
OG0000026	LOC108027284|XP_016954161.1|DBIA	LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER
OG0000026	LOC108027046|XP_016953736.1|DBIA	LOC6598768|XP_002023910.1|DPER
OG0000027	LOC108033374|XP_016963181.1|DBIA	LOC6589175|XP_002014624.1|DPER
OG0000027	LOC108033303|XP_016963062.1|DBIA	LOC6589890|XP_026844932.1|DPER
OG0000027	LOC108033359|XP_016963159.1|DBIA	LOC6589176|XP_002014625.1|DPER
OG0000028	LOC108035881|XP_016967123.1|DBIA	LOC6602374|XP_026848578.1|DPER
OG0000028	LOC108035021|XP_016965853.1|DBIA	LOC6599696|XP_002024949.1|DPER
OG0000029	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA	LOC6592269|XP_002017847.2|DPER
OG0000029	LOC108031286|XP_016960018.1|DBIA	LOC6587627|XP_026841612.1|DPER
OG0000029	LOC108028180|XP_016955330.1|DBIA	LOC6599019|XP_002024136.1|DPER
OG0000030	LOC108033534|XP_016963368.1|DBIA	LOC6595503|XP_002020608.1|DPER
OG0000030	LOC108033540|XP_016963373.1|DBIA	LOC6595502|XP_002020607.1|DPER, LOC6595504|XP_002020609.1|DPER
OG0000030	LOC108036692|XP_016968470.1|DBIA	LOC6596396|XP_002021549.2|DPER
OG0000030	LOC108022382|XP_016946753.1|DBIA	LOC6592616|XP_002018164.1|DPER
OG0000030	LOC108023610|XP_016948706.1|DBIA	LOC6600142|XP_002025259.1|DPER
OG0000030	LOC108024286|XP_016949674.1|DBIA	LOC6597331|XP_002022519.1|DPER
OG0000031	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA	LOC6603379|XP_002028365.1|DPER
OG0000031	LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA	LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000031	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA	LOC6589468|XP_002014413.1|DPER
OG0000032	LOC108027359|XP_016954271.1|DBIA	LOC6598612|XP_002023857.1|DPER
OG0000032	LOC108027164|XP_016953916.1|DBIA	LOC6598610|XP_026850099.1|DPER
OG0000032	LOC108027269|XP_016954133.1|DBIA	LOC6598613|XP_002023858.2|DPER
OG0000032	LOC108027165|XP_016953917.1|DBIA	LOC6598611|XP_026840271.1|DPER
OG0000032	LOC108027028|XP_016953713.1|DBIA	LOC6598616|XP_002023861.1|DPER
OG0000032	LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA	LOC6598615|XP_002023860.1|DPER
OG0000033	LOC108024481|XP_016949890.1|DBIA, LOC108024462|XP_016949869.1|DBIA, LOC108024301|XP_016949691.1|DBIA	LOC6594755|XP_002020092.1|DPER
OG0000033	LOC108030100|XP_016958275.1|DBIA	LOC6590958|XP_002015543.1|DPER
OG0000033	LOC108030098|XP_016958274.1|DBIA	LOC6590962|XP_002015544.1|DPER
OG0000033	LOC108028439|XP_016955758.1|DBIA, LOC108027435|XP_016954372.1|DBIA, LOC108036209|XP_016967690.1|DBIA, LOC108036211|XP_016967691.1|DBIA, LOC108036212|XP_016967692.1|DBIA	LOC6598819|XP_002023931.1|DPER
OG0000034	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA	LOC6589244|XP_002014736.2|DPER
OG0000034	LOC108035237|XP_016966261.1|DBIA	LOC6589243|XP_002014735.1|DPER
OG0000034	LOC108034999|XP_016965831.1|DBIA	LOC6589242|XP_002014734.1|DPER
OG0000034	LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA	LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER
OG0000034	LOC108036755|XP_016968570.1|DBIA	LOC6593808|XP_026844827.1|DPER
OG0000036	LOC108027411|XP_016954339.1|DBIA	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC108026449|XP_016952877.1|DBIA	LOC6587691|XP_002013731.1|DPER
OG0000036	LOC108024985|XP_016950728.1|DBIA	LOC6594383|XP_002019297.1|DPER
OG0000036	LOC108024657|XP_016950207.1|DBIA	LOC6594996|XP_002020162.1|DPER
OG0000037	LOC108029865|XP_016957843.1|DBIA	LOC6590968|XP_002015904.2|DPER
OG0000037	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA	LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC108030746|XP_016959281.1|DBIA	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC108030931|XP_016959614.1|DBIA	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC108027177|XP_016953954.1|DBIA	LOC6591968|XP_026846968.1|DPER
OG0000039	LOC108025609|XP_016951633.1|DBIA	LOC6598396|XP_002023519.1|DPER
OG0000039	LOC108025634|XP_016951658.1|DBIA	LOC6598397|XP_002023520.1|DPER
OG0000039	LOC108025590|XP_016951608.1|DBIA	LOC6599449|XP_026847206.1|DPER
OG0000040	LOC108025546|XP_016951565.1|DBIA	LOC113566301|XP_026847173.1|DPER
OG0000040	LOC108024820|XP_016950438.1|DBIA	LOC6594423|XP_002019755.2|DPER, LOC6594424|XP_002019756.1|DPER, LOC6594425|XP_026850325.1|DPER, LOC113567269|XP_026850340.1|DPER
OG0000040	LOC108024821|XP_016950440.1|DBIA	LOC6594422|XP_002019754.1|DPER
OG0000040	LOC108025434|XP_016951413.1|DBIA	LOC113566662|XP_026849040.1|DPER, LOC6591887|XP_026849046.1|DPER, LOC113566659|XP_026849033.1|DPER, LOC6591886|XP_026849059.1|DPER
OG0000040	LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA	LOC6594617|XP_002019840.1|DPER
OG0000040	LOC108025485|XP_016951488.1|DBIA	LOC6594616|XP_002019839.1|DPER
OG0000040	LOC108023851|XP_016948987.1|DBIA	LOC6587705|XP_002012978.2|DPER
OG0000041	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER
OG0000041	LOC108026021|XP_016952202.1|DBIA	LOC6591518|XP_002017066.1|DPER
OG0000041	LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA	LOC6591551|XP_002017060.1|DPER
OG0000042	LOC108029979|XP_016957976.1|DBIA	LOC6592870|XP_026842041.1|DPER
OG0000042	LOC108029981|XP_016957978.1|DBIA	LOC6592873|XP_002018540.1|DPER
OG0000042	LOC108029869|XP_016957848.1|DBIA, LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA	LOC6592872|XP_002018539.1|DPER, LOC6592871|XP_002018538.1|DPER, LOC113565032|XP_026840750.1|DPER, LOC6589097|XP_002014784.1|DPER
OG0000042	LOC108029982|XP_016957980.1|DBIA	LOC6592874|XP_002018541.2|DPER
OG0000043	LOC108024814|XP_016950428.1|DBIA	LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER
OG0000043	LOC108024406|XP_016949807.1|DBIA	LOC6594474|XP_002019740.1|DPER
OG0000043	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA	LOC6594076|XP_002019736.1|DPER
OG0000043	LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA	LOC6594478|XP_002019744.1|DPER
OG0000043	LOC108024783|XP_016950388.1|DBIA	LOC6594479|XP_002019745.1|DPER
OG0000044	LOC108026455|XP_016952884.1|DBIA	LOC6591553|XP_026847828.1|DPER
