Orthogroup	DBIA.longest_only	DALB.longest_only
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC108026906|XP_016953604.1|DBIA	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC108026153|XP_016952377.1|DBIA	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000015	LOC108033679|XP_016963624.1|DBIA	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC108030294|XP_016958615.1|DBIA, LOC108033676|XP_016963619.1|DBIA, LOC108033509|XP_016963341.1|DBIA	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC108031488|XP_016960465.1|DBIA	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC108022510|XP_016946968.1|DBIA	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC108036535|XP_016968248.1|DBIA	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC108024269|XP_016949648.1|DBIA	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC108026160|XP_016952383.1|DBIA	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC108036878|XP_016968743.1|DBIA	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC108026055|XP_016952238.1|DBIA	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC108022955|XP_016947661.1|DBIA	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC108024069|XP_016949327.1|DBIA	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC108028081|XP_016955212.1|DBIA	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC108028402|XP_016955706.1|DBIA	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA	LOC117569766|XP_034106951.1|DALB
OG0000020	LOC108026305|XP_016952678.1|DBIA	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC108026784|XP_016953432.1|DBIA	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC108031537|XP_016960562.1|DBIA	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC108024628|XP_016950157.1|DBIA	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC108027666|XP_016954700.1|DBIA	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC108027081|XP_016953819.1|DBIA	LOC117570907|XP_034108703.1|DALB
OG0000021	LOC108022678|XP_016947238.1|DBIA	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC108022247|XP_016946595.1|DBIA	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC108036897|XP_016968766.1|DBIA	LOC117570906|XP_034108702.1|DALB
OG0000021	LOC108025789|XP_016951907.1|DBIA	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC108026319|XP_016952697.1|DBIA	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC108027350|XP_016954258.1|DBIA	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC108026442|XP_016952872.1|DBIA	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC108022346|XP_016946698.1|DBIA	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC108027148|XP_016953858.1|DBIA	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC108026627|XP_016953132.1|DBIA	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC108027009|XP_016953696.1|DBIA	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC108027245|XP_016954086.1|DBIA	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC108027357|XP_016954268.1|DBIA	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC108027244|XP_016954083.1|DBIA	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC108022667|XP_016947225.1|DBIA	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC108034270|XP_016964618.1|DBIA	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC108022158|XP_016946489.1|DBIA	LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000024	LOC108029512|XP_016957298.1|DBIA	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC108023228|XP_016947991.1|DBIA	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC108021904|XP_016946215.1|DBIA	LOC117563559|XP_034097830.1|DALB
OG0000026	LOC108032654|XP_016962104.1|DBIA	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC108033571|XP_016963404.1|DBIA	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC108027046|XP_016953736.1|DBIA	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC108033374|XP_016963181.1|DBIA	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC108033359|XP_016963159.1|DBIA	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC108035881|XP_016967123.1|DBIA	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC108031286|XP_016960018.1|DBIA	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC108028180|XP_016955330.1|DBIA	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC108036692|XP_016968470.1|DBIA	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC108022382|XP_016946753.1|DBIA	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC108023610|XP_016948706.1|DBIA	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC108024286|XP_016949674.1|DBIA	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC108027359|XP_016954271.1|DBIA	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC108035889|XP_016967133.1|DBIA, LOC108033536|XP_016963370.1|DBIA, LOC108033501|XP_016963332.1|DBIA, LOC108030100|XP_016958275.1|DBIA, LOC108030101|XP_016958276.1|DBIA	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC108030098|XP_016958274.1|DBIA	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC108035237|XP_016966261.1|DBIA	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC108034999|XP_016965831.1|DBIA	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC108036755|XP_016968570.1|DBIA	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC108027564|XP_016954540.1|DBIA	LOC117577461|XP_034118238.1|DALB, LOC117577285|XP_034118153.1|DALB, LOC117577448|XP_034118230.1|DALB, LOC117577266|XP_034118142.1|DALB, LOC117577460|XP_034118236.1|DALB, LOC117577290|XP_034118157.1|DALB, LOC117576887|XP_034117917.1|DALB
OG0000036	LOC108027411|XP_016954339.1|DBIA	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC108026449|XP_016952877.1|DBIA	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC108024985|XP_016950728.1|DBIA	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC108024657|XP_016950207.1|DBIA	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC108029865|XP_016957843.1|DBIA	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC108030746|XP_016959281.1|DBIA	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC108030931|XP_016959614.1|DBIA	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC108027177|XP_016953954.1|DBIA	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC108025609|XP_016951633.1|DBIA	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC108025634|XP_016951658.1|DBIA	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC108025590|XP_016951608.1|DBIA	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC108025546|XP_016951565.1|DBIA, LOC108024820|XP_016950438.1|DBIA	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC108024821|XP_016950440.1|DBIA	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC108025485|XP_016951488.1|DBIA	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000042	LOC108029979|XP_016957976.1|DBIA, LOC108029981|XP_016957978.1|DBIA, LOC108029869|XP_016957848.1|DBIA, LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA	LOC117566639|XP_034102071.1|DALB, LOC117566640|XP_034102072.1|DALB
OG0000042	LOC108029982|XP_016957980.1|DBIA	LOC117576207|XP_034116693.1|DALB, LOC117574774|XP_034114613.1|DALB, LOC117574773|XP_034114612.1|DALB, LOC117574710|XP_034114517.1|DALB, LOC117574445|XP_034114174.1|DALB
OG0000043	LOC108024814|XP_016950428.1|DBIA	LOC117574637|XP_034114425.1|DALB
OG0000043	LOC108024406|XP_016949807.1|DBIA	LOC117574639|XP_034114428.1|DALB
OG0000043	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA	LOC117574208|XP_034113803.1|DALB
OG0000043	LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA	LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC108026455|XP_016952884.1|DBIA	LOC117576108|XP_034116557.1|DALB
OG0000044	LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA	LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB
OG0000044	LOC108026002|XP_016952181.1|DBIA	LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	LOC108025049|XP_016950795.1|DBIA	LOC117574699|XP_034114502.1|DALB
OG0000045	LOC108028610|XP_016956020.1|DBIA	LOC117568925|XP_034105726.1|DALB
OG0000045	LOC108034658|XP_016965085.1|DBIA, LOC108034642|XP_016965069.1|DBIA	LOC117566426|XP_034101847.1|DALB
OG0000045	LOC108028181|XP_016955331.1|DBIA	LOC117566425|XP_034101846.1|DALB
OG0000045	LOC108028143|XP_016955289.1|DBIA	LOC117572554|XP_034111317.1|DALB
OG0000046	LOC108024100|XP_016949365.1|DBIA, LOC108024103|XP_016949370.1|DBIA	LOC117577657|XP_034118436.1|DALB, LOC117577658|XP_034118437.1|DALB
OG0000046	LOC108024088|XP_016949352.1|DBIA, LOC108024336|XP_016949726.1|DBIA, LOC108024337|XP_016949728.1|DBIA, LOC108024872|XP_016950506.1|DBIA, LOC108024879|XP_016950512.1|DBIA, LOC108029852|XP_016957830.1|DBIA	LOC117566493|XP_034101923.1|DALB, LOC117576903|XP_034117935.1|DALB, LOC117566510|XP_034101945.1|DALB, LOC117576911|XP_034117945.1|DALB, LOC117576921|XP_034117957.1|DALB
OG0000047	LOC108036240|XP_016967738.1|DBIA	LOC117570271|XP_034107678.1|DALB
OG0000047	LOC108036255|XP_016967753.1|DBIA	LOC117570312|XP_034107745.1|DALB
OG0000047	LOC108029392|XP_016957110.1|DBIA	LOC117567370|XP_034103204.1|DALB
OG0000047	LOC108035707|XP_016966919.1|DBIA	LOC117567748|XP_034103827.1|DALB
OG0000047	LOC108029377|XP_016957093.1|DBIA	LOC117570238|XP_034107631.1|DALB
OG0000048	LOC108034662|XP_016965090.1|DBIA, LOC108034416|XP_016964788.1|DBIA	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	LOC108035016|XP_016965849.1|DBIA	LOC117572034|XP_034110480.1|DALB
OG0000048	LOC108035019|XP_016965851.1|DBIA	LOC117569405|XP_034106432.1|DALB
OG0000049	LOC108024404|XP_016949805.1|DBIA	LOC117574804|XP_034114660.1|DALB
OG0000049	LOC108024363|XP_016949755.1|DBIA	LOC117574253|XP_034113873.1|DALB
OG0000049	LOC108024349|XP_016949740.1|DBIA	LOC117574270|XP_034113907.1|DALB
