Orthogroup	DBIA.longest_only	DPSE.longest_only
OG0000000	LOC108035120|XP_016966040.1|DBIA	LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE
OG0000001	LOC108036881|XP_016968745.1|DBIA, LOC108030270|XP_016958969.1|DBIA	LOC117184985|XP_033240229.1|DPSE
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC108032347|XP_016961646.1|DBIA, LOC108028911|XP_016956419.1|DBIA	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC6900542|XP_033238667.1|DPSE
OG0000002	LOC108027710|XP_016954748.1|DBIA	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA, LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC108029368|XP_016957084.1|DBIA	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC108031495|XP_016960477.1|DBIA	LOC26533075|XP_033237686.1|DPSE
OG0000003	LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC6902590|XP_002133118.2|DPSE
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000007	LOC108028761|XP_016956223.1|DBIA	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC108028706|XP_016956144.1|DBIA	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC108027672|XP_016954706.1|DBIA	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC108029358|XP_016957069.1|DBIA	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC108034518|XP_016964930.1|DBIA	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC108027854|XP_016954941.1|DBIA	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC108028309|XP_016955521.1|DBIA	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC108028310|XP_016955522.1|DBIA	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC108027095|XP_016953802.1|DBIA	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC108027071|XP_016953774.1|DBIA	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC108031158|XP_016959863.1|DBIA	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC108032245|XP_016961597.1|DBIA	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC108028108|XP_016955244.1|DBIA	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE
OG0000009	LOC108022184|XP_016946525.1|DBIA	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC108032134|XP_016961458.1|DBIA	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC108023117|XP_016947872.1|DBIA	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000011	LOC108027845|XP_016954924.1|DBIA, LOC108033439|XP_016963254.1|DBIA, LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA, LOC108027698|XP_016954736.1|DBIA, LOC108027691|XP_016954727.1|DBIA, LOC108027694|XP_016954732.1|DBIA, LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA, LOC108027705|XP_016954744.1|DBIA, LOC108027867|XP_016954970.1|DBIA, LOC108033517|XP_016963352.1|DBIA, LOC108033630|XP_016963538.1|DBIA, LOC108035164|XP_016966113.1|DBIA, LOC108024287|XP_016949675.1|DBIA	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	LOC108035648|XP_016966843.1|DBIA	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE
OG0000011	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA	LOC6900040|XP_002135404.2|DPSE
OG0000011	LOC108024710|XP_016950292.1|DBIA	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC108026825|XP_016953482.1|DBIA	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC108026824|XP_016953480.1|DBIA	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC108026906|XP_016953604.1|DBIA	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE
OG0000012	LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA	LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC108022093|XP_016946425.1|DBIA	LOC4804263|XP_001360847.3|DPSE
OG0000012	LOC108022195|XP_016946536.1|DBIA	LOC6898438|XP_002138480.2|DPSE
OG0000012	LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA	LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC108022979|XP_016947693.1|DBIA	LOC6898439|XP_002138481.3|DPSE
OG0000012	LOC108022976|XP_016947689.1|DBIA	LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC108026153|XP_016952377.1|DBIA	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000014	LOC108035861|XP_016967096.1|DBIA	LOC117184937|XP_033240069.1|DPSE
OG0000015	LOC108030294|XP_016958615.1|DBIA	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC108031488|XP_016960465.1|DBIA	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC108022510|XP_016946968.1|DBIA	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC108036535|XP_016968248.1|DBIA	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC108024269|XP_016949648.1|DBIA	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC108026160|XP_016952383.1|DBIA	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC108036348|XP_016967909.1|DBIA	LOC4805006|XP_001361476.2|DPSE
OG0000017	LOC108036878|XP_016968743.1|DBIA	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC108026055|XP_016952238.1|DBIA	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	LOC108022955|XP_016947661.1|DBIA	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC108024069|XP_016949327.1|DBIA	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC108022064|XP_016946398.1|DBIA	LOC4804477|XP_001361035.3|DPSE
OG0000017	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC108028402|XP_016955706.1|DBIA	LOC4813481|XP_001353829.1|DPSE
OG0000018	LOC108028083|XP_016955214.1|DBIA, LOC108028405|XP_016955709.1|DBIA, LOC108028408|XP_016955713.1|DBIA, LOC108028407|XP_016955711.1|DBIA, LOC108028404|XP_016955708.1|DBIA, LOC108028411|XP_016955717.1|DBIA, LOC108028409|XP_016955715.1|DBIA, LOC108028410|XP_016955716.1|DBIA	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000019	LOC108025227|XP_016951062.1|DBIA	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC108025224|XP_016951060.1|DBIA	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC108025228|XP_016951063.1|DBIA	LOC4801131|XP_001358273.2|DPSE
OG0000019	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC108026305|XP_016952678.1|DBIA	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC108026784|XP_016953432.1|DBIA	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC108031537|XP_016960562.1|DBIA	LOC117183221|XP_033232918.1|DPSE
OG0000020	LOC108024628|XP_016950157.1|DBIA	LOC6897832|XP_002137937.1|DPSE
OG0000020	LOC108034268|XP_016964616.1|DBIA	LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC108027666|XP_016954700.1|DBIA	LOC6898835|XP_002138808.1|DPSE
OG0000021	LOC108027081|XP_016953819.1|DBIA	LOC6898834|XP_002138807.1|DPSE
OG0000021	LOC108022678|XP_016947238.1|DBIA	LOC6898840|XP_002138811.3|DPSE
OG0000021	LOC108022247|XP_016946595.1|DBIA	LOC4805268|XP_001361693.2|DPSE
OG0000021	LOC108022243|XP_016946590.1|DBIA	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	LOC108036897|XP_016968766.1|DBIA	LOC6898836|XP_002138809.1|DPSE
OG0000021	LOC108025789|XP_016951907.1|DBIA	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC108026319|XP_016952697.1|DBIA	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC108027350|XP_016954258.1|DBIA	LOC4800831|XP_001358035.1|DPSE
OG0000021	LOC108026442|XP_016952872.1|DBIA	LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC108022346|XP_016946698.1|DBIA	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC108030636|XP_016959139.1|DBIA	LOC6899947|XP_002135315.1|DPSE
OG0000022	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE
OG0000022	LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA	LOC4812049|XP_001352467.1|DPSE
OG0000022	LOC108029203|XP_016956872.1|DBIA	LOC6899946|XP_002135314.1|DPSE
OG0000023	LOC108027148|XP_016953858.1|DBIA	LOC6897864|XP_033232668.1|DPSE
OG0000023	LOC108027146|XP_016953855.1|DBIA	LOC4802962|XP_001359775.3|DPSE
OG0000023	LOC108027143|XP_016953853.1|DBIA	LOC4802964|XP_001359777.4|DPSE
OG0000023	LOC108026627|XP_016953132.1|DBIA	LOC4804210|XP_001360806.2|DPSE
OG0000023	LOC108027145|XP_016953854.1|DBIA	LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC108027009|XP_016953696.1|DBIA	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC108027245|XP_016954086.1|DBIA	LOC5495505|XP_001359769.4|DPSE
OG0000023	LOC108027357|XP_016954268.1|DBIA	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC108027244|XP_016954083.1|DBIA	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC108022666|XP_016947224.1|DBIA	LOC5495520|XP_001361563.3|DPSE
OG0000024	LOC108022667|XP_016947225.1|DBIA	LOC4805107|XP_001361564.1|DPSE
OG0000024	LOC108034270|XP_016964618.1|DBIA	LOC6899225|XP_002136299.3|DPSE
OG0000024	LOC108022158|XP_016946489.1|DBIA	LOC5495508|XP_001361566.2|DPSE
OG0000024	LOC108029512|XP_016957298.1|DBIA	LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC108023228|XP_016947991.1|DBIA	LOC6901557|XP_002134231.1|DPSE
OG0000026	LOC108032654|XP_016962104.1|DBIA	LOC4814777|XP_001354707.2|DPSE
OG0000026	LOC108033571|XP_016963404.1|DBIA	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC108036455|XP_016968112.1|DBIA	LOC4815876|XP_001355332.2|DPSE
OG0000026	LOC108027284|XP_016954161.1|DBIA	LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE
OG0000026	LOC108027046|XP_016953736.1|DBIA	LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC108033374|XP_016963181.1|DBIA	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC108033303|XP_016963062.1|DBIA	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC108033359|XP_016963159.1|DBIA	LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC108035881|XP_016967123.1|DBIA	LOC6900255|XP_002135584.2|DPSE
OG0000028	LOC108035021|XP_016965853.1|DBIA	LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE
OG0000029	LOC108031286|XP_016960018.1|DBIA	LOC6897267|XP_033233167.1|DPSE
OG0000029	LOC108028180|XP_016955330.1|DBIA	LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC108033534|XP_016963368.1|DBIA	LOC4817564|XP_002132859.2|DPSE
OG0000030	LOC108033540|XP_016963373.1|DBIA	LOC6903157|XP_002132858.2|DPSE, LOC4817562|XP_001356969.3|DPSE
OG0000030	LOC108036692|XP_016968470.1|DBIA	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC108022382|XP_016946753.1|DBIA	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC108023610|XP_016948706.1|DBIA	LOC4816069|XP_001355235.2|DPSE
OG0000030	LOC108024286|XP_016949674.1|DBIA	LOC4815215|XP_001354948.2|DPSE
OG0000031	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA	LOC6902663|XP_015036753.2|DPSE
OG0000031	LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000031	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC108027164|XP_016953916.1|DBIA	LOC4800808|XP_001358017.2|DPSE
OG0000032	LOC108027269|XP_016954133.1|DBIA	LOC6896921|XP_033236577.1|DPSE
OG0000032	LOC108027028|XP_016953713.1|DBIA	LOC4800814|XP_001358021.1|DPSE
OG0000032	LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA	LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC108024481|XP_016949890.1|DBIA, LOC108024462|XP_016949869.1|DBIA, LOC108024301|XP_016949691.1|DBIA	LOC4800626|XP_001357867.3|DPSE
OG0000033	LOC108030100|XP_016958275.1|DBIA	LOC6898089|XP_002138174.1|DPSE
OG0000033	LOC108030098|XP_016958274.1|DBIA	LOC6898093|XP_002138175.2|DPSE
OG0000033	LOC108028439|XP_016955758.1|DBIA, LOC108027435|XP_016954372.1|DBIA, LOC108036209|XP_016967690.1|DBIA, LOC108036211|XP_016967691.1|DBIA, LOC108036212|XP_016967692.1|DBIA	LOC4800868|XP_001358066.3|DPSE
OG0000034	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA	LOC4817450|XP_001356533.3|DPSE
OG0000034	LOC108035237|XP_016966261.1|DBIA	LOC4817037|XP_001356534.3|DPSE
OG0000034	LOC108034999|XP_016965831.1|DBIA	LOC6902878|XP_002132612.2|DPSE
OG0000034	LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA	LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE
OG0000034	LOC108036755|XP_016968570.1|DBIA	LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC108027411|XP_016954339.1|DBIA	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC108026449|XP_016952877.1|DBIA	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC108024985|XP_016950728.1|DBIA	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC108024657|XP_016950207.1|DBIA	LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC108029865|XP_016957843.1|DBIA	LOC4803745|XP_001360410.4|DPSE
OG0000037	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC108030746|XP_016959281.1|DBIA	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC108030931|XP_016959614.1|DBIA	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC108027177|XP_016953954.1|DBIA	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC108025609|XP_016951633.1|DBIA	LOC4815394|XP_001354810.3|DPSE
OG0000039	LOC108025634|XP_016951658.1|DBIA	LOC4814563|XP_001354811.1|DPSE
OG0000039	LOC108025590|XP_016951608.1|DBIA	LOC6901668|XP_002134337.3|DPSE
OG0000040	LOC108024820|XP_016950438.1|DBIA	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	LOC108024821|XP_016950440.1|DBIA	LOC4803144|XP_001359934.2|DPSE
OG0000040	LOC108025434|XP_016951413.1|DBIA	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE
OG0000040	LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA	LOC6897971|XP_002138070.1|DPSE
OG0000040	LOC108025485|XP_016951488.1|DBIA	LOC4803208|XP_001359988.4|DPSE
OG0000040	LOC108023851|XP_016948987.1|DBIA	LOC4801113|XP_001358260.2|DPSE
OG0000041	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE
OG0000041	LOC108026021|XP_016952202.1|DBIA	LOC4802353|XP_001359283.3|DPSE
OG0000041	LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA	LOC6897572|XP_033240353.1|DPSE
