Orthogroup	DSUB.longest_only	DFIC.longest_only
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB	LOC108096563|XP_017053746.1|DFIC
OG0000012	LOC117892200|XP_034654187.1|DSUB	LOC108096571|XP_017053756.1|DFIC
OG0000012	LOC117891062|XP_034652125.1|DSUB	LOC108086628|XP_017039092.1|DFIC
OG0000012	LOC117891063|XP_034652127.1|DSUB	LOC108086618|XP_017039083.1|DFIC
OG0000012	LOC117891061|XP_034652124.1|DSUB	LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC
OG0000012	LOC117891058|XP_034652122.1|DSUB	LOC108086627|XP_017039091.1|DFIC
OG0000012	LOC117891064|XP_034652128.1|DSUB	LOC108086756|XP_017039284.1|DFIC
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC108101557|XP_017061445.1|DFIC
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC108101682|XP_017061593.1|DFIC
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC108098830|XP_017057474.1|DFIC
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC108086910|XP_017039470.1|DFIC
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC108087118|XP_017039788.1|DFIC
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC108091996|XP_017046910.1|DFIC
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC
OG0000015	LOC117902318|XP_034669497.1|DSUB	LOC108086461|XP_017038876.1|DFIC
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC108091644|XP_017046435.1|DFIC
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC108095161|XP_017051608.1|DFIC
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC108088049|XP_017041175.1|DFIC
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC108090474|XP_017044659.1|DFIC
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC108092889|XP_017048224.1|DFIC
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC108091135|XP_017045658.1|DFIC
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC108096392|XP_017053452.1|DFIC
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC108093583|XP_017049197.1|DFIC
OG0000017	LOC117892719|XP_034655033.1|DSUB	LOC108098017|XP_017056155.1|DFIC
OG0000017	LOC117890423|XP_034651134.1|DSUB	LOC108101533|XP_017061396.1|DFIC
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC108099991|XP_017059177.1|DFIC
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC108095642|XP_017052296.1|DFIC
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC108087716|XP_017040726.1|DFIC
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC108099990|XP_017059176.1|DFIC
OG0000017	LOC117892462|XP_034654603.1|DSUB	LOC108087715|XP_017040725.1|DFIC
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC117895265|XP_034658679.1|DSUB	LOC108093128|XP_017048562.1|DFIC
OG0000018	LOC117895258|XP_034658670.1|DSUB	LOC108093130|XP_017048564.1|DFIC
OG0000018	LOC117895272|XP_034658688.1|DSUB	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB	LOC108086541|XP_017038967.1|DFIC
OG0000019	LOC117899339|XP_034665171.1|DSUB	LOC108086535|XP_017038961.1|DFIC
OG0000019	LOC117899361|XP_034665230.1|DSUB	LOC108086543|XP_017038970.1|DFIC
OG0000019	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB	LOC108086571|XP_017039016.1|DFIC
OG0000020	LOC117892172|XP_034654141.1|DSUB	LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC117902343|XP_034669534.1|DSUB	LOC108100979|XP_017060622.1|DFIC
OG0000020	LOC117898500|XP_034663833.1|DSUB	LOC108101093|XP_017060792.1|DFIC
OG0000020	LOC117898411|XP_034663671.1|DSUB	LOC108102060|XP_017062180.1|DFIC
OG0000020	LOC117901489|XP_034668148.1|DSUB	LOC108089992|XP_017043983.1|DFIC
OG0000020	LOC117901231|XP_034667794.1|DSUB	LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC117891478|XP_034652849.1|DSUB	LOC108090792|XP_017045128.1|DFIC
OG0000021	LOC117891531|XP_034652923.1|DSUB	LOC108090653|XP_017044920.1|DFIC
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC117896843|XP_034661258.1|DSUB	LOC108091979|XP_017046877.1|DFIC
OG0000021	LOC117898591|XP_034664027.1|DSUB	LOC108088013|XP_017041113.1|DFIC
OG0000022	LOC117892309|XP_034654347.1|DSUB	LOC108093677|XP_017049345.1|DFIC
OG0000022	LOC117892920|XP_034655126.1|DSUB	LOC108100202|XP_017059465.1|DFIC
OG0000022	LOC117892921|XP_034655127.1|DSUB	LOC108100304|XP_017059591.1|DFIC
OG0000022	LOC117892919|XP_034655125.1|DSUB	LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC117896148|XP_034660114.1|DSUB	LOC108096120|XP_017052985.1|DFIC
OG0000023	LOC117896153|XP_034660122.1|DSUB	LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC
OG0000023	LOC117896150|XP_034660117.1|DSUB	LOC108096128|XP_017052994.1|DFIC
OG0000023	LOC117891805|XP_034653377.1|DSUB	LOC108096606|XP_017053802.1|DFIC
OG0000023	LOC117896149|XP_034660116.1|DSUB	LOC108096129|XP_017052995.1|DFIC
OG0000023	LOC117898724|XP_034664233.1|DSUB	LOC108096117|XP_017052981.1|DFIC
OG0000023	LOC117898725|XP_034664234.1|DSUB	LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC117889935|XP_034650357.1|DSUB	LOC108086469|XP_017038885.1|DFIC
OG0000024	LOC117889933|XP_034650355.1|DSUB	LOC108086467|XP_017038883.1|DFIC
OG0000024	LOC117889934|XP_034650356.1|DSUB	LOC108086472|XP_017038887.1|DFIC
OG0000024	LOC117901020|XP_034667512.1|DSUB	LOC108098296|XP_017056595.1|DFIC
OG0000024	LOC117889812|XP_034650181.1|DSUB	LOC108086381|XP_017038771.1|DFIC
OG0000024	LOC117891118|XP_034652213.1|DSUB	LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC117901026|XP_034667520.1|DSUB, LOC117890855|XP_034651836.1|DSUB	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC117889599|XP_034649905.1|DSUB	LOC108091247|XP_017045848.1|DFIC
OG0000026	LOC117901731|XP_034668504.1|DSUB	LOC108093407|XP_017048931.1|DFIC
OG0000026	LOC117903905|XP_034672302.1|DSUB	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC
OG0000026	LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB	LOC108091826|XP_017046693.1|DFIC
OG0000026	LOC117899507|XP_034665449.1|DSUB	LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC117902555|XP_034669887.1|DSUB	LOC108100821|XP_017060378.1|DFIC
OG0000027	LOC117902556|XP_034669889.1|DSUB	LOC108100819|XP_017060376.1|DFIC
OG0000027	LOC117902554|XP_034669886.1|DSUB	LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC117894266|XP_034657112.1|DSUB	LOC108095285|XP_017051819.1|DFIC
OG0000028	LOC117894530|XP_034657538.1|DSUB	LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC117890176|XP_034650765.1|DSUB	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC
OG0000029	LOC117889740|XP_034650054.1|DSUB	LOC108096726|XP_017054059.1|DFIC
OG0000029	LOC117893783|XP_034656418.1|DSUB	LOC108099785|XP_017058903.1|DFIC
OG0000030	LOC117901334|XP_034667933.1|DSUB	LOC108093480|XP_017049055.1|DFIC, LOC108100317|XP_017059651.1|DFIC
OG0000030	LOC117901337|XP_034667938.1|DSUB	LOC108093469|XP_017049043.1|DFIC
OG0000030	LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB	LOC108093479|XP_017049053.1|DFIC
OG0000030	LOC117901974|XP_034668869.1|DSUB	LOC108092343|XP_017047369.1|DFIC, LOC108092288|XP_017047312.1|DFIC
OG0000030	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB	LOC108087621|XP_017040552.1|DFIC
OG0000030	LOC117903801|XP_034672130.1|DSUB	LOC108091341|XP_017045978.1|DFIC
OG0000030	LOC117903197|XP_034670973.1|DSUB	LOC108088560|XP_017041895.1|DFIC
OG0000031	LOC117900916|XP_034667369.1|DSUB	LOC108089228|XP_017042875.1|DFIC
OG0000032	LOC117898606|XP_034664047.1|DSUB	LOC108088062|XP_017041192.1|DFIC
OG0000032	LOC117898607|XP_034664048.1|DSUB	LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC
OG0000032	LOC117899193|XP_034664947.1|DSUB	LOC108087890|XP_017040957.1|DFIC
OG0000032	LOC117898595|XP_034664033.1|DSUB	LOC108087979|XP_017041070.1|DFIC
OG0000032	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB	LOC108087896|XP_017040963.1|DFIC
OG0000032	LOC117898597|XP_034664035.1|DSUB	LOC108087899|XP_017040966.1|DFIC
OG0000033	LOC117899465|XP_034665372.1|DSUB	LOC108102066|XP_017062199.1|DFIC
OG0000033	LOC117891426|XP_034652788.1|DSUB	LOC108094281|XP_017050264.1|DFIC
OG0000033	LOC117891425|XP_034652787.1|DSUB	LOC108094282|XP_017050265.1|DFIC
OG0000033	LOC117897820|XP_034662764.1|DSUB	LOC108098498|XP_017056906.1|DFIC, LOC108098495|XP_017056904.1|DFIC
OG0000034	LOC117902583|XP_034669972.1|DSUB	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC
OG0000034	LOC117902581|XP_034669969.1|DSUB	LOC108098179|XP_017056401.1|DFIC
OG0000034	LOC117902582|XP_034669970.1|DSUB	LOC108098285|XP_017056581.1|DFIC
OG0000034	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB	LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC
OG0000034	LOC117902353|XP_034669555.1|DSUB	LOC108093450|XP_017049013.1|DFIC
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC108097979|XP_017056090.1|DFIC
OG0000036	LOC117897457|XP_034662194.1|DSUB	LOC108098533|XP_017057003.1|DFIC
OG0000036	LOC117899046|XP_034664697.1|DSUB	LOC108087237|XP_017040017.1|DFIC
OG0000037	LOC117890311|XP_034650989.1|DSUB	LOC108087844|XP_017040913.1|DFIC
OG0000037	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC108091791|XP_017046639.1|DFIC
OG0000039	LOC117903895|XP_034672289.1|DSUB	LOC108097516|XP_017055329.1|DFIC
OG0000039	LOC117903896|XP_034672290.1|DSUB	LOC108097515|XP_017055328.1|DFIC
OG0000039	LOC117892341|XP_034654394.1|DSUB	LOC108095512|XP_017052111.1|DFIC
OG0000040	LOC117897706|XP_034662619.1|DSUB	LOC108092229|XP_017047255.1|DFIC
OG0000040	LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB	LOC108087305|XP_017040113.1|DFIC
OG0000040	LOC117899278|XP_034665074.1|DSUB	LOC108087307|XP_017040114.1|DFIC
OG0000040	LOC117896008|XP_034659896.1|DSUB	LOC108092211|XP_017047228.1|DFIC
OG0000040	LOC117899589|XP_034665598.1|DSUB	LOC108092212|XP_017047230.1|DFIC
OG0000040	LOC117899588|XP_034665597.1|DSUB	LOC108092206|XP_017047224.1|DFIC
OG0000040	LOC117896580|XP_034660876.1|DSUB	LOC108102071|XP_017062201.1|DFIC
OG0000040	LOC117899356|XP_034665219.1|DSUB	LOC108100764|XP_017060292.1|DFIC
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC
OG0000041	LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	LOC108095866|XP_017052659.1|DFIC
OG0000042	LOC117903839|XP_034672183.1|DSUB	LOC108097744|XP_017055741.1|DFIC
OG0000042	LOC117891862|XP_034653515.1|DSUB	LOC108090330|XP_017044433.1|DFIC
OG0000042	LOC117891861|XP_034653514.1|DSUB	LOC108090327|XP_017044430.1|DFIC
OG0000042	LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB	LOC108090329|XP_017044432.1|DFIC, LOC108090333|XP_017044437.1|DFIC, LOC108090332|XP_017044435.1|DFIC, LOC108090338|XP_017044443.1|DFIC, LOC108090337|XP_017044441.1|DFIC, LOC108090335|XP_017044439.1|DFIC, LOC108090336|XP_017044440.1|DFIC, LOC108090328|XP_017044431.1|DFIC
OG0000042	LOC117891864|XP_034653517.1|DSUB	LOC108090331|XP_017044434.1|DFIC
OG0000043	LOC117898000|XP_034663019.1|DSUB	LOC108087389|XP_017040220.1|DFIC
OG0000043	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB	LOC108087351|XP_017040180.1|DFIC
OG0000043	LOC117898866|XP_034664435.1|DSUB	LOC108087056|XP_017039721.1|DFIC
OG0000043	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB	LOC108092195|XP_017047211.1|DFIC
OG0000043	LOC117898867|XP_034664437.1|DSUB	LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC
OG0000043	LOC117897193|XP_034661785.1|DSUB	LOC108087388|XP_017040219.1|DFIC
OG0000044	LOC117898991|XP_034664623.1|DSUB	LOC108095953|XP_017052779.1|DFIC
OG0000044	LOC117895983|XP_034659856.1|DSUB	LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC
OG0000044	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB	LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC
OG0000044	LOC117898153|XP_034663242.1|DSUB	LOC108102017|XP_017062104.1|DFIC
OG0000045	LOC117894865|XP_034658016.1|DSUB	LOC108099782|XP_017058900.1|DFIC
OG0000045	LOC117893502|XP_034656031.1|DSUB	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC
OG0000045	LOC117894637|XP_034657700.1|DSUB	LOC108089346|XP_017043016.1|DFIC
OG0000045	LOC117893875|XP_034656539.1|DSUB	LOC108089335|XP_017043004.1|DFIC
OG0000046	LOC117898099|XP_034663170.1|DSUB	LOC108098480|XP_017056880.1|DFIC
OG0000046	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB	LOC108097441|XP_017055199.1|DFIC, LOC108097439|XP_017055197.1|DFIC
OG0000046	LOC117892077|XP_034653957.1|DSUB	LOC108097454|XP_017055215.1|DFIC
OG0000046	LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB	LOC108091603|XP_017046371.1|DFIC, LOC108091584|XP_017046349.1|DFIC, LOC108091607|XP_017046377.1|DFIC, LOC108091593|XP_017046357.1|DFIC, LOC108091587|XP_017046351.1|DFIC, LOC108091594|XP_017046358.1|DFIC, LOC108091585|XP_017046350.1|DFIC
OG0000047	LOC117891323|XP_034652630.1|DSUB	LOC108090569|XP_017044803.1|DFIC
OG0000047	LOC117891482|XP_034652852.1|DSUB	LOC108090570|XP_017044804.1|DFIC
OG0000047	LOC117892480|XP_034654625.1|DSUB	LOC108094901|XP_017051236.1|DFIC
OG0000047	LOC117893757|XP_034656383.1|DSUB	LOC108089762|XP_017043641.1|DFIC
OG0000047	LOC117891376|XP_034652704.1|DSUB	LOC108094950|XP_017051302.1|DFIC
OG0000047	LOC117895380|XP_034658890.1|DSUB	LOC108089719|XP_017043575.1|DFIC
OG0000048	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB	LOC108089539|XP_017043364.1|DFIC, LOC108089337|XP_017043007.1|DFIC
OG0000048	LOC117894523|XP_034657528.1|DSUB	LOC108089535|XP_017043361.1|DFIC
OG0000048	LOC117894537|XP_034657548.1|DSUB	LOC108089542|XP_017043368.1|DFIC
OG0000049	LOC117898484|XP_034663812.1|DSUB	LOC108091886|XP_017046759.1|DFIC
OG0000049	LOC117898479|XP_034663805.1|DSUB	LOC108091860|XP_017046729.1|DFIC
OG0000049	LOC117899170|XP_034664920.1|DSUB	LOC108091993|XP_017046906.1|DFIC
OG0000049	LOC117898482|XP_034663809.1|DSUB	LOC108092198|XP_017047214.1|DFIC
OG0000050	LOC117892195|XP_034654177.1|DSUB	LOC108093905|XP_017049757.1|DFIC
OG0000050	LOC117893228|XP_034655655.1|DSUB	LOC108088748|XP_017042185.1|DFIC
OG0000050	LOC117893221|XP_034655647.1|DSUB	LOC108088744|XP_017042181.1|DFIC
