Orthogroup	DSUB.longest_only	ASTE.longest_only
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB, LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB, LOC117892172|XP_034654141.1|DSUB	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC117902343|XP_034669534.1|DSUB, LOC117898500|XP_034663833.1|DSUB, LOC117898411|XP_034663671.1|DSUB, LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC117896843|XP_034661258.1|DSUB, LOC117898591|XP_034664027.1|DSUB	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC117892309|XP_034654347.1|DSUB, LOC117892920|XP_034655126.1|DSUB, LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB, LOC117892921|XP_034655127.1|DSUB, LOC117892919|XP_034655125.1|DSUB, LOC117892923|XP_034655129.1|DSUB	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC117896148|XP_034660114.1|DSUB, LOC117896153|XP_034660122.1|DSUB, LOC117896151|XP_034660118.1|DSUB, LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB, LOC117898724|XP_034664233.1|DSUB, LOC117898725|XP_034664234.1|DSUB	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB, LOC117889934|XP_034650356.1|DSUB, LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB, LOC117891118|XP_034652213.1|DSUB	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC117890855|XP_034651836.1|DSUB	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000026	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC117902555|XP_034669887.1|DSUB, LOC117902556|XP_034669889.1|DSUB, LOC117902554|XP_034669886.1|DSUB	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB, LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB, LOC117894266|XP_034657112.1|DSUB, LOC117894265|XP_034657110.1|DSUB, LOC117894530|XP_034657538.1|DSUB	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000032	LOC117898600|XP_034664039.1|DSUB, LOC117898601|XP_034664041.1|DSUB, LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB, LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC117890311|XP_034650989.1|DSUB, LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC118510898|XP_035909176.1|ASTE
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC117898000|XP_034663019.1|DSUB, LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB, LOC117898866|XP_034664435.1|DSUB, LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB, LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC117891323|XP_034652630.1|DSUB, LOC117891482|XP_034652852.1|DSUB, LOC117892480|XP_034654625.1|DSUB, LOC117893757|XP_034656383.1|DSUB, LOC117891376|XP_034652704.1|DSUB, LOC117895380|XP_034658890.1|DSUB	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC117894519|XP_034657522.1|DSUB, LOC117894520|XP_034657523.1|DSUB, LOC117894523|XP_034657528.1|DSUB, LOC117894537|XP_034657548.1|DSUB	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC117898484|XP_034663812.1|DSUB, LOC117898479|XP_034663805.1|DSUB, LOC117899170|XP_034664920.1|DSUB, LOC117898482|XP_034663809.1|DSUB	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC117896438|XP_034660657.1|DSUB, LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB, LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC117890537|XP_034651353.1|DSUB, LOC117890535|XP_034651347.1|DSUB	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB, LOC117898651|XP_034664113.1|DSUB, LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC117898144|XP_034663233.1|DSUB, LOC117896448|XP_034660669.1|DSUB, LOC117898145|XP_034663235.1|DSUB, LOC117896449|XP_034660670.1|DSUB, LOC117898143|XP_034663231.1|DSUB, LOC117896869|XP_034661290.1|DSUB, LOC117897281|XP_034661904.1|DSUB	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC117898462|XP_034663775.1|DSUB, LOC117898463|XP_034663777.1|DSUB, LOC117898461|XP_034663774.1|DSUB, LOC117897244|XP_034661856.1|DSUB, LOC117897243|XP_034661853.1|DSUB	LOC118507841|XP_035902865.1|ASTE
OG0000058	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB, LOC117902359|XP_034669562.1|DSUB, LOC117894861|XP_034658013.1|DSUB	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC117903129|XP_034670852.1|DSUB	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC117896503|XP_034660743.1|DSUB	LOC118514292|XP_035916947.1|ASTE
OG0000060	LOC117891116|XP_034652214.1|DSUB	LOC118509485|XP_035906030.1|ASTE
OG0000062	LOC117903497|XP_034671468.1|DSUB, LOC117901308|XP_034667909.1|DSUB, LOC117902037|XP_034668991.1|DSUB, LOC117901870|XP_034668718.1|DSUB	LOC118512947|XP_035914059.1|ASTE
OG0000064	LOC117900564|XP_034666863.1|DSUB	LOC118503143|XP_035892009.1|ASTE
OG0000067	LOC117899613|XP_034665647.1|DSUB, LOC117895462|XP_034659028.1|DSUB	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000067	LOC117894476|XP_034657468.1|DSUB	LOC118509032|XP_035904963.1|ASTE
OG0000068	LOC117893343|XP_034655824.1|DSUB, LOC117893309|XP_034655788.1|DSUB, LOC117901009|XP_034667498.1|DSUB, LOC117902385|XP_034669640.1|DSUB	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000070	LOC117900906|XP_034667357.1|DSUB, LOC117896707|XP_034661058.1|DSUB, LOC117901077|XP_034667580.1|DSUB, LOC117900908|XP_034667359.1|DSUB, LOC117900907|XP_034667358.1|DSUB	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC117893134|XP_034655476.1|DSUB	LOC118507755|XP_035902660.1|ASTE
OG0000071	LOC117895747|XP_034659509.1|DSUB, LOC117895750|XP_034659511.1|DSUB, LOC117895746|XP_034659508.1|DSUB	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC117891009|XP_034652056.1|DSUB, LOC117889765|XP_034650103.1|DSUB, LOC117891008|XP_034652055.1|DSUB	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC117890320|XP_034650999.1|DSUB	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC117901954|XP_034668826.1|DSUB	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC117897070|XP_034661568.1|DSUB	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC117893667|XP_034656248.1|DSUB, LOC117894584|XP_034657620.1|DSUB, LOC117894701|XP_034657775.1|DSUB	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC117895853|XP_034659710.1|DSUB	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC117898747|XP_034664263.1|DSUB	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC117891833|XP_034653474.1|DSUB	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC117897634|XP_034662499.1|DSUB	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC117890642|XP_034651485.1|DSUB	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC117897194|XP_034661786.1|DSUB	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC117890243|XP_034650880.1|DSUB, LOC117895683|XP_034659401.1|DSUB, LOC117895684|XP_034659403.1|DSUB, LOC117897889|XP_034662857.1|DSUB, LOC117892312|XP_034654358.1|DSUB, LOC117899598|XP_034665610.1|DSUB	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC117892139|XP_034654068.1|DSUB, LOC117890994|XP_034652034.1|DSUB, LOC117892007|XP_034653785.1|DSUB	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000082	LOC117890838|XP_034651812.1|DSUB, LOC117897518|XP_034662325.1|DSUB, LOC117898678|XP_034664152.1|DSUB	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC117900198|XP_034666350.1|DSUB, LOC117902537|XP_034669857.1|DSUB, LOC117902534|XP_034669852.1|DSUB, LOC117902535|XP_034669856.1|DSUB, LOC117900197|XP_034666347.1|DSUB	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC117892465|XP_034654607.1|DSUB	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC117890458|XP_034651195.1|DSUB	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC117892532|XP_034654727.1|DSUB	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC117890386|XP_034651078.1|DSUB	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC117900830|XP_034667229.1|DSUB	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC117890038|XP_034650547.1|DSUB	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC117897397|XP_034662107.1|DSUB	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC117894210|XP_034657016.1|DSUB	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC117891387|XP_034652719.1|DSUB, LOC117891384|XP_034652714.1|DSUB, LOC117894963|XP_034658187.1|DSUB, LOC117893528|XP_034656062.1|DSUB	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC117896287|XP_034660384.1|DSUB	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC117901338|XP_034667939.1|DSUB, LOC117897051|XP_034661532.1|DSUB, LOC117897050|XP_034661529.1|DSUB	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000093	LOC117902810|XP_034670324.1|DSUB	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC117893841|XP_034656498.1|DSUB, LOC117896040|XP_034659940.1|DSUB	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000096	LOC117898392|XP_034663640.1|DSUB, LOC117898393|XP_034663641.1|DSUB, LOC117898696|XP_034664202.1|DSUB, LOC117900262|XP_034666462.1|DSUB	LOC118514595|XP_035917485.1|ASTE
OG0000098	LOC117898582|XP_034664015.1|DSUB	LOC118506462|XP_035899533.1|ASTE
OG0000099	LOC117891933|XP_034653664.1|DSUB	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE
OG0000101	LOC117895429|XP_034658961.1|DSUB, LOC117895432|XP_034658973.1|DSUB, LOC117895188|XP_034658556.1|DSUB, LOC117893149|XP_034655501.1|DSUB, LOC117893148|XP_034655500.1|DSUB	LOC118510504|XP_035908303.1|ASTE
OG0000102	LOC117891856|XP_034653505.1|DSUB	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE
OG0000102	LOC117890056|XP_034650578.1|DSUB	LOC118504365|XP_035894655.1|ASTE
OG0000103	LOC117894294|XP_034657145.1|DSUB, LOC117893174|XP_034655541.1|DSUB, LOC117895790|XP_034659583.1|DSUB, LOC117891545|XP_034652951.1|DSUB	LOC118508203|XP_035903666.1|ASTE
OG0000105	LOC117898284|XP_034663430.1|DSUB, LOC117898760|XP_034664276.1|DSUB, LOC117898251|XP_034663389.1|DSUB, LOC117898250|XP_034663388.1|DSUB	LOC118506605|XP_035899865.1|ASTE
OG0000109	LOC117897295|XP_034661930.1|DSUB	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE
OG0000109	LOC117901646|XP_034668372.1|DSUB	LOC118504419|XP_035894746.1|ASTE
OG0000110	LOC117895604|XP_034659243.1|DSUB, LOC117895606|XP_034659245.1|DSUB, LOC117895605|XP_034659244.1|DSUB, LOC117895607|XP_034659246.1|DSUB	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE
OG0000111	LOC117890933|XP_034651959.1|DSUB, LOC117890150|XP_034650731.1|DSUB, LOC117890935|XP_034651960.1|DSUB	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE
OG0000112	LOC117903430|XP_034671344.1|DSUB, LOC117902763|XP_034670250.1|DSUB	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE
OG0000113	LOC117897174|XP_034661763.1|DSUB, LOC117897177|XP_034661767.1|DSUB	LOC118512990|XP_035914139.1|ASTE
OG0000114	LOC117902141|XP_034669168.1|DSUB	LOC118509008|XP_035904916.1|ASTE
OG0000117	LOC117902128|XP_034669147.1|DSUB, LOC117902129|XP_034669148.1|DSUB, LOC117902130|XP_034669149.1|DSUB, LOC117902132|XP_034669152.1|DSUB	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE
OG0000118	LOC117901945|XP_034668808.1|DSUB, LOC117903909|XP_034672306.1|DSUB	LOC118502409|XP_035890526.1|ASTE
OG0000119	LOC117897103|XP_034661639.1|DSUB, LOC117896957|XP_034661393.1|DSUB, LOC117896767|XP_034661133.1|DSUB	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE
OG0000120	LOC117889781|XP_034650140.1|DSUB	LOC118509359|XP_035905774.1|ASTE
OG0000120	LOC117890793|XP_034651759.1|DSUB	LOC118512861|XP_035913838.1|ASTE
OG0000121	LOC117899076|XP_034664737.1|DSUB, LOC117899077|XP_034664738.1|DSUB, LOC117897123|XP_034661670.1|DSUB, LOC117897204|XP_034661798.1|DSUB, LOC117897203|XP_034661797.1|DSUB	LOC118504430|XP_035894762.1|ASTE
OG0000122	LOC117901107|XP_034667631.1|DSUB, LOC117903442|XP_034671364.1|DSUB, LOC117890920|XP_034651941.1|DSUB, LOC117900850|XP_034667261.1|DSUB	LOC118502484|XP_035890608.1|ASTE
OG0000123	LOC117898288|XP_034663435.1|DSUB, LOC117898289|XP_034663436.1|DSUB	LOC118506463|XP_035899530.1|ASTE
OG0000125	LOC117896898|XP_034661322.1|DSUB	LOC118502975|XP_035891640.1|ASTE
OG0000125	LOC117897758|XP_034662692.1|DSUB	LOC118511794|XP_035911255.1|ASTE
OG0000127	LOC117899404|XP_034665281.1|DSUB, LOC117899406|XP_034665283.1|DSUB, LOC117899403|XP_034665280.1|DSUB, LOC117898149|XP_034663239.1|DSUB	LOC118506630|XP_035899894.1|ASTE, LOC118506629|XP_035899892.1|ASTE
OG0000128	LOC117892245|XP_034654249.1|DSUB, LOC117892247|XP_034654250.1|DSUB	LOC118516915|XP_035918646.1|ASTE, LOC118509094|XP_035905138.1|ASTE
OG0000129	LOC117893897|XP_034656603.1|DSUB, LOC117893675|XP_034656254.1|DSUB, LOC117901205|XP_034667750.1|DSUB	LOC118506636|XP_035899907.1|ASTE
