Orthogroup	DSUB.longest_only	DNOV.longest_only
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC115759272|XP_030556034.1|DNOV
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC115770584|XP_030571769.1|DNOV
OG0000011	LOC117894953|XP_034658172.1|DSUB	LOC115769277|XP_030569859.1|DNOV
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC115765906|XP_030565511.1|DNOV
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC115760603|XP_030557904.1|DNOV
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC115760694|XP_030558018.1|DNOV
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC115760695|XP_030558019.1|DNOV
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC115760604|XP_030557906.1|DNOV
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB	LOC115760685|XP_030558012.1|DNOV
OG0000012	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC115761057|XP_030558532.1|DNOV
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC115761021|XP_030558495.1|DNOV
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC115766810|XP_030566705.1|DNOV
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC115766188|XP_030565895.1|DNOV
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC115761668|XP_030559377.1|DNOV
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC115761678|XP_030559394.1|DNOV
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC115762276|XP_030560298.1|DNOV
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC115761707|XP_030559439.1|DNOV
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC115764479|XP_030563416.1|DNOV
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC115768679|XP_030569221.1|DNOV
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC115762287|XP_030560311.1|DNOV
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC115757701|XP_030553908.1|DNOV
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC115770022|XP_030570941.1|DNOV
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC115760654|XP_030557981.1|DNOV
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC115762485|XP_030560583.1|DNOV
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC115759266|XP_030556027.1|DNOV
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC115762746|XP_030560944.1|DNOV
OG0000018	LOC117895265|XP_034658679.1|DSUB	LOC115762718|XP_030560904.1|DNOV
OG0000018	LOC117895258|XP_034658670.1|DSUB	LOC115762873|XP_030561108.1|DNOV
OG0000018	LOC117895269|XP_034658684.1|DSUB	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV
OG0000018	LOC117895272|XP_034658688.1|DSUB	LOC115762728|XP_030560922.1|DNOV
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV
OG0000019	LOC117899339|XP_034665171.1|DSUB	LOC115771639|XP_030573299.1|DNOV
OG0000019	LOC117899361|XP_034665230.1|DSUB	LOC115771840|XP_030573582.1|DNOV
OG0000019	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC115771914|XP_030573663.1|DNOV
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB	LOC115764021|XP_030562712.1|DNOV
OG0000020	LOC117892172|XP_034654141.1|DSUB	LOC115762420|XP_030560475.1|DNOV
OG0000020	LOC117902343|XP_034669534.1|DSUB	LOC115758764|XP_030555385.1|DNOV
OG0000020	LOC117898500|XP_034663833.1|DSUB	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV
OG0000020	LOC117898411|XP_034663671.1|DSUB	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV
OG0000020	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	LOC115758337|XP_030554771.1|DNOV
OG0000021	LOC117894607|XP_034657649.1|DSUB	LOC115769690|XP_030570474.1|DNOV
OG0000021	LOC117892599|XP_034654829.1|DSUB	LOC115768167|XP_030568564.1|DNOV
OG0000021	LOC117892038|XP_034653853.1|DSUB	LOC115762362|XP_030560400.1|DNOV
OG0000021	LOC117892039|XP_034653854.1|DSUB	LOC115768250|XP_030568679.1|DNOV
OG0000021	LOC117891478|XP_034652849.1|DSUB	LOC115763104|XP_030561408.1|DNOV
OG0000021	LOC117891531|XP_034652923.1|DSUB	LOC115764505|XP_030563459.1|DNOV
OG0000021	LOC117892040|XP_034653856.1|DSUB	LOC115762372|XP_030560413.1|DNOV
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC115768613|XP_030569130.1|DNOV
OG0000021	LOC117896843|XP_034661258.1|DSUB	LOC115770843|XP_030572140.1|DNOV
OG0000021	LOC117898591|XP_034664027.1|DSUB	LOC115771758|XP_030573467.1|DNOV
OG0000022	LOC117892309|XP_034654347.1|DSUB	LOC115757997|XP_030554350.1|DNOV
OG0000022	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV
OG0000022	LOC117892921|XP_034655127.1|DSUB, LOC117892919|XP_034655125.1|DSUB	LOC115762575|XP_030560720.1|DNOV
OG0000023	LOC117896148|XP_034660114.1|DSUB	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV
OG0000023	LOC117896153|XP_034660122.1|DSUB	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV
OG0000023	LOC117896151|XP_034660118.1|DSUB	LOC115761267|XP_030558841.1|DNOV
OG0000023	LOC117896150|XP_034660117.1|DSUB	LOC115761263|XP_030558837.1|DNOV
OG0000023	LOC117891805|XP_034653377.1|DSUB	LOC115761778|XP_030559575.1|DNOV
OG0000023	LOC117896149|XP_034660116.1|DSUB	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV
OG0000023	LOC117898724|XP_034664233.1|DSUB	LOC115761659|XP_030559359.1|DNOV
OG0000023	LOC117898725|XP_034664234.1|DSUB	LOC115761434|XP_030559060.1|DNOV
OG0000024	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV
OG0000024	LOC117901020|XP_034667512.1|DSUB	LOC115763072|XP_030561360.1|DNOV
OG0000024	LOC117889812|XP_034650181.1|DSUB	LOC115758183|XP_030554583.1|DNOV
OG0000024	LOC117891118|XP_034652213.1|DSUB	LOC115764549|XP_030563528.1|DNOV
OG0000025	LOC117901026|XP_034667520.1|DSUB, LOC117890855|XP_034651836.1|DSUB	LOC115758436|XP_030554952.1|DNOV
OG0000026	LOC117889599|XP_034649905.1|DSUB	LOC115771353|XP_030572886.1|DNOV
OG0000026	LOC117901731|XP_034668504.1|DSUB	LOC115758902|XP_030555559.1|DNOV
OG0000026	LOC117899507|XP_034665449.1|DSUB	LOC115764140|XP_030562874.1|DNOV
OG0000027	LOC117902555|XP_034669887.1|DSUB	LOC115765969|XP_030565582.1|DNOV
OG0000027	LOC117902554|XP_034669886.1|DSUB	LOC115765940|XP_030565545.1|DNOV
OG0000028	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV
OG0000028	LOC117894266|XP_034657112.1|DSUB	LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV
OG0000029	LOC117898949|XP_034664564.1|DSUB	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV
OG0000029	LOC117893783|XP_034656418.1|DSUB	LOC115767739|XP_030567914.1|DNOV
OG0000030	LOC117901334|XP_034667933.1|DSUB	LOC115760078|XP_030557121.1|DNOV
OG0000030	LOC117901974|XP_034668869.1|DSUB	LOC115759228|XP_030555983.1|DNOV
OG0000030	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV
OG0000030	LOC117903801|XP_034672130.1|DSUB	LOC115767988|XP_030568248.1|DNOV
OG0000030	LOC117903197|XP_034670973.1|DSUB	LOC115766352|XP_030566111.1|DNOV
OG0000031	LOC117900916|XP_034667369.1|DSUB	LOC115760051|XP_030557082.1|DNOV
OG0000032	LOC117898600|XP_034664039.1|DSUB	LOC115771909|XP_030573659.1|DNOV
OG0000032	LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB	LOC115771910|XP_030573660.1|DNOV
OG0000032	LOC117899193|XP_034664947.1|DSUB	LOC115771703|XP_030573383.1|DNOV
OG0000032	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000033	LOC117891426|XP_034652788.1|DSUB	LOC115762530|XP_030560671.1|DNOV
OG0000033	LOC117891425|XP_034652787.1|DSUB	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV
OG0000034	LOC117902583|XP_034669972.1|DSUB	LOC115758611|XP_030555202.1|DNOV
OG0000034	LOC117902581|XP_034669969.1|DSUB	LOC115759087|XP_030555781.1|DNOV
OG0000034	LOC117902582|XP_034669970.1|DSUB	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV
OG0000034	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB	LOC115759327|XP_030556099.1|DNOV
OG0000034	LOC117902353|XP_034669555.1|DSUB	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC117897457|XP_034662194.1|DSUB	LOC115764000|XP_030562680.1|DNOV
OG0000036	LOC117899046|XP_034664697.1|DSUB	LOC115772100|XP_030573922.1|DNOV
OG0000037	LOC117890311|XP_034650989.1|DSUB	LOC115761663|XP_030559406.1|DNOV
OG0000037	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC115761932|XP_030559822.1|DNOV
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC115764701|XP_030563759.1|DNOV
OG0000039	LOC117903895|XP_034672289.1|DSUB	LOC115766337|XP_030566090.1|DNOV
OG0000039	LOC117903896|XP_034672290.1|DSUB	LOC115767237|XP_030567298.1|DNOV
OG0000039	LOC117903894|XP_034672287.1|DSUB	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV
OG0000039	LOC117892341|XP_034654394.1|DSUB	LOC115766288|XP_030566016.1|DNOV
OG0000040	LOC117897706|XP_034662619.1|DSUB, LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB	LOC115764750|XP_030563834.1|DNOV
OG0000040	LOC117899278|XP_034665074.1|DSUB	LOC115764751|XP_030563835.1|DNOV
OG0000040	LOC117896008|XP_034659896.1|DSUB, LOC117899589|XP_034665598.1|DSUB	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV
OG0000040	LOC117899588|XP_034665597.1|DSUB	LOC115764684|XP_030563733.1|DNOV
OG0000040	LOC117896580|XP_034660876.1|DSUB	LOC115764805|XP_030563912.1|DNOV
OG0000040	LOC117899356|XP_034665219.1|DSUB	LOC115771625|XP_030573267.1|DNOV
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000042	LOC117891862|XP_034653515.1|DSUB, LOC117891861|XP_034653514.1|DSUB, LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV
OG0000043	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB	LOC115770548|XP_030571710.1|DNOV
OG0000043	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB	LOC115770561|XP_030571734.1|DNOV
OG0000043	LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB	LOC115770570|XP_030571745.1|DNOV
OG0000044	LOC117898991|XP_034664623.1|DSUB	LOC115770712|XP_030571969.1|DNOV
OG0000044	LOC117895983|XP_034659856.1|DSUB	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV
OG0000044	LOC117898153|XP_034663242.1|DSUB	LOC115766148|XP_030565844.1|DNOV
OG0000045	LOC117894865|XP_034658016.1|DSUB	LOC115771022|XP_030572403.1|DNOV
OG0000045	LOC117893502|XP_034656031.1|DSUB	LOC115771240|XP_030572702.1|DNOV
OG0000045	LOC117894637|XP_034657700.1|DSUB	LOC115771239|XP_030572701.1|DNOV
OG0000045	LOC117893875|XP_034656539.1|DSUB	LOC115771237|XP_030572698.1|DNOV
OG0000046	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB	LOC115768148|XP_030568502.1|DNOV
OG0000046	LOC117892077|XP_034653957.1|DSUB, LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV
OG0000047	LOC117891482|XP_034652852.1|DSUB	LOC115760745|XP_030558082.1|DNOV
OG0000047	LOC117892480|XP_034654625.1|DSUB	LOC115757956|XP_030554291.1|DNOV
OG0000047	LOC117891376|XP_034652704.1|DSUB	LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB	LOC115762856|XP_030561091.1|DNOV
OG0000048	LOC117894523|XP_034657528.1|DSUB	LOC115762847|XP_030561083.1|DNOV
OG0000048	LOC117894537|XP_034657548.1|DSUB	LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC117898481|XP_034663808.1|DSUB	LOC115761458|XP_030559085.1|DNOV
OG0000049	LOC117898484|XP_034663812.1|DSUB	LOC115761547|XP_030559189.1|DNOV
OG0000049	LOC117898479|XP_034663805.1|DSUB	LOC115761399|XP_030559017.1|DNOV
OG0000049	LOC117899170|XP_034664920.1|DSUB	LOC115761457|XP_030559084.1|DNOV
OG0000049	LOC117898482|XP_034663809.1|DSUB	LOC115761552|XP_030559195.1|DNOV
OG0000050	LOC117892195|XP_034654177.1|DSUB	LOC115758280|XP_030554702.1|DNOV
OG0000050	LOC117893221|XP_034655647.1|DSUB	LOC115770327|XP_030571425.1|DNOV
OG0000050	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB	LOC115770328|XP_030571426.1|DNOV
OG0000050	LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB	LOC115770326|XP_030571424.1|DNOV
OG0000050	LOC117893220|XP_034655645.1|DSUB	LOC115770322|XP_030571419.1|DNOV
OG0000051	LOC117896438|XP_034660657.1|DSUB	LOC115763752|XP_030562324.1|DNOV
OG0000051	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB	LOC115761373|XP_030558983.1|DNOV
OG0000052	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV
OG0000052	LOC117892469|XP_034654613.1|DSUB	LOC115771518|XP_030573117.1|DNOV
OG0000052	LOC117892468|XP_034654612.1|DSUB	LOC115771510|XP_030573105.1|DNOV
OG0000053	LOC117890537|XP_034651353.1|DSUB	LOC115771866|XP_030573609.1|DNOV
OG0000053	LOC117890535|XP_034651347.1|DSUB	LOC115771921|XP_030573679.1|DNOV
OG0000053	LOC117890534|XP_034651344.1|DSUB	LOC115771855|XP_030573599.1|DNOV
OG0000053	LOC117890538|XP_034651354.1|DSUB	LOC115771936|XP_030573699.1|DNOV
OG0000054	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB	LOC115766043|XP_030565674.1|DNOV
OG0000054	LOC117898651|XP_034664113.1|DSUB	LOC115770765|XP_030572036.1|DNOV
OG0000054	LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB	LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC117897281|XP_034661904.1|DSUB	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV
OG0000056	LOC117898462|XP_034663775.1|DSUB	LOC115764820|XP_030563929.1|DNOV
OG0000056	LOC117898461|XP_034663774.1|DSUB	LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB	LOC115758934|XP_030555595.1|DNOV
OG0000058	LOC117902359|XP_034669562.1|DSUB	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV
OG0000058	LOC117894861|XP_034658013.1|DSUB	LOC115766835|XP_030566732.1|DNOV
OG0000059	LOC117897005|XP_034661462.1|DSUB	LOC115764095|XP_030562808.1|DNOV
OG0000059	LOC117896653|XP_034660990.1|DSUB, LOC117899423|XP_034665309.1|DSUB	LOC115764107|XP_030562822.1|DNOV
OG0000059	LOC117896652|XP_034660989.1|DSUB	LOC115764042|XP_030562742.1|DNOV
OG0000059	LOC117896696|XP_034661039.1|DSUB	LOC115764028|XP_030562719.1|DNOV, LOC115764210|XP_030562960.1|DNOV, LOC115764024|XP_030562715.1|DNOV
OG0000060	LOC117903129|XP_034670852.1|DSUB	LOC115768521|XP_030568971.1|DNOV
OG0000060	LOC117901895|XP_034668749.1|DSUB	LOC115760275|XP_030557406.1|DNOV
OG0000060	LOC117896666|XP_034661004.1|DSUB	LOC115767943|XP_030568181.1|DNOV
OG0000060	LOC117896503|XP_034660743.1|DSUB	LOC115765029|XP_030564252.1|DNOV
OG0000060	LOC117891116|XP_034652214.1|DSUB	LOC115767352|XP_030567464.1|DNOV
