Orthogroup	DSUB.longest_only	DSAN.longest_only
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC120446975|XP_039484180.1|DSAN, LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC120458775|XP_039502488.1|DSAN
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC120450299|XP_039489171.1|DSAN
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC120449309|XP_039487635.1|DSAN
OG0000007	LOC117900834|XP_034667236.1|DSUB	LOC120458533|XP_039502144.1|DSAN
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC120455948|XP_039498425.1|DSAN
OG0000007	LOC117897982|XP_034662985.1|DSUB	LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC120458508|XP_039502112.1|DSAN
OG0000007	LOC117894709|XP_034657781.1|DSUB	LOC120448331|XP_039486219.1|DSAN
OG0000007	LOC117901609|XP_034668319.1|DSUB	LOC120450012|XP_039488670.1|DSAN
OG0000007	LOC117894591|XP_034657631.1|DSUB	LOC120449828|XP_039488411.1|DSAN
OG0000007	LOC117894593|XP_034657634.1|DSUB	LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC120449658|XP_039488188.1|DSAN
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC120453871|XP_039494710.1|DSAN
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC120453053|XP_039493508.1|DSAN
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC120452274|XP_039492339.1|DSAN
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC120453887|XP_039494738.1|DSAN
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC120452846|XP_039493217.1|DSAN
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC120453968|XP_039494853.1|DSAN
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC120446532|XP_039483479.1|DSAN
OG0000009	LOC117896426|XP_034660636.1|DSUB	LOC120453301|XP_039493868.1|DSAN
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC120445192|XP_039481349.1|DSAN
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000011	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB	LOC120456909|XP_039499973.1|DSAN, LOC120458387|XP_039501940.1|DSAN, LOC120458388|XP_039501941.1|DSAN, LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN, LOC120449699|XP_039488248.1|DSAN, LOC120454523|XP_039495825.1|DSAN, LOC120444818|XP_039480708.1|DSAN, LOC120447070|XP_039484395.1|DSAN, LOC120445760|XP_039482290.1|DSAN, LOC120454945|XP_039496647.1|DSAN
OG0000011	LOC117893712|XP_034656290.1|DSUB	LOC120449538|XP_039487994.1|DSAN
OG0000011	LOC117894953|XP_034658172.1|DSUB	LOC120449537|XP_039487993.1|DSAN
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC120452178|XP_039492220.1|DSAN
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC120445821|XP_039482372.1|DSAN
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC120445820|XP_039482371.1|DSAN
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC120446192|XP_039482973.1|DSAN
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC120446256|XP_039483062.1|DSAN
OG0000012	LOC117892200|XP_034654187.1|DSUB	LOC120444865|XP_039480765.1|DSAN
OG0000012	LOC117891062|XP_034652125.1|DSUB	LOC120445730|XP_039482234.1|DSAN
OG0000012	LOC117891063|XP_034652127.1|DSUB	LOC120446629|XP_039483624.1|DSAN
OG0000012	LOC117891061|XP_034652124.1|DSUB	LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN
OG0000012	LOC117891058|XP_034652122.1|DSUB	LOC120446006|XP_039482689.1|DSAN
OG0000012	LOC117891064|XP_034652128.1|DSUB	LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC120444466|XP_039480072.1|DSAN
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC120456796|XP_039499752.1|DSAN
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC120450753|XP_039489810.1|DSAN
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC120447659|XP_039485107.1|DSAN
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC120450808|XP_039489911.1|DSAN
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC120452623|XP_039492863.1|DSAN
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000015	LOC117902318|XP_034669497.1|DSUB	LOC120445789|XP_039482329.1|DSAN
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC120451140|XP_039490495.1|DSAN
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC120444605|XP_039480314.1|DSAN
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC120454635|XP_039496058.1|DSAN
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC120445231|XP_039481423.1|DSAN
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC120457379|XP_039500852.1|DSAN
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC120444059|XP_039479503.1|DSAN
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC120450954|XP_039490174.1|DSAN
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC120450393|XP_039489322.1|DSAN
OG0000017	LOC117892719|XP_034655033.1|DSUB	LOC120456210|XP_039498824.1|DSAN
OG0000017	LOC117890423|XP_034651134.1|DSUB	LOC120458133|XP_039501613.1|DSAN
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC120453270|XP_039493835.1|DSAN
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC120445309|XP_039481553.1|DSAN
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC120454864|XP_039496354.1|DSAN
OG0000017	LOC117892462|XP_034654603.1|DSUB	LOC120445308|XP_039481552.1|DSAN
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC120454377|XP_039495551.1|DSAN
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC120448958|XP_039487148.1|DSAN
OG0000018	LOC117895260|XP_034658672.1|DSUB	LOC120449281|XP_039487598.1|DSAN
OG0000018	LOC117895265|XP_034658679.1|DSUB	LOC120447671|XP_039485130.1|DSAN
OG0000018	LOC117895268|XP_034658682.1|DSUB	LOC120448951|XP_039487134.1|DSAN, LOC120448952|XP_039487135.1|DSAN, LOC120448659|XP_039486726.1|DSAN
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB	LOC120453199|XP_039493718.1|DSAN
OG0000019	LOC117899339|XP_034665171.1|DSUB	LOC120453194|XP_039493696.1|DSAN
OG0000019	LOC117899361|XP_034665230.1|DSUB	LOC120453200|XP_039493720.1|DSAN
OG0000019	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB	LOC120451285|XP_039490765.1|DSAN
OG0000020	LOC117892172|XP_034654141.1|DSUB	LOC120445014|XP_039481012.1|DSAN
OG0000020	LOC117902343|XP_034669534.1|DSUB	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN
OG0000020	LOC117898500|XP_034663833.1|DSUB	LOC120450860|XP_039490007.1|DSAN
OG0000020	LOC117898411|XP_034663671.1|DSUB	LOC120453863|XP_039494701.1|DSAN
OG0000020	LOC117901489|XP_034668148.1|DSUB	LOC120457706|XP_039501135.1|DSAN
OG0000020	LOC117901231|XP_034667794.1|DSUB	LOC120444385|XP_039479926.1|DSAN
OG0000021	LOC117892038|XP_034653853.1|DSUB	LOC120458794|XP_039502520.1|DSAN
OG0000021	LOC117891478|XP_034652849.1|DSUB	LOC120445641|XP_039482116.1|DSAN
OG0000021	LOC117891531|XP_034652923.1|DSUB	LOC120445227|XP_039481419.1|DSAN
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC120456405|XP_039499169.1|DSAN
OG0000021	LOC117896843|XP_034661258.1|DSUB	LOC120450748|XP_039489804.1|DSAN
OG0000021	LOC117898591|XP_034664027.1|DSUB	LOC120454061|XP_039495000.1|DSAN
OG0000022	LOC117892309|XP_034654347.1|DSUB	LOC120445477|XP_039481858.1|DSAN
OG0000022	LOC117892920|XP_034655126.1|DSUB	LOC120449728|XP_039488291.1|DSAN
OG0000022	LOC117892921|XP_034655127.1|DSUB	LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN
OG0000022	LOC117892919|XP_034655125.1|DSUB	LOC120449729|XP_039488292.1|DSAN
OG0000023	LOC117896153|XP_034660122.1|DSUB	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN
OG0000023	LOC117896150|XP_034660117.1|DSUB	LOC120454388|XP_039495572.1|DSAN
OG0000023	LOC117891805|XP_034653377.1|DSUB	LOC120444959|XP_039480909.1|DSAN
OG0000023	LOC117896149|XP_034660116.1|DSUB	LOC120453781|XP_039494563.1|DSAN
OG0000023	LOC117898724|XP_034664233.1|DSUB	LOC120453011|XP_039493460.1|DSAN
OG0000023	LOC117898725|XP_034664234.1|DSUB	LOC120450929|XP_039490129.1|DSAN
OG0000024	LOC117889935|XP_034650357.1|DSUB	LOC120445294|XP_039481531.1|DSAN
OG0000024	LOC117889933|XP_034650355.1|DSUB	LOC120445292|XP_039481529.1|DSAN
OG0000024	LOC117889934|XP_034650356.1|DSUB	LOC120445293|XP_039481530.1|DSAN
OG0000024	LOC117901020|XP_034667512.1|DSUB	LOC120446616|XP_039483595.1|DSAN
OG0000024	LOC117889812|XP_034650181.1|DSUB	LOC120446257|XP_039483064.1|DSAN
OG0000024	LOC117891118|XP_034652213.1|DSUB	LOC120446965|XP_039484167.1|DSAN
OG0000025	LOC117890855|XP_034651836.1|DSUB	LOC120456451|XP_039499224.1|DSAN
OG0000026	LOC117889599|XP_034649905.1|DSUB	LOC120456669|XP_039499542.1|DSAN
OG0000026	LOC117901731|XP_034668504.1|DSUB	LOC120458576|XP_039502209.1|DSAN
OG0000026	LOC117903905|XP_034672302.1|DSUB	LOC120456651|XP_039499515.1|DSAN
OG0000026	LOC117899507|XP_034665449.1|DSUB	LOC120453885|XP_039494736.1|DSAN
OG0000027	LOC117902555|XP_034669887.1|DSUB	LOC120458674|XP_039502344.1|DSAN
OG0000027	LOC117902556|XP_034669889.1|DSUB	LOC120458543|XP_039502157.1|DSAN
OG0000027	LOC117902554|XP_034669886.1|DSUB	LOC120458684|XP_039502355.1|DSAN
OG0000028	LOC117894266|XP_034657112.1|DSUB	LOC120447587|XP_039484989.1|DSAN
OG0000028	LOC117894530|XP_034657538.1|DSUB	LOC120447866|XP_039485407.1|DSAN
OG0000029	LOC117890176|XP_034650765.1|DSUB	LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN
OG0000029	LOC117898949|XP_034664564.1|DSUB	LOC120452245|XP_039492306.1|DSAN
OG0000029	LOC117893783|XP_034656418.1|DSUB	LOC120448524|XP_039486496.1|DSAN
OG0000030	LOC117901334|XP_034667933.1|DSUB	LOC120458250|XP_039501773.1|DSAN
OG0000030	LOC117901337|XP_034667938.1|DSUB	LOC120458016|XP_039501452.1|DSAN
OG0000030	LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB	LOC120457864|XP_039501320.1|DSAN
OG0000030	LOC117901974|XP_034668869.1|DSUB	LOC120458849|XP_039502609.1|DSAN
OG0000030	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB	LOC120445779|XP_039482317.1|DSAN
OG0000030	LOC117903801|XP_034672130.1|DSUB	LOC120455262|XP_039497197.1|DSAN
OG0000030	LOC117903197|XP_034670973.1|DSUB	LOC120456032|XP_039498536.1|DSAN
OG0000031	LOC117900916|XP_034667369.1|DSUB	LOC120456119|XP_039498683.1|DSAN
OG0000032	LOC117898600|XP_034664039.1|DSUB	LOC120451694|XP_039491522.1|DSAN
OG0000032	LOC117898601|XP_034664041.1|DSUB	LOC120453292|XP_039493855.1|DSAN
OG0000032	LOC117898606|XP_034664047.1|DSUB	LOC120453694|XP_039494449.1|DSAN
OG0000032	LOC117898607|XP_034664048.1|DSUB	LOC120453066|XP_039493525.1|DSAN
OG0000032	LOC117898595|XP_034664033.1|DSUB	LOC120451611|XP_039491379.1|DSAN
OG0000032	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB	LOC120451410|XP_039491015.1|DSAN
OG0000032	LOC117898597|XP_034664035.1|DSUB	LOC120451635|XP_039491427.1|DSAN
OG0000033	LOC117899465|XP_034665372.1|DSUB	LOC120452564|XP_039492778.1|DSAN, LOC120452239|XP_039492298.1|DSAN
OG0000033	LOC117891426|XP_034652788.1|DSUB	LOC120443742|XP_039478933.1|DSAN
OG0000033	LOC117891425|XP_034652787.1|DSUB	LOC120443741|XP_039478932.1|DSAN
OG0000033	LOC117897820|XP_034662764.1|DSUB	LOC120447695|XP_039485159.1|DSAN, LOC120452485|XP_039492667.1|DSAN, LOC120446152|XP_039482915.1|DSAN, LOC120446144|XP_039482905.1|DSAN
OG0000034	LOC117902583|XP_034669972.1|DSUB	LOC120445348|XP_039481622.1|DSAN, LOC120447094|XP_039484434.1|DSAN
OG0000034	LOC117902581|XP_034669969.1|DSUB	LOC120447093|XP_039484433.1|DSAN
OG0000034	LOC117902582|XP_034669970.1|DSUB	LOC120447092|XP_039484432.1|DSAN
OG0000034	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB	LOC120453778|XP_039494559.1|DSAN, LOC120445471|XP_039481849.1|DSAN, LOC120452815|XP_039493155.1|DSAN, LOC120452816|XP_039493156.1|DSAN
OG0000034	LOC117902353|XP_034669555.1|DSUB	LOC120458883|XP_039502653.1|DSAN
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC120453442|XP_039494083.1|DSAN
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC120450981|XP_039490212.1|DSAN
OG0000036	LOC117897457|XP_034662194.1|DSUB	LOC120452669|XP_039492941.1|DSAN
OG0000036	LOC117899046|XP_034664697.1|DSUB	LOC120454541|XP_039495854.1|DSAN, LOC120454540|XP_039495853.1|DSAN
OG0000037	LOC117890311|XP_034650989.1|DSUB	LOC120445359|XP_039481651.1|DSAN
OG0000037	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC120451056|XP_039490346.1|DSAN, LOC120451055|XP_039490345.1|DSAN
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC120447582|XP_039484984.1|DSAN
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC120448623|XP_039486674.1|DSAN
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC120453556|XP_039494243.1|DSAN
OG0000039	LOC117903895|XP_034672289.1|DSUB	LOC120456815|XP_039499797.1|DSAN
OG0000039	LOC117903896|XP_034672290.1|DSUB	LOC120456766|XP_039499698.1|DSAN
OG0000039	LOC117892341|XP_034654394.1|DSUB	LOC120455951|XP_039498428.1|DSAN
OG0000040	LOC117897706|XP_034662619.1|DSUB	LOC120453842|XP_039494671.1|DSAN
OG0000040	LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB	LOC120453227|XP_039493756.1|DSAN
OG0000040	LOC117899278|XP_034665074.1|DSUB	LOC120453230|XP_039493764.1|DSAN
OG0000040	LOC117896008|XP_034659896.1|DSUB	LOC120453844|XP_039494674.1|DSAN
OG0000040	LOC117899589|XP_034665598.1|DSUB	LOC120453843|XP_039494672.1|DSAN
OG0000040	LOC117899588|XP_034665597.1|DSUB	LOC120453846|XP_039494677.1|DSAN
OG0000040	LOC117899356|XP_034665219.1|DSUB	LOC120454621|XP_039496023.1|DSAN
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB	LOC120452967|XP_039493393.1|DSAN, LOC120452968|XP_039493395.1|DSAN, LOC120451583|XP_039491328.1|DSAN, LOC120453870|XP_039494709.1|DSAN
OG0000041	LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	LOC120453724|XP_039494486.1|DSAN
OG0000042	LOC117903839|XP_034672183.1|DSUB	LOC120456654|XP_039499520.1|DSAN
OG0000042	LOC117891862|XP_034653515.1|DSUB	LOC120446237|XP_039483042.1|DSAN
OG0000042	LOC117891861|XP_034653514.1|DSUB	LOC120446238|XP_039483043.1|DSAN
OG0000042	LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB	LOC120446233|XP_039483037.1|DSAN, LOC120446235|XP_039483039.1|DSAN, LOC120446236|XP_039483040.1|DSAN
OG0000042	LOC117891864|XP_034653517.1|DSUB	LOC120446234|XP_039483038.1|DSAN
OG0000043	LOC117898000|XP_034663019.1|DSUB	LOC120453988|XP_039494877.1|DSAN
OG0000043	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB	LOC120453019|XP_039493471.1|DSAN
OG0000043	LOC117898866|XP_034664435.1|DSUB	LOC120453349|XP_039493953.1|DSAN
OG0000043	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB	LOC120453637|XP_039494364.1|DSAN
OG0000043	LOC117898867|XP_034664437.1|DSUB	LOC120452792|XP_039493119.1|DSAN, LOC120454041|XP_039494968.1|DSAN, LOC120452693|XP_039492981.1|DSAN
OG0000043	LOC117897193|XP_034661785.1|DSUB	LOC120453380|XP_039493988.1|DSAN
OG0000044	LOC117898991|XP_034664623.1|DSUB	LOC120452826|XP_039493165.1|DSAN
OG0000044	LOC117895983|XP_034659856.1|DSUB	LOC120453510|XP_039494189.1|DSAN, LOC120450906|XP_039490090.1|DSAN
OG0000044	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB	LOC120451723|XP_039491559.1|DSAN, LOC120453660|XP_039494388.1|DSAN, LOC120453780|XP_039494561.1|DSAN
OG0000044	LOC117898153|XP_034663242.1|DSUB	LOC120453569|XP_039494260.1|DSAN
OG0000045	LOC117894865|XP_034658016.1|DSUB	LOC120448397|XP_039486321.1|DSAN
OG0000045	LOC117893502|XP_034656031.1|DSUB	LOC120449198|XP_039487495.1|DSAN, LOC120449034|XP_039487251.1|DSAN
OG0000045	LOC117894637|XP_034657700.1|DSUB	LOC120448761|XP_039486880.1|DSAN
OG0000045	LOC117893875|XP_034656539.1|DSUB	LOC120448760|XP_039486879.1|DSAN
OG0000046	LOC117898099|XP_034663170.1|DSUB	LOC120451867|XP_039491805.1|DSAN
OG0000046	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB	LOC120455081|XP_039496878.1|DSAN, LOC120455080|XP_039496876.1|DSAN
OG0000046	LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB	LOC120453874|XP_039494712.1|DSAN, LOC120454242|XP_039495288.1|DSAN, LOC120453872|XP_039494711.1|DSAN, LOC120453971|XP_039494857.1|DSAN, LOC120451794|XP_039491681.1|DSAN, LOC120446793|XP_039483883.1|DSAN
OG0000047	LOC117891323|XP_034652630.1|DSUB	LOC120446362|XP_039483228.1|DSAN
OG0000047	LOC117891482|XP_034652852.1|DSUB	LOC120446445|XP_039483359.1|DSAN
OG0000047	LOC117892480|XP_034654625.1|DSUB	LOC120447165|XP_039484555.1|DSAN
OG0000047	LOC117893757|XP_034656383.1|DSUB	LOC120449448|XP_039487853.1|DSAN
OG0000047	LOC117891376|XP_034652704.1|DSUB	LOC120446374|XP_039483239.1|DSAN
OG0000047	LOC117895380|XP_034658890.1|DSUB	LOC120450023|XP_039488699.1|DSAN
OG0000048	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB	LOC120448637|XP_039486695.1|DSAN, LOC120448833|XP_039486966.1|DSAN
OG0000048	LOC117894523|XP_034657528.1|DSUB	LOC120447858|XP_039485399.1|DSAN
OG0000048	LOC117894537|XP_034657548.1|DSUB	LOC120447864|XP_039485406.1|DSAN
OG0000049	LOC117898484|XP_034663812.1|DSUB	LOC120451912|XP_039491855.1|DSAN
OG0000049	LOC117898479|XP_034663805.1|DSUB	LOC120451908|XP_039491850.1|DSAN
OG0000049	LOC117899170|XP_034664920.1|DSUB	LOC120451911|XP_039491854.1|DSAN
OG0000049	LOC117898482|XP_034663809.1|DSUB	LOC120454478|XP_039495745.1|DSAN
OG0000050	LOC117892195|XP_034654177.1|DSUB	LOC120444560|XP_039480251.1|DSAN
OG0000050	LOC117893228|XP_034655655.1|DSUB	LOC120450200|XP_039489002.1|DSAN
OG0000050	LOC117893221|XP_034655647.1|DSUB	LOC120450145|XP_039488909.1|DSAN
