Orthogroup	DSUB.longest_only	CCAP.longest_only
OG0000022	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000022	LOC117892923|XP_034655129.1|DSUB	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP
OG0000023	LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC117898724|XP_034664233.1|DSUB	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC117898725|XP_034664234.1|DSUB	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000026	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC117902555|XP_034669887.1|DSUB	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC117902556|XP_034669889.1|DSUB	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC117902554|XP_034669886.1|DSUB	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC117894266|XP_034657112.1|DSUB	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC117894530|XP_034657538.1|DSUB	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC117901334|XP_034667933.1|DSUB, LOC117901337|XP_034667938.1|DSUB, LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC117901974|XP_034668869.1|DSUB, LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC117900916|XP_034667369.1|DSUB	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC117898600|XP_034664039.1|DSUB	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC117898005|XP_034663024.1|DSUB	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC117896918|XP_034661349.1|DSUB	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC117897457|XP_034662194.1|DSUB	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC117899046|XP_034664697.1|DSUB	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC117890311|XP_034650989.1|DSUB	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC117894264|XP_034657109.1|DSUB	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC117898000|XP_034663019.1|DSUB, LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB, LOC117898866|XP_034664435.1|DSUB	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB, LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC117898991|XP_034664623.1|DSUB	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC117895983|XP_034659856.1|DSUB, LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC117898153|XP_034663242.1|DSUB	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC117894865|XP_034658016.1|DSUB	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC117893502|XP_034656031.1|DSUB	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC117894637|XP_034657700.1|DSUB	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC117893875|XP_034656539.1|DSUB	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC117892480|XP_034654625.1|DSUB	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC117894519|XP_034657522.1|DSUB, LOC117894520|XP_034657523.1|DSUB, LOC117894523|XP_034657528.1|DSUB	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC117894537|XP_034657548.1|DSUB	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC117898479|XP_034663805.1|DSUB	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC117899170|XP_034664920.1|DSUB	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC117898482|XP_034663809.1|DSUB	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC117892195|XP_034654177.1|DSUB	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC117893228|XP_034655655.1|DSUB, LOC117893221|XP_034655647.1|DSUB, LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB, LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB, LOC117893220|XP_034655645.1|DSUB, LOC117893224|XP_034655652.1|DSUB	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC117896438|XP_034660657.1|DSUB	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB, LOC117892469|XP_034654613.1|DSUB, LOC117892468|XP_034654612.1|DSUB	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC117890537|XP_034651353.1|DSUB	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC117890535|XP_034651347.1|DSUB	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC117890534|XP_034651344.1|DSUB	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC117890538|XP_034651354.1|DSUB	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC117898651|XP_034664113.1|DSUB, LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB, LOC117902359|XP_034669562.1|DSUB, LOC117894861|XP_034658013.1|DSUB	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC117897005|XP_034661462.1|DSUB, LOC117896653|XP_034660990.1|DSUB, LOC117899423|XP_034665309.1|DSUB, LOC117896652|XP_034660989.1|DSUB, LOC117896800|XP_034661190.1|DSUB, LOC117896540|XP_034660815.1|DSUB, LOC117896696|XP_034661039.1|DSUB	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC117896503|XP_034660743.1|DSUB	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000061	LOC117901880|XP_034668728.1|DSUB	CCAP1982_LOCUS7588|CAD6999041.1|CCAP
OG0000061	LOC117901276|XP_034667861.1|DSUB, LOC117901275|XP_034667859.1|DSUB	CCAP1982_LOCUS7592|CAD6999045.1|CCAP
OG0000061	LOC117901832|XP_034668656.1|DSUB	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP
