Orthogroup	DSUB.longest_only	DMAU.longest_only
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC117892462|XP_034654603.1|DSUB	LOC117137415|XP_033154734.1|DMAU
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC117895265|XP_034658679.1|DSUB	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC117895258|XP_034658670.1|DSUB	LOC117141483|XP_033160852.1|DMAU
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC117899339|XP_034665171.1|DSUB	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC117899361|XP_034665230.1|DSUB	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC117892172|XP_034654141.1|DSUB	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC117902343|XP_034669534.1|DSUB	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC117898500|XP_034663833.1|DSUB	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC117898411|XP_034663671.1|DSUB	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC117901489|XP_034668148.1|DSUB	LOC117135687|XP_033151982.1|DMAU
OG0000020	LOC117901231|XP_034667794.1|DSUB	LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC117892038|XP_034653853.1|DSUB	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC117892039|XP_034653854.1|DSUB	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU
OG0000021	LOC117891478|XP_034652849.1|DSUB	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC117891531|XP_034652923.1|DSUB	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC117892040|XP_034653856.1|DSUB	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC117896843|XP_034661258.1|DSUB	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC117898591|XP_034664027.1|DSUB	LOC117143646|XP_033164316.1|DMAU
OG0000022	LOC117892309|XP_034654347.1|DSUB	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC117892920|XP_034655126.1|DSUB	LOC117139751|XP_033158206.1|DMAU
OG0000022	LOC117892921|XP_034655127.1|DSUB	LOC117139203|XP_033157266.1|DMAU
OG0000022	LOC117892919|XP_034655125.1|DSUB	LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC117896148|XP_034660114.1|DSUB	LOC117144283|XP_033165277.1|DMAU
OG0000023	LOC117896153|XP_034660122.1|DSUB	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC117896150|XP_034660117.1|DSUB	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC117891805|XP_034653377.1|DSUB	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC117896149|XP_034660116.1|DSUB	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC117898724|XP_034664233.1|DSUB	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC117898725|XP_034664234.1|DSUB	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC117889935|XP_034650357.1|DSUB	LOC117137467|XP_033154805.1|DMAU
OG0000024	LOC117889933|XP_034650355.1|DSUB	LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC117889934|XP_034650356.1|DSUB	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC117901020|XP_034667512.1|DSUB	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC117889812|XP_034650181.1|DSUB	LOC117136506|XP_033153341.1|DMAU
OG0000024	LOC117891118|XP_034652213.1|DSUB	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC117890855|XP_034651836.1|DSUB	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC117889599|XP_034649905.1|DSUB	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC117901731|XP_034668504.1|DSUB	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC117903905|XP_034672302.1|DSUB	LOC117146899|XP_033169397.1|DMAU
OG0000026	LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB	LOC117142902|XP_033163074.1|DMAU
OG0000026	LOC117899507|XP_034665449.1|DSUB	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC117902555|XP_034669887.1|DSUB	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC117902556|XP_034669889.1|DSUB	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC117902554|XP_034669886.1|DSUB	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC117894266|XP_034657112.1|DSUB	LOC117139373|XP_033157513.1|DMAU
OG0000028	LOC117894530|XP_034657538.1|DSUB	LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC117890176|XP_034650765.1|DSUB	LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU
OG0000029	LOC117898949|XP_034664564.1|DSUB	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC117893783|XP_034656418.1|DSUB	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC117901334|XP_034667933.1|DSUB	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC117901337|XP_034667938.1|DSUB	LOC117137293|XP_033154560.1|DMAU
OG0000030	LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB	LOC117150769|XP_033173697.1|DMAU
OG0000030	LOC117901974|XP_034668869.1|DSUB	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC117903801|XP_034672130.1|DSUB	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC117903197|XP_034670973.1|DSUB	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC117900916|XP_034667369.1|DSUB	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC117898600|XP_034664039.1|DSUB	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC117898601|XP_034664041.1|DSUB	LOC117145860|XP_033167571.1|DMAU
OG0000032	LOC117898606|XP_034664047.1|DSUB	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU
OG0000032	LOC117898607|XP_034664048.1|DSUB	LOC117145862|XP_033167573.1|DMAU
OG0000032	LOC117898595|XP_034664033.1|DSUB	LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC117899465|XP_034665372.1|DSUB	LOC117144719|XP_033165948.1|DMAU
OG0000033	LOC117891426|XP_034652788.1|DSUB	LOC117138299|XP_033156190.1|DMAU
OG0000033	LOC117891425|XP_034652787.1|DSUB	LOC117138298|XP_033156189.1|DMAU
OG0000033	LOC117897820|XP_034662764.1|DSUB	LOC117140273|XP_033158989.1|DMAU, LOC117144413|XP_033165445.1|DMAU, LOC117144938|XP_033166283.1|DMAU, LOC117137789|XP_033155336.1|DMAU, LOC117137724|XP_033155189.1|DMAU
OG0000034	LOC117902583|XP_034669972.1|DSUB	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC117902581|XP_034669969.1|DSUB	LOC117150484|XP_033173274.1|DMAU
OG0000034	LOC117902582|XP_034669970.1|DSUB	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB	LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU
OG0000034	LOC117902353|XP_034669555.1|DSUB	LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC117897457|XP_034662194.1|DSUB	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC117899046|XP_034664697.1|DSUB	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC117890311|XP_034650989.1|DSUB	LOC117137024|XP_033154116.1|DMAU
OG0000037	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC117903895|XP_034672289.1|DSUB	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC117903896|XP_034672290.1|DSUB	LOC117147454|XP_033170230.1|DMAU
OG0000039	LOC117892341|XP_034654394.1|DSUB	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC117897706|XP_034662619.1|DSUB	LOC117145128|XP_033166540.1|DMAU
OG0000040	LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB	LOC117143448|XP_033164046.1|DMAU
OG0000040	LOC117899278|XP_034665074.1|DSUB	LOC117143449|XP_033164048.1|DMAU
OG0000040	LOC117896008|XP_034659896.1|DSUB	LOC117144294|XP_033165289.1|DMAU
OG0000040	LOC117899589|XP_034665598.1|DSUB	LOC117144293|XP_033165288.1|DMAU
OG0000040	LOC117899588|XP_034665597.1|DSUB	LOC117143965|XP_033164790.1|DMAU
OG0000040	LOC117899356|XP_034665219.1|DSUB	LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU
OG0000041	LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	LOC117145103|XP_033166514.1|DMAU
OG0000042	LOC117903839|XP_034672183.1|DSUB	LOC117146870|XP_033169351.1|DMAU
OG0000042	LOC117891862|XP_034653515.1|DSUB	LOC117138472|XP_033156493.1|DMAU
OG0000042	LOC117891861|XP_034653514.1|DSUB	LOC117138473|XP_033156494.1|DMAU
OG0000042	LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB	LOC117138470|XP_033156490.1|DMAU
OG0000042	LOC117891864|XP_034653517.1|DSUB	LOC117138471|XP_033156492.1|DMAU
OG0000043	LOC117898000|XP_034663019.1|DSUB	LOC117143574|XP_033164210.1|DMAU
OG0000043	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB	LOC117143570|XP_033164205.1|DMAU
OG0000043	LOC117898866|XP_034664435.1|DSUB	LOC117143572|XP_033164208.1|DMAU
OG0000043	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB	LOC117145149|XP_033166580.1|DMAU
OG0000043	LOC117898867|XP_034664437.1|DSUB	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU
OG0000043	LOC117897193|XP_034661785.1|DSUB	LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC117898991|XP_034664623.1|DSUB	LOC117143901|XP_033164698.1|DMAU
OG0000044	LOC117895983|XP_034659856.1|DSUB	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU
OG0000044	LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB	LOC117145163|XP_033166599.1|DMAU, LOC117143590|XP_033164229.1|DMAU, LOC117143652|XP_033164322.1|DMAU
OG0000044	LOC117898153|XP_034663242.1|DSUB	LOC117143435|XP_033164032.1|DMAU
OG0000045	LOC117894865|XP_034658016.1|DSUB	LOC117139739|XP_033158187.1|DMAU
OG0000045	LOC117893502|XP_034656031.1|DSUB	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	LOC117894637|XP_034657700.1|DSUB	LOC117139487|XP_033157699.1|DMAU
OG0000045	LOC117893875|XP_034656539.1|DSUB	LOC117139486|XP_033157698.1|DMAU
OG0000046	LOC117898099|XP_034663170.1|DSUB	LOC117145662|XP_033167285.1|DMAU
OG0000046	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU
OG0000046	LOC117892077|XP_034653957.1|DSUB	LOC117147217|XP_033169922.1|DMAU
OG0000046	LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB	LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU
OG0000047	LOC117891323|XP_034652630.1|DSUB	LOC117137846|XP_033155439.1|DMAU
OG0000047	LOC117891482|XP_034652852.1|DSUB	LOC117137896|XP_033155525.1|DMAU
OG0000047	LOC117892480|XP_034654625.1|DSUB	LOC117136744|XP_033153666.1|DMAU
OG0000047	LOC117893757|XP_034656383.1|DSUB	LOC117141645|XP_033161109.1|DMAU
OG0000047	LOC117891376|XP_034652704.1|DSUB	LOC117137194|XP_033154412.1|DMAU
OG0000047	LOC117895380|XP_034658890.1|DSUB	LOC117141646|XP_033161110.1|DMAU
OG0000048	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
OG0000048	LOC117894523|XP_034657528.1|DSUB	LOC117140935|XP_033160022.1|DMAU
OG0000048	LOC117894537|XP_034657548.1|DSUB	LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC117898484|XP_034663812.1|DSUB	LOC117144267|XP_033165261.1|DMAU
OG0000049	LOC117898479|XP_034663805.1|DSUB	LOC117145062|XP_033166468.1|DMAU
OG0000049	LOC117899170|XP_034664920.1|DSUB	LOC117145061|XP_033166467.1|DMAU
OG0000049	LOC117898482|XP_034663809.1|DSUB	LOC117144466|XP_033165523.1|DMAU
OG0000050	LOC117892195|XP_034654177.1|DSUB	LOC117136135|XP_033152731.1|DMAU
OG0000050	LOC117893228|XP_034655655.1|DSUB	LOC117142030|XP_033161785.1|DMAU
OG0000050	LOC117893221|XP_034655647.1|DSUB	LOC117142027|XP_033161782.1|DMAU
OG0000050	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB	LOC117142031|XP_033161786.1|DMAU
OG0000050	LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB	LOC117142029|XP_033161784.1|DMAU
OG0000050	LOC117893220|XP_034655645.1|DSUB	LOC117142024|XP_033161778.1|DMAU
OG0000050	LOC117893224|XP_034655652.1|DSUB	LOC117142028|XP_033161783.1|DMAU
OG0000051	LOC117896438|XP_034660657.1|DSUB	LOC117143815|XP_033164552.1|DMAU
OG0000051	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB	LOC117143638|XP_033164307.1|DMAU
