Orthogroup	DSUB.longest_only	BCOP.longest_only
OG0000030	LOC117901334|XP_034667933.1|DSUB, LOC117901337|XP_034667938.1|DSUB, LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB, LOC117901974|XP_034668869.1|DSUB, LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB, LOC117903801|XP_034672130.1|DSUB, LOC117903197|XP_034670973.1|DSUB	LOC119070696|XP_037031044.1|BCOP
OG0000032	LOC117898600|XP_034664039.1|DSUB, LOC117898601|XP_034664041.1|DSUB, LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB, LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000033	LOC117899465|XP_034665372.1|DSUB, LOC117891426|XP_034652788.1|DSUB, LOC117891425|XP_034652787.1|DSUB, LOC117897820|XP_034662764.1|DSUB	LOC119070917|XP_037031350.1|BCOP
OG0000034	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC119070319|XP_037030483.1|BCOP
OG0000037	LOC117890311|XP_034650989.1|DSUB, LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC119077484|XP_037040593.1|BCOP
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000039	LOC117892341|XP_034654394.1|DSUB	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	LOC119070988|XP_037031473.1|BCOP
OG0000042	LOC117903839|XP_034672183.1|DSUB, LOC117891862|XP_034653515.1|DSUB, LOC117891861|XP_034653514.1|DSUB, LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB, LOC117891864|XP_034653517.1|DSUB	LOC119068087|XP_037027400.1|BCOP
OG0000043	LOC117898000|XP_034663019.1|DSUB, LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB, LOC117898866|XP_034664435.1|DSUB, LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB, LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC117898991|XP_034664623.1|DSUB, LOC117895983|XP_034659856.1|DSUB, LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB, LOC117898153|XP_034663242.1|DSUB	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000047	LOC117891323|XP_034652630.1|DSUB, LOC117891482|XP_034652852.1|DSUB, LOC117892480|XP_034654625.1|DSUB, LOC117893757|XP_034656383.1|DSUB, LOC117891376|XP_034652704.1|DSUB, LOC117895380|XP_034658890.1|DSUB	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC117898481|XP_034663808.1|DSUB	LOC119081689|XP_037046681.1|BCOP
OG0000049	LOC117898484|XP_034663812.1|DSUB, LOC117898479|XP_034663805.1|DSUB, LOC117899170|XP_034664920.1|DSUB, LOC117898482|XP_034663809.1|DSUB	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC117896438|XP_034660657.1|DSUB, LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB, LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000052	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB, LOC117892469|XP_034654613.1|DSUB, LOC117892468|XP_034654612.1|DSUB	LOC119073702|XP_037035202.1|BCOP
OG0000053	LOC117890537|XP_034651353.1|DSUB, LOC117890535|XP_034651347.1|DSUB	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC117890538|XP_034651354.1|DSUB	LOC119083998|XP_037049705.1|BCOP
OG0000054	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB, LOC117898651|XP_034664113.1|DSUB, LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC117898462|XP_034663775.1|DSUB, LOC117898463|XP_034663777.1|DSUB, LOC117898461|XP_034663774.1|DSUB, LOC117897244|XP_034661856.1|DSUB, LOC117897243|XP_034661853.1|DSUB	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000058	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB, LOC117902359|XP_034669562.1|DSUB, LOC117894861|XP_034658013.1|DSUB	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC117903129|XP_034670852.1|DSUB	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC117896503|XP_034660743.1|DSUB	LOC119069761|XP_037029789.1|BCOP
OG0000067	LOC117899613|XP_034665647.1|DSUB, LOC117895462|XP_034659028.1|DSUB	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC117890918|XP_034651937.1|DSUB, LOC117895461|XP_034659026.1|DSUB	LOC119085608|XP_037051927.1|BCOP
OG0000067	LOC117894476|XP_034657468.1|DSUB	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC117893343|XP_034655824.1|DSUB, LOC117893309|XP_034655788.1|DSUB, LOC117901009|XP_034667498.1|DSUB, LOC117902385|XP_034669640.1|DSUB	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP
OG0000070	LOC117900906|XP_034667357.1|DSUB, LOC117896707|XP_034661058.1|DSUB, LOC117901077|XP_034667580.1|DSUB, LOC117900908|XP_034667359.1|DSUB, LOC117900907|XP_034667358.1|DSUB	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC117893134|XP_034655476.1|DSUB	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC117895747|XP_034659509.1|DSUB, LOC117895750|XP_034659511.1|DSUB, LOC117895746|XP_034659508.1|DSUB	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP
OG0000073	LOC117890320|XP_034650999.1|DSUB	LOC119072039|XP_037033052.1|BCOP
OG0000073	LOC117901954|XP_034668826.1|DSUB	LOC119067527|XP_037026453.1|BCOP
OG0000073	LOC117897070|XP_034661568.1|DSUB	LOC119069220|XP_037029092.1|BCOP
OG0000074	LOC117893667|XP_034656248.1|DSUB, LOC117894584|XP_034657620.1|DSUB, LOC117894701|XP_034657775.1|DSUB	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP
OG0000075	LOC117895498|XP_034659085.1|DSUB, LOC117895520|XP_034659115.1|DSUB, LOC117895524|XP_034659120.1|DSUB, LOC117895522|XP_034659118.1|DSUB	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP
OG0000076	LOC117895853|XP_034659710.1|DSUB	LOC119071813|XP_037032779.1|BCOP
OG0000076	LOC117898747|XP_034664263.1|DSUB	LOC119068533|XP_037028044.1|BCOP
OG0000076	LOC117898737|XP_034664252.1|DSUB	LOC119066422|XP_037024794.1|BCOP
OG0000077	LOC117891833|XP_034653474.1|DSUB	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP
OG0000077	LOC117897634|XP_034662499.1|DSUB	LOC119076378|XP_037038990.1|BCOP
OG0000077	LOC117890642|XP_034651485.1|DSUB	LOC119071068|XP_037031598.1|BCOP
OG0000077	LOC117897194|XP_034661786.1|DSUB	LOC119069760|XP_037029786.1|BCOP
OG0000078	LOC117890243|XP_034650880.1|DSUB, LOC117895683|XP_034659401.1|DSUB, LOC117895684|XP_034659403.1|DSUB, LOC117897889|XP_034662857.1|DSUB, LOC117892312|XP_034654358.1|DSUB, LOC117899598|XP_034665610.1|DSUB	LOC119072413|XP_037033522.1|BCOP
OG0000079	LOC117902530|XP_034669847.1|DSUB, LOC117902528|XP_034669845.1|DSUB, LOC117902532|XP_034669850.1|DSUB, LOC117902529|XP_034669846.1|DSUB, LOC117902531|XP_034669849.1|DSUB, LOC117900595|XP_034666896.1|DSUB, LOC117901221|XP_034667782.1|DSUB, LOC117900594|XP_034666895.1|DSUB, LOC117900593|XP_034666894.1|DSUB	LOC119073294|XP_037034574.1|BCOP
OG0000080	LOC117892139|XP_034654068.1|DSUB, LOC117890994|XP_034652034.1|DSUB, LOC117892007|XP_034653785.1|DSUB	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP
OG0000081	LOC117895630|XP_034659277.1|DSUB	LOC119072492|XP_037033632.1|BCOP
