Orthogroup	DSUB.longest_only	DVIR.longest_only
OG0000007	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC116649824|XP_032288860.1|DVIR
OG0000011	LOC117894953|XP_034658172.1|DSUB	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000015	LOC117902318|XP_034669497.1|DSUB	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC117895265|XP_034658679.1|DSUB	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC117895258|XP_034658670.1|DSUB	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC117895269|XP_034658684.1|DSUB	LOC6623104|XP_002046157.1|DVIR
OG0000018	LOC117895268|XP_034658682.1|DSUB	LOC6623391|XP_002046158.1|DVIR
OG0000018	LOC117895272|XP_034658688.1|DSUB	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC117899339|XP_034665171.1|DSUB	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC117899361|XP_034665230.1|DSUB	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC117892172|XP_034654141.1|DSUB	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC117902343|XP_034669534.1|DSUB	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC117898500|XP_034663833.1|DSUB	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC117898411|XP_034663671.1|DSUB	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC117894607|XP_034657649.1|DSUB	LOC6624373|XP_002047473.1|DVIR
OG0000021	LOC117892599|XP_034654829.1|DSUB	LOC6627017|XP_002049727.2|DVIR
OG0000021	LOC117892038|XP_034653853.1|DSUB	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC117892039|XP_034653854.1|DSUB	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC117891478|XP_034652849.1|DSUB	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC117891531|XP_034652923.1|DSUB	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC117892040|XP_034653856.1|DSUB	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC117896843|XP_034661258.1|DSUB	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC117898591|XP_034664027.1|DSUB	LOC6629847|XP_002054468.1|DVIR
OG0000022	LOC117892309|XP_034654347.1|DSUB	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC117892921|XP_034655127.1|DSUB, LOC117892919|XP_034655125.1|DSUB	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC117896148|XP_034660114.1|DSUB	LOC26530945|XP_015026270.1|DVIR
OG0000023	LOC117896153|XP_034660122.1|DSUB	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC117896151|XP_034660118.1|DSUB	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC117896150|XP_034660117.1|DSUB	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC117891805|XP_034653377.1|DSUB	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC117896149|XP_034660116.1|DSUB	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC117898724|XP_034664233.1|DSUB	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC117898725|XP_034664234.1|DSUB	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC117889934|XP_034650356.1|DSUB	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC117901020|XP_034667512.1|DSUB	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC117889812|XP_034650181.1|DSUB	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC117891118|XP_034652213.1|DSUB	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC117890855|XP_034651836.1|DSUB	LOC6635606|XP_002058949.1|DVIR
OG0000026	LOC117889599|XP_034649905.1|DSUB	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC117901731|XP_034668504.1|DSUB	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC117899507|XP_034665449.1|DSUB	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC117902555|XP_034669887.1|DSUB	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC117902554|XP_034669886.1|DSUB	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR
OG0000028	LOC117894266|XP_034657112.1|DSUB	LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC117898949|XP_034664564.1|DSUB	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC117893783|XP_034656418.1|DSUB	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC117901334|XP_034667933.1|DSUB	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC117901974|XP_034668869.1|DSUB	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC117903801|XP_034672130.1|DSUB	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC117903197|XP_034670973.1|DSUB	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC117900916|XP_034667369.1|DSUB	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC117898600|XP_034664039.1|DSUB	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC117891426|XP_034652788.1|DSUB	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC117891425|XP_034652787.1|DSUB	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC117902583|XP_034669972.1|DSUB	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC117902581|XP_034669969.1|DSUB	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC117902582|XP_034669970.1|DSUB	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC117902353|XP_034669555.1|DSUB	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC117897457|XP_034662194.1|DSUB	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC117899046|XP_034664697.1|DSUB	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC117890311|XP_034650989.1|DSUB	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC117903895|XP_034672289.1|DSUB	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC117903896|XP_034672290.1|DSUB	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC117903894|XP_034672287.1|DSUB	LOC6632395|XP_002056631.2|DVIR, LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR
OG0000039	LOC117892341|XP_034654394.1|DSUB	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC117897706|XP_034662619.1|DSUB, LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC117899278|XP_034665074.1|DSUB	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC117896008|XP_034659896.1|DSUB, LOC117899589|XP_034665598.1|DSUB	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC117899588|XP_034665597.1|DSUB	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC117896580|XP_034660876.1|DSUB	LOC6629627|XP_002054867.1|DVIR
OG0000040	LOC117899356|XP_034665219.1|DSUB	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC117891862|XP_034653515.1|DSUB, LOC117891861|XP_034653514.1|DSUB, LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC117898866|XP_034664435.1|DSUB	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC117898991|XP_034664623.1|DSUB	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC117895983|XP_034659856.1|DSUB	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC117894865|XP_034658016.1|DSUB	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC117893502|XP_034656031.1|DSUB	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC117894637|XP_034657700.1|DSUB	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC117893875|XP_034656539.1|DSUB	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC117892077|XP_034653957.1|DSUB, LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC117891323|XP_034652630.1|DSUB	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC117891482|XP_034652852.1|DSUB	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC117892480|XP_034654625.1|DSUB	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC117893757|XP_034656383.1|DSUB	LOC6623898|XP_015031386.1|DVIR
OG0000047	LOC117891376|XP_034652704.1|DSUB	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC117894523|XP_034657528.1|DSUB	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC117894537|XP_034657548.1|DSUB	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC117898481|XP_034663808.1|DSUB	LOC6632704|XP_002056037.1|DVIR
OG0000049	LOC117898484|XP_034663812.1|DSUB	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC117898479|XP_034663805.1|DSUB	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC117899170|XP_034664920.1|DSUB	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC117898482|XP_034663809.1|DSUB	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC117892195|XP_034654177.1|DSUB	LOC116651245|XP_032293110.1|DVIR
OG0000050	LOC117893228|XP_034655655.1|DSUB	LOC116650744|XP_032291206.1|DVIR
OG0000050	LOC117893221|XP_034655647.1|DSUB	LOC6622355|XP_002047925.1|DVIR
OG0000050	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB	LOC6622345|XP_002047924.2|DVIR
OG0000050	LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB	LOC6622312|XP_002047926.2|DVIR
OG0000050	LOC117893220|XP_034655645.1|DSUB	LOC6622403|XP_002047934.2|DVIR
OG0000051	LOC117896438|XP_034660657.1|DSUB	LOC6633160|XP_002056609.1|DVIR
OG0000051	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB	LOC6630427|XP_002053739.1|DVIR
OG0000052	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR
OG0000052	LOC117892469|XP_034654613.1|DSUB	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR
OG0000052	LOC117892468|XP_034654612.1|DSUB	LOC6626911|XP_002050286.2|DVIR
OG0000053	LOC117890537|XP_034651353.1|DSUB	LOC6624847|XP_002049663.1|DVIR
OG0000053	LOC117890535|XP_034651347.1|DSUB	LOC6624846|XP_002049662.1|DVIR
OG0000053	LOC117890534|XP_034651344.1|DSUB	LOC6624845|XP_002049661.1|DVIR
OG0000053	LOC117890538|XP_034651354.1|DSUB	LOC6624806|XP_002049656.1|DVIR
OG0000054	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB	LOC6633223|XP_002056282.1|DVIR
OG0000054	LOC117898651|XP_034664113.1|DSUB	LOC6629800|XP_002053376.1|DVIR
OG0000054	LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB	LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR
OG0000055	LOC117897281|XP_034661904.1|DSUB	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR
OG0000056	LOC117898462|XP_034663775.1|DSUB	LOC6630824|XP_002054731.1|DVIR
