Orthogroup	DNOV.longest_only	DHYD.longest_only
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC115770819|XP_030572101.1|DNOV	LOC115483190|XP_030080235.1|DHYD
OG0000005	LOC115770899|XP_030572193.1|DNOV	LOC115482890|XP_030078999.1|DHYD
OG0000005	LOC115761847|XP_030559689.1|DNOV	LOC115483259|XP_030080464.1|DHYD
OG0000005	LOC115761855|XP_030559702.1|DNOV	LOC115483300|XP_030080513.1|DHYD
OG0000006	LOC115761994|XP_030559922.1|DNOV	LOC115483249|XP_030080454.1|DHYD
OG0000006	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV	LOC115483281|XP_030080484.1|DHYD
OG0000007	LOC115771065|XP_030572477.1|DNOV	LOC111601090|XP_023173285.1|DHYD
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV	LOC111596954|XP_023167178.2|DHYD
OG0000007	LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD
OG0000007	LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC115763735|XP_030562294.1|DNOV	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC115760864|XP_030558278.1|DNOV	LOC111592528|XP_023160554.2|DHYD
OG0000009	LOC115758060|XP_030554434.1|DNOV	LOC111594331|XP_023163344.2|DHYD
OG0000009	LOC115762417|XP_030560473.1|DNOV	LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV	LOC111593562|XP_023162191.2|DHYD
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC115770894|XP_030572189.1|DNOV	LOC115483264|XP_030080469.1|DHYD
OG0000010	LOC115761849|XP_030559691.1|DNOV	LOC115483261|XP_030080466.1|DHYD
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC115482881|XP_030078991.1|DHYD
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC111599147|XP_023170484.2|DHYD
OG0000011	LOC115762679|XP_030560853.1|DNOV	LOC111596019|XP_023165812.2|DHYD
OG0000011	LOC115759523|XP_030556331.1|DNOV	LOC111595276|XP_023164694.1|DHYD
OG0000011	LOC115770116|XP_030571097.1|DNOV	LOC111605669|XP_023180101.2|DHYD
OG0000011	LOC115769479|XP_030570160.1|DNOV	LOC111603319|XP_023176609.2|DHYD
OG0000011	LOC115768719|XP_030569278.1|DNOV	LOC111599256|XP_023170624.2|DHYD
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC115758175|XP_030554576.1|DNOV	LOC111592160|XP_023159980.2|DHYD
OG0000012	LOC115758176|XP_030554577.1|DNOV	LOC111592239|XP_023160091.2|DHYD
OG0000012	LOC115760690|XP_030558016.1|DNOV	LOC111604855|XP_030081317.1|DHYD
OG0000012	LOC115760693|XP_030558017.1|DNOV	LOC111604825|XP_023178816.2|DHYD
OG0000012	LOC115760901|XP_030558328.1|DNOV	LOC115483455|XP_030081371.1|DHYD
OG0000012	LOC115761042|XP_030558517.1|DNOV	LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC115761485|XP_030559111.1|DNOV	LOC111598320|XP_023169285.2|DHYD
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC111592667|XP_023160798.2|DHYD
OG0000015	LOC115759285|XP_030556047.1|DNOV	LOC111603761|XP_023177261.1|DHYD
OG0000015	LOC115758964|XP_030555627.1|DNOV	LOC111603774|XP_023177277.2|DHYD
OG0000015	LOC115758736|XP_030555346.1|DNOV	LOC111599488|XP_023170923.2|DHYD
OG0000015	LOC115770421|XP_030571547.1|DNOV	LOC111599832|XP_023171393.2|DHYD
OG0000015	LOC115759089|XP_030555783.1|DNOV, LOC115759088|XP_030555782.1|DNOV, LOC115758931|XP_030555591.1|DNOV	LOC111603762|XP_023177262.1|DHYD
OG0000015	LOC115758961|XP_030555623.1|DNOV	LOC111603745|XP_023177233.1|DHYD
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC115762311|XP_030560338.1|DNOV	LOC111600908|XP_023173032.2|DHYD
OG0000017	LOC115762076|XP_030560028.1|DNOV	LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC115759321|XP_030556091.1|DNOV	LOC111602301|XP_023175069.1|DHYD
OG0000017	LOC115769464|XP_030570137.1|DNOV	LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC115761250|XP_030558818.1|DNOV, LOC115761483|XP_030559109.1|DNOV, LOC115761251|XP_030558819.1|DNOV	LOC111592948|XP_023161193.2|DHYD
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC115762704|XP_030560888.1|DNOV, LOC115762687|XP_030560868.1|DNOV	LOC111600505|XP_023172401.2|DHYD, LOC111600499|XP_023172394.2|DHYD
OG0000018	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV	LOC111600493|XP_023172389.2|DHYD, LOC111600488|XP_023172383.1|DHYD
OG0000019	LOC115771722|XP_030573406.1|DNOV	LOC111598921|XP_023170159.1|DHYD
OG0000019	LOC115771978|XP_030573757.1|DNOV	LOC111603256|XP_023176531.2|DHYD
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC111598920|XP_023170158.2|DHYD
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC111603248|XP_023176523.1|DHYD
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC111594494|XP_030080618.1|DHYD
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC111598962|XP_023170216.2|DHYD
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC111596686|XP_023166760.2|DHYD
OG0000020	LOC115767924|XP_030568152.1|DNOV	LOC111604565|XP_023178433.2|DHYD
OG0000020	LOC115767925|XP_030568154.1|DNOV	LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC115769690|XP_030570474.1|DNOV	LOC111604510|XP_023178374.1|DHYD
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC111601219|XP_023173482.1|DHYD
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC111601270|XP_023173549.2|DHYD
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC111596996|XP_023167262.1|DHYD
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC111600652|XP_023172641.1|DHYD
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC111601220|XP_023173483.1|DHYD
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC111593360|XP_023161841.1|DHYD
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC111601414|XP_023173744.1|DHYD
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC111595585|XP_023165164.2|DHYD
OG0000022	LOC115762571|XP_030560717.1|DNOV	LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD
OG0000022	LOC115762577|XP_030560723.1|DNOV	LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD
OG0000022	LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC111602788|XP_023175829.2|DHYD
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC111602703|XP_023175706.2|DHYD
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC111602748|XP_023175768.2|DHYD
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC111600543|XP_023172455.2|DHYD
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC111602765|XP_023175792.2|DHYD
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC111602764|XP_023175791.1|DHYD
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC111602801|XP_023175861.1|DHYD
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC111602761|XP_023175787.2|DHYD
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV	LOC115482764|XP_030078553.1|DHYD
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC111592145|XP_023159959.2|DHYD
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC111598026|XP_023168817.2|DHYD
OG0000024	LOC115758109|XP_030554493.1|DNOV, LOC115758108|XP_030554492.1|DNOV, LOC115758107|XP_030554491.1|DNOV	LOC111599681|XP_023171155.2|DHYD
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC115483211|XP_030080335.1|DHYD, LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD
OG0000025	LOC115761982|XP_030559889.1|DNOV	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC111600180|XP_023171950.2|DHYD
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC111596354|XP_023166318.1|DHYD
OG0000026	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC111599153|XP_023170492.2|DHYD
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV	LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD
OG0000028	LOC115769432|XP_030570100.1|DNOV	LOC111605106|XP_023179215.2|DHYD
OG0000028	LOC115769342|XP_030569963.1|DNOV	LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC115763803|XP_030562410.1|DNOV	LOC111604160|XP_023177856.2|DHYD
OG0000029	LOC115763796|XP_030562398.1|DNOV	LOC111604075|XP_023177725.2|DHYD
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC111599253|XP_023170620.2|DHYD
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC111603775|XP_023177278.2|DHYD
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC111596081|XP_023165908.2|DHYD
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC111603826|XP_023177354.2|DHYD, LOC111603824|XP_030081369.1|DHYD
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC111596747|XP_030080079.1|DHYD
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC111598248|XP_023169180.2|DHYD
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC111594664|XP_023163834.1|DHYD
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC111599037|XP_023170323.1|DHYD
OG0000032	LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV	LOC111599021|XP_023170312.2|DHYD
OG0000032	LOC115771907|XP_030573657.1|DNOV	LOC111598594|XP_023169681.2|DHYD
OG0000032	LOC115771908|XP_030573658.1|DNOV	LOC111598586|XP_023169670.2|DHYD
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC111599962|XP_023171625.2|DHYD
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC111605044|XP_023179148.2|DHYD, LOC111605045|XP_023179149.1|DHYD, LOC111605037|XP_030080348.1|DHYD, LOC111605043|XP_030080420.1|DHYD, LOC111605018|XP_023179116.1|DHYD, LOC111595694|XP_023165308.2|DHYD, LOC115483536|XP_030081573.1|DHYD
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC111602472|XP_023175302.2|DHYD
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC111602462|XP_023175290.2|DHYD
OG0000034	LOC115759323|XP_030556094.1|DNOV	LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC111602665|XP_023175617.1|DHYD
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC111601529|XP_023173926.1|DHYD
OG0000036	LOC115766359|XP_030566119.1|DNOV	LOC111605324|XP_023179557.2|DHYD
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC111604322|XP_030081296.1|DHYD
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC111601750|XP_023174255.2|DHYD
OG0000037	LOC115764695|XP_030563749.1|DNOV	LOC111599598|XP_023171051.2|DHYD
OG0000037	LOC115758180|XP_030554581.1|DNOV	LOC111592218|XP_023160061.2|DHYD
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC111599549|XP_023170981.2|DHYD
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC111600216|XP_023172006.1|DHYD, LOC111600215|XP_023172005.2|DHYD
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC111602852|XP_023175933.1|DHYD
OG0000039	LOC115763887|XP_030562524.1|DNOV	LOC111604896|XP_023178904.1|DHYD, LOC111599287|XP_023170654.1|DHYD
OG0000039	LOC115766283|XP_030566011.1|DNOV	LOC111600203|XP_023171988.2|DHYD
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC111592722|XP_023160878.1|DHYD
OG0000040	LOC115759806|XP_030556753.1|DNOV	LOC111600706|XP_023172734.1|DHYD
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC111604247|XP_023178000.2|DHYD
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC111604248|XP_023178001.2|DHYD
OG0000040	LOC115764712|XP_030563772.1|DNOV	LOC115482741|XP_023177941.2|DHYD
OG0000040	LOC115764710|XP_030563770.1|DNOV	LOC111604209|XP_030080789.1|DHYD
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC111604211|XP_023177942.2|DHYD
OG0000040	LOC115764805|XP_030563912.1|DNOV	LOC111604244|XP_023177997.1|DHYD
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC111594486|XP_023163562.2|DHYD
OG0000041	LOC115766169|XP_030565871.1|DNOV	LOC111597538|XP_023168095.2|DHYD
OG0000041	LOC115770695|XP_030571950.1|DNOV	LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD
OG0000041	LOC115766040|XP_030565671.1|DNOV	LOC111597523|XP_023168066.2|DHYD
OG0000041	LOC115770759|XP_030572032.1|DNOV	LOC111604864|XP_023178867.2|DHYD
OG0000041	LOC115770764|XP_030572035.1|DNOV	LOC111604904|XP_023178911.2|DHYD
OG0000041	LOC115770708|XP_030571966.1|DNOV	LOC111604851|XP_023178852.2|DHYD
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV	LOC111599594|XP_023171048.2|DHYD, LOC111599620|XP_023171080.1|DHYD
OG0000042	LOC115760708|XP_030558036.1|DNOV	LOC111597714|XP_023168323.2|DHYD, LOC111597667|XP_023168258.2|DHYD, LOC111597668|XP_023168259.1|DHYD
OG0000042	LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV	LOC111597715|XP_023168324.2|DHYD
OG0000042	LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC111597713|XP_023168322.2|DHYD, LOC111597717|XP_023168325.1|DHYD
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC111600256|XP_023172069.2|DHYD
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC111604839|XP_023178838.2|DHYD
