Orthogroup	DNOV.longest_only	DBUS.longest_only
OG0000009	LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV	LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC115761844|XP_030559686.1|DNOV, LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC115761999|XP_030559927.1|DNOV, LOC115770900|XP_030572194.1|DNOV, LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV, LOC115761848|XP_030559690.1|DNOV, LOC115770577|XP_030571760.1|DNOV, LOC115762000|XP_030559928.1|DNOV	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC108599014|XP_017841282.1|DBUS
OG0000011	LOC115770116|XP_030571097.1|DNOV, LOC115769479|XP_030570160.1|DNOV, LOC115763449|XP_030561878.1|DNOV, LOC115769842|XP_030570677.1|DNOV	LOC108606030|XP_017851346.1|DBUS, LOC108600675|XP_017843868.1|DBUS
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC115760687|XP_030558014.1|DNOV	LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000015	LOC115759285|XP_030556047.1|DNOV	LOC108605744|XP_017851034.1|DBUS
OG0000015	LOC115758964|XP_030555627.1|DNOV	LOC108594831|XP_017835461.1|DBUS, LOC108603867|XP_017848527.1|DBUS, LOC108606193|XP_017851541.2|DBUS, LOC108604954|XP_017850016.1|DBUS, LOC108605941|XP_017851254.2|DBUS
OG0000015	LOC115758736|XP_030555346.1|DNOV	LOC117134842|XP_033149849.1|DBUS, LOC117134841|XP_033149848.1|DBUS, LOC108607907|XP_017854509.1|DBUS
OG0000015	LOC115770421|XP_030571547.1|DNOV	LOC117134844|XP_033149858.1|DBUS, LOC108598228|XP_017840333.1|DBUS
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC108603000|XP_017846884.1|DBUS
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC108596316|XP_017837414.1|DBUS
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC108596191|XP_017837194.1|DBUS
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC108601639|XP_017845028.2|DBUS
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC108599665|XP_017842156.1|DBUS
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC108594623|XP_017835255.1|DBUS
OG0000017	LOC115759321|XP_030556091.1|DNOV	LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC108594615|XP_017835248.1|DBUS
OG0000017	LOC115761250|XP_030558818.1|DNOV, LOC115761483|XP_030559109.1|DNOV, LOC115761251|XP_030558819.1|DNOV	LOC117134873|XP_033150152.1|DBUS, LOC108601314|XP_017844702.1|DBUS, LOC117134851|XP_033149937.1|DBUS, LOC108601332|XP_033149826.1|DBUS
OG0000017	LOC115765058|XP_030564291.1|DNOV	LOC108602535|XP_017846156.1|DBUS
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC108595879|XP_017836658.1|DBUS
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC108607612|XP_017854053.1|DBUS
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC108599199|XP_017841484.1|DBUS
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC108597971|XP_017840076.1|DBUS
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC108599156|XP_017841431.1|DBUS
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS
OG0000019	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV	LOC108602938|XP_017846769.1|DBUS
OG0000019	LOC115771722|XP_030573406.1|DNOV	LOC108602932|XP_017846764.1|DBUS
OG0000019	LOC115771978|XP_030573757.1|DNOV	LOC108602934|XP_017846766.1|DBUS
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC108602931|XP_017846763.1|DBUS
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC108602936|XP_017846767.1|DBUS
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC108602933|XP_017846765.1|DBUS
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC108604342|XP_017849258.1|DBUS
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC108607439|XP_017853757.2|DBUS
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC108603823|XP_017848442.1|DBUS
OG0000020	LOC115767924|XP_030568152.1|DNOV	LOC108604274|XP_033150157.1|DBUS
OG0000020	LOC115767925|XP_030568154.1|DNOV	LOC108603677|XP_033150131.1|DBUS
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC115769690|XP_030570474.1|DNOV	LOC108598850|XP_017841097.1|DBUS
OG0000021	LOC115768167|XP_030568564.1|DNOV	LOC108595011|XP_017835635.1|DBUS
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC108595010|XP_017835633.1|DBUS
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC108595013|XP_017835637.1|DBUS
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC108595009|XP_017835632.1|DBUS
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC108595428|XP_017836145.1|DBUS
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC108594982|XP_017835604.1|DBUS
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC108595014|XP_017835638.1|DBUS
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC108602127|XP_017845643.1|DBUS
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC108595778|XP_017836559.1|DBUS
OG0000022	LOC115762571|XP_030560717.1|DNOV	LOC108599848|XP_017842465.1|DBUS
OG0000022	LOC115762577|XP_030560723.1|DNOV	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	LOC117134624|XP_033150075.1|DBUS
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC108601632|XP_017845020.1|DBUS
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC108601651|XP_017845040.1|DBUS
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC108604301|XP_017849208.1|DBUS
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC108596143|XP_017837125.1|DBUS
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC108604433|XP_017849396.1|DBUS
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC108601245|XP_033150074.1|DBUS
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC108602727|XP_017846368.1|DBUS
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC108602726|XP_017846367.1|DBUS
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC115758184|XP_030554584.1|DNOV	LOC108594640|XP_017835273.1|DBUS
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC108596281|XP_017837347.1|DBUS
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS
OG0000024	LOC115759954|XP_030556957.1|DNOV	LOC108595394|XP_017836112.1|DBUS
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS
OG0000025	LOC115761982|XP_030559889.1|DNOV	LOC117134728|XP_033149262.1|DBUS
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC108606562|XP_017852268.1|DBUS
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC108597443|XP_017839499.1|DBUS
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC108600961|XP_017844639.1|DBUS
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV	LOC108598252|XP_017840356.2|DBUS
OG0000028	LOC115769430|XP_030570098.1|DNOV	LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS
OG0000028	LOC115769342|XP_030569963.1|DNOV	LOC108598250|XP_017840354.1|DBUS
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC108601292|XP_017844680.1|DBUS
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC108599285|XP_017841572.1|DBUS
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC108608102|XP_033150830.1|DBUS
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC108605352|XP_017850510.1|DBUS
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC108596350|XP_017837498.1|DBUS
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC108604099|XP_017848870.1|DBUS
OG0000032	LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV	LOC108601631|XP_017845019.1|DBUS
OG0000032	LOC115764177|XP_030562923.1|DNOV	LOC108601658|XP_017845046.1|DBUS
OG0000032	LOC115771908|XP_030573658.1|DNOV	LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC108596493|XP_017837798.1|DBUS
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC108594868|XP_017835496.1|DBUS
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC108600656|XP_017843844.2|DBUS
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC108597722|XP_017839907.2|DBUS
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC108608325|XP_017855153.2|DBUS
OG0000034	LOC115759323|XP_030556094.1|DNOV	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS
OG0000034	LOC115758512|XP_030555064.1|DNOV	LOC108597047|XP_017838843.1|DBUS
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS
OG0000036	LOC115766359|XP_030566119.1|DNOV	LOC108607107|XP_017853223.1|DBUS
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS
OG0000037	LOC115758180|XP_030554581.1|DNOV	LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS
OG0000039	LOC115763887|XP_030562524.1|DNOV	LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS
OG0000039	LOC115766283|XP_030566011.1|DNOV	LOC108606087|XP_017851422.2|DBUS
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC108605392|XP_017850551.1|DBUS
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC108601310|XP_017844699.1|DBUS
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC108603822|XP_017848441.1|DBUS
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV	LOC108604808|XP_017849901.1|DBUS
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC117134625|XP_033150105.1|DBUS
OG0000041	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV	LOC108604138|XP_017848936.1|DBUS
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV	LOC117134763|XP_033149297.1|DBUS
OG0000042	LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC108602049|XP_017845549.1|DBUS
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC117134835|XP_033149811.1|DBUS
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC108602073|XP_017845582.1|DBUS
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC108601821|XP_017845247.1|DBUS
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC108599876|XP_017842521.1|DBUS
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC108598310|XP_017840415.1|DBUS
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC108598311|XP_017840416.1|DBUS
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC108605353|XP_017850511.2|DBUS
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC108595086|XP_017835725.1|DBUS
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC108595112|XP_017835761.1|DBUS
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS
OG0000048	LOC115762848|XP_030561084.1|DNOV	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC108599702|XP_017842187.2|DBUS
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC115761458|XP_030559085.1|DNOV	LOC108601427|XP_017844814.1|DBUS
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC108604094|XP_017848864.1|DBUS
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC108604092|XP_017848863.1|DBUS
OG0000049	LOC115761399|XP_030559017.1|DNOV	LOC108602189|XP_017845724.1|DBUS
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC108602386|XP_017845985.1|DBUS
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC108601428|XP_017844815.1|DBUS
OG0000050	LOC115770328|XP_030571426.1|DNOV	LOC108598030|XP_017840133.2|DBUS
OG0000050	LOC115770322|XP_030571419.1|DNOV	LOC108598031|XP_017840135.1|DBUS
OG0000051	LOC115763752|XP_030562324.1|DNOV	LOC108602122|XP_017845638.1|DBUS
OG0000051	LOC115761373|XP_030558983.1|DNOV	LOC108603519|XP_017847901.1|DBUS
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS
OG0000052	LOC115771518|XP_030573117.1|DNOV	LOC108595895|XP_017836674.1|DBUS
OG0000052	LOC115771510|XP_030573105.1|DNOV	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS
OG0000053	LOC115771927|XP_030573689.1|DNOV	LOC108596657|XP_017838132.1|DBUS
OG0000053	LOC115771866|XP_030573609.1|DNOV	LOC108596656|XP_017838131.1|DBUS
OG0000053	LOC115771921|XP_030573679.1|DNOV	LOC108596363|XP_017837514.1|DBUS
OG0000053	LOC115771855|XP_030573599.1|DNOV	LOC108596359|XP_017837509.1|DBUS
OG0000053	LOC115771936|XP_030573699.1|DNOV	LOC108596165|XP_017837161.1|DBUS
OG0000054	LOC115766043|XP_030565674.1|DNOV	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS
OG0000054	LOC115770765|XP_030572036.1|DNOV	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV	LOC108602318|XP_017845891.1|DBUS
OG0000056	LOC115764822|XP_030563931.1|DNOV	LOC108601235|XP_017844623.1|DBUS
OG0000056	LOC115764820|XP_030563929.1|DNOV	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS
OG0000056	LOC115764821|XP_030563930.1|DNOV	LOC108602080|XP_017845593.1|DBUS
OG0000058	LOC115758934|XP_030555595.1|DNOV	LOC108602861|XP_017846639.2|DBUS
OG0000058	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV	LOC117135039|XP_033150759.1|DBUS
OG0000058	LOC115766835|XP_030566732.1|DNOV	LOC108606881|XP_017852895.1|DBUS
OG0000059	LOC115764107|XP_030562822.1|DNOV	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS
OG0000059	LOC115764042|XP_030562742.1|DNOV	LOC108602589|XP_017846217.1|DBUS
OG0000059	LOC115764210|XP_030562960.1|DNOV	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS
OG0000059	LOC115764024|XP_030562715.1|DNOV	LOC108602778|XP_017846473.2|DBUS
OG0000060	LOC115768497|XP_030568943.1|DNOV	LOC108605486|XP_017850670.1|DBUS
