Orthogroup	DNOV.longest_only	DSUZ.longest_only
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC108020009|XP_016943583.1|DSUZ
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC108014235|XP_016935760.2|DSUZ
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC115770894|XP_030572189.1|DNOV	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC108014626|XP_016936278.1|DSUZ
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC118877317|XP_036671430.1|DSUZ
OG0000010	LOC115759945|XP_030556945.1|DNOV	LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC108015091|XP_036676218.1|DSUZ, LOC108012407|XP_016933256.1|DSUZ
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC118877899|XP_036674305.1|DSUZ
OG0000011	LOC115764504|XP_030563454.1|DNOV	LOC108019539|XP_036675111.1|DSUZ
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC108018484|XP_016941530.2|DSUZ
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC108015759|XP_036673283.1|DSUZ
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC108007391|XP_016926534.2|DSUZ
OG0000014	LOC115764910|XP_030564070.1|DNOV, LOC115765837|XP_030565423.1|DNOV, LOC115768056|XP_030568356.1|DNOV, LOC115767624|XP_030567782.1|DNOV	LOC118878839|XP_036677760.1|DSUZ
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC108016959|XP_016939387.2|DSUZ
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC108009982|XP_016930246.1|DSUZ
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC108011133|XP_016931695.1|DSUZ
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC108010965|XP_016931470.1|DSUZ
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC108006430|XP_016925443.1|DSUZ
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC108007764|XP_016927008.1|DSUZ
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC108015782|XP_016937825.2|DSUZ
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC108009905|XP_016930117.1|DSUZ
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC108019403|XP_016942713.1|DSUZ
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC108012738|XP_016933660.1|DSUZ
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC108012644|XP_016933559.1|DSUZ
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC108012663|XP_016933579.1|DSUZ
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC108013582|XP_016934999.1|DSUZ
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC108016142|XP_016938246.1|DSUZ
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC108016158|XP_036675606.1|DSUZ
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC108016141|XP_016938245.1|DSUZ
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC108009233|XP_016928887.1|DSUZ
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC108015714|XP_036672549.1|DSUZ
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC108010610|XP_036674725.1|DSUZ
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC108015921|XP_016937993.1|DSUZ
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC108009589|XP_016929550.1|DSUZ
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC108009874|XP_016930066.1|DSUZ
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC108008720|XP_016928109.1|DSUZ
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC108012220|XP_036675724.1|DSUZ
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC108006427|XP_036673222.1|DSUZ
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC108018719|XP_036672548.1|DSUZ
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC108005418|XP_036676931.1|DSUZ
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC108008926|XP_016928324.1|DSUZ
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ, LOC108013018|XP_016934098.1|DSUZ
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	LOC108013955|XP_036675219.1|DSUZ
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC108013952|XP_016935450.2|DSUZ
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC108019337|XP_016942646.2|DSUZ
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC108009166|XP_016928770.1|DSUZ
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC108018731|XP_036675082.1|DSUZ
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC108013954|XP_016935453.2|DSUZ
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC108013962|XP_016935466.1|DSUZ
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC108013947|XP_036675218.1|DSUZ
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC108013965|XP_016935470.1|DSUZ
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC108019756|XP_016943207.1|DSUZ
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC108021408|XP_016945604.1|DSUZ, LOC108016763|XP_016939005.1|DSUZ
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC118878857|XP_036677777.1|DSUZ, LOC108016325|XP_016938451.2|DSUZ, LOC108016331|XP_036678431.1|DSUZ
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC108004556|XP_016922979.1|DSUZ
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC108010503|XP_036668665.1|DSUZ
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC108013851|XP_016935328.2|DSUZ
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC118879783|XP_036678676.1|DSUZ
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC108015770|XP_036678674.1|DSUZ
OG0000028	LOC115769342|XP_030569963.1|DNOV	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC108019543|XP_016942870.2|DSUZ
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC108013240|XP_036677776.1|DSUZ
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC108016627|XP_016938811.1|DSUZ
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC108018357|XP_036672791.1|DSUZ
OG0000032	LOC115771910|XP_030573660.1|DNOV	LOC108018355|XP_036672792.1|DSUZ, LOC108018356|XP_036672750.1|DSUZ, LOC108007773|XP_036672793.1|DSUZ, LOC108018396|XP_036672794.1|DSUZ
OG0000032	LOC115771703|XP_030573383.1|DNOV	LOC108007821|XP_016927075.2|DSUZ
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC118877527|XP_036672470.1|DSUZ, LOC108020436|XP_036671704.1|DSUZ, LOC108008155|XP_016927432.2|DSUZ, LOC108010823|XP_016931314.1|DSUZ, LOC108012454|XP_016933333.1|DSUZ, LOC108013705|XP_016935119.2|DSUZ, LOC108010908|XP_016931435.1|DSUZ, LOC108017678|XP_016940276.1|DSUZ, LOC108017971|XP_016940757.1|DSUZ
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC108017970|XP_016940756.2|DSUZ
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC108021477|XP_016945708.1|DSUZ
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC108021476|XP_016945707.1|DSUZ
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC108021724|XP_016946052.1|DSUZ
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC108011927|XP_016932664.1|DSUZ
OG0000035	LOC115769245|XP_030569818.1|DNOV, LOC115765163|XP_030564433.1|DNOV, LOC115763906|XP_030562569.1|DNOV, LOC115771444|XP_030573014.1|DNOV, LOC115768248|XP_030568637.1|DNOV, LOC115768946|XP_030569524.1|DNOV, LOC115761331|XP_030558923.1|DNOV	LOC118877839|XP_036673931.1|DSUZ
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC108019328|XP_036675087.1|DSUZ
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC108006404|XP_016925415.2|DSUZ
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC108011658|XP_016932343.2|DSUZ
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC108007854|XP_036674140.1|DSUZ
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC108018132|XP_016941074.1|DSUZ
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC108020759|XP_016944626.2|DSUZ
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC108010653|XP_036670653.1|DSUZ
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC108016023|XP_016938107.2|DSUZ
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC108006280|XP_016925226.1|DSUZ
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC108006287|XP_016925235.1|DSUZ
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC108019017|XP_016942120.1|DSUZ
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC108016198|XP_036675321.1|DSUZ, LOC108006036|XP_036674433.1|DSUZ
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC108006007|XP_036674432.1|DSUZ
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	LOC108011397|XP_016932008.2|DSUZ, LOC108011398|XP_036675473.1|DSUZ, LOC108007390|XP_036675323.1|DSUZ, LOC108007385|XP_016926531.2|DSUZ
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC108007382|XP_016926528.2|DSUZ
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC108010783|XP_016931200.1|DSUZ
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC108017900|XP_016940559.1|DSUZ, LOC108017907|XP_016940566.1|DSUZ, LOC108017901|XP_016940560.1|DSUZ, LOC108017904|XP_036669901.1|DSUZ, LOC108017721|XP_016940320.2|DSUZ, LOC108017910|XP_016940568.2|DSUZ, LOC108017722|XP_016940321.2|DSUZ
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC108006051|XP_036674427.1|DSUZ
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC108012094|XP_016932860.2|DSUZ
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC108007932|XP_036674251.1|DSUZ, LOC108007930|XP_036674252.1|DSUZ
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC108011721|XP_016932432.2|DSUZ
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC108004812|XP_036670921.1|DSUZ
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC108012264|XP_016933053.1|DSUZ, LOC108012265|XP_016933055.1|DSUZ
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC108005813|XP_016924631.1|DSUZ
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC108005814|XP_016924632.1|DSUZ
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC108014937|XP_016936647.1|DSUZ, LOC108014936|XP_016936646.1|DSUZ
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC108015074|XP_016936802.1|DSUZ, LOC108011093|XP_036674691.1|DSUZ, LOC108011091|XP_016931645.2|DSUZ, LOC108011090|XP_016931644.1|DSUZ, LOC108008133|XP_016927411.1|DSUZ, LOC108011098|XP_036674670.1|DSUZ
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC108008555|XP_016927914.1|DSUZ
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC108019650|XP_016943022.1|DSUZ
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC108019638|XP_016943010.1|DSUZ
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC108011323|XP_016931922.2|DSUZ, LOC108011315|XP_016931911.1|DSUZ
OG0000048	LOC115762848|XP_030561084.1|DNOV	LOC108007323|XP_016926460.1|DSUZ
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC108007321|XP_016926458.2|DSUZ
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC108019378|XP_016942690.1|DSUZ
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC108020793|XP_016944660.2|DSUZ
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC108020795|XP_016944662.2|DSUZ
OG0000049	LOC115761399|XP_030559017.1|DNOV	LOC108019317|XP_016942627.2|DSUZ
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC108019319|XP_016942628.2|DSUZ
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC108020803|XP_016944672.2|DSUZ
