Orthogroup	DNOV.longest_only	CCAP.longest_only
OG0000008	LOC115762903|XP_030561140.1|DNOV	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC115762865|XP_030561099.1|DNOV	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC115765613|XP_030565123.1|DNOV	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC115765587|XP_030565097.1|DNOV	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC115765588|XP_030565098.1|DNOV	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC115765592|XP_030565101.1|DNOV	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC115763759|XP_030562333.1|DNOV	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC115761953|XP_030559852.1|DNOV	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC115770584|XP_030571769.1|DNOV	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC115760603|XP_030557904.1|DNOV	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC115760694|XP_030558018.1|DNOV	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC115760695|XP_030558019.1|DNOV	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC115760604|XP_030557906.1|DNOV	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC115761021|XP_030558495.1|DNOV	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC115766188|XP_030565895.1|DNOV	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC115761668|XP_030559377.1|DNOV	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC115764910|XP_030564070.1|DNOV, LOC115765837|XP_030565423.1|DNOV, LOC115768056|XP_030568356.1|DNOV, LOC115767624|XP_030567782.1|DNOV	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000016	LOC115761678|XP_030559394.1|DNOV, LOC115762276|XP_030560298.1|DNOV	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC115761707|XP_030559439.1|DNOV	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC115764479|XP_030563416.1|DNOV	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC115757701|XP_030553908.1|DNOV	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC115770022|XP_030570941.1|DNOV	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC115762746|XP_030560944.1|DNOV	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC115762718|XP_030560904.1|DNOV	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC115762873|XP_030561108.1|DNOV	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC115762704|XP_030560888.1|DNOV, LOC115762687|XP_030560868.1|DNOV	CCAP1982_LOCUS12538|CAD7004117.1|CCAP, CCAP1982_LOCUS12539|CAD7004118.1|CCAP, CCAP1982_LOCUS12541|CAD7004120.1|CCAP
OG0000018	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV	CCAP1982_LOCUS12554|CAD7004133.1|CCAP
OG0000018	LOC115762728|XP_030560922.1|DNOV	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC115764021|XP_030562712.1|DNOV	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC115758764|XP_030555385.1|DNOV	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC115758337|XP_030554771.1|DNOV	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC115771758|XP_030573467.1|DNOV	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC115757997|XP_030554350.1|DNOV	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC115761263|XP_030558837.1|DNOV, LOC115761778|XP_030559575.1|DNOV, LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC115761262|XP_030558836.1|DNOV	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC115761326|XP_030558919.1|DNOV	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC115761659|XP_030559359.1|DNOV	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC115761434|XP_030559060.1|DNOV	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC115758184|XP_030554584.1|DNOV	CCAP1982_LOCUS20678|CAD7012593.1|CCAP, CCAP1982_LOCUS20681|CAD7012596.1|CCAP
OG0000024	LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC115770696|XP_030571951.1|DNOV	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV, LOC115764140|XP_030562874.1|DNOV	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC115765969|XP_030565582.1|DNOV	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC115765940|XP_030565545.1|DNOV	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000027	LOC115768547|XP_030569016.1|DNOV	CCAP1982_LOCUS8295|CAD6999772.1|CCAP
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV, LOC115767739|XP_030567914.1|DNOV	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC115760078|XP_030557121.1|DNOV	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC115759228|XP_030555983.1|DNOV, LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC115760051|XP_030557082.1|DNOV	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC115771909|XP_030573659.1|DNOV	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC115758611|XP_030555202.1|DNOV, LOC115759087|XP_030555781.1|DNOV, LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV, LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC115761531|XP_030559163.1|DNOV	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC115759641|XP_030556490.1|DNOV	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC115764000|XP_030562680.1|DNOV	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC115772100|XP_030573922.1|DNOV	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000036	LOC115766359|XP_030566119.1|DNOV	CCAP1982_LOCUS6228|CAD6997589.1|CCAP
OG0000037	LOC115761663|XP_030559406.1|DNOV	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC115761932|XP_030559822.1|DNOV, LOC115764695|XP_030563749.1|DNOV	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000037	LOC115758180|XP_030554581.1|DNOV	CCAP1982_LOCUS2611|CAD6993814.1|CCAP, CCAP1982_LOCUS2612|CAD6993816.1|CCAP
OG0000038	LOC115769340|XP_030569961.1|DNOV	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV, LOC115766040|XP_030565671.1|DNOV, LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC115770548|XP_030571710.1|DNOV	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC115770561|XP_030571734.1|DNOV, LOC115770570|XP_030571745.1|DNOV	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC115770712|XP_030571969.1|DNOV	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC115770689|XP_030571941.1|DNOV, LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC115766148|XP_030565844.1|DNOV	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC115771022|XP_030572403.1|DNOV	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC115771240|XP_030572702.1|DNOV	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC115771239|XP_030572701.1|DNOV	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC115771237|XP_030572698.1|DNOV	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC115757956|XP_030554291.1|DNOV	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC115762856|XP_030561091.1|DNOV	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC115762855|XP_030561090.1|DNOV	CCAP1982_LOCUS14843|CAD7006529.1|CCAP, CCAP1982_LOCUS14840|CAD7006526.1|CCAP, CCAP1982_LOCUS14844|CAD7006530.1|CCAP, CCAP1982_LOCUS14839|CAD7006525.1|CCAP, CCAP1982_LOCUS14841|CAD7006527.1|CCAP
OG0000048	LOC115762848|XP_030561084.1|DNOV, LOC115762847|XP_030561083.1|DNOV	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC115762857|XP_030561093.1|DNOV	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC115761542|XP_030559185.1|DNOV	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC115761399|XP_030559017.1|DNOV	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC115761457|XP_030559084.1|DNOV	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC115761552|XP_030559195.1|DNOV	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC115758280|XP_030554702.1|DNOV	CCAP1982_LOCUS13741|CAD7005381.1|CCAP
OG0000050	LOC115770327|XP_030571425.1|DNOV, LOC115770328|XP_030571426.1|DNOV, LOC115770326|XP_030571424.1|DNOV, LOC115770322|XP_030571419.1|DNOV	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC115763752|XP_030562324.1|DNOV	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC115767886|XP_030568111.1|DNOV, LOC115761373|XP_030558983.1|DNOV	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV, LOC115771518|XP_030573117.1|DNOV, LOC115771510|XP_030573105.1|DNOV	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC115771927|XP_030573689.1|DNOV, LOC115771866|XP_030573609.1|DNOV	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC115771921|XP_030573679.1|DNOV	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC115771855|XP_030573599.1|DNOV	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC115771936|XP_030573699.1|DNOV	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC115766043|XP_030565674.1|DNOV	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC115770765|XP_030572036.1|DNOV, LOC115766097|XP_030565772.1|DNOV	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC115758934|XP_030555595.1|DNOV, LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV, LOC115766835|XP_030566732.1|DNOV	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC115764095|XP_030562808.1|DNOV, LOC115764107|XP_030562822.1|DNOV, LOC115764042|XP_030562742.1|DNOV, LOC115764028|XP_030562719.1|DNOV, LOC115764210|XP_030562960.1|DNOV, LOC115764024|XP_030562715.1|DNOV	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC115765029|XP_030564252.1|DNOV	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
