Orthogroup	DNOV.longest_only	DMAU.longest_only
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC117135278|XP_033151337.1|DMAU
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC117141483|XP_033160852.1|DMAU
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC117143646|XP_033164316.1|DMAU
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	LOC117144283|XP_033165277.1|DMAU
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC117136506|XP_033153341.1|DMAU
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC115769342|XP_030569963.1|DNOV	LOC117139373|XP_033157513.1|DMAU
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC117148684|XP_033172115.1|DMAU
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC117148518|XP_033171816.1|DMAU, LOC117148443|XP_033171707.1|DMAU, LOC117148004|XP_033171054.1|DMAU
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC115771910|XP_030573660.1|DNOV	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC117138298|XP_033156189.1|DMAU
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC117150484|XP_033173274.1|DMAU
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC117137024|XP_033154116.1|DMAU
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC117147454|XP_033170230.1|DMAU
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC117143449|XP_033164048.1|DMAU
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	LOC117144294|XP_033165289.1|DMAU, LOC117144293|XP_033165288.1|DMAU
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC117143965|XP_033164790.1|DMAU
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC117143570|XP_033164205.1|DMAU
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC117145149|XP_033166580.1|DMAU
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC117143901|XP_033164698.1|DMAU
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC117143435|XP_033164032.1|DMAU
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC117139739|XP_033158187.1|DMAU
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC117139487|XP_033157699.1|DMAU
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC117139486|XP_033157698.1|DMAU
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC117147217|XP_033169922.1|DMAU, LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC117137896|XP_033155525.1|DMAU
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC117136744|XP_033153666.1|DMAU
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC117137194|XP_033154412.1|DMAU
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
OG0000048	LOC115762848|XP_030561084.1|DNOV	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC117140935|XP_033160022.1|DMAU
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC117144267|XP_033165261.1|DMAU
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC117143819|XP_033164555.1|DMAU
OG0000049	LOC115761399|XP_030559017.1|DNOV	LOC117145062|XP_033166468.1|DMAU
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC117145061|XP_033166467.1|DMAU
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC117144466|XP_033165523.1|DMAU
OG0000050	LOC115758280|XP_030554702.1|DNOV	LOC117136135|XP_033152731.1|DMAU
OG0000050	LOC115770327|XP_030571425.1|DNOV	LOC117142027|XP_033161782.1|DMAU
OG0000050	LOC115770328|XP_030571426.1|DNOV	LOC117142031|XP_033161786.1|DMAU
OG0000050	LOC115770326|XP_030571424.1|DNOV	LOC117142029|XP_033161784.1|DMAU
OG0000050	LOC115770322|XP_030571419.1|DNOV	LOC117142024|XP_033161778.1|DMAU
OG0000051	LOC115763752|XP_030562324.1|DNOV	LOC117143815|XP_033164552.1|DMAU
OG0000051	LOC115761373|XP_030558983.1|DNOV	LOC117143638|XP_033164307.1|DMAU
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU
OG0000052	LOC115771518|XP_030573117.1|DNOV	LOC117136886|XP_033153888.1|DMAU
OG0000052	LOC115771510|XP_030573105.1|DNOV	LOC117136885|XP_033153886.1|DMAU
OG0000053	LOC115771927|XP_030573689.1|DNOV	LOC117137106|XP_033154284.1|DMAU
OG0000053	LOC115771866|XP_030573609.1|DNOV	LOC117137105|XP_033154282.1|DMAU
OG0000053	LOC115771921|XP_030573679.1|DNOV	LOC117137096|XP_033154272.1|DMAU
OG0000053	LOC115771855|XP_030573599.1|DNOV	LOC117137094|XP_033154271.1|DMAU
OG0000053	LOC115771936|XP_030573699.1|DNOV	LOC117137107|XP_033154285.1|DMAU
OG0000054	LOC115766043|XP_030565674.1|DNOV	LOC117144491|XP_033165568.1|DMAU
OG0000054	LOC115770765|XP_030572036.1|DNOV	LOC117145202|XP_033166655.1|DMAU
OG0000054	LOC115766097|XP_030565772.1|DNOV	LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000055	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV	LOC117143478|XP_033164083.1|DMAU
OG0000056	LOC115764820|XP_030563929.1|DNOV	LOC117145913|XP_033167658.1|DMAU
OG0000056	LOC115764821|XP_030563930.1|DNOV	LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU
OG0000058	LOC115758934|XP_030555595.1|DNOV	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU
OG0000058	LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV	LOC117141672|XP_033161161.1|DMAU
OG0000058	LOC115766835|XP_030566732.1|DNOV	LOC117147163|XP_033169841.1|DMAU
OG0000059	LOC115764095|XP_030562808.1|DNOV	LOC117144061|XP_033164961.1|DMAU
OG0000059	LOC115764107|XP_030562822.1|DNOV	LOC117144560|XP_033165696.1|DMAU, LOC117144394|XP_033165420.1|DMAU
OG0000059	LOC115764042|XP_030562742.1|DNOV	LOC117143436|XP_033164033.1|DMAU
OG0000059	LOC115764028|XP_030562719.1|DNOV, LOC115764210|XP_030562960.1|DNOV, LOC115764024|XP_030562715.1|DNOV	LOC117143722|XP_033164415.1|DMAU
OG0000060	LOC115768521|XP_030568971.1|DNOV	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC115760275|XP_030557406.1|DNOV	LOC117141177|XP_033160409.1|DMAU
OG0000060	LOC115767943|XP_030568181.1|DNOV	LOC117144989|XP_033166351.1|DMAU
OG0000060	LOC115765029|XP_030564252.1|DNOV	LOC117142997|XP_033163243.1|DMAU
OG0000060	LOC115767352|XP_030567464.1|DNOV	LOC117147337|XP_033170084.1|DMAU
OG0000060	LOC115759170|XP_030555902.1|DNOV	LOC117150499|XP_033173294.1|DMAU
OG0000061	LOC115763134|XP_030561437.1|DNOV	LOC117144713|XP_033165946.1|DMAU
