Orthogroup	DNOV.longest_only	DMIR.longest_only
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR
OG0000006	LOC115768961|XP_030569544.1|DNOV	LOC117187301|XP_033245562.1|DMIR
OG0000006	LOC115770615|XP_030571811.1|DNOV, LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV	LOC108156704|XP_017143842.2|DMIR
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC108152482|XP_017137345.1|DMIR
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC108158336|XP_017146065.1|DMIR
OG0000010	LOC115770894|XP_030572189.1|DNOV	LOC108156705|XP_033245573.1|DMIR
OG0000010	LOC115761999|XP_030559927.1|DNOV, LOC115770900|XP_030572194.1|DNOV, LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV, LOC115761848|XP_030559690.1|DNOV	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC117187312|XP_033245576.1|DMIR
OG0000010	LOC115759945|XP_030556945.1|DNOV	LOC117187316|XP_033245580.1|DMIR
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC108153161|XP_017138453.1|DMIR
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC108154131|XP_017139754.1|DMIR
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC108159199|XP_017147755.1|DMIR
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC108152903|XP_017138042.1|DMIR
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC108151516|XP_033243870.1|DMIR
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC108154911|XP_017140853.2|DMIR, LOC117187087|XP_033244842.1|DMIR
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC117187120|XP_033245008.1|DMIR, LOC117187121|XP_033245009.1|DMIR, LOC108154243|XP_017139966.2|DMIR, LOC108154002|XP_033245010.1|DMIR
OG0000014	LOC115764910|XP_030564070.1|DNOV, LOC115765837|XP_030565423.1|DNOV, LOC115768056|XP_030568356.1|DNOV, LOC115767624|XP_030567782.1|DNOV	LOC117186505|XP_033243277.1|DMIR
OG0000015	LOC115761485|XP_030559111.1|DNOV	LOC108154428|XP_017140186.1|DMIR
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC108156024|XP_017142762.1|DMIR
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC108160302|XP_017149703.1|DMIR, LOC117190705|XP_033251658.1|DMIR
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC108155657|XP_017142098.1|DMIR
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC108159552|XP_017148467.1|DMIR, LOC117192977|XP_033253595.1|DMIR
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC108154361|XP_017140118.1|DMIR
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC117193102|XP_033253716.1|DMIR, LOC117194496|XP_033254943.1|DMIR, LOC117195216|XP_033255740.1|DMIR, LOC108159228|XP_017147821.1|DMIR
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC108156493|XP_017143475.1|DMIR
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC108150995|XP_017134834.1|DMIR
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC108159969|XP_017149141.1|DMIR, LOC108158038|XP_017145672.2|DMIR
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC108154022|XP_017139603.2|DMIR, LOC117191555|XP_033252276.1|DMIR
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC108160759|XP_017150448.1|DMIR
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC108159970|XP_017149142.1|DMIR
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC108161535|XP_017151304.1|DMIR, LOC108161536|XP_017151305.1|DMIR, LOC108161534|XP_017151303.1|DMIR
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC108150828|XP_017134625.1|DMIR
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC108150791|XP_017134583.1|DMIR
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC108150854|XP_017134645.1|DMIR
OG0000018	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV	LOC108150808|XP_017134601.1|DMIR, LOC108165552|XP_017157116.1|DMIR, LOC108165550|XP_017157115.1|DMIR, LOC108150800|XP_017134593.1|DMIR
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC108150838|XP_017134636.2|DMIR, LOC108165543|XP_017157105.1|DMIR
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC108157046|XP_017144351.1|DMIR, LOC108157045|XP_017144349.1|DMIR, LOC108157044|XP_017144348.1|DMIR
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC108157037|XP_017144339.1|DMIR
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC108157043|XP_017144347.2|DMIR
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC108157041|XP_017144346.1|DMIR, LOC108153982|XP_033245000.1|DMIR, LOC108157040|XP_017144345.2|DMIR
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC108156412|XP_017143346.1|DMIR
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC108159642|XP_033248178.1|DMIR
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC108163672|XP_017154587.1|DMIR
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC108155178|XP_017141337.1|DMIR
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC108156137|XP_017142939.1|DMIR
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC108163835|XP_033249247.1|DMIR, LOC108163643|XP_017154542.1|DMIR
OG0000021	LOC115769690|XP_030570474.1|DNOV	LOC108153591|XP_017139161.1|DMIR
OG0000021	LOC115768167|XP_030568564.1|DNOV	LOC117185775|XP_033246995.1|DMIR
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC117188002|XP_033246994.1|DMIR, LOC108160898|XP_017150659.2|DMIR
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC108159771|XP_017148818.1|DMIR, LOC117193201|XP_033253843.1|DMIR
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC108159581|XP_017148519.1|DMIR
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC108160670|XP_017150305.2|DMIR, LOC117188150|XP_033247446.1|DMIR
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC117185989|XP_033241901.1|DMIR, LOC108162397|XP_033252470.1|DMIR
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC108160899|XP_017150660.1|DMIR, LOC117193202|XP_033253844.1|DMIR
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC108164567|XP_033246575.1|DMIR
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC108156061|XP_017142833.1|DMIR
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC108156847|XP_017144055.1|DMIR
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC108164951|XP_017156435.1|DMIR
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC108158428|XP_017146199.1|DMIR, LOC117193272|XP_033253907.1|DMIR, LOC117193269|XP_033253905.1|DMIR
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC108152474|XP_017137333.2|DMIR, LOC117186204|XP_033242420.1|DMIR, LOC108152475|XP_017137334.2|DMIR, LOC108152465|XP_017137322.1|DMIR, LOC108152467|XP_017137323.2|DMIR, LOC108152472|XP_017137329.2|DMIR, LOC108152476|XP_017137336.1|DMIR, LOC108152473|XP_017137331.1|DMIR
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC108152470|XP_017137327.1|DMIR, LOC108152469|XP_017137325.1|DMIR
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC108153857|XP_033244801.1|DMIR
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC108155686|XP_017142144.1|DMIR
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC108155685|XP_017142143.1|DMIR
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC108158830|XP_017147022.1|DMIR
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC108153856|XP_033244802.1|DMIR
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC108157164|XP_017144562.1|DMIR
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC108156708|XP_017143845.1|DMIR
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC108156707|XP_017143844.1|DMIR
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC108156709|XP_033245059.1|DMIR
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC108160774|XP_017150465.1|DMIR, LOC117193757|XP_033254378.1|DMIR, LOC108160813|XP_017150525.2|DMIR, LOC108160883|XP_017150641.1|DMIR
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC108161382|XP_017151119.1|DMIR
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC117194080|XP_033254609.1|DMIR, LOC108160979|XP_017150769.1|DMIR
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC108159455|XP_017148242.1|DMIR
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC108162357|XP_017152552.1|DMIR, LOC108157728|XP_017145391.1|DMIR
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC108156793|XP_017143960.1|DMIR
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC108150850|XP_017134646.1|DMIR
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC108162957|XP_033248732.1|DMIR
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC108157162|XP_017144561.1|DMIR
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC108162948|XP_017153432.1|DMIR
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC108162947|XP_017153431.1|DMIR
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV	LOC117186464|XP_033243221.1|DMIR, LOC108165418|XP_033243407.1|DMIR, LOC108165419|XP_017156946.1|DMIR
OG0000028	LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV	LOC108165421|XP_017156949.1|DMIR
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC108154578|XP_017140369.1|DMIR
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC108150820|XP_017134616.1|DMIR
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC108161306|XP_017151015.1|DMIR
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC108161162|XP_017150872.2|DMIR
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC108160793|XP_017150492.1|DMIR
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC108151546|XP_033246807.1|DMIR
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC108154542|XP_017140365.1|DMIR
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC108161610|XP_017151398.1|DMIR
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC108156619|XP_017143664.1|DMIR
OG0000032	LOC115771910|XP_030573660.1|DNOV	LOC108156621|XP_017143666.1|DMIR
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC108157634|XP_017145264.1|DMIR, LOC108156618|XP_017143663.1|DMIR
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC117189759|XP_033250731.1|DMIR, LOC108159420|XP_017148176.1|DMIR
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC117187710|XP_033246345.1|DMIR, LOC108159419|XP_017148175.2|DMIR
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC108164271|XP_017155403.1|DMIR
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC108164069|XP_033249364.1|DMIR
OG0000034	LOC115759327|XP_030556099.1|DNOV	LOC117185901|XP_033249912.1|DMIR, LOC108162133|XP_017152203.1|DMIR, LOC108162132|XP_017152201.1|DMIR
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC108162131|XP_017152200.1|DMIR
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC108157733|XP_017145397.1|DMIR
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC117187198|XP_033245230.1|DMIR
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC108157106|XP_017144468.1|DMIR
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC108155636|XP_017142064.1|DMIR, LOC108155635|XP_017142061.1|DMIR
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC108160263|XP_017149626.1|DMIR
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC117195094|XP_033255640.1|DMIR, LOC117191092|XP_033251946.1|DMIR, LOC117194615|XP_033255034.1|DMIR, LOC117194588|XP_033255015.1|DMIR, LOC117194655|XP_033255061.1|DMIR, LOC117190599|XP_033251536.1|DMIR, LOC117194833|XP_033255201.1|DMIR, LOC117191511|XP_033252248.1|DMIR, LOC117191510|XP_033252247.1|DMIR, LOC117194839|XP_033255205.1|DMIR, LOC117191523|XP_033252256.1|DMIR, LOC117190815|XP_033251747.1|DMIR, LOC117194824|XP_033255196.1|DMIR, LOC117194825|XP_033255197.1|DMIR, LOC117195091|XP_033255638.1|DMIR, LOC117194549|XP_033254988.1|DMIR, LOC117194837|XP_033255204.1|DMIR, LOC117194807|XP_033255181.1|DMIR, LOC117194573|XP_033255006.1|DMIR, LOC117194587|XP_033255014.1|DMIR, LOC117194750|XP_033255142.1|DMIR, LOC117194591|XP_033255018.1|DMIR, LOC117194574|XP_033255007.1|DMIR, LOC117195092|XP_033255639.1|DMIR, LOC117194597|XP_033255024.1|DMIR, LOC117195100|XP_033255645.1|DMIR, LOC117194819|XP_033255192.1|DMIR, LOC117194975|XP_033255339.1|DMIR, LOC108153987|XP_033244827.1|DMIR, LOC117194660|XP_033255064.1|DMIR, LOC117194818|XP_033255191.1|DMIR, LOC117194604|XP_033255027.1|DMIR, LOC117194596|XP_033255023.1|DMIR, LOC117194601|XP_033255025.1|DMIR, LOC117195095|XP_033255641.1|DMIR, LOC117194843|XP_033255207.1|DMIR, LOC117191506|XP_033252242.1|DMIR, LOC117194661|XP_033255065.1|DMIR, LOC117194657|XP_033255062.1|DMIR, LOC117190601|XP_033251538.1|DMIR, LOC117194841|XP_033255206.1|DMIR, LOC117191508|XP_033252244.1|DMIR, LOC117194658|XP_033255063.1|DMIR, LOC117194702|XP_033255103.1|DMIR, LOC117194796|XP_033255174.1|DMIR, LOC117190600|XP_033251537.1|DMIR, LOC117194589|XP_033255016.1|DMIR, LOC117194409|XP_033254874.1|DMIR, LOC117194829|XP_033255199.1|DMIR, LOC117194605|XP_033255028.1|DMIR, LOC117194822|XP_033255195.1|DMIR, LOC117194333|XP_033254795.1|DMIR, LOC117194609|XP_033255031.1|DMIR, LOC117194407|XP_033254872.1|DMIR, LOC117195096|XP_033255642.1|DMIR, LOC117194649|XP_033255056.1|DMIR, LOC117190597|XP_033251535.1|DMIR, LOC117194650|XP_033255057.1|DMIR, LOC117190125|XP_033251100.1|DMIR, LOC108156646|XP_017143737.2|DMIR, LOC117190111|XP_033251090.1|DMIR, LOC117194816|XP_033255190.1|DMIR, LOC117194767|XP_033255155.1|DMIR, LOC117194745|XP_033255132.1|DMIR, LOC117194463|XP_033254917.1|DMIR, LOC117190114|XP_033251091.1|DMIR, LOC117194862|XP_033255219.1|DMIR, LOC117194858|XP_033255216.1|DMIR, LOC117194857|XP_033255215.1|DMIR, LOC117194328|XP_033254789.1|DMIR, LOC108156982|XP_017144263.2|DMIR, LOC117194327|XP_033254788.1|DMIR, LOC117194594|XP_033255020.1|DMIR, LOC117194845|XP_033255209.1|DMIR
OG0000037	LOC115764695|XP_030563749.1|DNOV	LOC117194606|XP_033255029.1|DMIR, LOC117194821|XP_033255194.1|DMIR, LOC117191507|XP_033252243.1|DMIR, LOC117194844|XP_033255208.1|DMIR, LOC117194584|XP_033255013.1|DMIR, LOC117194610|XP_033255032.1|DMIR
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC108165231|XP_017156759.1|DMIR
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC108151159|XP_017135077.1|DMIR
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC108153891|XP_033244233.1|DMIR
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC108165184|XP_017156747.1|DMIR
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC108165291|XP_017156818.1|DMIR
OG0000039	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV	LOC108151414|XP_017135496.1|DMIR
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC108160708|XP_017150372.1|DMIR
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC108154697|XP_017140535.2|DMIR, LOC108153853|XP_033245406.1|DMIR, LOC117187250|XP_033245404.1|DMIR, LOC108154215|XP_017139929.1|DMIR, LOC108154213|XP_017139927.1|DMIR
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC108154216|XP_017139931.1|DMIR
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	LOC108154686|XP_033245491.1|DMIR, LOC108154692|XP_017140530.1|DMIR, LOC108154966|XP_017140969.2|DMIR, LOC117186912|XP_033244139.1|DMIR
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC108154965|XP_017140968.1|DMIR
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC108156483|XP_017143450.1|DMIR
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC108156909|XP_017144147.1|DMIR, LOC108157457|XP_017145018.1|DMIR, LOC108154314|XP_017140061.1|DMIR, LOC108153890|XP_033244257.1|DMIR
