Orthogroup	DNOV.longest_only	DVIR.longest_only
OG0000005	LOC115761847|XP_030559689.1|DNOV	LOC116649819|XP_032288852.1|DVIR
OG0000006	LOC115761951|XP_030559850.1|DNOV	LOC6637025|XP_002060454.1|DVIR
OG0000006	LOC115761994|XP_030559922.1|DNOV	LOC116649803|XP_032288825.1|DVIR
OG0000006	LOC115768961|XP_030569544.1|DNOV	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV	LOC6630084|XP_002053094.1|DVIR
OG0000006	LOC115761841|XP_030559682.1|DNOV	LOC116649807|XP_032288833.1|DVIR
OG0000007	LOC115771065|XP_030572477.1|DNOV	LOC6623864|XP_002046827.1|DVIR
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC115767674|XP_030567827.1|DNOV	LOC6622991|XP_032290827.1|DVIR
OG0000007	LOC115767675|XP_030567828.1|DNOV	LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC115760652|XP_030557979.1|DNOV	LOC6625661|XP_002050782.1|DVIR
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV	LOC6624577|XP_032291102.1|DVIR
OG0000007	LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV	LOC6624526|XP_032291100.1|DVIR
OG0000007	LOC115767683|XP_030567835.1|DNOV	LOC6623051|XP_032290850.1|DVIR
OG0000007	LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV	LOC6623055|XP_002046521.1|DVIR
OG0000007	LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV	LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR
OG0000007	LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC115765612|XP_030565122.1|DNOV	LOC6631286|XP_002053525.1|DVIR
OG0000008	LOC115765593|XP_030565102.1|DNOV	LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC115763735|XP_030562294.1|DNOV	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC115760864|XP_030558278.1|DNOV	LOC6626762|XP_032292470.1|DVIR
OG0000009	LOC115758060|XP_030554434.1|DNOV	LOC6626659|XP_002049470.1|DVIR
OG0000009	LOC115762417|XP_030560473.1|DNOV	LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV	LOC6626544|XP_002050754.1|DVIR
OG0000009	LOC115760927|XP_030558362.1|DNOV	LOC6626543|XP_032292517.1|DVIR
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC115770894|XP_030572189.1|DNOV	LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC115770577|XP_030571760.1|DNOV	LOC116649826|XP_032288863.1|DVIR
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC116649824|XP_032288860.1|DVIR
OG0000010	LOC115759945|XP_030556945.1|DNOV	LOC6637029|XP_002060450.1|DVIR
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC6635697|XP_002059270.2|DVIR
OG0000011	LOC115764504|XP_030563454.1|DNOV	LOC26531915|XP_015024752.1|DVIR
OG0000011	LOC115762679|XP_030560853.1|DNOV	LOC6624097|XP_002046304.2|DVIR
OG0000011	LOC115759523|XP_030556331.1|DNOV	LOC6629279|XP_002054687.1|DVIR
OG0000011	LOC115770116|XP_030571097.1|DNOV	LOC6624639|XP_002048133.1|DVIR, LOC6624698|XP_002048132.1|DVIR
OG0000011	LOC115769479|XP_030570160.1|DNOV	LOC6624619|XP_002048380.1|DVIR
OG0000011	LOC115763449|XP_030561878.1|DNOV	LOC6634187|XP_002057780.1|DVIR
OG0000011	LOC115769842|XP_030570677.1|DNOV	LOC6622606|XP_002047207.2|DVIR
OG0000011	LOC115768719|XP_030569278.1|DNOV	LOC6624268|XP_002048361.3|DVIR
OG0000011	LOC115770699|XP_030571957.1|DNOV	LOC6624663|XP_032290219.1|DVIR
OG0000011	LOC115768733|XP_030569280.1|DNOV	LOC6623291|XP_032290221.1|DVIR
OG0000011	LOC115766963|XP_030566913.1|DNOV	LOC6622373|XP_002048410.2|DVIR
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC115758175|XP_030554576.1|DNOV	LOC6625066|XP_002049213.2|DVIR
OG0000012	LOC115758176|XP_030554577.1|DNOV	LOC6625067|XP_032293151.1|DVIR
OG0000012	LOC115760690|XP_030558016.1|DNOV	LOC6624919|XP_002050774.2|DVIR
OG0000012	LOC115760693|XP_030558017.1|DNOV	LOC26531760|XP_015030363.1|DVIR
OG0000012	LOC115760901|XP_030558328.1|DNOV	LOC6627007|XP_032292288.1|DVIR
OG0000012	LOC115761042|XP_030558517.1|DNOV	LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR
OG0000013	LOC115763733|XP_030562292.1|DNOV	LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC115764910|XP_030564070.1|DNOV, LOC115765837|XP_030565423.1|DNOV, LOC115768056|XP_030568356.1|DNOV, LOC115767624|XP_030567782.1|DNOV	LOC116650074|XP_032289316.1|DVIR
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC115759285|XP_030556047.1|DNOV	LOC116651432|XP_032293641.1|DVIR
OG0000015	LOC115758964|XP_030555627.1|DNOV	LOC116651430|XP_032293637.1|DVIR, LOC116651431|XP_032293638.1|DVIR
OG0000015	LOC115758736|XP_030555346.1|DNOV	LOC6629199|XP_002051601.2|DVIR
OG0000015	LOC115770421|XP_030571547.1|DNOV	LOC26531129|XP_015031696.1|DVIR
OG0000015	LOC115759089|XP_030555783.1|DNOV	LOC26531900|XP_015029004.1|DVIR
OG0000015	LOC115759088|XP_030555782.1|DNOV	LOC26530539|XP_015028823.1|DVIR
OG0000015	LOC115758931|XP_030555591.1|DNOV	LOC6629186|XP_002051591.1|DVIR
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC115762311|XP_030560338.1|DNOV	LOC6635873|XP_002059346.1|DVIR
OG0000017	LOC115762076|XP_030560028.1|DNOV	LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC115759321|XP_030556091.1|DNOV	LOC6628970|XP_032293497.1|DVIR
OG0000017	LOC115769464|XP_030570137.1|DNOV	LOC6623565|XP_032291328.1|DVIR
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC115761483|XP_030559109.1|DNOV	LOC6630620|XP_032292274.1|DVIR
OG0000017	LOC115761251|XP_030558819.1|DNOV	LOC116650326|XP_032289604.1|DVIR, LOC26531549|XP_032289465.1|DVIR
OG0000017	LOC115765058|XP_030564291.1|DNOV	LOC6633214|XP_002055979.2|DVIR
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC115762704|XP_030560888.1|DNOV, LOC115762687|XP_030560868.1|DNOV	LOC6623325|XP_002046139.1|DVIR, LOC6623363|XP_002046142.1|DVIR
OG0000018	LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV	LOC6623104|XP_002046157.1|DVIR
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC115771723|XP_030573407.1|DNOV	LOC6630455|XP_032294460.1|DVIR
OG0000019	LOC115771721|XP_030573404.1|DNOV	LOC6630454|XP_032294467.1|DVIR
OG0000019	LOC115771722|XP_030573406.1|DNOV	LOC6630453|XP_002053914.1|DVIR
OG0000019	LOC115771978|XP_030573757.1|DNOV	LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC115767924|XP_030568152.1|DNOV	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC115769690|XP_030570474.1|DNOV	LOC6624373|XP_002047473.1|DVIR
OG0000021	LOC115768167|XP_030568564.1|DNOV	LOC6627017|XP_002049727.2|DVIR
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC115762571|XP_030560717.1|DNOV	LOC6622533|XP_002046430.1|DVIR
OG0000022	LOC115762572|XP_030560718.1|DNOV	LOC6622042|XP_002046436.1|DVIR, LOC116650060|XP_032289303.1|DVIR
OG0000022	LOC115762577|XP_030560723.1|DNOV	LOC6622522|XP_002046428.1|DVIR
OG0000022	LOC115762578|XP_030560724.1|DNOV	LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR
OG0000022	LOC115762576|XP_030560721.1|DNOV	LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV	LOC26530945|XP_015026270.1|DVIR
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV	LOC6632665|XP_002056434.1|DVIR
OG0000023	LOC115761264|XP_030558838.1|DNOV	LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR
OG0000024	LOC115758204|XP_030554612.1|DNOV	LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR
OG0000024	LOC115758193|XP_030554595.1|DNOV	LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC6625429|XP_002049266.1|DVIR
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC6625162|XP_002048929.1|DVIR
OG0000024	LOC115758109|XP_030554493.1|DNOV, LOC115758108|XP_030554492.1|DNOV, LOC115758107|XP_030554491.1|DNOV	LOC6626889|XP_002049423.1|DVIR
OG0000024	LOC115759954|XP_030556957.1|DNOV	LOC6628415|XP_002052328.1|DVIR
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC6628547|XP_002051859.1|DVIR, LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC116649799|XP_032288821.1|DVIR, LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC115770692|XP_030571944.1|DNOV	LOC6631256|XP_002053244.1|DVIR
OG0000026	LOC115768849|XP_030569408.1|DNOV	LOC6636025|XP_002059549.1|DVIR
OG0000026	LOC115768848|XP_030569407.1|DNOV	LOC6636164|XP_002059550.1|DVIR
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC6627465|XP_002052896.1|DVIR
OG0000027	LOC115768547|XP_030569016.1|DNOV	LOC6635631|XP_002059236.1|DVIR
OG0000028	LOC115769431|XP_030570099.1|DNOV	LOC6622578|XP_032291308.1|DVIR
OG0000028	LOC115769429|XP_030570097.1|DNOV	LOC116650753|XP_032291253.1|DVIR
OG0000028	LOC115769430|XP_030570098.1|DNOV	LOC6622591|XP_032290503.1|DVIR
OG0000028	LOC115769432|XP_030570100.1|DNOV	LOC6622560|XP_032290501.1|DVIR
OG0000028	LOC115769342|XP_030569963.1|DNOV	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC115763803|XP_030562410.1|DNOV	LOC6625353|XP_002050320.1|DVIR
OG0000029	LOC115763796|XP_030562398.1|DNOV	LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC115760655|XP_030557982.1|DNOV	LOC6627051|XP_002050832.1|DVIR
OG0000030	LOC115760698|XP_030558023.1|DNOV	LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC115771907|XP_030573657.1|DNOV	LOC6629978|XP_032294961.1|DVIR
OG0000032	LOC115764177|XP_030562923.1|DNOV	LOC6634892|XP_002058480.2|DVIR
OG0000032	LOC115771908|XP_030573658.1|DNOV	LOC6629977|XP_002054335.1|DVIR
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC115765180|XP_030564463.1|DNOV	LOC6630139|XP_002053622.1|DVIR
OG0000033	LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC6630138|XP_002053621.1|DVIR
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC115758328|XP_030554757.1|DNOV	LOC6627933|XP_015028329.1|DVIR
OG0000034	LOC115759021|XP_030555693.1|DNOV	LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC115759323|XP_030556094.1|DNOV	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR
OG0000034	LOC115758512|XP_030555064.1|DNOV	LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC6630607|XP_002054482.2|DVIR
OG0000036	LOC115766359|XP_030566119.1|DNOV	LOC6631850|XP_002055586.3|DVIR
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC6629970|XP_002053079.1|DVIR
OG0000037	LOC115764695|XP_030563749.1|DNOV	LOC6630819|XP_002054726.2|DVIR
OG0000037	LOC115758180|XP_030554581.1|DNOV	LOC26531412|XP_015030326.1|DVIR
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC6622648|XP_002047530.1|DVIR
