Orthogroup	DNOV.longest_only	DKIK.longest_only
OG0000011	LOC115764504|XP_030563454.1|DNOV	LOC108074026|XP_017021384.1|DKIK
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC115761485|XP_030559111.1|DNOV	LOC108083925|XP_017035412.1|DKIK, LOC108083915|XP_017035398.1|DKIK, LOC108083916|XP_017035400.1|DKIK
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC108074963|XP_017022684.1|DKIK
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC108083626|XP_017034986.1|DKIK
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC108076532|XP_017024932.1|DKIK
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC108070625|XP_017016677.1|DKIK
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC108071573|XP_017017843.1|DKIK
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC108084990|XP_017036905.1|DKIK
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC108084902|XP_017036785.1|DKIK
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC108084991|XP_017036906.1|DKIK
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC108075744|XP_017023787.1|DKIK
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC108077930|XP_017026994.1|DKIK
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC108072156|XP_017018689.1|DKIK
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC108072937|XP_017019783.1|DKIK
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC108072344|XP_017018923.1|DKIK
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC108085116|XP_017037095.1|DKIK
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC108072889|XP_017019701.1|DKIK
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC108072267|XP_017018826.1|DKIK
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC108073195|XP_017020199.1|DKIK
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC108077813|XP_017026825.1|DKIK
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC108080856|XP_017031249.1|DKIK
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC115762572|XP_030560718.1|DNOV	LOC108071491|XP_017017743.1|DKIK
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC108084054|XP_017035562.1|DKIK
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC108078099|XP_017027186.1|DKIK
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC108084052|XP_017035560.1|DKIK
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC108084215|XP_017035827.1|DKIK
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC108084051|XP_017035559.1|DKIK
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC108072495|XP_017019150.1|DKIK
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC108078211|XP_017027385.1|DKIK
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC108083463|XP_017034734.1|DKIK, LOC108086239|XP_017038600.1|DKIK
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC108076484|XP_017024865.1|DKIK, LOC108081074|XP_017031548.1|DKIK
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC108072841|XP_017019625.1|DKIK
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC108079592|XP_017029427.1|DKIK
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC108079588|XP_017029422.1|DKIK
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC108075768|XP_017023819.1|DKIK
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC108077325|XP_017026102.1|DKIK
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC108076161|XP_017024376.1|DKIK, LOC108076242|XP_017024479.1|DKIK
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC108077824|XP_017026839.1|DKIK
OG0000032	LOC115771910|XP_030573660.1|DNOV	LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC108080716|XP_017031056.1|DKIK, LOC108080717|XP_017031057.1|DKIK
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC108080718|XP_017031058.1|DKIK
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC108076836|XP_017025354.1|DKIK
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC108082755|XP_017033759.1|DKIK
OG0000035	LOC115769245|XP_030569818.1|DNOV, LOC115765163|XP_030564433.1|DNOV, LOC115763906|XP_030562569.1|DNOV, LOC115771444|XP_030573014.1|DNOV, LOC115768248|XP_030568637.1|DNOV, LOC115768946|XP_030569524.1|DNOV, LOC115761331|XP_030558923.1|DNOV	LOC108084695|XP_017036518.1|DKIK, LOC108077135|XP_017025839.1|DKIK, LOC108081469|XP_017032150.1|DKIK, LOC108084509|XP_017036235.1|DKIK
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC108084034|XP_017035539.1|DKIK
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC108081215|XP_017031778.1|DKIK
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC108080827|XP_017031220.1|DKIK
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC108081087|XP_017031565.1|DKIK
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC108082568|XP_017033513.1|DKIK
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC108073148|XP_017020150.1|DKIK, LOC108073159|XP_017020158.1|DKIK
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC108083255|XP_017034451.1|DKIK
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC108083246|XP_017034442.1|DKIK
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC108081169|XP_017031714.1|DKIK
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC108071695|XP_017017998.1|DKIK
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC108071709|XP_017018018.1|DKIK
OG0000039	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV	LOC108071673|XP_017017967.1|DKIK
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC108082955|XP_017034059.1|DKIK
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC108070642|XP_017016699.1|DKIK, LOC108084882|XP_017036766.1|DKIK
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC108084883|XP_017036767.1|DKIK
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	LOC108070735|XP_017016822.1|DKIK, LOC108070736|XP_017016823.1|DKIK, LOC108070662|XP_017016722.1|DKIK
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC108070710|XP_017016793.1|DKIK
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC108084976|XP_017036887.1|DKIK
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC108071265|XP_017017445.1|DKIK, LOC108071273|XP_017017453.1|DKIK, LOC108071358|XP_017017589.1|DKIK, LOC108072005|XP_017018471.1|DKIK, LOC108072016|XP_017018485.1|DKIK, LOC108072162|XP_017018696.1|DKIK, LOC108071355|XP_017017584.1|DKIK
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC108076653|XP_017025076.1|DKIK, LOC108076654|XP_017025077.1|DKIK, LOC108076655|XP_017025078.1|DKIK, LOC108076549|XP_017024949.1|DKIK, LOC108076658|XP_017025082.1|DKIK, LOC108076656|XP_017025079.1|DKIK, LOC108076652|XP_017025074.1|DKIK, LOC108076661|XP_017025084.1|DKIK, LOC108076660|XP_017025083.1|DKIK
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC108081508|XP_017032216.1|DKIK
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC108081478|XP_017032164.1|DKIK, LOC108081500|XP_017032208.1|DKIK
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC108081483|XP_017032171.1|DKIK, LOC108086038|XP_017038347.1|DKIK, LOC108081480|XP_017032168.1|DKIK
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC108071988|XP_017018451.1|DKIK
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC108072003|XP_017018467.1|DKIK, LOC108072022|XP_017018491.1|DKIK, LOC108072004|XP_017018470.1|DKIK, LOC108072010|XP_017018477.1|DKIK
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC108082753|XP_017033762.1|DKIK
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC108073518|XP_017020682.1|DKIK
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC108073353|XP_017020405.1|DKIK, LOC108073350|XP_017020403.1|DKIK
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC108073894|XP_017021172.1|DKIK
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC108073882|XP_017021156.1|DKIK
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC108083339|XP_017034572.1|DKIK, LOC108083340|XP_017034573.1|DKIK
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC108083611|XP_017034972.1|DKIK, LOC108083337|XP_017034570.1|DKIK, LOC108080985|XP_017031400.1|DKIK, LOC108080931|XP_017031324.1|DKIK, LOC108080891|XP_017031283.1|DKIK, LOC108080893|XP_017031285.1|DKIK, LOC108080892|XP_017031284.1|DKIK, LOC108080934|XP_017031327.1|DKIK, LOC108080984|XP_017031399.1|DKIK, LOC108080895|XP_017031286.1|DKIK, LOC108080933|XP_017031326.1|DKIK
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC108076538|XP_017024940.1|DKIK
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC108080858|XP_017031251.1|DKIK
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC108078780|XP_017028320.1|DKIK
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC108084399|XP_017036085.1|DKIK, LOC108084435|XP_017036132.1|DKIK
OG0000048	LOC115762848|XP_030561084.1|DNOV	LOC108084438|XP_017036136.1|DKIK, LOC108084434|XP_017036131.1|DKIK
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC108084433|XP_017036130.1|DKIK
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC108084436|XP_017036133.1|DKIK
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC108084080|XP_017035590.1|DKIK
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC108084068|XP_017035576.1|DKIK
OG0000049	LOC115761399|XP_030559017.1|DNOV	LOC108084077|XP_017035587.1|DKIK
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC108084023|XP_017035525.1|DKIK
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC108084019|XP_017035520.1|DKIK
OG0000050	LOC115758280|XP_030554702.1|DNOV	LOC108073068|XP_017020022.1|DKIK
OG0000050	LOC115770327|XP_030571425.1|DNOV	LOC108072753|XP_017019515.1|DKIK, LOC108072610|XP_017019326.1|DKIK
OG0000050	LOC115770328|XP_030571426.1|DNOV	LOC108072709|XP_017019438.1|DKIK, LOC108072761|XP_017019527.1|DKIK, LOC108072698|XP_017019426.1|DKIK
OG0000050	LOC115770326|XP_030571424.1|DNOV	LOC108072596|XP_017019300.1|DKIK
OG0000050	LOC115770322|XP_030571419.1|DNOV	LOC108072619|XP_017019339.1|DKIK
OG0000051	LOC115763752|XP_030562324.1|DNOV	LOC108083217|XP_017034415.1|DKIK
OG0000051	LOC115761373|XP_030558983.1|DNOV	LOC108085672|XP_017037854.1|DKIK
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV	LOC108084580|XP_017036343.1|DKIK, LOC108074446|XP_017021976.1|DKIK, LOC108085090|XP_017037048.1|DKIK, LOC108074588|XP_017022184.1|DKIK, LOC108084010|XP_017035511.1|DKIK, LOC108077591|XP_017026474.1|DKIK, LOC108084105|XP_017035621.1|DKIK, LOC108084092|XP_017035606.1|DKIK, LOC108084066|XP_017035574.1|DKIK
