Orthogroup	DNOV.longest_only	BCOP.longest_only
OG0000025	LOC115761982|XP_030559889.1|DNOV	LOC119070772|XP_037031150.1|BCOP, LOC119075399|XP_037037738.1|BCOP
OG0000026	LOC115770692|XP_030571944.1|DNOV, LOC115768849|XP_030569408.1|DNOV, LOC115768848|XP_030569407.1|DNOV, LOC115764140|XP_030562874.1|DNOV	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV, LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV, LOC115767739|XP_030567914.1|DNOV	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000030	LOC115760078|XP_030557121.1|DNOV, LOC115759228|XP_030555983.1|DNOV, LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV, LOC115767988|XP_030568248.1|DNOV, LOC115766352|XP_030566111.1|DNOV	LOC119070696|XP_037031044.1|BCOP
OG0000032	LOC115771909|XP_030573659.1|DNOV, LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV, LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000033	LOC115762530|XP_030560671.1|DNOV, LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC119070917|XP_037031350.1|BCOP
OG0000034	LOC115758611|XP_030555202.1|DNOV, LOC115759087|XP_030555781.1|DNOV, LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV, LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC119070319|XP_037030483.1|BCOP
OG0000036	LOC115766359|XP_030566119.1|DNOV	LOC119074646|XP_037036818.1|BCOP
OG0000037	LOC115761663|XP_030559406.1|DNOV, LOC115761932|XP_030559822.1|DNOV, LOC115764695|XP_030563749.1|DNOV, LOC115758180|XP_030554581.1|DNOV	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC119077484|XP_037040593.1|BCOP
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP
OG0000041	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV, LOC115766040|XP_030565671.1|DNOV, LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC119070988|XP_037031473.1|BCOP
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC119068087|XP_037027400.1|BCOP
OG0000043	LOC115770548|XP_030571710.1|DNOV, LOC115770561|XP_030571734.1|DNOV, LOC115770570|XP_030571745.1|DNOV	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC115770712|XP_030571969.1|DNOV, LOC115770689|XP_030571941.1|DNOV, LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV, LOC115766148|XP_030565844.1|DNOV	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000047	LOC115760745|XP_030558082.1|DNOV, LOC115757956|XP_030554291.1|DNOV, LOC115757840|XP_030554132.1|DNOV	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC115761458|XP_030559085.1|DNOV	LOC119081689|XP_037046681.1|BCOP
OG0000049	LOC115761547|XP_030559189.1|DNOV, LOC115761542|XP_030559185.1|DNOV, LOC115761399|XP_030559017.1|DNOV, LOC115761457|XP_030559084.1|DNOV, LOC115761552|XP_030559195.1|DNOV	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC115763752|XP_030562324.1|DNOV, LOC115767886|XP_030568111.1|DNOV, LOC115761373|XP_030558983.1|DNOV	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV, LOC115771518|XP_030573117.1|DNOV, LOC115771510|XP_030573105.1|DNOV	LOC119073702|XP_037035202.1|BCOP
OG0000053	LOC115771927|XP_030573689.1|DNOV, LOC115771866|XP_030573609.1|DNOV, LOC115771921|XP_030573679.1|DNOV	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC115771936|XP_030573699.1|DNOV	LOC119083998|XP_037049705.1|BCOP
OG0000054	LOC115766043|XP_030565674.1|DNOV, LOC115770765|XP_030572036.1|DNOV, LOC115766097|XP_030565772.1|DNOV	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC115764822|XP_030563931.1|DNOV, LOC115764820|XP_030563929.1|DNOV, LOC115764821|XP_030563930.1|DNOV	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000058	LOC115758934|XP_030555595.1|DNOV, LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV, LOC115766835|XP_030566732.1|DNOV	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC115768497|XP_030568943.1|DNOV, LOC115768521|XP_030568971.1|DNOV	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC115765029|XP_030564252.1|DNOV	LOC119069761|XP_037029789.1|BCOP
OG0000067	LOC115761742|XP_030559494.1|DNOV, LOC115769783|XP_030570610.1|DNOV	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC115762160|XP_030560137.1|DNOV, LOC115769836|XP_030570670.1|DNOV	LOC119085608|XP_037051927.1|BCOP
OG0000067	LOC115770913|XP_030572222.1|DNOV	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC115766532|XP_030566358.1|DNOV, LOC115765365|XP_030564748.1|DNOV	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP
OG0000070	LOC115758973|XP_030555636.1|DNOV, LOC115765204|XP_030564504.1|DNOV, LOC115759073|XP_030555762.1|DNOV, LOC115758728|XP_030555341.1|DNOV	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC115767110|XP_030567126.1|DNOV	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC115771374|XP_030572918.1|DNOV, LOC115771373|XP_030572916.1|DNOV, LOC115771375|XP_030572919.1|DNOV	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP
OG0000073	LOC115757880|XP_030554180.1|DNOV	LOC119072039|XP_037033052.1|BCOP
OG0000073	LOC115764211|XP_030562961.1|DNOV	LOC119069220|XP_037029092.1|BCOP
OG0000073	LOC115765214|XP_030564517.1|DNOV	LOC119085615|XP_037051934.1|BCOP
OG0000074	LOC115767646|XP_030567793.1|DNOV, LOC115767642|XP_030567789.1|DNOV, LOC115771062|XP_030572474.1|DNOV	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP
OG0000075	LOC115770432|XP_030571562.1|DNOV, LOC115770426|XP_030571554.1|DNOV, LOC115770110|XP_030571087.1|DNOV, LOC115770275|XP_030571359.1|DNOV, LOC115770445|XP_030571581.1|DNOV	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP
OG0000076	LOC115766967|XP_030566920.1|DNOV	LOC119071813|XP_037032779.1|BCOP
OG0000076	LOC115766325|XP_030566076.1|DNOV	LOC119068533|XP_037028044.1|BCOP
OG0000076	LOC115765287|XP_030564637.1|DNOV	LOC119066422|XP_037024794.1|BCOP
OG0000077	LOC115765531|XP_030565013.1|DNOV	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP
OG0000077	LOC115761940|XP_030559834.1|DNOV	LOC119076378|XP_037038990.1|BCOP
OG0000077	LOC115757826|XP_030554110.1|DNOV	LOC119071068|XP_037031598.1|BCOP
OG0000077	LOC115759443|XP_030556224.1|DNOV	LOC119069760|XP_037029786.1|BCOP
OG0000078	LOC115767483|XP_030567650.1|DNOV, LOC115767481|XP_030567645.1|DNOV, LOC115767473|XP_030567638.1|DNOV, LOC115770100|XP_030571073.1|DNOV, LOC115761731|XP_030559475.1|DNOV, LOC115764426|XP_030563287.1|DNOV, LOC115767246|XP_030567310.1|DNOV	LOC119072413|XP_037033522.1|BCOP
OG0000079	LOC115760029|XP_030557056.1|DNOV, LOC115760320|XP_030557468.1|DNOV, LOC115760319|XP_030557467.1|DNOV, LOC115760318|XP_030557466.1|DNOV, LOC115759928|XP_030556925.1|DNOV, LOC115760195|XP_030557285.1|DNOV	LOC119073294|XP_037034574.1|BCOP
OG0000080	LOC115762483|XP_030560581.1|DNOV, LOC115766550|XP_030566385.1|DNOV	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP
OG0000081	LOC115769469|XP_030570143.1|DNOV	LOC119072492|XP_037033632.1|BCOP
