Orthogroup	DNOV.longest_only	DEUG.longest_only
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC108106283|XP_017068739.1|DEUG
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC115761844|XP_030559686.1|DNOV, LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV	LOC108105230|XP_017067186.1|DEUG
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC108105967|XP_017068260.1|DEUG
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000014	LOC115764910|XP_030564070.1|DNOV, LOC115765837|XP_030565423.1|DNOV, LOC115768056|XP_030568356.1|DNOV, LOC115767624|XP_030567782.1|DNOV	LOC108110723|XP_017075400.1|DEUG, LOC108103093|XP_017063939.1|DEUG
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC108106955|XP_017069721.1|DEUG
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC108113063|XP_017078988.1|DEUG
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC108104154|XP_017065544.1|DEUG
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC108109233|XP_017073194.1|DEUG
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC108110339|XP_017074859.1|DEUG
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC108107531|XP_017070561.1|DEUG
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC108108164|XP_017071591.1|DEUG
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC108107616|XP_017070674.1|DEUG
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC108115822|XP_017082901.1|DEUG
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC108115829|XP_017082909.1|DEUG
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC108115823|XP_017082903.1|DEUG
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC108115820|XP_017082899.1|DEUG, LOC108115821|XP_017082900.1|DEUG
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC108116051|XP_017083239.1|DEUG
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC108109261|XP_017073233.1|DEUG
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC108106073|XP_017068419.1|DEUG, LOC108107101|XP_017069976.1|DEUG, LOC108106167|XP_017068567.1|DEUG
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC108117182|XP_017084963.1|DEUG
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC108116455|XP_017083873.1|DEUG
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC108107046|XP_017069896.1|DEUG
OG0000021	LOC115762362|XP_030560400.1|DNOV	LOC108110545|XP_017075123.1|DEUG
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC108112706|XP_017078416.1|DEUG
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC108112288|XP_017077598.1|DEUG
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC108112285|XP_017077596.1|DEUG
OG0000021	LOC115762372|XP_030560413.1|DNOV	LOC108109877|XP_017074162.1|DEUG
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC108105026|XP_017066911.1|DEUG
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC108117533|XP_017085522.1|DEUG
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC108111770|XP_017076824.1|DEUG
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC108110043|XP_017074396.1|DEUG
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC108113005|XP_017078913.1|DEUG
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC108102802|XP_017063462.1|DEUG, LOC108102800|XP_017063460.1|DEUG, LOC108102799|XP_017063459.1|DEUG, LOC108102798|XP_017063458.1|DEUG
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC108102801|XP_017063461.1|DEUG, LOC108102803|XP_017063463.1|DEUG, LOC108102797|XP_017063457.1|DEUG
OG0000023	LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV	LOC108115114|XP_017081855.1|DEUG
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC108115112|XP_017081853.1|DEUG
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC108115052|XP_017081788.1|DEUG
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC108112507|XP_017077883.1|DEUG
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC108115111|XP_017081852.1|DEUG
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC108115051|XP_017081787.1|DEUG
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC108115158|XP_017081958.1|DEUG
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC108115110|XP_017081851.1|DEUG
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC108115157|XP_017081956.1|DEUG
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC108106508|XP_017069090.1|DEUG, LOC108106507|XP_017069089.1|DEUG, LOC108106762|XP_017069491.1|DEUG, LOC108106506|XP_017069088.1|DEUG
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC108115421|XP_017082346.1|DEUG
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC108106503|XP_017069087.1|DEUG
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC108111932|XP_017077077.1|DEUG
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC108103147|XP_017064008.1|DEUG
OG0000025	LOC115762028|XP_030559953.1|DNOV	LOC108114004|XP_017080277.1|DEUG
OG0000025	LOC115761982|XP_030559889.1|DNOV	LOC108103398|XP_017064344.1|DEUG
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC108111839|XP_017076932.1|DEUG
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC108113449|XP_017079511.1|DEUG
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC108110172|XP_017074584.1|DEUG
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC108106863|XP_017069596.1|DEUG
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC108106870|XP_017069602.1|DEUG
OG0000028	LOC115769342|XP_030569963.1|DNOV	LOC108108455|XP_017071998.1|DEUG
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC108109409|XP_017073396.1|DEUG, LOC108109437|XP_017073427.1|DEUG, LOC108109436|XP_017073426.1|DEUG, LOC108109435|XP_017073425.1|DEUG, LOC108109445|XP_017073433.1|DEUG
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC108108451|XP_017071993.1|DEUG
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC108104028|XP_017065349.1|DEUG
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC108110445|XP_017075002.1|DEUG, LOC108110444|XP_017075001.1|DEUG
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC108109021|XP_017072783.1|DEUG
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC108103318|XP_017064237.1|DEUG
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC108104999|XP_017066865.1|DEUG
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC108111003|XP_017075802.1|DEUG
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC108111801|XP_017076881.1|DEUG
OG0000032	LOC115771910|XP_030573660.1|DNOV	LOC108111712|XP_017076751.1|DEUG, LOC108111717|XP_017076757.1|DEUG, LOC108111784|XP_017076858.1|DEUG, LOC108111805|XP_017076892.1|DEUG
OG0000032	LOC115771703|XP_030573383.1|DNOV	LOC108111711|XP_017076750.1|DEUG
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC108111718|XP_017076758.1|DEUG, LOC108111814|XP_017076907.1|DEUG, LOC108111713|XP_017076752.1|DEUG
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC108115450|XP_017082374.1|DEUG, LOC108115449|XP_017082373.1|DEUG, LOC108115445|XP_017082370.1|DEUG, LOC108115429|XP_017082354.1|DEUG, LOC108115474|XP_017082423.1|DEUG, LOC108115416|XP_017082341.1|DEUG, LOC108115417|XP_017082342.1|DEUG, LOC108112609|XP_017078188.1|DEUG, LOC108112610|XP_017078190.1|DEUG
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC108112608|XP_017078187.1|DEUG
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC108118434|XP_017086628.1|DEUG, LOC108118404|XP_017086569.1|DEUG
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC108118408|XP_017086572.1|DEUG
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC108118494|XP_017086716.1|DEUG
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC108113407|XP_017079451.1|DEUG
OG0000035	LOC115769245|XP_030569818.1|DNOV, LOC115765163|XP_030564433.1|DNOV, LOC115763906|XP_030562569.1|DNOV, LOC115771444|XP_030573014.1|DNOV, LOC115768248|XP_030568637.1|DNOV, LOC115768946|XP_030569524.1|DNOV, LOC115761331|XP_030558923.1|DNOV	LOC108118065|XP_017086097.1|DEUG
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC108115061|XP_017081795.1|DEUG
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC108105599|XP_017067763.1|DEUG
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC108114960|XP_017081642.1|DEUG
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC108116661|XP_017084141.1|DEUG
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC108112000|XP_017077225.1|DEUG
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC108117112|XP_017084823.1|DEUG, LOC108117111|XP_017084822.1|DEUG
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC108108735|XP_017072362.1|DEUG
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC108108809|XP_017072482.1|DEUG
OG0000039	LOC115764701|XP_030563759.1|DNOV	LOC108109615|XP_017073668.1|DEUG
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC108102893|XP_017063585.1|DEUG
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC108103025|XP_017063841.1|DEUG
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC108105051|XP_017066944.1|DEUG
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC108116469|XP_017083889.1|DEUG
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC108116470|XP_017083890.1|DEUG
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	LOC108111562|XP_017076575.1|DEUG, LOC108111560|XP_017076573.1|DEUG
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC108111548|XP_017076556.1|DEUG
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC108109350|XP_017073299.1|DEUG
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC108113674|XP_017079839.1|DEUG, LOC108113675|XP_017079840.1|DEUG, LOC108113676|XP_017079841.1|DEUG, LOC108113782|XP_017079974.1|DEUG, LOC108113689|XP_017079854.1|DEUG, LOC108113800|XP_017079997.1|DEUG, LOC108113672|XP_017079836.1|DEUG, LOC108113801|XP_017079998.1|DEUG
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC108112378|XP_017077703.1|DEUG, LOC108112385|XP_017077715.1|DEUG, LOC108112383|XP_017077713.1|DEUG, LOC108112381|XP_017077708.1|DEUG, LOC108112379|XP_017077705.1|DEUG, LOC108112382|XP_017077709.1|DEUG, LOC108112377|XP_017077699.1|DEUG, LOC108112386|XP_017077716.1|DEUG
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC108116482|XP_017083904.1|DEUG
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC108111569|XP_017076581.1|DEUG, LOC108116504|XP_017083929.1|DEUG
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC108116497|XP_017083918.1|DEUG, LOC108105204|XP_017067144.1|DEUG, LOC108116498|XP_017083919.1|DEUG
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC108113702|XP_017079868.1|DEUG
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC108113679|XP_017079844.1|DEUG, LOC108113668|XP_017079833.1|DEUG
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC108116281|XP_017083557.1|DEUG
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC108114047|XP_017080284.1|DEUG
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC108114051|XP_017080293.1|DEUG, LOC108113998|XP_017080232.1|DEUG
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC108107675|XP_017070752.1|DEUG
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC108107619|XP_017070678.1|DEUG
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC108104996|XP_017066862.1|DEUG, LOC108104997|XP_017066863.1|DEUG
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC108105004|XP_017066870.1|DEUG, LOC108116573|XP_017084003.1|DEUG, LOC108116534|XP_017083961.1|DEUG, LOC108116575|XP_017084005.1|DEUG, LOC108116563|XP_017083991.1|DEUG, LOC108116555|XP_017083982.1|DEUG, LOC108112347|XP_017077663.1|DEUG
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC108113383|XP_017079444.1|DEUG
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC108106728|XP_017069453.1|DEUG
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC108106783|XP_017069514.1|DEUG
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC108114267|XP_017080653.1|DEUG, LOC108114271|XP_017080657.1|DEUG
OG0000048	LOC115762848|XP_030561084.1|DNOV	LOC108114269|XP_017080655.1|DEUG
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC108113900|XP_017080095.1|DEUG
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC108114275|XP_017080660.1|DEUG
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC108117079|XP_017084741.1|DEUG
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC108117054|XP_017084715.1|DEUG
OG0000049	LOC115761399|XP_030559017.1|DNOV	LOC108117035|XP_017084693.1|DEUG
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC108117036|XP_017084694.1|DEUG
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC108117318|XP_017085175.1|DEUG
OG0000050	LOC115758280|XP_030554702.1|DNOV	LOC108106209|XP_017068623.1|DEUG
OG0000050	LOC115770327|XP_030571425.1|DNOV	LOC108116756|XP_017084264.1|DEUG
OG0000050	LOC115770328|XP_030571426.1|DNOV	LOC108116757|XP_017084265.1|DEUG
OG0000050	LOC115770326|XP_030571424.1|DNOV	LOC108116725|XP_017084231.1|DEUG
OG0000050	LOC115770322|XP_030571419.1|DNOV	LOC108116727|XP_017084233.1|DEUG
OG0000051	LOC115763752|XP_030562324.1|DNOV	LOC108109429|XP_017073417.1|DEUG
OG0000051	LOC115761373|XP_030558983.1|DNOV	LOC108117064|XP_017084724.1|DEUG
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV	LOC108109404|XP_017073394.1|DEUG, LOC108116631|XP_017084099.1|DEUG, LOC108109394|XP_017073383.1|DEUG, LOC108110610|XP_017075201.1|DEUG, LOC108110028|XP_017074367.1|DEUG, LOC108110036|XP_017074380.1|DEUG
OG0000052	LOC115771518|XP_030573117.1|DNOV	LOC108111978|XP_017077180.1|DEUG
OG0000052	LOC115771510|XP_030573105.1|DNOV	LOC108111977|XP_017077179.1|DEUG
OG0000053	LOC115771927|XP_030573689.1|DNOV	LOC108104547|XP_017066177.1|DEUG
