Orthogroup	DNOV.longest_only	DSER.longest_only
OG0000006	LOC115761962|XP_030559863.1|DNOV	LOC110182411|XP_020806107.1|DSER
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC110183810|XP_020807821.1|DSER
OG0000010	LOC115759945|XP_030556945.1|DNOV	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC115761485|XP_030559111.1|DNOV	LOC110188001|XP_020813183.1|DSER, LOC110188000|XP_020813182.1|DSER
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC110181407|XP_020804802.1|DSER
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC110185112|XP_020809466.1|DSER
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC110182974|XP_020806826.1|DSER
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC110189526|XP_020815315.1|DSER
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC110191952|XP_020818633.1|DSER
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC110179844|XP_020803110.1|DSER
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC110189651|XP_020815456.1|DSER
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC110189689|XP_020815522.1|DSER
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC110184702|XP_020808977.1|DSER
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC110184746|XP_020809033.1|DSER
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC110184752|XP_020809041.1|DSER
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC110186753|XP_020811674.1|DSER
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC110186746|XP_020811668.1|DSER
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC110186754|XP_020811675.1|DSER
OG0000019	LOC115771914|XP_030573663.1|DNOV	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC115764021|XP_030562712.1|DNOV	LOC110186419|XP_020811254.1|DSER
OG0000020	LOC115762420|XP_030560475.1|DNOV	LOC110179314|XP_020802461.1|DSER
OG0000020	LOC115758764|XP_030555385.1|DNOV	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER
OG0000020	LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV	LOC110188252|XP_020813584.1|DSER
OG0000020	LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV	LOC110186984|XP_020811998.1|DSER
OG0000020	LOC115758337|XP_030554771.1|DNOV	LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER
OG0000021	LOC115768250|XP_030568679.1|DNOV	LOC110180622|XP_020803965.1|DSER
OG0000021	LOC115763104|XP_030561408.1|DNOV	LOC110177674|XP_020800156.1|DSER
OG0000021	LOC115764505|XP_030563459.1|DNOV	LOC110177755|XP_020800276.1|DSER
OG0000021	LOC115772083|XP_030573900.1|DNOV	LOC110177907|XP_020800536.1|DSER
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC110184678|XP_020808951.1|DSER
OG0000021	LOC115771758|XP_030573467.1|DNOV	LOC110190995|XP_020817366.1|DSER
OG0000021	LOC115766401|XP_030566179.1|DNOV	LOC110189278|XP_020814959.1|DSER
OG0000022	LOC115757997|XP_030554350.1|DNOV	LOC110176354|XP_020798342.1|DSER
OG0000022	LOC115762577|XP_030560723.1|DNOV, LOC115762574|XP_030560719.1|DNOV, LOC115762578|XP_030560724.1|DNOV, LOC115762576|XP_030560721.1|DNOV	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER
OG0000022	LOC115762575|XP_030560720.1|DNOV	LOC110178662|XP_020801517.1|DSER
OG0000023	LOC115761267|XP_030558841.1|DNOV	LOC110188311|XP_020813678.1|DSER
OG0000023	LOC115761263|XP_030558837.1|DNOV	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER
OG0000023	LOC115761778|XP_030559575.1|DNOV	LOC110180829|XP_020804169.1|DSER
OG0000023	LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER
OG0000023	LOC115761262|XP_030558836.1|DNOV	LOC110188454|XP_020813842.1|DSER
OG0000023	LOC115761326|XP_030558919.1|DNOV	LOC110188692|XP_020814155.1|DSER
OG0000023	LOC115761659|XP_030559359.1|DNOV	LOC110188691|XP_020814154.1|DSER
OG0000023	LOC115761434|XP_030559060.1|DNOV	LOC110188690|XP_020814152.1|DSER
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV	LOC110179294|XP_020802438.1|DSER, LOC110179366|XP_020802540.1|DSER, LOC110179298|XP_020802443.1|DSER, LOC110179367|XP_020802541.1|DSER
OG0000024	LOC115763072|XP_030561360.1|DNOV	LOC110185697|XP_020810324.1|DSER
OG0000024	LOC115758183|XP_030554583.1|DNOV	LOC110179322|XP_020802473.1|DSER
OG0000024	LOC115764549|XP_030563528.1|DNOV	LOC110180569|XP_020803926.1|DSER
OG0000025	LOC115758436|XP_030554952.1|DNOV	LOC110182356|XP_020806054.1|DSER
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC110182152|XP_020805817.1|DSER, LOC110182423|XP_020806118.1|DSER, LOC110182432|XP_020806127.1|DSER, LOC110181330|XP_020804708.1|DSER, LOC110180699|XP_020804039.1|DSER
OG0000025	LOC115762028|XP_030559953.1|DNOV	LOC110182443|XP_020806137.1|DSER
OG0000026	LOC115771353|XP_030572886.1|DNOV	LOC110176041|XP_020797911.1|DSER
OG0000026	LOC115758902|XP_030555559.1|DNOV	LOC110182689|XP_020806441.1|DSER
OG0000026	LOC115764140|XP_030562874.1|DNOV	LOC110188271|XP_020813620.1|DSER
OG0000027	LOC115765969|XP_030565582.1|DNOV	LOC110176950|XP_020799111.1|DSER
OG0000027	LOC115765940|XP_030565545.1|DNOV	LOC110176929|XP_020799084.1|DSER
OG0000028	LOC115769431|XP_030570099.1|DNOV, LOC115769429|XP_030570097.1|DNOV, LOC115769430|XP_030570098.1|DNOV, LOC115769432|XP_030570100.1|DNOV, LOC115769342|XP_030569963.1|DNOV	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000029	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV	LOC110185765|XP_020810430.1|DSER
OG0000029	LOC115767739|XP_030567914.1|DNOV	LOC110178924|XP_020801869.1|DSER
OG0000030	LOC115760078|XP_030557121.1|DNOV	LOC110183999|XP_020808015.1|DSER
OG0000030	LOC115759228|XP_030555983.1|DNOV	LOC110184885|XP_020809189.1|DSER
OG0000030	LOC115760655|XP_030557982.1|DNOV, LOC115760698|XP_030558023.1|DNOV	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER
OG0000030	LOC115767988|XP_030568248.1|DNOV	LOC110180192|XP_020803508.1|DSER
OG0000030	LOC115766352|XP_030566111.1|DNOV	LOC110184177|XP_020808247.1|DSER
OG0000031	LOC115760051|XP_030557082.1|DNOV	LOC110183330|XP_020807237.1|DSER
OG0000032	LOC115771909|XP_030573659.1|DNOV	LOC110191017|XP_020817393.1|DSER
OG0000032	LOC115771910|XP_030573660.1|DNOV	LOC110189708|XP_020815547.1|DSER, LOC110190954|XP_020817297.1|DSER
OG0000032	LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000033	LOC115762530|XP_030560671.1|DNOV	LOC110189687|XP_020815520.1|DSER, LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER
OG0000033	LOC115765180|XP_030564463.1|DNOV, LOC115765742|XP_030565266.1|DNOV, LOC115766042|XP_030565673.1|DNOV	LOC110189686|XP_020815519.1|DSER
OG0000034	LOC115758611|XP_030555202.1|DNOV	LOC110184859|XP_020809159.1|DSER
OG0000034	LOC115759087|XP_030555781.1|DNOV	LOC110184879|XP_020809185.1|DSER
OG0000034	LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV	LOC110184890|XP_020809195.1|DSER
OG0000034	LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV	LOC110185768|XP_020810429.1|DSER
OG0000036	LOC115761531|XP_030559163.1|DNOV	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC115759641|XP_030556490.1|DNOV	LOC110191887|XP_020818531.1|DSER
OG0000036	LOC115764000|XP_030562680.1|DNOV	LOC110187659|XP_020812737.1|DSER
OG0000036	LOC115772100|XP_030573922.1|DNOV	LOC110186335|XP_020811144.1|DSER
OG0000037	LOC115761663|XP_030559406.1|DNOV	LOC110178458|XP_020801255.1|DSER
OG0000037	LOC115761932|XP_030559822.1|DNOV	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER
OG0000038	LOC115769340|XP_030569961.1|DNOV	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000038	LOC115769427|XP_030570094.1|DNOV	LOC110189906|XP_020815830.1|DSER
OG0000039	LOC115766337|XP_030566090.1|DNOV	LOC110181782|XP_020805320.1|DSER
OG0000039	LOC115767237|XP_030567298.1|DNOV	LOC110181861|XP_020805441.1|DSER
OG0000039	LOC115763887|XP_030562524.1|DNOV, LOC115766283|XP_030566011.1|DNOV	LOC110182039|XP_020805628.1|DSER
OG0000039	LOC115766288|XP_030566016.1|DNOV	LOC110181937|XP_020805533.1|DSER
OG0000040	LOC115764750|XP_030563834.1|DNOV	LOC110177295|XP_020799616.1|DSER, LOC110190225|XP_020816248.1|DSER
OG0000040	LOC115764751|XP_030563835.1|DNOV	LOC110190236|XP_020816258.1|DSER
OG0000040	LOC115764712|XP_030563772.1|DNOV, LOC115764710|XP_030563770.1|DNOV, LOC115764711|XP_030563771.1|DNOV	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER, LOC110177296|XP_020799617.1|DSER
OG0000040	LOC115764684|XP_030563733.1|DNOV	LOC110177417|XP_020799793.1|DSER
OG0000040	LOC115771625|XP_030573267.1|DNOV	LOC110186252|XP_020810992.1|DSER
OG0000041	LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER
OG0000042	LOC115761613|XP_030559276.1|DNOV, LOC115766969|XP_030566923.1|DNOV, LOC115760708|XP_030558036.1|DNOV, LOC115760858|XP_030558271.1|DNOV, LOC115760707|XP_030558035.1|DNOV, LOC115771107|XP_030572527.1|DNOV, LOC115760710|XP_030558038.1|DNOV, LOC115760709|XP_030558037.1|DNOV, LOC115760926|XP_030558361.1|DNOV, LOC115760860|XP_030558274.1|DNOV	LOC110191593|XP_020818136.1|DSER, LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER, LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER
OG0000043	LOC115770548|XP_030571710.1|DNOV	LOC110188004|XP_020813185.1|DSER
OG0000043	LOC115770561|XP_030571734.1|DNOV	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER
OG0000043	LOC115770570|XP_030571745.1|DNOV	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER
OG0000044	LOC115770712|XP_030571969.1|DNOV	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
OG0000044	LOC115770724|XP_030571983.1|DNOV, LOC115770670|XP_030571898.1|DNOV	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER
OG0000044	LOC115766148|XP_030565844.1|DNOV	LOC110186693|XP_020811620.1|DSER
OG0000045	LOC115771022|XP_030572403.1|DNOV	LOC110178672|XP_020801529.1|DSER
OG0000045	LOC115771240|XP_030572702.1|DNOV	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER
OG0000045	LOC115771239|XP_030572701.1|DNOV	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER
OG0000045	LOC115771237|XP_030572698.1|DNOV	LOC110187537|XP_020812593.1|DSER
OG0000046	LOC115768148|XP_030568502.1|DNOV	LOC110180077|XP_020803358.1|DSER, LOC110180079|XP_020803360.1|DSER
OG0000046	LOC115771633|XP_030573292.1|DNOV, LOC115771634|XP_030573293.1|DNOV, LOC115768146|XP_030568501.1|DNOV	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER, LOC110185913|XP_020810588.1|DSER, LOC110185924|XP_020810599.1|DSER, LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER
OG0000047	LOC115760745|XP_030558082.1|DNOV	LOC110176287|XP_020798269.1|DSER
OG0000047	LOC115757956|XP_030554291.1|DNOV	LOC110189583|XP_020815375.1|DSER
OG0000047	LOC115757840|XP_030554132.1|DNOV	LOC110189698|XP_020815532.1|DSER
OG0000048	LOC115762856|XP_030561091.1|DNOV	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER
OG0000048	LOC115762848|XP_030561084.1|DNOV	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER
OG0000048	LOC115762847|XP_030561083.1|DNOV	LOC110190447|XP_020816607.1|DSER
OG0000048	LOC115762857|XP_030561093.1|DNOV	LOC110190454|XP_020816613.1|DSER
OG0000049	LOC115761547|XP_030559189.1|DNOV	LOC110188535|XP_020813941.1|DSER
OG0000049	LOC115761542|XP_030559185.1|DNOV	LOC110188465|XP_020813853.1|DSER
OG0000049	LOC115761399|XP_030559017.1|DNOV	LOC110188330|XP_020813697.1|DSER
OG0000049	LOC115761457|XP_030559084.1|DNOV	LOC110188331|XP_020813698.1|DSER
OG0000049	LOC115761552|XP_030559195.1|DNOV	LOC110188656|XP_020814093.1|DSER
OG0000050	LOC115758280|XP_030554702.1|DNOV	LOC110180270|XP_020803585.1|DSER
OG0000050	LOC115770327|XP_030571425.1|DNOV	LOC110190030|XP_020815992.1|DSER
OG0000050	LOC115770328|XP_030571426.1|DNOV	LOC110190392|XP_020816504.1|DSER
OG0000050	LOC115770326|XP_030571424.1|DNOV	LOC110190033|XP_020815994.1|DSER
OG0000050	LOC115770322|XP_030571419.1|DNOV	LOC110190029|XP_020815991.1|DSER
OG0000051	LOC115763752|XP_030562324.1|DNOV	LOC110187927|XP_020813097.1|DSER
OG0000051	LOC115761373|XP_030558983.1|DNOV	LOC110186721|XP_020811651.1|DSER
OG0000052	LOC115763778|XP_030562359.1|DNOV, LOC115763892|XP_030562530.1|DNOV, LOC115763891|XP_030562528.1|DNOV, LOC115763777|XP_030562358.1|DNOV	LOC110191159|XP_020817576.1|DSER, LOC110185541|XP_020810108.1|DSER, LOC110188577|XP_020814000.1|DSER, LOC110188482|XP_020813871.1|DSER, LOC110188395|XP_020813776.1|DSER
OG0000052	LOC115771518|XP_030573117.1|DNOV	LOC110178467|XP_020801266.1|DSER
OG0000052	LOC115771510|XP_030573105.1|DNOV	LOC110178444|XP_020801237.1|DSER
OG0000053	LOC115771927|XP_030573689.1|DNOV	LOC110176132|XP_020798030.1|DSER
OG0000053	LOC115771866|XP_030573609.1|DNOV	LOC110176120|XP_020798020.1|DSER
OG0000053	LOC115771921|XP_030573679.1|DNOV	LOC110176110|XP_020798009.1|DSER
OG0000053	LOC115771855|XP_030573599.1|DNOV	LOC110176101|XP_020798000.1|DSER
OG0000053	LOC115771936|XP_030573699.1|DNOV	LOC110176153|XP_020798053.1|DSER
OG0000054	LOC115766043|XP_030565674.1|DNOV	LOC110191806|XP_020818417.1|DSER
